,time,price,volume
0,Sep 22 2018 01: +0,2.168,9
1,Sep 23 2018 01: +0,2.491,8
2,Sep 24 2018 01: +0,2.257,8
3,Sep 25 2018 01: +0,2.202,10
4,Sep 26 2018 01: +0,1.938,6
5,Sep 27 2018 01: +0,1.985,6
6,Sep 28 2018 01: +0,2.203,6
7,Sep 29 2018 01: +0,2.172,10
8,Sep 30 2018 01: +0,1.872,4
9,Oct 01 2018 01: +0,2.151,8
10,Oct 02 2018 01: +0,2.153,9
11,Oct 03 2018 01: +0,2.184,5
12,Oct 04 2018 01: +0,2.328,15
13,Oct 05 2018 01: +0,2.302,10
14,Oct 06 2018 01: +0,2.637,3
15,Oct 07 2018 01: +0,2.55,5
16,Oct 08 2018 01: +0,2.338,6
17,Oct 09 2018 01: +0,2.313,10
18,Oct 10 2018 01: +0,2.406,9
19,Oct 11 2018 01: +0,2.648,4
20,Oct 12 2018 01: +0,2.182,10
21,Oct 13 2018 01: +0,2.367,10
22,Oct 14 2018 01: +0,2.448,4
23,Oct 15 2018 01: +0,2.216,8
24,Oct 16 2018 01: +0,2.363,7
25,Oct 17 2018 01: +0,2.285,5
26,Oct 18 2018 01: +0,2.41,4
27,Oct 19 2018 01: +0,1.917,18
28,Oct 20 2018 01: +0,1.818,20
29,Oct 21 2018 01: +0,1.973,7
30,Oct 22 2018 01: +0,1.868,8
31,Oct 23 2018 01: +0,1.785,2
32,Oct 24 2018 01: +0,1.736,7
33,Oct 25 2018 01: +0,1.68,5
34,Oct 26 2018 01: +0,1.933,3
35,Oct 27 2018 01: +0,1.918,9
36,Oct 28 2018 01: +0,1.848,15
37,Oct 29 2018 01: +0,1.929,8
38,Oct 30 2018 01: +0,2.053,11
39,Oct 31 2018 01: +0,2.202,4
40,Nov 01 2018 01: +0,2.207,9
41,Nov 02 2018 01: +0,2.24,7
42,Nov 03 2018 01: +0,2.143,6
43,Nov 04 2018 01: +0,2.138,8
44,Nov 05 2018 01: +0,2.294,7
45,Nov 06 2018 01: +0,2.118,9
46,Nov 07 2018 01: +0,2.306,8
47,Nov 08 2018 01: +0,2.311,14
48,Nov 09 2018 01: +0,2.615,12
49,Nov 10 2018 01: +0,2.781,2
50,Nov 11 2018 01: +0,2.869,4
51,Nov 12 2018 01: +0,2.66,4
52,Nov 13 2018 01: +0,2.667,3
53,Nov 14 2018 01: +0,2.153,3
54,Nov 15 2018 01: +0,2.665,5
55,Nov 16 2018 01: +0,2.582,4
56,Nov 17 2018 01: +0,2.535,6
57,Nov 18 2018 01: +0,2.321,6
58,Nov 19 2018 01: +0,2.344,6
59,Nov 20 2018 01: +0,2.517,4
60,Nov 21 2018 01: +0,2.188,2
61,Nov 22 2018 01: +0,2.397,7
62,Nov 23 2018 01: +0,2.126,6
63,Nov 24 2018 01: +0,2.267,7
64,Nov 25 2018 01: +0,2.475,4
65,Nov 26 2018 01: +0,2.284,9
66,Nov 27 2018 01: +0,2.475,3
67,Nov 28 2018 01: +0,2.593,8
68,Nov 29 2018 01: +0,2.667,5
69,Nov 30 2018 01: +0,2.875,3
70,Dec 01 2018 01: +0,2.843,4
71,Dec 02 2018 01: +0,2.244,5
72,Dec 03 2018 01: +0,2.208,5
73,Dec 04 2018 01: +0,2.822,3
74,Dec 05 2018 01: +0,2.894,9
75,Dec 06 2018 01: +0,3.347,7
76,Dec 07 2018 01: +0,2.548,4
77,Dec 08 2018 01: +0,2.914,11
78,Dec 09 2018 01: +0,3.132,10
79,Dec 10 2018 01: +0,3.033,6
80,Dec 11 2018 01: +0,2.727,5
81,Dec 12 2018 01: +0,2.872,7
82,Dec 13 2018 01: +0,3.035,2
83,Dec 14 2018 01: +0,2.991,5
84,Dec 15 2018 01: +0,2.68,5
85,Dec 16 2018 01: +0,2.755,2
86,Dec 17 2018 01: +0,2.946,3
87,Dec 18 2018 01: +0,2.878,5
88,Dec 19 2018 01: +0,2.696,4
89,Dec 20 2018 01: +0,2.781,7
90,Dec 21 2018 01: +0,2.553,4
91,Dec 22 2018 01: +0,2.844,7
92,Dec 23 2018 01: +0,3.198,6
93,Dec 24 2018 01: +0,3.178,8
94,Dec 25 2018 01: +0,3.224,10
95,Dec 26 2018 01: +0,3.571,12
96,Dec 27 2018 01: +0,4.08,4
97,Dec 28 2018 01: +0,3.644,9
98,Dec 29 2018 01: +0,3.546,4
99,Dec 30 2018 01: +0,3.997,6
100,Dec 31 2018 01: +0,3.973,5
101,Jan 01 2019 01: +0,3.646,7
102,Jan 02 2019 01: +0,3.883,5
103,Jan 03 2019 01: +0,3.487,10
104,Jan 04 2019 01: +0,3.622,9
105,Jan 05 2019 01: +0,4.193,4
106,Jan 06 2019 01: +0,4.406,4
107,Jan 07 2019 01: +0,4.024,5
108,Jan 08 2019 01: +0,3.824,2
109,Jan 09 2019 01: +0,3.656,7
110,Jan 10 2019 01: +0,3.885,4
111,Jan 11 2019 01: +0,3.294,5
112,Jan 12 2019 01: +0,3.045,2
113,Jan 13 2019 01: +0,2.564,4
114,Jan 14 2019 01: +0,3.184,5
115,Jan 15 2019 01: +0,3.033,8
116,Jan 16 2019 01: +0,3.234,7
117,Jan 17 2019 01: +0,3.75,4
118,Jan 18 2019 01: +0,3.775,5
119,Jan 19 2019 01: +0,4.018,5
120,Jan 20 2019 01: +0,4.049,2
121,Jan 21 2019 01: +0,4.004,2
122,Jan 22 2019 01: +0,3.181,4
123,Jan 23 2019 01: +0,3.68,1
124,Jan 24 2019 01: +0,3.399,2
125,Jan 25 2019 01: +0,3.394,4
126,Jan 26 2019 01: +0,3.366,3
127,Jan 27 2019 01: +0,3.193,1
128,Jan 28 2019 01: +0,3.098,5
129,Jan 29 2019 01: +0,3.083,3
130,Jan 30 2019 01: +0,3.099,4
131,Jan 31 2019 01: +0,3.204,1
132,Feb 01 2019 01: +0,3.068,5
133,Feb 02 2019 01: +0,2.923,5
134,Feb 03 2019 01: +0,2.788,2
135,Feb 04 2019 01: +0,3.004,5
136,Feb 05 2019 01: +0,2.725,2
137,Feb 06 2019 01: +0,2.737,2
138,Feb 07 2019 01: +0,2.908,9
139,Feb 08 2019 01: +0,2.96,3
140,Feb 09 2019 01: +0,2.786,10
141,Feb 10 2019 01: +0,3.06,1
142,Feb 11 2019 01: +0,2.963,4
143,Feb 12 2019 01: +0,3.191,2
144,Feb 13 2019 01: +0,2.987,6
145,Feb 14 2019 01: +0,2.87,4
146,Feb 15 2019 01: +0,3.132,3
147,Feb 16 2019 01: +0,2.732,7
148,Feb 17 2019 01: +0,2.76,3
149,Feb 18 2019 01: +0,2.952,2
150,Feb 19 2019 01: +0,2.958,4
151,Feb 20 2019 01: +0,2.619,4
152,Feb 21 2019 01: +0,2.829,4
153,Feb 22 2019 01: +0,2.657,3
154,Feb 23 2019 01: +0,3.019,7
155,Feb 24 2019 01: +0,2.793,6
156,Feb 25 2019 01: +0,3.002,1
157,Feb 26 2019 01: +0,2.944,3
158,Feb 27 2019 01: +0,2.814,2
159,Feb 28 2019 01: +0,2.678,5
160,Mar 01 2019 01: +0,2.632,2
161,Mar 02 2019 01: +0,2.851,6
162,Mar 03 2019 01: +0,2.616,3
163,Mar 04 2019 01: +0,2.939,5
164,Mar 05 2019 01: +0,2.79,1
165,Mar 06 2019 01: +0,2.933,4
166,Mar 07 2019 01: +0,2.965,6
167,Mar 08 2019 01: +0,3.026,6
168,Mar 09 2019 01: +0,2.924,5
169,Mar 10 2019 01: +0,2.984,5
170,Mar 11 2019 01: +0,2.981,3
171,Mar 12 2019 01: +0,3.166,5
172,Mar 13 2019 01: +0,3.372,3
173,Mar 14 2019 01: +0,3.059,5
174,Mar 15 2019 01: +0,3.141,2
175,Mar 16 2019 01: +0,2.732,2
176,Mar 17 2019 01: +0,2.72,4
177,Mar 18 2019 01: +0,2.998,2
178,Mar 19 2019 01: +0,3.04,3
179,Mar 20 2019 01: +0,2.942,2
180,Mar 21 2019 01: +0,2.537,2
181,Mar 22 2019 01: +0,3.158,3
182,Mar 23 2019 01: +0,3.025,4
183,Mar 24 2019 01: +0,3.162,1
184,Mar 25 2019 01: +0,2.774,3
185,Mar 27 2019 01: +0,3.032,6
186,Mar 28 2019 01: +0,2.836,2
187,Mar 29 2019 01: +0,2.348,4
188,Mar 30 2019 01: +0,2.391,7
189,Mar 31 2019 01: +0,2.895,5
190,Apr 01 2019 01: +0,3.009,4
191,Apr 02 2019 01: +0,2.284,3
192,Apr 03 2019 01: +0,2.794,2
193,Apr 04 2019 01: +0,2.809,4
194,Apr 05 2019 01: +0,2.788,4
195,Apr 06 2019 01: +0,2.759,6
196,Apr 07 2019 01: +0,2.75,6
197,Apr 08 2019 01: +0,2.973,4
198,Apr 09 2019 01: +0,2.997,4
199,Apr 10 2019 01: +0,2.76,3
200,Apr 11 2019 01: +0,2.969,3
201,Apr 12 2019 01: +0,3.02,1
202,Apr 13 2019 01: +0,2.969,4
203,Apr 14 2019 01: +0,3.01,4
204,Apr 15 2019 01: +0,2.243,2
205,Apr 16 2019 01: +0,2.88,1
206,Apr 17 2019 01: +0,2.17,3
207,Apr 18 2019 01: +0,2.7,1
208,Apr 19 2019 01: +0,2.759,3
209,Apr 20 2019 01: +0,2.389,1
210,Apr 21 2019 01: +0,2.738,6
211,Apr 22 2019 01: +0,2.892,4
212,Apr 23 2019 01: +0,3.034,3
213,Apr 24 2019 01: +0,3.019,4
214,Apr 26 2019 01: +0,2.65,4
215,Apr 27 2019 01: +0,2.835,1
216,Apr 28 2019 01: +0,2.814,3
217,Apr 29 2019 01: +0,2.919,1
218,Apr 30 2019 01: +0,2.927,1
219,May 01 2019 01: +0,2.684,2
220,May 02 2019 01: +0,2.774,4
221,May 03 2019 01: +0,3.055,8
222,May 04 2019 01: +0,3.382,3
223,May 05 2019 01: +0,2.83,2
224,May 06 2019 01: +0,3.22,5
225,May 07 2019 01: +0,3.214,1
226,May 08 2019 01: +0,3.26,1
227,May 09 2019 01: +0,3.265,1
228,May 10 2019 01: +0,3.24,1
229,May 11 2019 01: +0,3.27,3
230,May 12 2019 01: +0,2.859,2
231,May 13 2019 01: +0,2.863,2
232,May 14 2019 01: +0,2.666,2
233,May 15 2019 01: +0,2.85,5
234,May 16 2019 01: +0,2.908,3
235,May 17 2019 01: +0,3.138,2
236,May 18 2019 01: +0,3.144,3
237,May 19 2019 01: +0,3.244,2
238,May 20 2019 01: +0,1.284,1
239,May 21 2019 01: +0,2.744,2
240,May 22 2019 01: +0,3.412,3
241,May 24 2019 01: +0,3.18,1
242,May 25 2019 01: +0,3.183,2
243,May 27 2019 01: +0,3.212,2
244,May 28 2019 01: +0,2.956,3
245,May 29 2019 01: +0,3.074,2
246,May 30 2019 01: +0,2.592,4
247,May 31 2019 01: +0,2.85,1
248,Jun 01 2019 01: +0,2.617,6
249,Jun 02 2019 01: +0,2.828,3
250,Jun 03 2019 01: +0,2.814,3
251,Jun 04 2019 01: +0,2.833,2
252,Jun 05 2019 01: +0,2.92,1
253,Jun 06 2019 01: +0,2.947,3
254,Jun 07 2019 01: +0,3.18,2
255,Jun 08 2019 01: +0,3.093,3
256,Jun 09 2019 01: +0,3.829,3
257,Jun 10 2019 01: +0,4.43,1
