,time,price,volume
0,Jul 03 2020 01: +0,2.986,13
1,Jul 04 2020 01: +0,2.693,21
2,Jul 05 2020 01: +0,2.19,15
3,Jul 06 2020 01: +0,1.977,9
4,Jul 07 2020 01: +0,1.914,12
5,Jul 08 2020 01: +0,1.503,9
6,Jul 09 2020 01: +0,1.72,21
7,Jul 10 2020 01: +0,1.729,10
8,Jul 11 2020 04: +0,1.898,1
9,Jul 11 2020 08: +0,1.95,1
10,Jul 11 2020 14: +0,1.56,2
11,Jul 11 2020 15: +0,1.819,1
12,Jul 11 2020 21: +0,1.68,1
13,Jul 11 2020 23: +0,1.92,1
14,Jul 12 2020 01: +0,1.538,2
15,Jul 12 2020 08: +0,1.356,1
16,Jul 12 2020 11: +0,1.52,1
17,Jul 12 2020 13: +0,1.772,2
18,Jul 12 2020 14: +0,1.852,1
19,Jul 12 2020 17: +0,1.844,1
20,Jul 12 2020 21: +0,1.85,1
21,Jul 12 2020 22: +0,1.864,1
22,Jul 12 2020 23: +0,1.581,1
23,Jul 13 2020 00: +0,1.9,2
24,Jul 13 2020 09: +0,1.0,1
25,Jul 13 2020 14: +0,1.869,1
26,Jul 13 2020 15: +0,1.871,1
27,Jul 13 2020 16: +0,1.91,1
28,Jul 13 2020 17: +0,1.21,1
29,Jul 13 2020 19: +0,1.76,1
30,Jul 13 2020 22: +0,1.371,1
31,Jul 14 2020 01: +0,1.819,2
32,Jul 14 2020 02: +0,1.93,1
33,Jul 14 2020 04: +0,1.93,1
34,Jul 14 2020 06: +0,1.95,1
35,Jul 14 2020 16: +0,1.847,1
36,Jul 14 2020 19: +0,1.64,1
37,Jul 14 2020 22: +0,1.453,1
38,Jul 14 2020 23: +0,1.606,2
39,Jul 15 2020 04: +0,1.818,1
40,Jul 15 2020 05: +0,1.885,1
41,Jul 15 2020 06: +0,1.93,1
42,Jul 15 2020 09: +0,1.95,1
43,Jul 15 2020 11: +0,1.879,1
44,Jul 15 2020 14: +0,1.637,1
45,Jul 15 2020 18: +0,1.87,1
46,Jul 15 2020 23: +0,1.694,1
47,Jul 16 2020 01: +0,1.73,1
48,Jul 16 2020 02: +0,1.87,1
49,Jul 16 2020 05: +0,1.62,1
50,Jul 16 2020 07: +0,1.816,3
51,Jul 16 2020 09: +0,1.495,2
52,Jul 16 2020 11: +0,1.806,1
53,Jul 16 2020 12: +0,1.453,1
54,Jul 16 2020 13: +0,1.862,1
55,Jul 16 2020 19: +0,1.76,1
56,Jul 16 2020 20: +0,1.788,1
57,Jul 16 2020 21: +0,1.833,1
58,Jul 16 2020 22: +0,1.85,2
59,Jul 16 2020 23: +0,1.833,1
60,Jul 17 2020 00: +0,1.833,1
61,Jul 17 2020 02: +0,1.84,1
62,Jul 17 2020 05: +0,1.85,1
63,Jul 17 2020 07: +0,1.832,2
64,Jul 17 2020 10: +0,1.783,1
65,Jul 17 2020 11: +0,1.84,1
66,Jul 17 2020 14: +0,1.796,1
67,Jul 17 2020 15: +0,1.824,2
68,Jul 17 2020 17: +0,1.754,2
69,Jul 17 2020 19: +0,1.3,1
70,Jul 17 2020 20: +0,1.477,3
71,Jul 17 2020 21: +0,1.374,3
72,Jul 17 2020 22: +0,1.444,4
73,Jul 17 2020 23: +0,1.465,1
74,Jul 18 2020 00: +0,1.47,1
75,Jul 18 2020 01: +0,1.4,3
76,Jul 18 2020 02: +0,1.423,2
77,Jul 18 2020 03: +0,1.46,3
78,Jul 18 2020 04: +0,1.381,2
79,Jul 18 2020 05: +0,1.466,2
80,Jul 18 2020 07: +0,1.381,1
81,Jul 18 2020 08: +0,1.472,1
82,Jul 18 2020 09: +0,1.471,2
83,Jul 18 2020 11: +0,1.327,2
84,Jul 18 2020 14: +0,1.392,3
85,Jul 18 2020 15: +0,1.449,1
86,Jul 18 2020 16: +0,1.452,1
87,Jul 18 2020 19: +0,1.392,2
88,Jul 18 2020 20: +0,1.381,1
89,Jul 18 2020 22: +0,1.381,1
90,Jul 18 2020 23: +0,1.358,1
91,Jul 19 2020 03: +0,1.15,1
92,Jul 19 2020 04: +0,1.381,1
93,Jul 19 2020 05: +0,1.15,1
94,Jul 19 2020 06: +0,1.38,1
95,Jul 19 2020 08: +0,1.415,2
96,Jul 19 2020 10: +0,1.254,1
97,Jul 19 2020 12: +0,1.358,1
98,Jul 19 2020 13: +0,1.45,1
99,Jul 19 2020 14: +0,1.449,1
100,Jul 19 2020 16: +0,1.44,1
101,Jul 19 2020 17: +0,1.44,1
102,Jul 19 2020 18: +0,1.439,2
103,Jul 19 2020 19: +0,1.44,1
104,Jul 19 2020 20: +0,1.37,2
105,Jul 19 2020 22: +0,1.442,1
106,Jul 19 2020 23: +0,1.44,1
107,Jul 20 2020 00: +0,1.32,1
108,Jul 20 2020 01: +0,1.38,1
109,Jul 20 2020 03: +0,1.35,3
110,Jul 20 2020 04: +0,1.365,2
111,Jul 20 2020 05: +0,1.419,2
112,Jul 20 2020 06: +0,1.477,4
113,Jul 20 2020 08: +0,1.26,1
114,Jul 20 2020 11: +0,1.266,1
115,Jul 20 2020 14: +0,1.303,1
116,Jul 20 2020 15: +0,1.364,2
117,Jul 20 2020 16: +0,1.357,1
118,Jul 20 2020 17: +0,1.352,1
119,Jul 20 2020 18: +0,1.303,1
120,Jul 20 2020 19: +0,1.391,1
121,Jul 20 2020 20: +0,1.362,2
122,Jul 20 2020 22: +0,1.472,1
123,Jul 20 2020 23: +0,1.253,1
