,time,price,volume
0,Aug 28 2020 01: +0,0.73,2
1,Aug 29 2020 01: +0,0.847,19
2,Aug 30 2020 01: +0,0.708,5
3,Aug 31 2020 01: +0,1.049,38
4,Sep 01 2020 01: +0,0.699,13
5,Sep 02 2020 01: +0,0.683,11
6,Sep 03 2020 01: +0,0.729,33
7,Sep 04 2020 01: +0,0.728,14
8,Sep 05 2020 01: +0,0.6,18
9,Sep 06 2020 01: +0,0.667,16
10,Sep 07 2020 01: +0,0.705,10
11,Sep 08 2020 01: +0,0.689,19
12,Sep 09 2020 01: +0,0.587,11
13,Sep 10 2020 01: +0,0.527,17
14,Sep 11 2020 01: +0,0.589,18
15,Sep 12 2020 01: +0,0.615,32
16,Sep 13 2020 01: +0,0.564,12
17,Sep 14 2020 01: +0,0.575,17
18,Sep 15 2020 01: +0,0.562,12
19,Sep 16 2020 01: +0,0.572,17
20,Sep 17 2020 01: +0,0.549,22
21,Sep 18 2020 01: +0,0.636,16
22,Sep 19 2020 01: +0,0.585,24
23,Sep 20 2020 01: +0,0.551,22
24,Sep 21 2020 01: +0,0.522,16
25,Sep 22 2020 01: +0,0.583,11
26,Sep 23 2020 01: +0,0.608,19
27,Sep 24 2020 01: +0,0.532,8
28,Sep 25 2020 01: +0,0.532,28
29,Sep 26 2020 01: +0,0.526,28
30,Sep 27 2020 01: +0,0.487,20
31,Sep 28 2020 01: +0,0.492,28
32,Sep 29 2020 01: +0,0.553,14
33,Sep 30 2020 01: +0,0.564,17
34,Oct 01 2020 01: +0,0.54,30
35,Oct 02 2020 01: +0,0.531,23
36,Oct 03 2020 01: +0,0.558,19
37,Oct 04 2020 01: +0,0.534,21
38,Oct 05 2020 01: +0,0.567,17
39,Oct 06 2020 01: +0,0.616,18
40,Oct 07 2020 01: +0,0.583,13
41,Oct 08 2020 01: +0,0.635,12
42,Oct 09 2020 01: +0,0.532,21
43,Oct 10 2020 01: +0,0.569,44
44,Oct 11 2020 01: +0,0.574,11
45,Oct 12 2020 01: +0,0.583,12
46,Oct 13 2020 01: +0,0.647,4
47,Oct 14 2020 01: +0,0.548,14
48,Oct 15 2020 01: +0,0.562,18
49,Oct 16 2020 01: +0,0.57,12
50,Oct 17 2020 01: +0,0.564,10
51,Oct 18 2020 01: +0,0.574,17
52,Oct 19 2020 01: +0,0.552,15
53,Oct 20 2020 01: +0,0.582,9
54,Oct 21 2020 01: +0,0.564,27
55,Oct 22 2020 01: +0,0.589,14
56,Oct 23 2020 01: +0,0.566,20
57,Oct 24 2020 01: +0,0.587,15
58,Oct 25 2020 01: +0,0.566,19
59,Oct 26 2020 01: +0,0.56,19
60,Oct 27 2020 01: +0,0.526,22
61,Oct 28 2020 01: +0,0.539,23
62,Oct 29 2020 01: +0,0.568,17
63,Oct 30 2020 01: +0,0.525,40
64,Oct 31 2020 01: +0,0.585,26
65,Nov 01 2020 01: +0,0.634,15
66,Nov 02 2020 01: +0,0.574,10
67,Nov 03 2020 01: +0,0.612,17
68,Nov 04 2020 01: +0,0.641,14
69,Nov 05 2020 01: +0,0.621,16
70,Nov 06 2020 01: +0,0.673,23
71,Nov 07 2020 01: +0,0.595,11
72,Nov 08 2020 01: +0,0.67,10
73,Nov 09 2020 01: +0,0.675,11
74,Nov 10 2020 01: +0,0.651,14
75,Nov 11 2020 01: +0,0.634,8
76,Nov 12 2020 01: +0,0.651,15
77,Nov 13 2020 01: +0,0.639,17
78,Nov 14 2020 01: +0,0.615,29
79,Nov 15 2020 01: +0,0.641,31
80,Nov 16 2020 01: +0,0.639,22
81,Nov 17 2020 01: +0,0.607,14
82,Nov 18 2020 01: +0,0.625,24
83,Nov 19 2020 01: +0,0.652,25
84,Nov 20 2020 01: +0,0.606,14
85,Nov 21 2020 01: +0,0.614,14
86,Nov 22 2020 01: +0,0.631,24
87,Nov 23 2020 01: +0,0.65,19
88,Nov 24 2020 01: +0,0.647,14
89,Nov 25 2020 01: +0,0.651,19
90,Nov 26 2020 01: +0,0.59,21
91,Nov 27 2020 01: +0,0.58,17
92,Nov 28 2020 01: +0,0.6,26
93,Nov 29 2020 01: +0,0.596,29
94,Nov 30 2020 01: +0,0.594,21
95,Dec 01 2020 01: +0,0.59,17
96,Dec 02 2020 01: +0,0.632,22
97,Dec 03 2020 01: +0,0.616,28
98,Dec 04 2020 01: +0,0.632,35
99,Dec 05 2020 01: +0,0.625,33
100,Dec 06 2020 01: +0,0.642,22
101,Dec 07 2020 01: +0,0.646,18
102,Dec 08 2020 01: +0,0.624,24
103,Dec 09 2020 01: +0,0.613,18
104,Dec 10 2020 01: +0,0.634,24
105,Dec 11 2020 01: +0,0.654,11
106,Dec 12 2020 01: +0,0.614,18
107,Dec 13 2020 01: +0,0.671,21
108,Dec 14 2020 01: +0,0.648,14
109,Dec 15 2020 01: +0,0.651,19
110,Dec 16 2020 01: +0,0.757,11
111,Dec 17 2020 01: +0,0.723,17
112,Dec 18 2020 01: +0,0.732,16
113,Dec 19 2020 01: +0,0.74,24
114,Dec 20 2020 01: +0,0.737,20
115,Dec 21 2020 01: +0,0.719,18
116,Dec 22 2020 01: +0,0.729,12
