,time,price,volume
0,Sep 03 2017 01: +0,1.32,1
1,Sep 04 2017 01: +0,1.332,1
2,Sep 05 2017 01: +0,2.379,2
3,Sep 06 2017 01: +0,1.7,1
4,Sep 08 2017 01: +0,1.459,2
5,Sep 09 2017 01: +0,1.72,1
6,Sep 10 2017 01: +0,1.253,1
7,Sep 11 2017 01: +0,1.406,1
8,Sep 12 2017 01: +0,1.391,3
9,Sep 13 2017 01: +0,1.8,1
10,Sep 14 2017 01: +0,0.848,1
11,Sep 16 2017 01: +0,1.008,1
12,Sep 17 2017 01: +0,1.845,3
13,Sep 18 2017 01: +0,1.858,3
14,Sep 20 2017 01: +0,1.929,2
15,Sep 22 2017 01: +0,1.98,1
16,Sep 27 2017 01: +0,1.347,3
17,Sep 28 2017 01: +0,1.485,2
18,Oct 05 2017 01: +0,1.347,3
19,Oct 06 2017 01: +0,1.676,3
20,Oct 07 2017 01: +0,1.543,2
21,Oct 08 2017 01: +0,1.695,1
22,Oct 09 2017 01: +0,1.73,3
23,Oct 10 2017 01: +0,2.093,3
24,Oct 11 2017 01: +0,3.673,1
25,Oct 15 2017 01: +0,1.633,2
26,Oct 16 2017 01: +0,1.782,3
27,Oct 17 2017 01: +0,2.195,7
28,Oct 19 2017 01: +0,5.761,1
29,Oct 24 2017 01: +0,2.9,1
30,Oct 26 2017 01: +0,2.0,1
31,Oct 27 2017 01: +0,2.59,1
32,Oct 29 2017 01: +0,2.596,1
33,Oct 30 2017 01: +0,2.661,2
34,Nov 01 2017 01: +0,2.674,1
35,Nov 02 2017 01: +0,1.149,1
36,Nov 04 2017 01: +0,2.552,2
37,Nov 05 2017 01: +0,2.87,1
38,Nov 10 2017 01: +0,2.77,1
39,Nov 15 2017 01: +0,2.529,3
40,Nov 18 2017 01: +0,2.76,1
41,Nov 21 2017 01: +0,2.175,1
42,Nov 22 2017 01: +0,1.98,1
43,Nov 24 2017 01: +0,2.1,2
44,Nov 30 2017 01: +0,2.507,1
45,Dec 03 2017 01: +0,1.506,1
46,Dec 07 2017 01: +0,1.857,2
47,Dec 08 2017 01: +0,1.913,3
48,Dec 09 2017 01: +0,1.351,1
49,Dec 10 2017 01: +0,1.99,1
50,Dec 14 2017 01: +0,1.99,2
51,Dec 15 2017 01: +0,1.721,1
52,Dec 16 2017 01: +0,1.943,2
53,Dec 17 2017 01: +0,1.98,1
54,Dec 18 2017 01: +0,1.866,2
55,Dec 21 2017 01: +0,1.736,1
56,Dec 22 2017 01: +0,2.12,1
57,Dec 23 2017 01: +0,2.38,1
58,Dec 24 2017 01: +0,2.333,1
59,Dec 25 2017 01: +0,2.297,1
60,Dec 26 2017 01: +0,2.369,2
61,Dec 27 2017 01: +0,2.416,2
