,time,price,volume
0,Nov 23 2018 01: +0,1.679,5
1,Nov 24 2018 01: +0,1.906,9
2,Nov 25 2018 01: +0,2.258,2
3,Nov 26 2018 01: +0,2.269,3
4,Nov 27 2018 01: +0,2.174,2
5,Nov 28 2018 01: +0,1.736,3
6,Nov 29 2018 01: +0,1.828,11
7,Nov 30 2018 01: +0,2.073,6
8,Dec 01 2018 01: +0,2.044,2
9,Dec 02 2018 01: +0,2.081,4
10,Dec 03 2018 01: +0,1.719,5
11,Dec 04 2018 01: +0,1.889,4
12,Dec 05 2018 01: +0,1.944,5
13,Dec 06 2018 01: +0,2.132,11
14,Dec 07 2018 01: +0,2.199,7
15,Dec 08 2018 01: +0,2.248,4
16,Dec 09 2018 01: +0,1.928,5
17,Dec 10 2018 01: +0,2.042,5
18,Dec 11 2018 01: +0,1.928,2
19,Dec 12 2018 01: +0,2.089,6
20,Dec 13 2018 01: +0,2.003,7
21,Dec 14 2018 01: +0,1.762,10
22,Dec 15 2018 01: +0,2.061,4
23,Dec 16 2018 01: +0,1.933,4
24,Dec 17 2018 01: +0,2.031,7
25,Dec 18 2018 01: +0,2.146,4
26,Dec 19 2018 01: +0,2.006,4
27,Dec 20 2018 01: +0,1.906,11
28,Dec 21 2018 01: +0,1.824,10
29,Dec 22 2018 01: +0,1.9,11
30,Dec 23 2018 01: +0,1.898,13
31,Dec 24 2018 01: +0,1.967,8
32,Dec 25 2018 01: +0,2.04,11
33,Dec 26 2018 01: +0,2.264,9
34,Dec 27 2018 01: +0,2.125,11
35,Dec 28 2018 01: +0,2.277,13
36,Dec 29 2018 01: +0,2.241,7
37,Dec 30 2018 01: +0,2.345,3
38,Dec 31 2018 01: +0,2.365,6
39,Jan 01 2019 01: +0,2.31,7
40,Jan 02 2019 01: +0,2.48,12
41,Jan 03 2019 01: +0,2.533,11
42,Jan 04 2019 01: +0,2.786,8
43,Jan 05 2019 01: +0,2.12,4
44,Jan 06 2019 01: +0,2.969,4
45,Jan 08 2019 01: +0,2.973,1
46,Jan 09 2019 01: +0,2.621,3
47,Jan 10 2019 01: +0,2.596,2
48,Jan 11 2019 01: +0,2.483,5
49,Jan 12 2019 01: +0,2.312,10
50,Jan 13 2019 01: +0,2.364,6
51,Jan 14 2019 01: +0,2.728,5
52,Jan 15 2019 01: +0,2.679,2
53,Jan 16 2019 01: +0,2.571,5
54,Jan 17 2019 01: +0,2.503,8
55,Jan 18 2019 01: +0,2.785,3
56,Jan 19 2019 01: +0,2.928,4
57,Jan 20 2019 01: +0,2.125,3
58,Jan 21 2019 01: +0,0.98,1
59,Jan 22 2019 01: +0,2.516,5
60,Jan 23 2019 01: +0,2.355,3
61,Jan 24 2019 01: +0,2.465,6
62,Jan 25 2019 01: +0,2.44,2
63,Jan 26 2019 01: +0,2.205,3
64,Jan 27 2019 01: +0,2.145,6
65,Jan 28 2019 01: +0,2.094,4
66,Jan 29 2019 01: +0,2.01,1
67,Jan 30 2019 01: +0,2.051,8
68,Jan 31 2019 01: +0,2.007,1
69,Feb 01 2019 01: +0,2.107,4
70,Feb 02 2019 01: +0,2.139,3
71,Feb 03 2019 01: +0,2.245,4
72,Feb 04 2019 01: +0,2.407,4
73,Feb 05 2019 01: +0,1.772,1
74,Feb 06 2019 01: +0,1.921,4
75,Feb 07 2019 01: +0,2.124,5
76,Feb 08 2019 01: +0,2.278,3
