,time,price,volume
0,Nov 09 2017 01: +0,3.187,2
1,Nov 10 2017 01: +0,1.925,4
2,Nov 11 2017 01: +0,1.662,14
3,Nov 12 2017 01: +0,1.891,10
4,Nov 13 2017 01: +0,1.658,12
5,Nov 14 2017 01: +0,1.916,8
6,Nov 15 2017 01: +0,2.121,6
7,Nov 16 2017 01: +0,1.92,6
8,Nov 17 2017 01: +0,1.941,9
9,Nov 18 2017 01: +0,1.938,10
10,Nov 19 2017 01: +0,1.872,5
11,Nov 20 2017 01: +0,1.885,5
12,Nov 21 2017 01: +0,1.715,5
13,Nov 22 2017 01: +0,1.659,8
14,Nov 23 2017 01: +0,1.558,9
15,Nov 24 2017 01: +0,1.551,8
16,Nov 25 2017 01: +0,1.641,6
17,Nov 26 2017 01: +0,1.753,5
18,Nov 27 2017 01: +0,1.503,12
19,Nov 28 2017 01: +0,2.015,4
20,Nov 29 2017 01: +0,1.958,5
21,Nov 30 2017 01: +0,1.869,4
22,Dec 01 2017 01: +0,1.586,2
23,Dec 02 2017 01: +0,1.97,4
24,Dec 03 2017 01: +0,1.857,12
25,Dec 04 2017 01: +0,1.856,6
26,Dec 05 2017 01: +0,2.097,3
27,Dec 06 2017 01: +0,1.803,5
28,Dec 07 2017 01: +0,2.097,9
29,Dec 08 2017 01: +0,2.169,8
30,Dec 09 2017 01: +0,2.264,4
31,Dec 10 2017 01: +0,2.166,8
32,Dec 11 2017 01: +0,1.929,6
33,Dec 12 2017 01: +0,2.11,4
34,Dec 13 2017 01: +0,2.157,4
35,Dec 14 2017 01: +0,2.009,5
36,Dec 15 2017 01: +0,2.297,12
37,Dec 16 2017 01: +0,2.41,4
38,Dec 17 2017 01: +0,2.321,4
39,Dec 18 2017 01: +0,2.449,6
40,Dec 20 2017 01: +0,2.472,6
41,Dec 21 2017 01: +0,2.552,5
42,Dec 22 2017 01: +0,2.488,6
43,Dec 23 2017 01: +0,2.378,5
44,Dec 24 2017 01: +0,2.37,4
45,Dec 25 2017 01: +0,2.559,9
46,Dec 26 2017 01: +0,3.164,13
47,Dec 27 2017 01: +0,3.447,3
48,Dec 28 2017 01: +0,3.236,9
49,Dec 29 2017 01: +0,2.853,11
50,Dec 30 2017 01: +0,2.089,7
51,Dec 31 2017 01: +0,2.232,10
52,Jan 01 2018 01: +0,2.433,5
53,Jan 02 2018 01: +0,2.197,3
54,Jan 03 2018 01: +0,2.342,8
55,Jan 04 2018 01: +0,2.579,8
56,Jan 05 2018 01: +0,2.944,7
57,Jan 06 2018 01: +0,2.513,6
58,Jan 07 2018 01: +0,2.574,10
59,Jan 08 2018 01: +0,2.412,3
60,Jan 09 2018 01: +0,3.092,4
61,Jan 10 2018 01: +0,2.303,3
62,Jan 11 2018 01: +0,2.736,4
63,Jan 12 2018 01: +0,2.862,3
64,Jan 13 2018 01: +0,2.403,7
65,Jan 14 2018 01: +0,2.422,6
66,Jan 15 2018 01: +0,2.355,4
67,Jan 16 2018 01: +0,2.515,6
68,Jan 17 2018 01: +0,2.576,6
69,Jan 18 2018 01: +0,2.537,7
70,Jan 19 2018 01: +0,2.417,6
71,Jan 20 2018 01: +0,2.149,3
72,Jan 21 2018 01: +0,2.055,5
73,Jan 22 2018 01: +0,2.229,3
74,Jan 23 2018 01: +0,2.05,6
75,Jan 25 2018 01: +0,2.081,8
76,Jan 26 2018 01: +0,2.284,3
77,Jan 27 2018 01: +0,2.141,6
78,Jan 28 2018 01: +0,2.0,3
79,Jan 29 2018 01: +0,1.927,2
80,Jan 30 2018 01: +0,2.142,4
81,Jan 31 2018 01: +0,1.969,2
82,Feb 01 2018 01: +0,2.107,5
83,Feb 02 2018 01: +0,2.23,3
84,Feb 03 2018 01: +0,2.153,8
85,Feb 04 2018 01: +0,1.885,2
86,Feb 05 2018 01: +0,1.954,3
87,Feb 07 2018 01: +0,1.713,1
88,Feb 08 2018 01: +0,1.914,9
89,Feb 09 2018 01: +0,2.223,6
90,Feb 10 2018 01: +0,2.328,3
91,Feb 11 2018 01: +0,2.117,5
92,Feb 12 2018 01: +0,2.303,3
93,Feb 13 2018 01: +0,2.321,3
94,Feb 14 2018 01: +0,2.375,3
95,Feb 15 2018 01: +0,2.065,2
96,Feb 16 2018 01: +0,2.244,5
97,Feb 17 2018 01: +0,2.278,1
98,Feb 18 2018 01: +0,2.198,8
99,Feb 19 2018 01: +0,2.137,6
100,Feb 20 2018 01: +0,1.667,2
101,Feb 21 2018 01: +0,1.886,2
102,Feb 22 2018 01: +0,2.13,3
103,Feb 23 2018 01: +0,1.772,4
104,Feb 24 2018 01: +0,1.982,4
105,Feb 25 2018 01: +0,1.592,3
106,Feb 26 2018 01: +0,2.098,3
107,Feb 27 2018 01: +0,1.96,2
108,Feb 28 2018 01: +0,1.678,6
109,Mar 01 2018 01: +0,2.024,5
110,Mar 02 2018 01: +0,1.976,3
111,Mar 04 2018 01: +0,2.236,5
112,Mar 05 2018 01: +0,2.288,1
113,Mar 06 2018 01: +0,2.045,3
114,Mar 07 2018 01: +0,2.154,1
115,Mar 08 2018 01: +0,2.219,2
116,Mar 09 2018 01: +0,2.217,3
117,Mar 10 2018 01: +0,2.063,3
118,Mar 11 2018 01: +0,1.618,6
119,Mar 13 2018 01: +0,2.221,2
120,Mar 14 2018 01: +0,2.2,1
121,Mar 15 2018 01: +0,2.12,2
122,Mar 16 2018 01: +0,1.622,3
123,Mar 17 2018 01: +0,1.6,2
124,Mar 18 2018 01: +0,1.919,7
125,Mar 19 2018 01: +0,1.997,2
126,Mar 20 2018 01: +0,2.05,2
127,Mar 21 2018 01: +0,1.78,2
128,Mar 22 2018 01: +0,1.676,2
129,Mar 23 2018 01: +0,2.073,1
130,Mar 25 2018 01: +0,1.96,1
131,Mar 26 2018 01: +0,1.799,1
132,Mar 27 2018 01: +0,1.566,6
133,Mar 28 2018 01: +0,1.638,4
134,Mar 29 2018 01: +0,1.97,1
135,Mar 30 2018 01: +0,1.87,2
136,Mar 31 2018 01: +0,1.504,3
137,Apr 01 2018 01: +0,1.978,4
138,Apr 02 2018 01: +0,1.986,3
139,Apr 03 2018 01: +0,2.096,4
140,Apr 05 2018 01: +0,2.059,4
141,Apr 06 2018 01: +0,2.086,6
142,Apr 07 2018 01: +0,2.117,3
143,Apr 08 2018 01: +0,2.193,3
144,Apr 10 2018 01: +0,2.15,1
145,Apr 11 2018 01: +0,2.056,4
146,Apr 12 2018 01: +0,1.869,3
147,Apr 13 2018 01: +0,1.924,3
148,Apr 14 2018 01: +0,2.051,4
149,Apr 15 2018 01: +0,1.635,3
150,Apr 16 2018 01: +0,1.893,3
151,Apr 17 2018 01: +0,1.969,3
152,Apr 19 2018 01: +0,1.68,4
153,Apr 20 2018 01: +0,1.88,4
154,Apr 21 2018 01: +0,1.802,3
155,Apr 22 2018 01: +0,2.016,3
156,Apr 23 2018 01: +0,1.848,4
157,Apr 25 2018 01: +0,1.874,7
158,Apr 26 2018 01: +0,1.714,1
159,Apr 27 2018 01: +0,1.754,5
160,Apr 28 2018 01: +0,2.14,4
161,May 01 2018 01: +0,1.634,3
162,May 02 2018 01: +0,1.923,6
