,time,price,volume
0,Aug 17 2017 01: +0,4.68,1
1,Aug 18 2017 01: +0,3.269,7
2,Aug 19 2017 01: +0,2.991,9
3,Aug 20 2017 01: +0,3.006,6
4,Aug 21 2017 01: +0,3.133,7
5,Aug 22 2017 01: +0,2.609,8
6,Aug 23 2017 01: +0,2.435,6
7,Aug 24 2017 01: +0,2.537,10
8,Aug 25 2017 01: +0,2.569,7
9,Aug 26 2017 01: +0,2.661,5
10,Aug 27 2017 01: +0,2.758,7
11,Aug 28 2017 01: +0,2.745,8
12,Aug 29 2017 01: +0,2.744,5
13,Aug 30 2017 01: +0,3.141,6
14,Aug 31 2017 01: +0,2.802,3
15,Sep 01 2017 01: +0,2.886,6
16,Sep 02 2017 01: +0,2.514,6
17,Sep 03 2017 01: +0,2.835,7
18,Sep 04 2017 01: +0,2.8,2
19,Sep 05 2017 01: +0,2.83,7
20,Sep 06 2017 01: +0,2.671,5
21,Sep 07 2017 01: +0,2.651,5
22,Sep 08 2017 01: +0,2.415,7
23,Sep 09 2017 01: +0,2.404,11
24,Sep 10 2017 01: +0,2.449,4
25,Sep 11 2017 01: +0,2.051,2
26,Sep 12 2017 01: +0,2.25,3
27,Sep 13 2017 01: +0,2.188,4
28,Sep 14 2017 01: +0,2.379,3
29,Sep 15 2017 01: +0,2.443,3
30,Sep 16 2017 01: +0,2.1,1
31,Sep 17 2017 01: +0,1.881,6
32,Sep 18 2017 01: +0,1.844,2
33,Sep 19 2017 01: +0,1.88,2
34,Sep 20 2017 01: +0,2.01,1
35,Sep 21 2017 01: +0,2.055,2
36,Sep 22 2017 01: +0,2.045,7
37,Sep 23 2017 01: +0,2.382,4
38,Sep 24 2017 01: +0,2.524,1
39,Sep 25 2017 01: +0,1.995,2
40,Sep 26 2017 01: +0,2.097,1
41,Sep 27 2017 01: +0,2.19,7
42,Sep 28 2017 01: +0,1.26,1
43,Sep 29 2017 01: +0,2.22,2
44,Sep 30 2017 01: +0,2.118,4
45,Oct 01 2017 01: +0,2.169,2
46,Oct 02 2017 01: +0,1.998,3
47,Oct 03 2017 01: +0,1.922,2
48,Oct 04 2017 01: +0,2.192,3
49,Oct 05 2017 01: +0,2.145,12
50,Oct 06 2017 01: +0,2.789,9
51,Oct 07 2017 01: +0,3.167,10
52,Oct 08 2017 01: +0,3.76,2
53,Oct 09 2017 01: +0,3.118,3
54,Oct 10 2017 01: +0,2.87,1
55,Oct 11 2017 01: +0,3.37,4
56,Oct 12 2017 01: +0,3.088,1
57,Oct 13 2017 01: +0,2.588,6
58,Oct 14 2017 01: +0,3.191,3
59,Oct 15 2017 01: +0,2.904,12
60,Oct 16 2017 01: +0,3.201,5
61,Oct 17 2017 01: +0,3.489,4
62,Oct 18 2017 01: +0,3.34,3
63,Oct 19 2017 01: +0,2.772,6
64,Oct 20 2017 01: +0,3.19,1
65,Oct 21 2017 01: +0,2.761,8
66,Oct 22 2017 01: +0,2.994,9
67,Oct 23 2017 01: +0,3.228,3
68,Oct 24 2017 01: +0,2.993,4
69,Oct 25 2017 01: +0,2.875,2
70,Oct 26 2017 01: +0,3.497,5
71,Oct 27 2017 01: +0,3.152,10
72,Oct 28 2017 01: +0,3.622,7
73,Oct 29 2017 01: +0,3.44,8
74,Oct 30 2017 01: +0,4.178,4
75,Oct 31 2017 01: +0,4.68,1
76,Nov 01 2017 01: +0,4.291,1
77,Nov 02 2017 01: +0,3.62,6
78,Nov 03 2017 01: +0,3.977,6
79,Nov 04 2017 01: +0,3.083,3
80,Nov 05 2017 01: +0,4.022,4
81,Nov 06 2017 01: +0,4.028,2
82,Nov 07 2017 01: +0,2.66,1
83,Nov 08 2017 01: +0,4.023,3
84,Nov 09 2017 01: +0,4.025,5
85,Nov 10 2017 01: +0,4.034,2
86,Nov 11 2017 01: +0,4.029,5
87,Nov 12 2017 01: +0,4.008,4
88,Nov 13 2017 01: +0,4.0,1
89,Nov 14 2017 01: +0,3.628,3
90,Nov 15 2017 01: +0,3.458,2
91,Nov 16 2017 01: +0,3.509,3
92,Nov 17 2017 01: +0,3.512,3
93,Nov 18 2017 01: +0,3.831,4
94,Nov 19 2017 01: +0,3.793,2
95,Nov 20 2017 01: +0,3.76,2
96,Nov 22 2017 01: +0,3.457,3
97,Nov 23 2017 01: +0,3.565,2
98,Nov 24 2017 01: +0,3.85,3
99,Nov 25 2017 01: +0,3.604,4
100,Nov 26 2017 01: +0,3.934,4
101,Nov 27 2017 01: +0,4.083,2
102,Nov 29 2017 01: +0,3.99,1
103,Nov 30 2017 01: +0,3.771,3
104,Dec 01 2017 01: +0,4.153,1
105,Dec 02 2017 01: +0,3.6,4
106,Dec 03 2017 01: +0,3.827,5
107,Dec 04 2017 01: +0,3.744,3
108,Dec 05 2017 01: +0,4.17,2
109,Dec 06 2017 01: +0,4.068,2
110,Dec 07 2017 01: +0,4.504,1
111,Dec 08 2017 01: +0,3.778,3
112,Dec 09 2017 01: +0,3.45,4
113,Dec 10 2017 01: +0,4.39,1
114,Dec 11 2017 01: +0,3.75,6
115,Dec 12 2017 01: +0,3.909,4
116,Dec 13 2017 01: +0,4.401,2
117,Dec 14 2017 01: +0,4.485,2
118,Dec 15 2017 01: +0,3.775,3
119,Dec 16 2017 01: +0,4.25,1
120,Dec 17 2017 01: +0,4.302,3
121,Dec 18 2017 01: +0,4.5,1
122,Dec 19 2017 01: +0,4.544,1
123,Dec 20 2017 01: +0,4.141,2
124,Dec 21 2017 01: +0,3.469,4
125,Dec 22 2017 01: +0,3.802,4
126,Dec 23 2017 01: +0,4.378,5
127,Dec 24 2017 01: +0,4.558,4
128,Dec 25 2017 01: +0,4.952,7
129,Dec 26 2017 01: +0,5.966,5
130,Dec 27 2017 01: +0,7.015,2
131,Dec 28 2017 01: +0,6.7,3
132,Dec 29 2017 01: +0,6.834,5
133,Dec 31 2017 01: +0,7.106,4
134,Jan 01 2018 01: +0,4.91,3
135,Jan 02 2018 01: +0,4.827,3
136,Jan 03 2018 01: +0,4.587,2
137,Jan 04 2018 01: +0,4.866,4
138,Jan 05 2018 01: +0,6.03,1
139,Jan 06 2018 01: +0,6.311,2
140,Jan 07 2018 01: +0,4.11,1
141,Jan 09 2018 01: +0,6.29,2
142,Jan 10 2018 01: +0,5.005,4
143,Jan 11 2018 01: +0,4.313,1
144,Jan 12 2018 01: +0,4.77,3
145,Jan 13 2018 01: +0,5.422,5
146,Jan 14 2018 01: +0,5.101,3
147,Jan 15 2018 01: +0,4.138,1
148,Jan 16 2018 01: +0,4.155,2
149,Jan 17 2018 01: +0,4.76,3
150,Jan 18 2018 01: +0,5.39,4
151,Jan 19 2018 01: +0,4.509,2
152,Jan 20 2018 01: +0,4.475,2
153,Jan 21 2018 01: +0,4.751,3
154,Jan 22 2018 01: +0,4.071,2
155,Jan 23 2018 01: +0,3.987,2
156,Jan 24 2018 01: +0,4.443,3
157,Jan 25 2018 01: +0,4.38,1
158,Jan 26 2018 01: +0,3.976,2
159,Jan 27 2018 01: +0,4.115,3
160,Jan 28 2018 01: +0,4.16,1
161,Jan 29 2018 01: +0,3.85,1
162,Jan 30 2018 01: +0,3.805,1
163,Feb 01 2018 01: +0,3.717,2
164,Feb 02 2018 01: +0,3.271,4
165,Feb 04 2018 01: +0,3.29,1
166,Feb 06 2018 01: +0,2.55,1
167,Feb 07 2018 01: +0,2.499,2
168,Feb 08 2018 01: +0,2.841,6
169,Feb 09 2018 01: +0,2.91,1
170,Feb 10 2018 01: +0,3.136,8
171,Feb 11 2018 01: +0,3.5,1
172,Feb 13 2018 01: +0,3.552,1
173,Feb 15 2018 01: +0,3.091,3
174,Feb 16 2018 01: +0,3.31,1
175,Feb 17 2018 01: +0,2.893,3
176,Feb 18 2018 01: +0,3.362,2
177,Feb 19 2018 01: +0,3.14,1
178,Feb 20 2018 01: +0,3.252,2
179,Feb 22 2018 01: +0,2.722,3
180,Feb 23 2018 01: +0,3.33,1
181,Feb 24 2018 01: +0,3.049,2
182,Feb 25 2018 01: +0,2.698,2
183,Feb 26 2018 01: +0,3.34,1
184,Feb 27 2018 01: +0,2.845,2
185,Feb 28 2018 01: +0,3.436,2
186,Mar 01 2018 01: +0,3.503,2
187,Mar 03 2018 01: +0,3.242,2
188,Mar 04 2018 01: +0,3.091,3
189,Mar 05 2018 01: +0,3.445,1
190,Mar 08 2018 01: +0,2.481,3
191,Mar 09 2018 01: +0,2.149,2
192,Mar 11 2018 01: +0,2.263,4
