,time,price,volume
0,Jun 04 2020 01: +0,3.859,1
1,Jun 05 2020 01: +0,2.322,13
2,Jun 06 2020 01: +0,2.264,8
3,Jun 07 2020 01: +0,1.962,13
4,Jun 08 2020 01: +0,2.025,6
5,Jun 09 2020 01: +0,1.893,7
6,Jun 10 2020 01: +0,1.823,19
7,Jun 11 2020 01: +0,1.867,11
8,Jun 12 2020 01: +0,1.762,13
9,Jun 13 2020 01: +0,1.766,11
10,Jun 14 2020 01: +0,1.741,6
11,Jun 15 2020 01: +0,1.744,12
12,Jun 16 2020 01: +0,1.673,15
13,Jun 17 2020 01: +0,1.391,17
14,Jun 18 2020 01: +0,1.692,8
15,Jun 19 2020 01: +0,1.314,11
16,Jun 20 2020 01: +0,1.587,15
17,Jun 21 2020 01: +0,1.476,9
18,Jun 22 2020 01: +0,1.453,11
19,Jun 23 2020 01: +0,1.529,11
20,Jun 24 2020 01: +0,1.486,7
21,Jun 25 2020 01: +0,1.335,19
22,Jun 26 2020 01: +0,1.317,13
23,Jun 27 2020 01: +0,1.177,22
24,Jun 28 2020 01: +0,1.226,19
25,Jun 29 2020 01: +0,1.272,13
26,Jun 30 2020 01: +0,1.386,14
27,Jul 01 2020 01: +0,1.409,14
28,Jul 02 2020 01: +0,1.408,18
29,Jul 03 2020 01: +0,1.725,17
30,Jul 04 2020 01: +0,1.647,11
31,Jul 05 2020 01: +0,1.501,11
32,Jul 06 2020 01: +0,1.421,14
33,Jul 07 2020 01: +0,1.442,10
34,Jul 08 2020 01: +0,1.528,11
35,Jul 09 2020 01: +0,1.692,16
36,Jul 10 2020 01: +0,1.861,11
37,Jul 11 2020 02: +0,1.45,1
38,Jul 11 2020 08: +0,1.468,1
39,Jul 11 2020 15: +0,2.982,1
40,Jul 11 2020 16: +0,1.453,1
41,Jul 11 2020 18: +0,2.99,1
42,Jul 11 2020 19: +0,2.982,1
43,Jul 11 2020 21: +0,3.36,1
44,Jul 11 2020 22: +0,3.344,3
45,Jul 12 2020 00: +0,1.147,2
46,Jul 12 2020 05: +0,1.45,1
47,Jul 12 2020 08: +0,2.395,2
48,Jul 12 2020 12: +0,2.867,1
49,Jul 12 2020 19: +0,1.364,1
50,Jul 12 2020 21: +0,1.333,1
51,Jul 12 2020 23: +0,1.224,2
52,Jul 13 2020 00: +0,1.45,1
53,Jul 13 2020 01: +0,2.099,2
54,Jul 13 2020 02: +0,2.9,1
55,Jul 13 2020 05: +0,2.91,1
56,Jul 13 2020 06: +0,1.465,1
57,Jul 13 2020 09: +0,2.109,1
58,Jul 13 2020 10: +0,2.109,1
59,Jul 13 2020 13: +0,2.109,2
60,Jul 13 2020 18: +0,2.11,2
61,Jul 13 2020 20: +0,2.314,2
62,Jul 14 2020 01: +0,2.43,1
63,Jul 14 2020 03: +0,1.949,1
64,Jul 14 2020 06: +0,1.4,1
65,Jul 14 2020 08: +0,3.229,1
66,Jul 14 2020 13: +0,1.393,1
67,Jul 14 2020 15: +0,2.26,2
68,Jul 14 2020 16: +0,3.22,1
69,Jul 14 2020 18: +0,1.264,1
70,Jul 14 2020 19: +0,3.24,1
71,Jul 14 2020 23: +0,1.4,1
72,Jul 15 2020 01: +0,1.149,1
73,Jul 15 2020 04: +0,1.26,1
74,Jul 15 2020 08: +0,1.449,3
75,Jul 15 2020 09: +0,1.469,2
76,Jul 15 2020 14: +0,1.192,1
77,Jul 15 2020 17: +0,3.3,1
78,Jul 15 2020 20: +0,2.997,1
79,Jul 15 2020 21: +0,1.364,1
80,Jul 16 2020 03: +0,3.15,1
81,Jul 16 2020 06: +0,1.516,1
82,Jul 16 2020 09: +0,2.6,1
83,Jul 16 2020 12: +0,2.592,1
84,Jul 16 2020 15: +0,2.572,1
85,Jul 17 2020 03: +0,2.3,1
86,Jul 17 2020 10: +0,2.394,1
87,Jul 17 2020 15: +0,2.394,1
88,Jul 17 2020 16: +0,2.519,1
89,Jul 17 2020 18: +0,2.5,1
90,Jul 17 2020 21: +0,1.795,2
91,Jul 18 2020 00: +0,1.439,1
92,Jul 18 2020 05: +0,1.508,1
93,Jul 18 2020 10: +0,1.776,2
94,Jul 18 2020 12: +0,2.013,2
95,Jul 18 2020 13: +0,2.123,1
96,Jul 18 2020 14: +0,2.499,1
97,Jul 18 2020 16: +0,2.5,1
98,Jul 18 2020 18: +0,1.929,2
99,Jul 19 2020 02: +0,2.149,2
100,Jul 19 2020 06: +0,1.15,1
101,Jul 19 2020 10: +0,1.61,1
102,Jul 19 2020 11: +0,1.391,1
103,Jul 19 2020 12: +0,1.735,1
104,Jul 19 2020 14: +0,1.758,1
105,Jul 19 2020 15: +0,1.952,2
106,Jul 19 2020 16: +0,2.274,2
107,Jul 19 2020 17: +0,1.881,1
108,Jul 19 2020 20: +0,1.925,2
109,Jul 19 2020 21: +0,1.546,2
110,Jul 20 2020 03: +0,2.277,1
111,Jul 20 2020 04: +0,1.466,1
112,Jul 20 2020 15: +0,1.965,1
113,Jul 20 2020 21: +0,1.944,1
114,Jul 20 2020 22: +0,1.919,1
115,Jul 21 2020 09: +0,1.449,1
116,Jul 21 2020 12: +0,2.008,1
117,Jul 21 2020 15: +0,1.449,2
118,Jul 21 2020 16: +0,1.982,1
119,Jul 21 2020 19: +0,1.995,1
120,Jul 21 2020 20: +0,2.015,2
121,Jul 22 2020 02: +0,2.0,1
122,Jul 22 2020 08: +0,1.457,1
123,Jul 22 2020 10: +0,1.506,1
124,Jul 22 2020 11: +0,1.707,1
125,Jul 22 2020 14: +0,1.851,1
126,Jul 22 2020 18: +0,1.965,1
127,Jul 22 2020 20: +0,1.58,1
128,Jul 22 2020 21: +0,1.77,1
129,Jul 22 2020 23: +0,1.438,1
130,Jul 23 2020 04: +0,1.635,2
131,Jul 23 2020 14: +0,1.667,1
132,Jul 23 2020 15: +0,1.748,1
133,Jul 23 2020 17: +0,1.765,1
134,Jul 23 2020 18: +0,1.771,1
135,Jul 23 2020 19: +0,1.771,1
136,Jul 23 2020 20: +0,1.759,3
137,Jul 23 2020 22: +0,1.766,1
138,Jul 24 2020 00: +0,1.858,2
139,Jul 24 2020 02: +0,1.95,1
140,Jul 24 2020 03: +0,1.95,1
141,Jul 24 2020 05: +0,1.5,1
142,Jul 24 2020 13: +0,1.928,1
143,Jul 24 2020 15: +0,1.951,2
144,Jul 24 2020 18: +0,1.95,1
145,Jul 24 2020 22: +0,1.631,2
146,Jul 24 2020 23: +0,1.67,2
147,Jul 25 2020 02: +0,1.897,1
148,Jul 25 2020 10: +0,1.89,1
149,Jul 25 2020 11: +0,1.951,2
150,Jul 25 2020 12: +0,1.333,1
151,Jul 25 2020 16: +0,1.734,2
152,Jul 25 2020 17: +0,1.8,1
153,Jul 25 2020 18: +0,1.8,1
154,Jul 25 2020 20: +0,1.816,1
155,Jul 25 2020 22: +0,1.816,1
156,Jul 26 2020 03: +0,1.426,1
157,Jul 26 2020 05: +0,1.8,1
158,Jul 26 2020 06: +0,1.15,1
159,Jul 26 2020 15: +0,1.7,3
160,Jul 26 2020 19: +0,1.72,1
161,Jul 26 2020 23: +0,1.415,2
162,Jul 27 2020 00: +0,1.798,2
163,Jul 27 2020 03: +0,1.28,1
164,Jul 27 2020 09: +0,1.723,2
165,Jul 27 2020 14: +0,1.514,1
166,Jul 27 2020 17: +0,1.28,1
167,Jul 27 2020 20: +0,1.5,1
168,Jul 27 2020 23: +0,1.21,1
169,Jul 28 2020 08: +0,1.512,1
170,Jul 28 2020 12: +0,1.515,1
171,Jul 28 2020 13: +0,1.52,1
172,Jul 28 2020 16: +0,1.528,2
173,Jul 28 2020 20: +0,1.5,1
174,Jul 28 2020 22: +0,1.51,2
175,Jul 29 2020 04: +0,1.52,1
176,Jul 29 2020 05: +0,1.522,2
177,Jul 29 2020 07: +0,1.534,1
178,Jul 29 2020 12: +0,1.28,1
179,Jul 29 2020 17: +0,1.306,1
180,Jul 29 2020 18: +0,1.451,2
181,Jul 29 2020 20: +0,1.28,2
182,Jul 29 2020 22: +0,1.52,2
183,Jul 30 2020 00: +0,1.349,2
184,Jul 30 2020 03: +0,2.56,2
185,Jul 30 2020 06: +0,1.52,1
186,Jul 30 2020 10: +0,1.431,1
187,Jul 30 2020 13: +0,1.495,1
188,Jul 30 2020 15: +0,1.28,1
189,Jul 30 2020 16: +0,1.515,2
190,Jul 30 2020 17: +0,1.552,1
191,Jul 30 2020 19: +0,1.535,1
192,Jul 30 2020 21: +0,1.641,1
193,Jul 30 2020 23: +0,1.642,1
194,Jul 31 2020 00: +0,1.641,1
195,Jul 31 2020 11: +0,1.58,1
196,Jul 31 2020 14: +0,1.598,1
197,Jul 31 2020 17: +0,1.596,1
198,Jul 31 2020 19: +0,1.577,2
199,Jul 31 2020 22: +0,1.535,1
200,Aug 01 2020 00: +0,1.28,1
201,Aug 01 2020 02: +0,1.287,1
202,Aug 01 2020 08: +0,1.54,1
203,Aug 01 2020 13: +0,1.515,2
204,Aug 01 2020 17: +0,1.377,1
205,Aug 01 2020 19: +0,1.34,3
206,Aug 01 2020 20: +0,1.245,2
207,Aug 01 2020 22: +0,1.549,1
208,Aug 01 2020 23: +0,1.53,1
209,Aug 02 2020 01: +0,1.004,1
210,Aug 02 2020 11: +0,1.264,1
211,Aug 02 2020 15: +0,1.259,1
212,Aug 02 2020 18: +0,1.264,3
213,Aug 02 2020 20: +0,1.441,1
214,Aug 02 2020 21: +0,1.488,1
215,Aug 02 2020 22: +0,1.57,1
216,Aug 03 2020 00: +0,1.056,2
217,Aug 03 2020 06: +0,1.065,1
218,Aug 03 2020 10: +0,1.403,1
219,Aug 03 2020 14: +0,1.311,1
220,Aug 03 2020 15: +0,1.562,1
221,Aug 04 2020 02: +0,1.41,1
222,Aug 04 2020 05: +0,1.43,1
223,Aug 04 2020 08: +0,1.573,1
224,Aug 04 2020 11: +0,1.571,1
225,Aug 04 2020 12: +0,1.574,1
226,Aug 04 2020 13: +0,1.638,1
227,Aug 04 2020 17: +0,1.571,1
228,Aug 04 2020 18: +0,1.626,1
229,Aug 04 2020 23: +0,1.476,1
230,Aug 05 2020 04: +0,1.58,1
231,Aug 05 2020 07: +0,1.61,1
232,Aug 05 2020 13: +0,1.082,1
233,Aug 05 2020 14: +0,1.529,1
234,Aug 05 2020 17: +0,1.45,1
235,Aug 05 2020 18: +0,1.502,2
236,Aug 05 2020 21: +0,1.087,3
237,Aug 06 2020 01: +0,1.375,2
238,Aug 06 2020 04: +0,1.56,1
239,Aug 06 2020 12: +0,1.363,1
240,Aug 06 2020 13: +0,1.364,1
241,Aug 06 2020 14: +0,1.379,1
242,Aug 06 2020 19: +0,1.42,1
243,Aug 06 2020 21: +0,1.113,2
244,Aug 06 2020 23: +0,1.533,1
245,Aug 07 2020 00: +0,1.553,1
246,Aug 07 2020 05: +0,1.54,1
247,Aug 07 2020 07: +0,1.545,1
248,Aug 07 2020 08: +0,1.072,1
249,Aug 07 2020 09: +0,1.495,1
250,Aug 07 2020 11: +0,1.541,2
251,Aug 07 2020 12: +0,1.554,1
252,Aug 07 2020 15: +0,1.076,2
253,Aug 07 2020 16: +0,1.328,1
254,Aug 07 2020 22: +0,1.293,1
255,Aug 07 2020 23: +0,1.293,1
256,Aug 08 2020 00: +0,1.463,1
257,Aug 08 2020 01: +0,1.46,1
258,Aug 08 2020 03: +0,1.048,2
259,Aug 08 2020 04: +0,1.46,1
260,Aug 08 2020 09: +0,1.472,1
261,Aug 08 2020 18: +0,1.152,1
262,Aug 08 2020 21: +0,1.43,1
263,Aug 08 2020 22: +0,1.434,1
264,Aug 08 2020 23: +0,1.42,1
265,Aug 09 2020 07: +0,1.24,1
266,Aug 09 2020 10: +0,1.24,1
267,Aug 09 2020 11: +0,1.247,1
268,Aug 09 2020 12: +0,1.258,1
269,Aug 09 2020 15: +0,1.27,1
270,Aug 09 2020 18: +0,1.03,3
271,Aug 09 2020 19: +0,1.234,1
272,Aug 09 2020 22: +0,1.2,1
273,Aug 09 2020 23: +0,1.24,1
274,Aug 10 2020 02: +0,1.265,1
275,Aug 10 2020 06: +0,1.27,1
276,Aug 10 2020 09: +0,1.274,3
277,Aug 10 2020 10: +0,1.278,1
278,Aug 10 2020 14: +0,1.27,1
279,Aug 10 2020 15: +0,1.278,1
280,Aug 10 2020 17: +0,1.277,2
281,Aug 10 2020 19: +0,1.28,1
282,Aug 10 2020 22: +0,1.167,1
283,Aug 10 2020 23: +0,1.136,1
