,time,price,volume
0,Jul 12 2019 01: +0,1.393,1
1,Jul 13 2019 01: +0,2.061,36
2,Jul 14 2019 01: +0,2.156,36
3,Jul 15 2019 01: +0,2.432,45
4,Jul 16 2019 01: +0,2.723,30
5,Jul 17 2019 01: +0,2.657,22
6,Jul 18 2019 01: +0,2.557,36
7,Jul 19 2019 01: +0,2.613,37
8,Jul 20 2019 01: +0,2.328,37
9,Jul 21 2019 01: +0,2.254,27
10,Jul 22 2019 01: +0,2.166,20
11,Jul 23 2019 01: +0,2.018,33
12,Jul 24 2019 01: +0,2.145,34
13,Jul 25 2019 01: +0,2.11,37
14,Jul 26 2019 01: +0,2.144,31
15,Jul 27 2019 01: +0,2.129,34
16,Jul 28 2019 01: +0,2.195,26
17,Jul 29 2019 01: +0,2.19,35
18,Jul 30 2019 01: +0,2.235,29
19,Jul 31 2019 01: +0,2.247,26
20,Aug 01 2019 01: +0,2.261,47
21,Aug 02 2019 01: +0,2.25,25
22,Aug 03 2019 01: +0,2.217,32
23,Aug 04 2019 01: +0,2.468,35
24,Aug 05 2019 01: +0,2.535,26
25,Aug 06 2019 01: +0,2.331,24
26,Aug 07 2019 01: +0,2.305,28
27,Aug 08 2019 01: +0,2.43,20
28,Aug 09 2019 01: +0,2.476,29
29,Aug 10 2019 01: +0,2.34,26
30,Aug 11 2019 01: +0,2.376,26
31,Aug 12 2019 01: +0,2.25,20
32,Aug 13 2019 01: +0,2.383,25
33,Aug 14 2019 01: +0,2.343,22
34,Aug 15 2019 01: +0,2.289,19
35,Aug 16 2019 01: +0,2.266,44
36,Aug 17 2019 01: +0,2.196,16
37,Aug 18 2019 01: +0,2.249,30
38,Aug 19 2019 01: +0,2.218,15
39,Aug 20 2019 01: +0,2.116,22
40,Aug 21 2019 01: +0,2.173,18
41,Aug 22 2019 01: +0,2.032,23
42,Aug 23 2019 01: +0,2.107,32
43,Aug 24 2019 01: +0,2.072,14
44,Aug 25 2019 01: +0,2.047,22
45,Aug 26 2019 01: +0,1.941,17
46,Aug 27 2019 01: +0,2.047,18
47,Aug 28 2019 01: +0,2.066,17
48,Aug 29 2019 01: +0,2.008,24
49,Aug 30 2019 01: +0,2.103,22
50,Aug 31 2019 01: +0,2.049,17
51,Sep 01 2019 01: +0,2.052,25
52,Sep 02 2019 01: +0,2.118,33
53,Sep 03 2019 01: +0,2.127,16
54,Sep 04 2019 01: +0,2.024,23
55,Sep 05 2019 01: +0,2.051,42
56,Sep 06 2019 01: +0,1.863,35
57,Sep 07 2019 01: +0,1.896,19
58,Sep 08 2019 01: +0,1.892,15
59,Sep 09 2019 01: +0,1.735,17
60,Sep 10 2019 01: +0,1.733,12
61,Sep 11 2019 01: +0,1.691,13
62,Sep 12 2019 01: +0,1.708,15
63,Sep 13 2019 01: +0,1.843,11
64,Sep 14 2019 01: +0,1.723,18
65,Sep 15 2019 01: +0,1.724,22
66,Sep 16 2019 01: +0,1.683,17
67,Sep 17 2019 01: +0,1.608,14
68,Sep 18 2019 01: +0,1.732,14
69,Sep 19 2019 01: +0,1.679,9
70,Sep 20 2019 01: +0,1.624,15
71,Sep 21 2019 01: +0,1.69,11
72,Sep 22 2019 01: +0,1.642,15
73,Sep 23 2019 01: +0,1.518,10
74,Sep 24 2019 01: +0,1.578,19
75,Sep 25 2019 01: +0,1.424,18
76,Sep 26 2019 01: +0,1.477,22
77,Sep 27 2019 01: +0,1.547,16
78,Sep 28 2019 01: +0,1.522,34
79,Sep 29 2019 01: +0,1.473,13
80,Sep 30 2019 01: +0,1.457,26
81,Oct 01 2019 01: +0,1.54,25
82,Oct 02 2019 01: +0,1.528,8
83,Oct 03 2019 01: +0,1.42,27
84,Oct 04 2019 01: +0,1.557,35
85,Oct 05 2019 01: +0,1.521,24
86,Oct 06 2019 01: +0,1.572,30
87,Oct 07 2019 01: +0,1.48,19
88,Oct 08 2019 01: +0,1.43,26
89,Oct 09 2019 01: +0,1.468,17
90,Oct 10 2019 01: +0,1.352,20
91,Oct 11 2019 01: +0,1.474,16
