,time,price,volume
0,Feb 13 2020 01: +0,1.99,4
1,Feb 14 2020 01: +0,2.076,30
2,Feb 15 2020 01: +0,2.396,26
3,Feb 16 2020 01: +0,2.138,20
4,Feb 17 2020 01: +0,2.251,19
5,Feb 18 2020 01: +0,2.184,13
6,Feb 19 2020 01: +0,2.076,14
7,Feb 20 2020 01: +0,1.932,20
8,Feb 21 2020 01: +0,2.01,17
9,Feb 22 2020 01: +0,1.864,36
10,Feb 23 2020 01: +0,2.015,19
11,Feb 24 2020 01: +0,1.818,7
12,Feb 25 2020 01: +0,2.058,12
13,Feb 26 2020 01: +0,1.964,19
14,Feb 27 2020 01: +0,1.848,15
15,Feb 28 2020 01: +0,1.878,21
16,Feb 29 2020 01: +0,1.903,22
17,Mar 01 2020 01: +0,2.053,26
18,Mar 02 2020 01: +0,1.986,18
19,Mar 03 2020 01: +0,1.838,22
20,Mar 04 2020 01: +0,1.93,16
21,Mar 05 2020 01: +0,1.852,37
22,Mar 06 2020 01: +0,1.87,19
23,Mar 07 2020 01: +0,1.799,19
24,Mar 08 2020 01: +0,1.943,16
25,Mar 09 2020 01: +0,1.916,17
26,Mar 10 2020 01: +0,1.954,12
27,Mar 11 2020 01: +0,1.819,10
28,Mar 12 2020 01: +0,1.833,18
29,Mar 13 2020 01: +0,1.9,17
30,Mar 14 2020 01: +0,1.872,19
31,Mar 15 2020 01: +0,1.839,24
32,Mar 16 2020 01: +0,1.806,13
33,Mar 17 2020 01: +0,1.737,11
34,Mar 18 2020 01: +0,1.806,23
35,Mar 19 2020 01: +0,1.777,13
36,Mar 20 2020 01: +0,1.76,25
37,Mar 21 2020 01: +0,1.834,19
38,Mar 22 2020 01: +0,1.867,13
39,Mar 23 2020 01: +0,1.699,12
40,Mar 24 2020 01: +0,1.788,16
41,Mar 25 2020 01: +0,1.574,14
42,Mar 26 2020 01: +0,1.679,20
43,Mar 27 2020 01: +0,1.754,24
44,Mar 28 2020 01: +0,1.667,16
45,Mar 29 2020 01: +0,1.789,18
46,Mar 30 2020 01: +0,1.668,18
47,Mar 31 2020 01: +0,1.642,12
48,Apr 01 2020 01: +0,1.649,21
49,Apr 02 2020 01: +0,1.849,43
50,Apr 03 2020 01: +0,1.92,26
51,Apr 04 2020 01: +0,1.97,17
52,Apr 05 2020 01: +0,1.961,21
53,Apr 06 2020 01: +0,1.907,16
54,Apr 07 2020 01: +0,1.877,15
55,Apr 08 2020 01: +0,1.822,16
56,Apr 09 2020 01: +0,1.95,17
57,Apr 10 2020 01: +0,2.006,24
58,Apr 11 2020 01: +0,2.05,24
59,Apr 12 2020 01: +0,2.005,18
60,Apr 13 2020 01: +0,1.791,14
61,Apr 14 2020 01: +0,1.909,13
