,time,price,volume
0,Feb 10 2017 01: +0,17.377,2
1,Feb 11 2017 01: +0,16.73,1
2,Feb 12 2017 01: +0,13.51,2
3,Feb 13 2017 01: +0,10.619,1
4,Feb 14 2017 01: +0,10.194,2
5,Feb 16 2017 01: +0,1.916,94
6,Feb 17 2017 01: +0,1.757,90
7,Feb 18 2017 01: +0,1.77,91
8,Feb 19 2017 01: +0,1.806,93
9,Feb 20 2017 01: +0,1.713,74
10,Feb 21 2017 01: +0,1.755,61
11,Feb 22 2017 01: +0,1.764,70
12,Feb 23 2017 01: +0,1.661,86
13,Feb 24 2017 01: +0,1.652,106
14,Feb 25 2017 01: +0,1.685,93
15,Feb 26 2017 01: +0,1.702,82
16,Feb 27 2017 01: +0,1.75,62
17,Feb 28 2017 01: +0,1.679,52
18,Mar 01 2017 01: +0,1.696,45
19,Mar 02 2017 01: +0,1.699,87
20,Mar 03 2017 01: +0,1.728,74
21,Mar 04 2017 01: +0,1.788,85
22,Mar 05 2017 01: +0,1.83,79
23,Mar 06 2017 01: +0,1.874,64
24,Mar 07 2017 01: +0,1.867,67
25,Mar 08 2017 01: +0,1.8,83
26,Mar 09 2017 01: +0,1.805,73
27,Mar 10 2017 01: +0,1.817,76
28,Mar 11 2017 01: +0,1.886,75
29,Mar 12 2017 01: +0,1.895,64
30,Mar 13 2017 01: +0,1.928,43
31,Mar 14 2017 01: +0,2.004,48
32,Mar 15 2017 01: +0,2.02,49
33,Mar 16 2017 01: +0,1.766,64
34,Mar 17 2017 01: +0,1.931,52
35,Mar 18 2017 01: +0,2.0,63
36,Mar 19 2017 01: +0,1.969,55
37,Mar 20 2017 01: +0,1.931,48
38,Mar 21 2017 01: +0,2.009,33
39,Mar 22 2017 01: +0,1.986,49
40,Mar 23 2017 01: +0,2.051,33
41,Mar 24 2017 01: +0,2.308,21
42,Mar 25 2017 01: +0,2.818,25
43,Mar 26 2017 01: +0,3.921,9
44,Mar 27 2017 01: +0,4.467,5
45,Mar 28 2017 01: +0,4.902,4
46,Mar 29 2017 01: +0,8.905,4
47,Mar 30 2017 01: +0,8.12,3
48,Mar 31 2017 01: +0,9.431,2
49,Apr 01 2017 01: +0,2.175,2
50,Apr 02 2017 01: +0,2.024,3
51,Apr 03 2017 01: +0,2.599,1
52,Apr 04 2017 01: +0,1.598,1
53,Apr 06 2017 01: +0,1.805,19
54,Apr 07 2017 01: +0,1.421,67
55,Apr 08 2017 01: +0,1.427,68
56,Apr 09 2017 01: +0,1.542,47
57,Apr 10 2017 01: +0,1.487,52
58,Apr 11 2017 01: +0,1.598,31
59,Apr 12 2017 01: +0,1.642,30
60,Apr 13 2017 01: +0,1.455,50
61,Apr 14 2017 01: +0,1.448,54
62,Apr 15 2017 01: +0,1.641,43
63,Apr 16 2017 01: +0,1.722,49
64,Apr 17 2017 01: +0,1.751,46
65,Apr 18 2017 01: +0,1.771,37
66,Apr 19 2017 01: +0,1.589,35
67,Apr 20 2017 01: +0,1.604,45
68,Apr 21 2017 01: +0,1.557,37
69,Apr 22 2017 01: +0,1.583,42
70,Apr 23 2017 01: +0,1.518,49
71,Apr 24 2017 01: +0,1.631,33
72,Apr 25 2017 01: +0,1.54,30
73,Apr 26 2017 01: +0,1.632,25
74,Apr 27 2017 01: +0,1.497,33
75,Apr 28 2017 01: +0,1.445,38
76,Apr 29 2017 01: +0,1.487,41
77,Apr 30 2017 01: +0,1.479,44
78,May 01 2017 01: +0,1.54,39
79,May 02 2017 01: +0,1.55,25
80,May 03 2017 01: +0,1.434,20
81,May 04 2017 01: +0,1.521,21
82,May 05 2017 01: +0,1.479,41
83,May 06 2017 01: +0,1.577,38
84,May 07 2017 01: +0,1.598,38
85,May 08 2017 01: +0,1.473,22
86,May 09 2017 01: +0,1.441,31
87,May 10 2017 01: +0,1.534,29
88,May 11 2017 01: +0,1.518,28
89,May 12 2017 01: +0,1.474,44
90,May 13 2017 01: +0,1.546,35
91,May 14 2017 01: +0,1.468,29
92,May 15 2017 01: +0,1.484,33
93,May 16 2017 01: +0,1.493,22
94,May 17 2017 01: +0,1.528,29
95,May 18 2017 01: +0,1.611,24
96,May 19 2017 01: +0,1.638,36
97,May 20 2017 01: +0,1.606,35
98,May 21 2017 01: +0,1.525,30
99,May 22 2017 01: +0,1.603,35
100,May 23 2017 01: +0,1.556,22
101,May 24 2017 01: +0,1.447,42
102,May 25 2017 01: +0,1.551,33
103,May 26 2017 01: +0,1.555,37
104,May 27 2017 01: +0,1.577,48
105,May 28 2017 01: +0,1.536,47
106,May 29 2017 01: +0,1.602,30
107,May 30 2017 01: +0,1.61,24
108,May 31 2017 01: +0,1.629,31
109,Jun 01 2017 01: +0,1.691,21
110,Jun 02 2017 01: +0,1.529,31
111,Jun 03 2017 01: +0,1.558,34
112,Jun 04 2017 01: +0,1.672,40
113,Jun 05 2017 01: +0,1.679,34
114,Jun 06 2017 01: +0,1.679,26
115,Jun 07 2017 01: +0,1.661,35
116,Jun 08 2017 01: +0,1.684,40
117,Jun 09 2017 01: +0,1.564,43
118,Jun 10 2017 01: +0,1.489,35
119,Jun 11 2017 01: +0,1.575,28
120,Jun 12 2017 01: +0,1.557,24
121,Jun 13 2017 01: +0,1.444,26
122,Jun 14 2017 01: +0,1.454,43
123,Jun 15 2017 01: +0,1.581,40
124,Jun 16 2017 01: +0,1.489,32
125,Jun 17 2017 01: +0,1.479,32
126,Jun 18 2017 01: +0,1.386,35
127,Jun 19 2017 01: +0,1.405,26
128,Jun 20 2017 01: +0,1.429,31
129,Jun 21 2017 01: +0,1.414,26
130,Jun 22 2017 01: +0,1.306,20
131,Jun 23 2017 01: +0,1.195,30
132,Jun 24 2017 01: +0,1.253,44
133,Jun 25 2017 01: +0,1.208,37
134,Jun 26 2017 01: +0,1.264,36
135,Jun 27 2017 01: +0,1.299,30
136,Jun 28 2017 01: +0,1.348,26
137,Jun 29 2017 01: +0,1.327,39
138,Jun 30 2017 01: +0,1.434,31
139,Jul 01 2017 01: +0,1.448,31
140,Jul 02 2017 01: +0,1.321,32
141,Jul 03 2017 01: +0,1.428,36
142,Jul 04 2017 01: +0,1.388,32
143,Jul 05 2017 01: +0,1.289,25
144,Jul 06 2017 01: +0,1.312,39
145,Jul 07 2017 01: +0,1.311,32
146,Jul 08 2017 01: +0,1.336,36
147,Jul 09 2017 01: +0,1.4,31
148,Jul 10 2017 01: +0,1.298,26
149,Jul 11 2017 01: +0,1.368,25
150,Jul 12 2017 01: +0,1.401,31
151,Jul 13 2017 01: +0,1.456,28
152,Jul 14 2017 01: +0,1.477,27
153,Jul 15 2017 01: +0,1.369,34
154,Jul 16 2017 01: +0,1.497,32
155,Jul 17 2017 01: +0,1.453,30
156,Jul 18 2017 01: +0,1.467,26
157,Jul 19 2017 01: +0,1.497,21
158,Jul 20 2017 01: +0,1.405,30
159,Jul 21 2017 01: +0,1.422,25
160,Jul 22 2017 01: +0,1.524,18
161,Jul 23 2017 01: +0,1.417,29
162,Jul 24 2017 01: +0,1.444,25
163,Jul 25 2017 01: +0,1.476,28
164,Jul 26 2017 01: +0,1.505,30
165,Jul 27 2017 01: +0,1.367,23
166,Jul 28 2017 01: +0,1.373,22
167,Jul 29 2017 01: +0,1.4,19
168,Jul 30 2017 01: +0,1.355,26
169,Jul 31 2017 01: +0,1.505,18
170,Aug 01 2017 01: +0,1.461,11
171,Aug 02 2017 01: +0,1.411,23
172,Aug 03 2017 01: +0,1.373,22
173,Aug 04 2017 01: +0,1.35,26
174,Aug 05 2017 01: +0,1.33,22
175,Aug 06 2017 01: +0,1.348,30
176,Aug 07 2017 01: +0,1.429,31
177,Aug 08 2017 01: +0,1.463,30
178,Aug 09 2017 01: +0,1.411,17
179,Aug 10 2017 01: +0,1.443,22
180,Aug 11 2017 01: +0,1.316,20
181,Aug 12 2017 01: +0,1.322,28
182,Aug 13 2017 01: +0,1.406,34
183,Aug 14 2017 01: +0,1.417,26
184,Aug 15 2017 01: +0,1.481,23
185,Aug 16 2017 01: +0,1.447,19
186,Aug 17 2017 01: +0,1.406,36
187,Aug 18 2017 01: +0,1.28,29
188,Aug 19 2017 01: +0,1.369,33
189,Aug 20 2017 01: +0,1.411,29
190,Aug 21 2017 01: +0,1.383,17
191,Aug 22 2017 01: +0,1.328,22
192,Aug 23 2017 01: +0,1.255,23
193,Aug 24 2017 01: +0,1.323,25
194,Aug 25 2017 01: +0,1.256,16
195,Aug 26 2017 01: +0,1.276,30
196,Aug 27 2017 01: +0,1.298,22
197,Aug 28 2017 01: +0,1.299,23
198,Aug 29 2017 01: +0,1.304,18
199,Aug 30 2017 01: +0,1.173,17
200,Aug 31 2017 01: +0,1.195,15
201,Sep 01 2017 01: +0,1.244,26
202,Sep 02 2017 01: +0,1.175,21
203,Sep 03 2017 01: +0,1.202,21
204,Sep 04 2017 01: +0,1.237,21
205,Sep 05 2017 01: +0,1.152,9
206,Sep 06 2017 01: +0,1.209,23
207,Sep 07 2017 01: +0,1.173,20
208,Sep 08 2017 01: +0,1.217,12
209,Sep 09 2017 01: +0,1.168,17
210,Sep 10 2017 01: +0,1.093,25
211,Sep 11 2017 01: +0,1.062,18
212,Sep 12 2017 01: +0,1.062,18
213,Sep 13 2017 01: +0,1.138,23
214,Sep 14 2017 01: +0,1.153,15
215,Sep 15 2017 01: +0,1.249,27
