,time,price,volume
0,Dec 01 2016 01: +0,89.65,1
1,Dec 02 2016 01: +0,5.75,1
2,Dec 03 2016 01: +0,52.465,2
3,Dec 04 2016 01: +0,16.847,1
4,Dec 05 2016 01: +0,29.79,1
5,Dec 08 2016 01: +0,6.148,40
6,Dec 09 2016 01: +0,6.19,36
7,Dec 10 2016 01: +0,5.803,44
8,Dec 11 2016 01: +0,5.588,43
9,Dec 12 2016 01: +0,5.691,39
10,Dec 13 2016 01: +0,5.256,27
11,Dec 14 2016 01: +0,5.148,22
12,Dec 15 2016 01: +0,5.348,24
13,Dec 16 2016 01: +0,5.516,32
14,Dec 17 2016 01: +0,5.288,30
15,Dec 18 2016 01: +0,5.295,34
16,Dec 19 2016 01: +0,5.21,23
17,Dec 20 2016 01: +0,5.523,27
18,Dec 21 2016 01: +0,5.681,24
19,Dec 22 2016 01: +0,5.565,35
20,Dec 23 2016 01: +0,4.604,32
21,Dec 24 2016 01: +0,5.668,39
22,Dec 25 2016 01: +0,6.522,38
23,Dec 26 2016 01: +0,5.717,28
24,Dec 27 2016 01: +0,5.631,36
25,Dec 28 2016 01: +0,5.284,30
26,Dec 29 2016 01: +0,5.381,21
27,Dec 30 2016 01: +0,5.139,29
28,Dec 31 2016 01: +0,5.199,24
29,Jan 01 2017 01: +0,5.106,27
30,Jan 02 2017 01: +0,5.095,35
31,Jan 03 2017 01: +0,5.13,33
32,Jan 04 2017 01: +0,5.333,23
33,Jan 05 2017 01: +0,5.043,28
34,Jan 06 2017 01: +0,5.496,34
35,Jan 07 2017 01: +0,5.117,29
36,Jan 08 2017 01: +0,5.453,15
37,Jan 09 2017 01: +0,5.063,25
38,Jan 10 2017 01: +0,5.239,28
39,Jan 11 2017 01: +0,5.213,16
40,Jan 12 2017 01: +0,5.014,42
41,Jan 13 2017 01: +0,5.25,37
42,Jan 14 2017 01: +0,5.506,42
43,Jan 15 2017 01: +0,5.798,41
44,Jan 16 2017 01: +0,5.443,31
45,Jan 17 2017 01: +0,5.335,30
46,Jan 18 2017 01: +0,6.156,45
47,Jan 19 2017 01: +0,6.674,46
48,Jan 20 2017 01: +0,6.938,28
49,Jan 21 2017 01: +0,6.373,30
50,Jan 22 2017 01: +0,6.044,31
51,Jan 23 2017 01: +0,5.973,24
52,Jan 24 2017 01: +0,5.764,29
53,Jan 25 2017 01: +0,5.649,8
54,Jan 26 2017 01: +0,5.508,24
55,Jan 27 2017 01: +0,5.838,29
56,Jan 28 2017 01: +0,6.727,40
57,Jan 29 2017 01: +0,6.548,35
58,Jan 30 2017 01: +0,6.925,24
59,Jan 31 2017 01: +0,5.77,30
60,Feb 01 2017 01: +0,5.933,36
61,Feb 02 2017 01: +0,6.149,34
62,Feb 03 2017 01: +0,6.239,19
63,Feb 04 2017 01: +0,6.739,25
64,Feb 05 2017 01: +0,6.003,27
65,Feb 06 2017 01: +0,6.867,18
66,Feb 07 2017 01: +0,6.282,22
67,Feb 08 2017 01: +0,6.436,25
68,Feb 09 2017 01: +0,6.512,20
69,Feb 10 2017 01: +0,6.549,25
70,Feb 11 2017 01: +0,6.382,38
71,Feb 12 2017 01: +0,6.584,31
72,Feb 13 2017 01: +0,6.704,26
73,Feb 14 2017 01: +0,6.296,21
74,Feb 15 2017 01: +0,6.267,24
75,Feb 16 2017 01: +0,6.049,24
76,Feb 17 2017 01: +0,6.807,31
77,Feb 18 2017 01: +0,6.581,32
78,Feb 19 2017 01: +0,6.864,34
79,Feb 20 2017 01: +0,7.337,20
80,Feb 21 2017 01: +0,7.383,14
81,Feb 22 2017 01: +0,6.533,23
82,Feb 23 2017 01: +0,6.446,19
83,Feb 24 2017 01: +0,6.483,20
84,Feb 25 2017 01: +0,6.593,29
85,Feb 26 2017 01: +0,6.54,28
86,Feb 27 2017 01: +0,7.012,23
87,Feb 28 2017 01: +0,7.271,17
88,Mar 01 2017 01: +0,7.432,28
89,Mar 02 2017 01: +0,7.842,30
90,Mar 03 2017 01: +0,7.732,19
91,Mar 04 2017 01: +0,7.732,25
92,Mar 05 2017 01: +0,6.877,28
93,Mar 06 2017 01: +0,7.789,16
94,Mar 07 2017 01: +0,9.542,26
95,Mar 08 2017 01: +0,8.757,16
96,Mar 09 2017 01: +0,8.831,26
97,Mar 10 2017 01: +0,8.79,15
