,time,price,volume
0,Apr 12 2018 01: +0,2.455,2
1,Apr 13 2018 01: +0,1.796,17
2,Apr 14 2018 01: +0,1.794,22
3,Apr 15 2018 01: +0,1.841,14
4,Apr 16 2018 01: +0,1.704,20
5,Apr 17 2018 01: +0,1.697,13
6,Apr 18 2018 01: +0,1.43,11
7,Apr 19 2018 01: +0,1.588,21
8,Apr 20 2018 01: +0,1.393,26
9,Apr 21 2018 01: +0,1.598,22
10,Apr 22 2018 01: +0,1.448,21
11,Apr 23 2018 01: +0,1.465,18
12,Apr 24 2018 01: +0,1.453,15
13,Apr 25 2018 01: +0,1.494,13
14,Apr 26 2018 01: +0,1.489,15
15,Apr 27 2018 01: +0,1.261,7
16,Apr 28 2018 01: +0,1.424,24
17,Apr 29 2018 01: +0,1.499,10
18,Apr 30 2018 01: +0,1.401,14
19,May 01 2018 01: +0,1.45,18
20,May 02 2018 01: +0,1.383,9
21,May 03 2018 01: +0,1.497,19
22,May 04 2018 01: +0,1.437,18
23,May 05 2018 01: +0,1.522,15
24,May 06 2018 01: +0,1.636,13
25,May 07 2018 01: +0,1.515,12
26,May 08 2018 01: +0,1.423,8
27,May 09 2018 01: +0,1.328,13
28,May 10 2018 01: +0,1.331,15
29,May 11 2018 01: +0,1.459,17
30,May 12 2018 01: +0,1.436,14
31,May 13 2018 01: +0,1.483,15
32,May 14 2018 01: +0,1.481,21
33,May 15 2018 01: +0,1.794,19
34,May 16 2018 01: +0,1.998,14
35,May 17 2018 01: +0,1.933,8
36,May 18 2018 01: +0,1.783,12
37,May 19 2018 01: +0,1.819,12
38,May 20 2018 01: +0,1.777,9
39,May 21 2018 01: +0,1.52,12
40,May 22 2018 01: +0,1.466,7
41,May 23 2018 01: +0,1.411,5
42,May 24 2018 01: +0,1.558,9
43,May 25 2018 01: +0,1.505,21
44,May 26 2018 01: +0,1.598,10
45,May 27 2018 01: +0,1.626,7
46,May 28 2018 01: +0,1.688,14
47,May 29 2018 01: +0,1.84,10
48,May 30 2018 01: +0,1.995,6
49,May 31 2018 01: +0,1.632,10
50,Jun 01 2018 01: +0,1.845,16
51,Jun 02 2018 01: +0,1.785,9
52,Jun 03 2018 01: +0,1.777,13
53,Jun 04 2018 01: +0,1.635,8
54,Jun 05 2018 01: +0,1.705,11
55,Jun 06 2018 01: +0,1.622,5
56,Jun 07 2018 01: +0,1.719,11
57,Jun 08 2018 01: +0,1.673,9
58,Jun 09 2018 01: +0,1.703,9
59,Jun 10 2018 01: +0,1.834,10
60,Jun 11 2018 01: +0,1.595,12
61,Jun 12 2018 01: +0,1.709,13
62,Jun 13 2018 01: +0,1.698,8
63,Jun 14 2018 01: +0,1.659,9
64,Jun 15 2018 01: +0,1.716,9
65,Jun 16 2018 01: +0,1.757,11
66,Jun 17 2018 01: +0,1.916,21
67,Jun 18 2018 01: +0,1.858,10
68,Jun 19 2018 01: +0,1.956,9
69,Jun 20 2018 01: +0,2.018,7
70,Jun 21 2018 01: +0,1.779,12
71,Jun 22 2018 01: +0,1.821,12
72,Jun 23 2018 01: +0,1.541,8
73,Jun 24 2018 01: +0,1.535,19
74,Jun 25 2018 01: +0,1.435,7
75,Jun 26 2018 01: +0,1.443,14
76,Jun 27 2018 01: +0,1.789,14
77,Jun 28 2018 01: +0,1.816,17
78,Jun 29 2018 01: +0,1.489,11
79,Jun 30 2018 01: +0,1.816,19
80,Jul 01 2018 01: +0,1.968,6
81,Jul 02 2018 01: +0,1.765,9
82,Jul 03 2018 01: +0,1.741,14
83,Jul 04 2018 01: +0,1.841,13
84,Jul 05 2018 01: +0,1.585,10
85,Jul 06 2018 01: +0,1.811,13
86,Jul 07 2018 01: +0,1.791,8
87,Jul 08 2018 01: +0,1.682,16
88,Jul 09 2018 01: +0,1.657,19
89,Jul 10 2018 01: +0,1.751,10
90,Jul 11 2018 01: +0,1.877,17
91,Jul 12 2018 01: +0,1.999,17
92,Jul 13 2018 01: +0,1.895,14
93,Jul 14 2018 01: +0,1.891,12
94,Jul 15 2018 01: +0,2.213,19
95,Jul 16 2018 01: +0,2.273,11
96,Jul 17 2018 01: +0,1.999,11
97,Jul 18 2018 01: +0,1.926,10
98,Jul 19 2018 01: +0,2.135,14
99,Jul 20 2018 01: +0,2.022,12
100,Jul 21 2018 01: +0,2.014,13
101,Jul 22 2018 01: +0,2.101,14
102,Jul 23 2018 01: +0,2.102,14
103,Jul 24 2018 01: +0,2.017,10
104,Jul 25 2018 01: +0,2.092,17
105,Jul 26 2018 01: +0,2.064,14
106,Jul 27 2018 01: +0,2.228,11
107,Jul 28 2018 01: +0,2.102,12
108,Jul 29 2018 01: +0,2.293,11
109,Jul 30 2018 01: +0,2.283,14
110,Jul 31 2018 01: +0,2.192,8
111,Aug 01 2018 01: +0,2.35,10
112,Aug 02 2018 01: +0,2.345,5
113,Aug 03 2018 01: +0,2.41,7
114,Aug 04 2018 01: +0,2.091,7
115,Aug 05 2018 01: +0,2.236,7
116,Aug 06 2018 01: +0,2.087,6
117,Aug 07 2018 01: +0,2.074,8
118,Aug 08 2018 01: +0,2.123,9
119,Aug 09 2018 01: +0,2.325,11
120,Aug 10 2018 01: +0,2.051,7
121,Aug 11 2018 01: +0,2.136,19
122,Aug 12 2018 01: +0,2.001,6
123,Aug 13 2018 01: +0,2.372,5
124,Aug 14 2018 01: +0,2.312,11
125,Aug 15 2018 01: +0,2.107,5
126,Aug 16 2018 01: +0,2.361,14
127,Aug 17 2018 01: +0,2.39,5
128,Aug 18 2018 01: +0,1.941,10
129,Aug 19 2018 01: +0,2.244,8
130,Aug 20 2018 01: +0,2.188,8
131,Aug 21 2018 01: +0,2.049,7
132,Aug 22 2018 01: +0,1.915,6
133,Aug 23 2018 01: +0,2.02,5
134,Aug 24 2018 01: +0,1.95,9
135,Aug 25 2018 01: +0,1.899,4
136,Aug 26 2018 01: +0,1.957,8
137,Aug 27 2018 01: +0,1.743,8
138,Aug 28 2018 01: +0,1.897,10
139,Aug 29 2018 01: +0,1.504,6
140,Aug 30 2018 01: +0,1.684,9
141,Aug 31 2018 01: +0,1.731,10
142,Sep 01 2018 01: +0,1.864,4
143,Sep 02 2018 01: +0,1.546,6
144,Sep 03 2018 01: +0,1.5,6
145,Sep 04 2018 01: +0,1.822,4
146,Sep 05 2018 01: +0,1.738,4
147,Sep 06 2018 01: +0,1.562,5
148,Sep 07 2018 01: +0,1.58,8
149,Sep 08 2018 01: +0,1.701,8
150,Sep 09 2018 01: +0,1.79,4
151,Sep 10 2018 01: +0,1.732,5
152,Sep 11 2018 01: +0,1.694,7
153,Sep 12 2018 01: +0,1.531,6
154,Sep 13 2018 01: +0,1.587,10
155,Sep 14 2018 01: +0,1.566,9
156,Sep 15 2018 01: +0,1.563,7
157,Sep 16 2018 01: +0,1.551,9
158,Sep 17 2018 01: +0,1.589,7
159,Sep 18 2018 01: +0,1.475,9
160,Sep 19 2018 01: +0,1.52,1
161,Sep 20 2018 01: +0,1.468,7
162,Sep 21 2018 01: +0,1.558,12
163,Sep 22 2018 01: +0,1.692,13
164,Sep 23 2018 01: +0,1.649,12
165,Sep 24 2018 01: +0,1.678,8
166,Sep 25 2018 01: +0,1.593,9
167,Sep 26 2018 01: +0,1.664,4
168,Sep 27 2018 01: +0,1.839,7
169,Sep 28 2018 01: +0,1.809,8
170,Sep 29 2018 01: +0,1.862,14
171,Sep 30 2018 01: +0,1.641,3
172,Oct 01 2018 01: +0,1.853,4
173,Oct 02 2018 01: +0,1.704,7
174,Oct 03 2018 01: +0,1.692,8
175,Oct 04 2018 01: +0,1.985,5
176,Oct 05 2018 01: +0,1.779,7
177,Oct 06 2018 01: +0,1.876,6
178,Oct 07 2018 01: +0,1.802,15
179,Oct 08 2018 01: +0,1.96,5
180,Oct 09 2018 01: +0,1.851,5
181,Oct 10 2018 01: +0,1.76,5
182,Oct 11 2018 01: +0,1.724,11
183,Oct 12 2018 01: +0,1.871,8
184,Oct 13 2018 01: +0,1.781,12
185,Oct 14 2018 01: +0,1.899,2
186,Oct 15 2018 01: +0,1.77,7
187,Oct 16 2018 01: +0,1.942,9
188,Oct 17 2018 01: +0,1.977,7
189,Oct 18 2018 01: +0,1.91,9
190,Oct 19 2018 01: +0,1.781,6
191,Oct 20 2018 01: +0,1.851,10
192,Oct 21 2018 01: +0,1.606,9
193,Oct 22 2018 01: +0,1.545,11
194,Oct 23 2018 01: +0,1.747,3
195,Oct 24 2018 01: +0,1.775,6
196,Oct 25 2018 01: +0,1.818,4
197,Oct 26 2018 01: +0,1.94,10
198,Oct 27 2018 01: +0,1.968,7
199,Oct 28 2018 01: +0,1.468,4
200,Oct 29 2018 01: +0,1.4,10
201,Oct 30 2018 01: +0,1.513,4
202,Oct 31 2018 01: +0,1.602,3
203,Nov 01 2018 01: +0,1.749,11
204,Nov 02 2018 01: +0,1.743,11
205,Nov 03 2018 01: +0,1.781,11
206,Nov 04 2018 01: +0,1.788,4
207,Nov 05 2018 01: +0,1.918,5
208,Nov 07 2018 01: +0,1.764,4
209,Nov 08 2018 01: +0,1.789,5
210,Nov 09 2018 01: +0,1.835,8
211,Nov 10 2018 01: +0,1.883,6
212,Nov 11 2018 01: +0,2.006,8
213,Nov 12 2018 01: +0,1.962,3
214,Nov 13 2018 01: +0,1.939,7
215,Nov 14 2018 01: +0,1.984,7
216,Nov 15 2018 01: +0,2.071,2
217,Nov 16 2018 01: +0,2.027,10
218,Nov 17 2018 01: +0,2.014,13
219,Nov 18 2018 01: +0,2.103,6
220,Nov 19 2018 01: +0,2.035,6
221,Nov 20 2018 01: +0,2.116,4
222,Nov 21 2018 01: +0,1.979,10
223,Nov 22 2018 01: +0,2.132,5
224,Nov 23 2018 01: +0,2.063,5
225,Nov 24 2018 01: +0,2.067,10
226,Nov 25 2018 01: +0,2.169,7
227,Nov 26 2018 01: +0,2.139,6
228,Nov 27 2018 01: +0,1.93,6
229,Nov 28 2018 01: +0,2.207,5
230,Nov 29 2018 01: +0,1.926,5
231,Nov 30 2018 01: +0,2.05,7
232,Dec 01 2018 01: +0,2.233,12
233,Dec 02 2018 01: +0,2.268,7
234,Dec 03 2018 01: +0,2.408,9
235,Dec 04 2018 01: +0,2.209,6
236,Dec 05 2018 01: +0,2.598,4
237,Dec 06 2018 01: +0,2.32,8
238,Dec 07 2018 01: +0,2.327,9
239,Dec 08 2018 01: +0,2.403,7
240,Dec 09 2018 01: +0,2.455,8
241,Dec 10 2018 01: +0,2.5,6
242,Dec 11 2018 01: +0,2.506,9
243,Dec 12 2018 01: +0,2.531,5
244,Dec 13 2018 01: +0,2.641,10
245,Dec 15 2018 01: +0,2.052,8
246,Dec 16 2018 01: +0,2.372,9
247,Dec 17 2018 01: +0,2.374,6
248,Dec 18 2018 01: +0,2.393,3
249,Dec 19 2018 01: +0,2.338,6
250,Dec 20 2018 01: +0,2.624,12
251,Dec 21 2018 01: +0,2.2,7
252,Dec 22 2018 01: +0,1.667,4
253,Dec 23 2018 01: +0,2.06,7
254,Dec 24 2018 01: +0,2.035,6
255,Dec 25 2018 01: +0,2.309,15
256,Dec 26 2018 01: +0,2.449,8
257,Dec 27 2018 01: +0,2.383,10
258,Dec 28 2018 01: +0,2.362,16
259,Dec 29 2018 01: +0,2.608,12
260,Dec 30 2018 01: +0,2.39,10
261,Dec 31 2018 01: +0,2.654,14
262,Jan 01 2019 01: +0,2.694,10
263,Jan 02 2019 01: +0,2.817,8
264,Jan 03 2019 01: +0,2.823,4
265,Jan 04 2019 01: +0,2.623,13
266,Jan 05 2019 01: +0,2.653,7
267,Jan 06 2019 01: +0,2.695,8
268,Jan 07 2019 01: +0,2.811,12
269,Jan 08 2019 01: +0,2.635,7
270,Jan 09 2019 01: +0,2.682,6
271,Jan 10 2019 01: +0,2.719,11
272,Jan 11 2019 01: +0,2.786,9
273,Jan 12 2019 01: +0,2.709,12
274,Jan 13 2019 01: +0,3.015,15
275,Jan 14 2019 01: +0,3.254,10
276,Jan 15 2019 01: +0,4.187,6
277,Jan 16 2019 01: +0,3.854,4
278,Jan 17 2019 01: +0,3.788,9
279,Jan 18 2019 01: +0,3.316,6
280,Jan 19 2019 01: +0,2.882,9
281,Jan 20 2019 01: +0,2.764,8
282,Jan 21 2019 01: +0,3.027,8
283,Jan 22 2019 01: +0,3.422,9
284,Jan 23 2019 01: +0,3.315,11
285,Jan 24 2019 01: +0,3.212,11
286,Jan 25 2019 01: +0,3.4,8
287,Jan 26 2019 01: +0,3.391,5
288,Jan 27 2019 01: +0,3.346,5
289,Jan 28 2019 01: +0,3.773,6
290,Jan 29 2019 01: +0,3.978,6
291,Jan 30 2019 01: +0,3.329,12
292,Jan 31 2019 01: +0,3.376,8
293,Feb 01 2019 01: +0,3.101,6
294,Feb 02 2019 01: +0,3.039,7
295,Feb 03 2019 01: +0,3.114,9
296,Feb 04 2019 01: +0,3.571,7
297,Feb 05 2019 01: +0,3.725,9
298,Feb 06 2019 01: +0,3.848,3
299,Feb 07 2019 01: +0,3.3,12
300,Feb 08 2019 01: +0,3.677,5
301,Feb 09 2019 01: +0,3.171,7
302,Feb 10 2019 01: +0,3.233,4
303,Feb 11 2019 01: +0,3.011,5
304,Feb 12 2019 01: +0,3.359,4
305,Feb 13 2019 01: +0,3.47,5
306,Feb 14 2019 01: +0,3.6,7
307,Feb 15 2019 01: +0,3.612,4
308,Feb 16 2019 01: +0,3.611,8
309,Feb 17 2019 01: +0,3.204,2
310,Feb 18 2019 01: +0,3.086,9
311,Feb 19 2019 01: +0,3.652,5
312,Feb 20 2019 01: +0,3.784,4
313,Feb 21 2019 01: +0,3.854,8
