,time,price,volume
0,Nov 28 2019 01: +0,12.56,1
1,Nov 29 2019 01: +0,2.35,47
2,Nov 30 2019 01: +0,2.384,41
3,Dec 01 2019 01: +0,2.997,47
4,Dec 02 2019 01: +0,3.045,26
5,Dec 03 2019 01: +0,2.734,28
6,Dec 04 2019 01: +0,2.684,31
7,Dec 05 2019 01: +0,2.327,39
8,Dec 06 2019 01: +0,2.321,41
9,Dec 07 2019 01: +0,2.873,25
10,Dec 08 2019 01: +0,2.995,24
11,Dec 09 2019 01: +0,2.792,24
12,Dec 10 2019 01: +0,2.979,21
13,Dec 11 2019 01: +0,2.607,19
14,Dec 12 2019 01: +0,2.442,26
15,Dec 13 2019 01: +0,2.008,44
16,Dec 14 2019 01: +0,1.933,31
17,Dec 15 2019 01: +0,2.036,31
18,Dec 16 2019 01: +0,2.381,31
19,Dec 17 2019 01: +0,2.627,24
20,Dec 18 2019 01: +0,2.29,32
21,Dec 19 2019 01: +0,2.561,26
22,Dec 20 2019 01: +0,2.432,26
23,Dec 21 2019 01: +0,2.351,32
24,Dec 22 2019 01: +0,2.243,32
25,Dec 23 2019 01: +0,2.425,28
26,Dec 24 2019 01: +0,2.48,39
27,Dec 25 2019 01: +0,2.69,105
28,Dec 26 2019 01: +0,4.306,54
29,Dec 27 2019 01: +0,4.069,42
30,Dec 28 2019 01: +0,3.307,50
31,Dec 29 2019 01: +0,4.154,34
32,Dec 30 2019 01: +0,4.197,40
33,Dec 31 2019 01: +0,4.22,31
34,Jan 01 2020 01: +0,3.876,17
35,Jan 02 2020 01: +0,3.845,34
36,Jan 03 2020 01: +0,3.876,43
37,Jan 04 2020 01: +0,3.741,21
38,Jan 05 2020 01: +0,3.493,27
39,Jan 06 2020 01: +0,3.652,29
40,Jan 07 2020 01: +0,3.657,20
41,Jan 08 2020 01: +0,3.008,23
42,Jan 09 2020 01: +0,3.75,32
43,Jan 10 2020 01: +0,3.447,23
44,Jan 11 2020 01: +0,3.615,41
45,Jan 12 2020 01: +0,4.222,28
46,Jan 13 2020 01: +0,3.88,19
47,Jan 14 2020 01: +0,3.544,16
48,Jan 15 2020 01: +0,3.625,23
49,Jan 16 2020 01: +0,3.48,12
50,Jan 17 2020 01: +0,3.263,17
51,Jan 18 2020 01: +0,3.176,23
52,Jan 19 2020 01: +0,3.191,26
53,Jan 20 2020 01: +0,3.344,22
54,Jan 21 2020 01: +0,3.562,12
55,Jan 22 2020 01: +0,3.513,20
56,Jan 23 2020 01: +0,3.325,31
57,Jan 24 2020 01: +0,3.412,22
58,Jan 25 2020 01: +0,3.426,35
59,Jan 26 2020 01: +0,3.664,27
60,Jan 27 2020 01: +0,3.68,31
61,Jan 28 2020 01: +0,3.655,15
62,Jan 29 2020 01: +0,3.475,14
63,Jan 30 2020 01: +0,3.535,11
64,Jan 31 2020 01: +0,3.352,21
65,Feb 01 2020 01: +0,3.476,29
66,Feb 02 2020 01: +0,3.54,32
67,Feb 03 2020 01: +0,3.586,24
68,Feb 04 2020 01: +0,3.474,17
69,Feb 05 2020 01: +0,3.645,17
70,Feb 06 2020 01: +0,3.596,17
71,Feb 07 2020 01: +0,3.274,22
72,Feb 08 2020 01: +0,3.626,20
73,Feb 09 2020 01: +0,3.719,19
74,Feb 10 2020 01: +0,3.57,12
75,Feb 11 2020 01: +0,3.237,18
76,Feb 12 2020 01: +0,3.632,11
77,Feb 13 2020 01: +0,3.369,19
78,Feb 14 2020 01: +0,3.325,21
79,Feb 15 2020 01: +0,3.281,29
80,Feb 16 2020 01: +0,3.039,28
81,Feb 17 2020 01: +0,3.263,25
82,Feb 18 2020 01: +0,3.031,15
83,Feb 19 2020 01: +0,3.188,19
84,Feb 20 2020 01: +0,3.417,14
85,Feb 21 2020 01: +0,3.368,20
86,Feb 22 2020 01: +0,3.188,20
87,Feb 23 2020 01: +0,3.248,28
88,Feb 24 2020 01: +0,3.273,22
89,Feb 25 2020 01: +0,2.925,16
90,Feb 26 2020 01: +0,2.938,24
91,Feb 27 2020 01: +0,3.215,18
92,Feb 28 2020 01: +0,2.751,24
93,Feb 29 2020 01: +0,2.779,23
94,Mar 01 2020 01: +0,2.805,33
95,Mar 02 2020 01: +0,2.948,9
96,Mar 03 2020 01: +0,2.81,9
97,Mar 04 2020 01: +0,2.77,15
98,Mar 05 2020 01: +0,2.496,14
99,Mar 06 2020 01: +0,2.246,17
100,Mar 07 2020 01: +0,2.362,19
101,Mar 08 2020 01: +0,2.362,28
