,time,price,volume
0,Feb 18 2016 01: +0,4.054,121
1,Feb 19 2016 01: +0,3.376,143
2,Feb 20 2016 01: +0,3.175,115
3,Feb 21 2016 01: +0,3.223,111
4,Feb 22 2016 01: +0,3.251,94
5,Feb 23 2016 01: +0,3.285,79
6,Feb 24 2016 01: +0,3.31,20
7,Feb 25 2016 01: +0,3.155,94
8,Feb 26 2016 01: +0,3.096,70
9,Feb 27 2016 01: +0,3.114,96
10,Feb 28 2016 01: +0,3.307,90
11,Feb 29 2016 01: +0,3.132,69
12,Mar 01 2016 01: +0,2.979,55
13,Mar 02 2016 01: +0,2.951,58
14,Mar 03 2016 01: +0,2.966,59
15,Mar 04 2016 01: +0,2.995,72
16,Mar 05 2016 01: +0,2.971,64
17,Mar 06 2016 01: +0,2.933,76
18,Mar 07 2016 01: +0,2.952,64
19,Mar 08 2016 01: +0,2.958,50
20,Mar 09 2016 01: +0,2.932,48
21,Mar 10 2016 01: +0,3.053,50
22,Mar 11 2016 01: +0,3.149,49
23,Mar 12 2016 01: +0,3.256,53
24,Mar 13 2016 01: +0,3.192,45
25,Mar 14 2016 01: +0,3.063,37
26,Mar 15 2016 01: +0,3.124,40
27,Mar 16 2016 01: +0,3.185,33
28,Mar 17 2016 01: +0,3.217,36
29,Mar 18 2016 01: +0,3.253,43
30,Mar 19 2016 01: +0,3.18,45
31,Mar 20 2016 01: +0,3.191,46
32,Mar 21 2016 01: +0,3.339,38
33,Mar 22 2016 01: +0,3.337,32
34,Mar 23 2016 01: +0,3.241,35
35,Mar 24 2016 01: +0,3.171,39
36,Mar 25 2016 01: +0,3.158,58
37,Mar 26 2016 01: +0,3.124,49
38,Mar 27 2016 01: +0,3.122,52
39,Mar 28 2016 01: +0,3.147,50
40,Mar 29 2016 01: +0,3.102,36
41,Mar 30 2016 01: +0,2.973,43
42,Mar 31 2016 01: +0,3.034,42
43,Apr 01 2016 01: +0,3.203,48
44,Apr 02 2016 01: +0,3.15,46
45,Apr 03 2016 01: +0,2.98,39
46,Apr 04 2016 01: +0,3.047,40
47,Apr 05 2016 01: +0,2.91,33
48,Apr 06 2016 01: +0,2.945,40
49,Apr 07 2016 01: +0,2.981,47
50,Apr 08 2016 01: +0,2.949,35
51,Apr 09 2016 01: +0,3.054,53
52,Apr 10 2016 01: +0,3.057,49
53,Apr 11 2016 01: +0,3.064,42
54,Apr 12 2016 01: +0,3.08,41
55,Apr 13 2016 01: +0,3.051,39
56,Apr 14 2016 01: +0,3.129,45
57,Apr 15 2016 01: +0,3.161,53
58,Apr 16 2016 01: +0,3.125,53
59,Apr 17 2016 01: +0,3.252,57
60,Apr 18 2016 01: +0,3.103,39
61,Apr 19 2016 01: +0,3.094,38
62,Apr 20 2016 01: +0,3.069,41
63,Apr 21 2016 01: +0,3.161,48
64,Apr 22 2016 01: +0,3.141,39
65,Apr 23 2016 01: +0,2.944,46
66,Apr 24 2016 01: +0,2.961,52
67,Apr 25 2016 01: +0,3.099,47
68,Apr 26 2016 01: +0,3.073,45
69,Apr 27 2016 01: +0,2.963,30
70,Apr 28 2016 01: +0,3.055,45
71,Apr 29 2016 01: +0,2.987,40
72,Apr 30 2016 01: +0,2.816,46
73,May 01 2016 01: +0,2.988,57
74,May 02 2016 01: +0,2.731,35
75,May 03 2016 01: +0,2.835,39
76,May 04 2016 01: +0,2.792,35
77,May 05 2016 01: +0,2.814,42
78,May 06 2016 01: +0,2.953,46
79,May 07 2016 01: +0,2.981,49
80,May 08 2016 01: +0,2.993,69
81,May 09 2016 01: +0,2.994,44
82,May 10 2016 01: +0,3.051,52
83,May 11 2016 01: +0,3.084,62
