,time,price,volume
0,May 08 2020 01: +0,1.55,35
1,May 09 2020 01: +0,1.517,82
2,May 10 2020 01: +0,1.491,58
3,May 11 2020 01: +0,1.343,45
4,May 12 2020 01: +0,1.452,57
5,May 13 2020 01: +0,1.456,54
6,May 14 2020 01: +0,1.433,65
7,May 15 2020 01: +0,1.381,98
8,May 16 2020 01: +0,1.387,59
9,May 17 2020 01: +0,1.322,62
10,May 18 2020 01: +0,1.395,100
11,May 19 2020 01: +0,1.459,40
12,May 20 2020 01: +0,1.381,58
13,May 21 2020 01: +0,1.401,86
14,May 22 2020 01: +0,1.315,63
15,May 23 2020 01: +0,1.41,81
16,May 24 2020 01: +0,1.38,71
17,May 25 2020 01: +0,1.382,61
18,May 26 2020 01: +0,1.394,53
19,May 27 2020 01: +0,1.44,51
20,May 28 2020 01: +0,1.292,67
21,May 29 2020 01: +0,1.245,89
22,May 30 2020 01: +0,1.24,50
23,May 31 2020 01: +0,1.28,54
24,Jun 01 2020 01: +0,1.331,50
25,Jun 02 2020 01: +0,1.362,68
26,Jun 03 2020 01: +0,1.349,58
27,Jun 04 2020 01: +0,1.327,66
28,Jun 05 2020 01: +0,1.342,44
29,Jun 06 2020 01: +0,1.384,36
30,Jun 07 2020 01: +0,1.292,28
31,Jun 08 2020 01: +0,1.316,41
32,Jun 09 2020 01: +0,1.369,49
33,Jun 10 2020 01: +0,1.391,51
34,Jun 11 2020 01: +0,1.364,46
35,Jun 12 2020 01: +0,1.287,50
36,Jun 13 2020 01: +0,1.354,36
37,Jun 14 2020 01: +0,1.238,32
38,Jun 15 2020 01: +0,1.298,37
39,Jun 16 2020 01: +0,1.307,52
40,Jun 17 2020 01: +0,1.261,30
41,Jun 18 2020 01: +0,1.28,42
42,Jun 19 2020 01: +0,1.242,45
43,Jun 20 2020 01: +0,1.219,57
44,Jun 21 2020 01: +0,1.262,51
45,Jun 22 2020 01: +0,1.231,43
46,Jun 23 2020 01: +0,1.224,45
47,Jun 24 2020 01: +0,1.286,48
48,Jun 25 2020 01: +0,1.223,42
49,Jun 26 2020 01: +0,1.239,53
50,Jun 27 2020 01: +0,1.212,43
51,Jun 28 2020 01: +0,1.197,35
52,Jun 29 2020 01: +0,1.291,46
53,Jun 30 2020 01: +0,1.255,37
54,Jul 01 2020 01: +0,1.252,37
55,Jul 02 2020 01: +0,1.251,55
56,Jul 03 2020 01: +0,1.362,34
57,Jul 04 2020 01: +0,1.296,25
58,Jul 05 2020 01: +0,1.312,56
59,Jul 06 2020 01: +0,1.413,47
60,Jul 07 2020 01: +0,1.428,26
61,Jul 08 2020 01: +0,1.309,30
62,Jul 09 2020 01: +0,1.376,45
63,Jul 10 2020 01: +0,1.316,32
64,Jul 11 2020 01: +0,1.391,34
65,Jul 12 2020 01: +0,1.322,33
66,Jul 13 2020 01: +0,1.357,35
67,Jul 14 2020 01: +0,1.401,50
68,Jul 15 2020 01: +0,1.416,43
69,Jul 16 2020 01: +0,1.405,61
70,Jul 17 2020 01: +0,1.445,69
71,Jul 18 2020 01: +0,1.46,38
72,Jul 19 2020 01: +0,1.373,39
73,Jul 20 2020 01: +0,1.393,49
74,Jul 21 2020 01: +0,1.489,54
75,Jul 22 2020 01: +0,1.452,31
76,Jul 23 2020 01: +0,1.491,39
77,Jul 24 2020 01: +0,1.447,36
78,Jul 25 2020 01: +0,1.427,49
79,Jul 26 2020 01: +0,1.431,42
80,Jul 27 2020 01: +0,1.431,40
81,Jul 28 2020 01: +0,1.393,35
82,Jul 29 2020 01: +0,1.397,36
83,Jul 30 2020 01: +0,1.413,57
84,Jul 31 2020 01: +0,1.404,55
85,Aug 01 2020 01: +0,1.329,51
86,Aug 02 2020 01: +0,1.425,38
87,Aug 03 2020 01: +0,1.394,44
88,Aug 04 2020 01: +0,1.369,26
89,Aug 05 2020 01: +0,1.396,33
90,Aug 06 2020 01: +0,1.39,46
91,Aug 07 2020 01: +0,1.334,36
92,Aug 08 2020 01: +0,1.375,36
93,Aug 09 2020 01: +0,1.351,64
94,Aug 10 2020 01: +0,1.372,44
95,Aug 11 2020 01: +0,1.366,38
96,Aug 12 2020 01: +0,1.304,25
97,Aug 13 2020 01: +0,1.382,52
98,Aug 14 2020 01: +0,1.318,53
99,Aug 15 2020 01: +0,1.504,46
100,Aug 16 2020 01: +0,1.44,44
101,Aug 17 2020 01: +0,1.452,53
102,Aug 18 2020 01: +0,1.461,41
103,Aug 19 2020 01: +0,1.411,32
104,Aug 20 2020 01: +0,1.356,42
105,Aug 21 2020 01: +0,1.385,36
106,Aug 22 2020 01: +0,1.459,40
107,Aug 23 2020 01: +0,1.409,41
108,Aug 24 2020 01: +0,1.412,26
109,Aug 25 2020 01: +0,1.447,36
110,Aug 26 2020 01: +0,1.434,58
111,Aug 27 2020 01: +0,1.398,26
112,Aug 28 2020 01: +0,1.399,38
113,Aug 29 2020 01: +0,1.403,36
114,Aug 30 2020 01: +0,1.418,40
115,Aug 31 2020 01: +0,1.385,34
116,Sep 01 2020 01: +0,1.417,35
117,Sep 02 2020 01: +0,1.343,26
118,Sep 03 2020 01: +0,1.338,36
119,Sep 04 2020 01: +0,1.38,25
120,Sep 05 2020 01: +0,1.379,43
121,Sep 06 2020 01: +0,1.412,28
122,Sep 07 2020 01: +0,1.309,32
123,Sep 08 2020 01: +0,1.333,41
124,Sep 09 2020 01: +0,1.281,27
125,Sep 10 2020 01: +0,1.329,42
126,Sep 11 2020 01: +0,1.313,42
127,Sep 12 2020 01: +0,1.208,50
128,Sep 13 2020 01: +0,1.305,41
129,Sep 14 2020 01: +0,1.31,32
130,Sep 15 2020 01: +0,1.235,23
131,Sep 16 2020 01: +0,1.238,37
132,Sep 17 2020 01: +0,1.182,52
133,Sep 18 2020 01: +0,1.092,46
134,Sep 19 2020 01: +0,1.249,72
135,Sep 20 2020 01: +0,1.245,41
136,Sep 21 2020 01: +0,1.221,45
137,Sep 22 2020 01: +0,1.181,33
138,Sep 23 2020 01: +0,1.216,22
139,Sep 24 2020 01: +0,1.223,34
140,Sep 25 2020 01: +0,1.166,46
141,Sep 26 2020 01: +0,1.114,27
142,Sep 27 2020 01: +0,1.075,43
143,Sep 28 2020 01: +0,1.072,53
144,Sep 29 2020 01: +0,1.056,21
145,Sep 30 2020 01: +0,1.075,32
146,Oct 01 2020 01: +0,1.075,42
147,Oct 02 2020 01: +0,1.073,47
148,Oct 03 2020 01: +0,1.098,45
149,Oct 04 2020 01: +0,1.081,28
150,Oct 05 2020 01: +0,1.055,39
151,Oct 06 2020 01: +0,1.061,45
152,Oct 07 2020 01: +0,1.074,37
153,Oct 08 2020 01: +0,1.08,27
154,Oct 09 2020 01: +0,1.022,29
155,Oct 10 2020 01: +0,1.036,60
156,Oct 11 2020 01: +0,1.056,53
157,Oct 12 2020 01: +0,1.051,37
158,Oct 13 2020 01: +0,1.107,46
159,Oct 14 2020 01: +0,1.138,34
160,Oct 15 2020 01: +0,1.071,41
161,Oct 16 2020 01: +0,1.09,21
162,Oct 17 2020 01: +0,1.09,33
163,Oct 18 2020 01: +0,1.07,18
164,Oct 19 2020 01: +0,1.151,28
165,Oct 20 2020 01: +0,1.061,26
166,Oct 21 2020 01: +0,1.138,30
167,Oct 22 2020 01: +0,1.152,23
168,Oct 23 2020 01: +0,1.11,29
169,Oct 24 2020 01: +0,1.148,24
170,Oct 25 2020 01: +0,1.083,25
171,Oct 26 2020 01: +0,1.024,48
172,Oct 27 2020 01: +0,1.042,34
173,Oct 28 2020 01: +0,1.103,35
174,Oct 29 2020 01: +0,1.082,34
175,Oct 30 2020 01: +0,1.038,44
176,Oct 31 2020 01: +0,1.004,32
177,Nov 01 2020 01: +0,1.018,40
178,Nov 02 2020 01: +0,0.935,34
179,Nov 03 2020 01: +0,1.006,28
180,Nov 04 2020 01: +0,1.036,46
181,Nov 05 2020 01: +0,1.09,76
182,Nov 06 2020 01: +0,1.082,58
183,Nov 07 2020 01: +0,1.162,49
184,Nov 08 2020 01: +0,1.162,25
185,Nov 09 2020 01: +0,1.142,36
186,Nov 10 2020 01: +0,1.158,25
187,Nov 11 2020 01: +0,1.13,41
188,Nov 12 2020 01: +0,1.091,36
189,Nov 13 2020 01: +0,1.15,29
190,Nov 14 2020 01: +0,1.151,38
191,Nov 15 2020 01: +0,1.121,38
192,Nov 16 2020 01: +0,1.167,27
193,Nov 17 2020 01: +0,1.167,40
194,Nov 18 2020 01: +0,1.122,34
195,Nov 19 2020 01: +0,1.167,28
196,Nov 20 2020 01: +0,1.117,34
197,Nov 21 2020 01: +0,1.192,22
198,Nov 22 2020 01: +0,1.146,31
199,Nov 23 2020 01: +0,1.14,33
200,Nov 24 2020 01: +0,1.094,33
201,Nov 25 2020 01: +0,1.057,36
202,Nov 26 2020 01: +0,1.035,37
203,Nov 27 2020 01: +0,1.03,36
204,Nov 28 2020 01: +0,1.011,38
205,Nov 29 2020 01: +0,1.027,40
206,Nov 30 2020 01: +0,1.051,45
207,Dec 01 2020 01: +0,1.061,39
208,Dec 02 2020 01: +0,1.109,46
209,Dec 03 2020 01: +0,1.131,31
210,Dec 04 2020 01: +0,1.01,34
211,Dec 05 2020 01: +0,1.105,49
212,Dec 06 2020 01: +0,1.082,26
213,Dec 07 2020 01: +0,1.099,28
214,Dec 08 2020 01: +0,1.091,33
215,Dec 09 2020 01: +0,1.087,37
216,Dec 10 2020 01: +0,1.052,28
217,Dec 11 2020 01: +0,1.123,33
218,Dec 12 2020 01: +0,1.098,36
219,Dec 13 2020 01: +0,1.053,23
220,Dec 14 2020 01: +0,1.086,39
221,Dec 15 2020 01: +0,1.076,28
222,Dec 16 2020 01: +0,1.077,24
223,Dec 17 2020 01: +0,1.037,33
224,Dec 18 2020 01: +0,1.079,37
225,Dec 19 2020 01: +0,1.088,30
226,Dec 20 2020 01: +0,0.981,70
227,Dec 21 2020 01: +0,0.996,65
228,Dec 22 2020 01: +0,1.076,35
229,Dec 23 2020 01: +0,1.018,32
230,Dec 24 2020 01: +0,1.041,39
231,Dec 25 2020 01: +0,1.08,46
232,Dec 26 2020 01: +0,1.123,58
233,Dec 27 2020 01: +0,1.202,41
234,Dec 28 2020 01: +0,1.201,38
235,Dec 29 2020 01: +0,1.129,46
236,Dec 30 2020 01: +0,1.166,56
237,Dec 31 2020 01: +0,1.188,53
238,Jan 01 2021 01: +0,1.174,31
239,Jan 02 2021 01: +0,1.202,51
240,Jan 03 2021 01: +0,1.144,75
241,Jan 04 2021 01: +0,1.152,65
242,Jan 05 2021 01: +0,1.131,57
243,Jan 06 2021 01: +0,1.174,77
244,Jan 07 2021 01: +0,1.245,85
245,Jan 08 2021 01: +0,1.32,67
246,Jan 09 2021 01: +0,1.599,156
247,Jan 10 2021 01: +0,1.493,55
248,Jan 11 2021 01: +0,1.805,65
249,Jan 12 2021 01: +0,1.588,43
250,Jan 13 2021 01: +0,1.684,89
251,Jan 14 2021 01: +0,1.962,43
252,Jan 15 2021 01: +0,1.788,63
253,Jan 16 2021 01: +0,1.909,68
254,Jan 17 2021 01: +0,1.964,58
255,Jan 18 2021 01: +0,2.184,67
256,Jan 19 2021 01: +0,2.251,58
257,Jan 20 2021 01: +0,2.259,68
258,Jan 21 2021 01: +0,2.283,67
259,Jan 22 2021 01: +0,2.212,65
260,Jan 23 2021 01: +0,2.366,46
261,Jan 24 2021 01: +0,2.331,54
262,Jan 25 2021 01: +0,2.374,45
263,Jan 26 2021 01: +0,2.386,40
264,Jan 27 2021 01: +0,2.44,58
265,Jan 28 2021 01: +0,2.325,40
266,Jan 29 2021 01: +0,2.25,63
267,Jan 30 2021 01: +0,2.239,41
268,Jan 31 2021 01: +0,2.22,43
269,Feb 01 2021 01: +0,2.394,49
270,Feb 02 2021 01: +0,2.411,31
271,Feb 03 2021 01: +0,2.381,38
272,Feb 04 2021 01: +0,2.31,31
273,Feb 05 2021 01: +0,2.141,41
274,Feb 06 2021 01: +0,2.199,62
275,Feb 07 2021 01: +0,2.223,52
276,Feb 08 2021 01: +0,2.288,43
277,Feb 09 2021 01: +0,2.312,29
278,Feb 10 2021 01: +0,2.298,43
279,Feb 11 2021 01: +0,2.295,51
280,Feb 12 2021 01: +0,2.017,36
281,Feb 13 2021 01: +0,2.025,37
282,Feb 14 2021 01: +0,1.939,43
283,Feb 15 2021 01: +0,1.891,38
284,Feb 16 2021 01: +0,2.097,30
285,Feb 17 2021 01: +0,2.131,28
286,Feb 18 2021 01: +0,1.975,30
287,Feb 19 2021 01: +0,1.844,21
288,Feb 20 2021 01: +0,1.903,16
289,Feb 21 2021 01: +0,1.912,21
290,Feb 22 2021 01: +0,1.812,26
291,Feb 23 2021 01: +0,1.766,23
292,Feb 24 2021 01: +0,1.741,18
293,Feb 25 2021 01: +0,1.803,36
294,Feb 26 2021 01: +0,1.698,41
295,Feb 27 2021 01: +0,1.767,47
296,Feb 28 2021 01: +0,1.815,24
297,Mar 01 2021 01: +0,1.685,38
298,Mar 02 2021 01: +0,1.723,45
299,Mar 03 2021 01: +0,1.662,23
300,Mar 04 2021 01: +0,1.697,40
301,Mar 05 2021 01: +0,1.656,25
302,Mar 06 2021 01: +0,1.619,33
303,Mar 07 2021 01: +0,1.622,20
304,Mar 08 2021 01: +0,1.585,22
305,Mar 09 2021 01: +0,1.591,34
306,Mar 10 2021 01: +0,1.567,17
307,Mar 11 2021 01: +0,1.572,28
308,Mar 12 2021 01: +0,1.426,32
309,Mar 13 2021 01: +0,1.56,31
310,Mar 14 2021 01: +0,1.629,33
311,Mar 15 2021 01: +0,1.528,28
312,Mar 16 2021 01: +0,1.547,21
313,Mar 17 2021 01: +0,1.522,27
314,Mar 18 2021 01: +0,1.487,21
315,Mar 19 2021 01: +0,1.334,38
316,Mar 20 2021 01: +0,1.389,28
317,Mar 21 2021 01: +0,1.43,33
318,Mar 22 2021 01: +0,1.371,43
319,Mar 23 2021 01: +0,1.4,29
320,Mar 24 2021 01: +0,1.376,29
321,Mar 25 2021 01: +0,1.414,32
