,time,price,volume
0,Aug 03 2018 01: +0,2.78,6
1,Aug 04 2018 01: +0,2.49,7
2,Aug 05 2018 01: +0,2.683,4
3,Aug 06 2018 01: +0,1.836,6
4,Aug 07 2018 01: +0,2.063,5
5,Aug 08 2018 01: +0,1.621,8
6,Aug 09 2018 01: +0,1.596,6
7,Aug 10 2018 01: +0,1.847,50
8,Aug 11 2018 01: +0,1.932,26
9,Aug 12 2018 01: +0,1.811,51
10,Aug 13 2018 01: +0,1.577,72
11,Aug 14 2018 01: +0,1.796,18
12,Aug 15 2018 01: +0,1.681,15
13,Aug 16 2018 01: +0,1.514,24
14,Aug 17 2018 01: +0,1.625,30
15,Aug 18 2018 01: +0,1.62,26
16,Aug 19 2018 01: +0,1.552,29
17,Aug 20 2018 01: +0,1.638,31
18,Aug 21 2018 01: +0,1.571,19
19,Aug 22 2018 01: +0,1.512,16
20,Aug 23 2018 01: +0,1.446,15
21,Aug 24 2018 01: +0,1.366,25
22,Aug 25 2018 01: +0,1.575,20
23,Aug 26 2018 01: +0,1.494,12
24,Aug 27 2018 01: +0,1.527,11
25,Aug 28 2018 01: +0,1.412,11
26,Aug 29 2018 01: +0,1.298,16
27,Aug 30 2018 01: +0,1.358,17
28,Aug 31 2018 01: +0,1.334,20
29,Sep 01 2018 01: +0,1.488,16
30,Sep 02 2018 01: +0,1.401,17
31,Sep 03 2018 01: +0,1.187,13
32,Sep 04 2018 01: +0,1.406,23
33,Sep 05 2018 01: +0,1.353,12
34,Sep 06 2018 01: +0,1.333,14
35,Sep 07 2018 01: +0,1.199,15
36,Sep 08 2018 01: +0,1.21,14
37,Sep 09 2018 01: +0,1.193,18
38,Sep 10 2018 01: +0,1.164,24
39,Sep 11 2018 01: +0,1.158,44
40,Sep 12 2018 01: +0,1.265,18
41,Sep 13 2018 01: +0,1.405,9
42,Sep 14 2018 01: +0,1.363,10
43,Sep 15 2018 01: +0,1.177,17
44,Sep 16 2018 01: +0,1.233,14
45,Sep 17 2018 01: +0,1.249,17
46,Sep 18 2018 01: +0,1.222,20
47,Sep 19 2018 01: +0,1.254,19
48,Sep 20 2018 01: +0,1.228,17
49,Sep 21 2018 01: +0,1.168,14
50,Sep 22 2018 01: +0,1.172,20
51,Sep 23 2018 01: +0,1.108,17
52,Sep 24 2018 01: +0,1.223,31
53,Sep 25 2018 01: +0,1.16,19
54,Sep 26 2018 01: +0,1.153,20
55,Sep 27 2018 01: +0,1.176,22
56,Sep 28 2018 01: +0,1.186,18
57,Sep 29 2018 01: +0,1.173,19
58,Sep 30 2018 01: +0,1.215,21
59,Oct 01 2018 01: +0,1.202,15
60,Oct 02 2018 01: +0,1.255,23
61,Oct 03 2018 01: +0,1.24,20
62,Oct 04 2018 01: +0,1.105,23
63,Oct 05 2018 01: +0,1.09,22
64,Oct 06 2018 01: +0,1.163,46
65,Oct 07 2018 01: +0,1.22,29
66,Oct 08 2018 01: +0,1.248,19
67,Oct 09 2018 01: +0,1.22,20
68,Oct 10 2018 01: +0,1.255,15
69,Oct 11 2018 01: +0,1.331,17
70,Oct 12 2018 01: +0,1.164,17
71,Oct 13 2018 01: +0,1.285,17
72,Oct 14 2018 01: +0,1.223,16
73,Oct 15 2018 01: +0,1.241,22
