,time,price,volume
0,Feb 21 2020 01: +0,1.502,16
1,Feb 22 2020 01: +0,1.672,75
2,Feb 23 2020 01: +0,1.758,75
3,Feb 24 2020 01: +0,1.899,59
4,Feb 25 2020 01: +0,1.803,44
5,Feb 26 2020 01: +0,1.65,61
6,Feb 27 2020 01: +0,1.74,75
7,Feb 28 2020 01: +0,1.397,107
8,Feb 29 2020 01: +0,1.411,93
9,Mar 01 2020 01: +0,1.575,60
10,Mar 02 2020 01: +0,1.558,41
11,Mar 03 2020 01: +0,1.549,51
12,Mar 04 2020 01: +0,1.457,43
13,Mar 05 2020 01: +0,1.424,88
14,Mar 06 2020 01: +0,1.324,87
15,Mar 07 2020 01: +0,1.356,47
16,Mar 08 2020 01: +0,1.311,69
17,Mar 09 2020 01: +0,1.27,59
18,Mar 10 2020 01: +0,1.291,58
19,Mar 11 2020 01: +0,1.277,47
20,Mar 12 2020 01: +0,1.301,39
21,Mar 13 2020 01: +0,1.343,57
22,Mar 14 2020 01: +0,1.278,66
23,Mar 15 2020 01: +0,1.291,39
24,Mar 16 2020 01: +0,1.33,67
25,Mar 17 2020 01: +0,1.369,49
26,Mar 18 2020 01: +0,1.228,46
27,Mar 19 2020 01: +0,1.25,55
28,Mar 20 2020 01: +0,1.225,47
29,Mar 21 2020 01: +0,1.174,59
30,Mar 22 2020 01: +0,1.217,59
31,Mar 23 2020 01: +0,1.109,54
32,Mar 24 2020 01: +0,1.135,55
33,Mar 25 2020 01: +0,1.099,72
34,Mar 26 2020 01: +0,1.127,77
35,Mar 27 2020 01: +0,1.134,59
36,Mar 28 2020 01: +0,1.126,56
37,Mar 29 2020 01: +0,1.123,62
38,Mar 30 2020 01: +0,1.144,68
39,Mar 31 2020 01: +0,1.15,82
40,Apr 01 2020 01: +0,1.207,73
41,Apr 02 2020 01: +0,1.179,77
42,Apr 03 2020 01: +0,1.243,63
43,Apr 04 2020 01: +0,1.221,48
44,Apr 05 2020 01: +0,1.196,72
45,Apr 06 2020 01: +0,1.193,58
46,Apr 07 2020 01: +0,1.255,63
47,Apr 08 2020 01: +0,1.313,51
48,Apr 09 2020 01: +0,1.282,63
49,Apr 10 2020 01: +0,1.325,65
50,Apr 11 2020 01: +0,1.326,58
51,Apr 12 2020 01: +0,1.395,76
52,Apr 13 2020 01: +0,1.337,57
53,Apr 14 2020 01: +0,1.281,59
54,Apr 15 2020 01: +0,1.246,49
55,Apr 16 2020 01: +0,1.305,50
56,Apr 17 2020 01: +0,1.294,52
57,Apr 18 2020 01: +0,1.286,65
58,Apr 19 2020 01: +0,1.274,44
59,Apr 20 2020 01: +0,1.277,66
60,Apr 21 2020 01: +0,1.344,36
61,Apr 22 2020 01: +0,1.319,35
62,Apr 23 2020 01: +0,1.452,54
63,Apr 24 2020 01: +0,1.322,50
64,Apr 25 2020 01: +0,1.231,48
65,Apr 26 2020 01: +0,1.237,45
66,Apr 27 2020 01: +0,1.254,51
67,Apr 28 2020 01: +0,1.259,47
68,Apr 29 2020 01: +0,1.275,61
69,Apr 30 2020 01: +0,1.257,60
70,May 01 2020 01: +0,1.28,57
71,May 02 2020 01: +0,1.198,55
72,May 03 2020 01: +0,1.271,32
73,May 04 2020 01: +0,1.263,56
74,May 05 2020 01: +0,1.255,65
75,May 06 2020 01: +0,1.28,43
76,May 07 2020 01: +0,1.292,39
77,May 08 2020 01: +0,1.337,45
78,May 09 2020 01: +0,1.298,47
79,May 10 2020 01: +0,1.259,43
80,May 11 2020 01: +0,1.282,30
81,May 12 2020 01: +0,1.303,35
82,May 13 2020 01: +0,1.307,42
83,May 14 2020 01: +0,1.368,42
84,May 15 2020 01: +0,1.347,40
85,May 16 2020 01: +0,1.279,40
86,May 17 2020 01: +0,1.289,39
87,May 18 2020 01: +0,1.319,35
88,May 19 2020 01: +0,1.414,44
89,May 20 2020 01: +0,1.341,20
90,May 21 2020 01: +0,1.344,30
91,May 22 2020 01: +0,1.264,52
92,May 23 2020 01: +0,1.292,54
93,May 24 2020 01: +0,1.32,27
94,May 25 2020 01: +0,1.365,31
95,May 26 2020 01: +0,1.291,44
96,May 27 2020 01: +0,1.307,30
97,May 28 2020 01: +0,1.228,39
98,May 29 2020 01: +0,1.162,66
99,May 30 2020 01: +0,1.256,45
100,May 31 2020 01: +0,1.197,28
101,Jun 01 2020 01: +0,1.184,35
102,Jun 02 2020 01: +0,1.219,55
103,Jun 03 2020 01: +0,1.23,33
104,Jun 04 2020 01: +0,1.244,42
105,Jun 05 2020 01: +0,1.239,46
106,Jun 06 2020 01: +0,1.189,42
107,Jun 07 2020 01: +0,1.22,33
108,Jun 08 2020 01: +0,1.244,42
109,Jun 09 2020 01: +0,1.268,56
110,Jun 10 2020 01: +0,1.388,37
111,Jun 11 2020 01: +0,1.243,38
112,Jun 12 2020 01: +0,1.231,32
113,Jun 13 2020 01: +0,1.236,25
