,time,price,volume
0,Jul 26 2018 01: +0,3.126,17
1,Jul 27 2018 01: +0,2.573,37
2,Jul 28 2018 01: +0,2.761,26
3,Jul 29 2018 01: +0,2.917,34
4,Jul 30 2018 01: +0,2.863,16
5,Jul 31 2018 01: +0,2.632,38
6,Aug 01 2018 01: +0,2.603,26
7,Aug 02 2018 01: +0,2.571,30
8,Aug 03 2018 01: +0,2.478,22
9,Aug 04 2018 01: +0,2.39,23
10,Aug 05 2018 01: +0,2.451,25
11,Aug 06 2018 01: +0,2.505,25
12,Aug 07 2018 01: +0,2.476,24
13,Aug 08 2018 01: +0,2.327,23
14,Aug 09 2018 01: +0,2.456,48
15,Aug 10 2018 01: +0,2.259,52
16,Aug 11 2018 01: +0,2.068,19
17,Aug 12 2018 01: +0,2.11,32
18,Aug 13 2018 01: +0,2.103,38
19,Aug 14 2018 01: +0,2.461,15
20,Aug 15 2018 01: +0,2.364,24
21,Aug 16 2018 01: +0,2.454,26
22,Aug 17 2018 01: +0,2.261,22
23,Aug 18 2018 01: +0,2.182,17
24,Aug 19 2018 01: +0,2.123,26
25,Aug 20 2018 01: +0,2.146,11
26,Aug 21 2018 01: +0,2.152,13
27,Aug 22 2018 01: +0,2.14,27
28,Aug 23 2018 01: +0,2.165,9
29,Aug 24 2018 01: +0,2.003,32
30,Aug 25 2018 01: +0,2.064,40
31,Aug 26 2018 01: +0,1.977,13
32,Aug 27 2018 01: +0,2.149,23
33,Aug 28 2018 01: +0,2.072,18
34,Aug 29 2018 01: +0,2.006,28
35,Aug 30 2018 01: +0,2.121,18
36,Aug 31 2018 01: +0,2.063,12
37,Sep 01 2018 01: +0,2.056,20
38,Sep 02 2018 01: +0,2.061,15
39,Sep 03 2018 01: +0,1.893,23
40,Sep 04 2018 01: +0,1.959,15
41,Sep 05 2018 01: +0,1.811,9
42,Sep 06 2018 01: +0,1.794,22
43,Sep 07 2018 01: +0,2.012,26
44,Sep 08 2018 01: +0,2.053,44
45,Sep 09 2018 01: +0,2.122,19
46,Sep 10 2018 01: +0,2.071,23
47,Sep 11 2018 01: +0,2.137,12
48,Sep 12 2018 01: +0,2.092,19
49,Sep 13 2018 01: +0,2.113,20
50,Sep 14 2018 01: +0,2.015,21
51,Sep 15 2018 01: +0,2.015,29
52,Sep 16 2018 01: +0,2.076,9
53,Sep 17 2018 01: +0,1.927,33
54,Sep 18 2018 01: +0,2.044,13
55,Sep 19 2018 01: +0,1.836,9
56,Sep 20 2018 01: +0,1.921,21
57,Sep 21 2018 01: +0,1.704,13
58,Sep 22 2018 01: +0,1.922,18
59,Sep 23 2018 01: +0,1.876,22
60,Sep 24 2018 01: +0,1.938,10
61,Sep 25 2018 01: +0,1.977,7
62,Sep 26 2018 01: +0,1.976,14
63,Sep 27 2018 01: +0,1.668,11
64,Sep 28 2018 01: +0,1.914,32
65,Sep 29 2018 01: +0,1.932,13
66,Sep 30 2018 01: +0,1.988,30
67,Oct 01 2018 01: +0,1.942,19
68,Oct 02 2018 01: +0,1.983,11
69,Oct 03 2018 01: +0,1.788,14
70,Oct 04 2018 01: +0,1.896,35
71,Oct 05 2018 01: +0,1.778,21
72,Oct 06 2018 01: +0,1.979,21
73,Oct 07 2018 01: +0,1.987,24
74,Oct 08 2018 01: +0,1.993,15
75,Oct 09 2018 01: +0,1.873,16
76,Oct 10 2018 01: +0,1.982,21
77,Oct 11 2018 01: +0,2.004,20
78,Oct 12 2018 01: +0,1.955,18
79,Oct 13 2018 01: +0,1.925,19
80,Oct 14 2018 01: +0,2.121,25
81,Oct 15 2018 01: +0,2.175,14
82,Oct 16 2018 01: +0,2.14,14
83,Oct 17 2018 01: +0,1.998,12
84,Oct 18 2018 01: +0,2.103,16
85,Oct 19 2018 01: +0,2.108,13
86,Oct 20 2018 01: +0,2.053,20
87,Oct 21 2018 01: +0,1.95,15
88,Oct 22 2018 01: +0,1.982,17
89,Oct 23 2018 01: +0,2.009,22
90,Oct 24 2018 01: +0,2.078,7
91,Oct 25 2018 01: +0,2.063,32
92,Oct 26 2018 01: +0,2.202,19
93,Oct 27 2018 01: +0,1.877,18
94,Oct 28 2018 01: +0,1.885,23
95,Oct 29 2018 01: +0,1.882,13
96,Oct 30 2018 01: +0,2.029,15
97,Oct 31 2018 01: +0,1.994,12
98,Nov 01 2018 01: +0,1.859,17
99,Nov 02 2018 01: +0,1.93,16
100,Nov 03 2018 01: +0,2.09,14
101,Nov 04 2018 01: +0,2.128,21
102,Nov 05 2018 01: +0,2.074,12
103,Nov 06 2018 01: +0,1.791,10
104,Nov 07 2018 01: +0,1.893,9
105,Nov 08 2018 01: +0,2.002,18
106,Nov 09 2018 01: +0,1.985,12
107,Nov 10 2018 01: +0,1.969,23
108,Nov 11 2018 01: +0,1.898,14
109,Nov 12 2018 01: +0,2.159,31
110,Nov 13 2018 01: +0,2.136,21
111,Nov 14 2018 01: +0,2.006,15
112,Nov 15 2018 01: +0,2.532,36
113,Nov 16 2018 01: +0,2.718,19
114,Nov 17 2018 01: +0,2.512,22
115,Nov 18 2018 01: +0,2.543,14
116,Nov 19 2018 01: +0,2.715,14
117,Nov 20 2018 01: +0,2.5,14
118,Nov 21 2018 01: +0,2.736,11
119,Nov 22 2018 01: +0,2.195,13
120,Nov 23 2018 01: +0,2.355,19
121,Nov 24 2018 01: +0,2.588,23
122,Nov 25 2018 01: +0,2.523,9
123,Nov 26 2018 01: +0,2.351,12
124,Nov 27 2018 01: +0,2.573,17
125,Nov 28 2018 01: +0,2.525,15
126,Nov 29 2018 01: +0,2.768,15
127,Nov 30 2018 01: +0,2.415,13
128,Dec 01 2018 01: +0,2.655,14
129,Dec 02 2018 01: +0,2.737,18
130,Dec 03 2018 01: +0,2.515,8
131,Dec 04 2018 01: +0,2.621,10
132,Dec 05 2018 01: +0,2.613,15
133,Dec 06 2018 01: +0,2.697,25
134,Dec 07 2018 01: +0,2.459,20
135,Dec 08 2018 01: +0,2.523,24
136,Dec 09 2018 01: +0,2.637,12
137,Dec 10 2018 01: +0,2.537,12
138,Dec 11 2018 01: +0,2.571,11
139,Dec 12 2018 01: +0,2.429,9
140,Dec 13 2018 01: +0,2.253,19
141,Dec 14 2018 01: +0,2.436,14
142,Dec 15 2018 01: +0,2.398,14
143,Dec 16 2018 01: +0,2.394,30
144,Dec 17 2018 01: +0,2.682,25
145,Dec 18 2018 01: +0,2.436,19
146,Dec 19 2018 01: +0,2.333,13
147,Dec 20 2018 01: +0,2.115,14
148,Dec 21 2018 01: +0,2.466,25
149,Dec 22 2018 01: +0,2.239,22
150,Dec 23 2018 01: +0,2.538,22
151,Dec 24 2018 01: +0,2.584,22
152,Dec 25 2018 01: +0,2.737,37
153,Dec 26 2018 01: +0,2.975,43
154,Dec 27 2018 01: +0,3.222,13
155,Dec 28 2018 01: +0,3.319,17
156,Dec 29 2018 01: +0,3.291,17
157,Dec 30 2018 01: +0,3.596,35
158,Dec 31 2018 01: +0,3.743,13
159,Jan 01 2019 01: +0,3.607,18
160,Jan 02 2019 01: +0,3.522,22
161,Jan 03 2019 01: +0,3.905,25
162,Jan 04 2019 01: +0,3.611,14
163,Jan 05 2019 01: +0,3.756,14
164,Jan 06 2019 01: +0,3.723,19
165,Jan 07 2019 01: +0,3.865,22
166,Jan 08 2019 01: +0,3.955,8
167,Jan 09 2019 01: +0,4.028,23
168,Jan 10 2019 01: +0,3.792,14
169,Jan 11 2019 01: +0,4.02,18
170,Jan 12 2019 01: +0,3.969,9
171,Jan 13 2019 01: +0,4.122,27
172,Jan 14 2019 01: +0,3.364,11
173,Jan 15 2019 01: +0,3.656,22
174,Jan 16 2019 01: +0,3.826,19
175,Jan 17 2019 01: +0,4.061,36
176,Jan 18 2019 01: +0,4.048,14
177,Jan 19 2019 01: +0,4.175,22
178,Jan 20 2019 01: +0,4.474,19
179,Jan 21 2019 01: +0,3.959,17
180,Jan 22 2019 01: +0,4.242,16
181,Jan 23 2019 01: +0,3.916,27
182,Jan 24 2019 01: +0,3.909,12
183,Jan 25 2019 01: +0,3.971,13
184,Jan 26 2019 01: +0,3.677,14
185,Jan 27 2019 01: +0,3.771,17
186,Jan 28 2019 01: +0,3.548,19
187,Jan 29 2019 01: +0,3.884,15
188,Jan 30 2019 01: +0,3.516,7
189,Jan 31 2019 01: +0,3.735,11
190,Feb 01 2019 01: +0,3.91,31
191,Feb 02 2019 01: +0,3.647,11
192,Feb 03 2019 01: +0,3.898,18
193,Feb 04 2019 01: +0,3.797,13
194,Feb 05 2019 01: +0,3.36,12
195,Feb 06 2019 01: +0,3.715,19
196,Feb 07 2019 01: +0,3.595,20
197,Feb 08 2019 01: +0,3.883,17
198,Feb 09 2019 01: +0,3.356,11
199,Feb 10 2019 01: +0,3.402,14
200,Feb 11 2019 01: +0,3.807,9
201,Feb 12 2019 01: +0,3.683,18
202,Feb 13 2019 01: +0,3.591,12
203,Feb 14 2019 01: +0,3.606,16
204,Feb 15 2019 01: +0,3.654,18
205,Feb 16 2019 01: +0,3.706,18
206,Feb 17 2019 01: +0,4.029,12
207,Feb 18 2019 01: +0,4.078,13
208,Feb 19 2019 01: +0,3.78,9
209,Feb 20 2019 01: +0,3.909,15
210,Feb 21 2019 01: +0,3.876,13
211,Feb 22 2019 01: +0,3.842,13
212,Feb 23 2019 01: +0,3.786,18
213,Feb 24 2019 01: +0,3.884,14
214,Feb 25 2019 01: +0,3.883,11
215,Feb 26 2019 01: +0,4.191,17
216,Feb 27 2019 01: +0,4.13,10
217,Feb 28 2019 01: +0,4.083,15
218,Mar 01 2019 01: +0,4.12,18
219,Mar 02 2019 01: +0,3.956,21
220,Mar 03 2019 01: +0,4.179,18
221,Mar 04 2019 01: +0,3.845,14
222,Mar 05 2019 01: +0,3.91,10
223,Mar 06 2019 01: +0,3.629,7
224,Mar 07 2019 01: +0,3.741,16
225,Mar 08 2019 01: +0,3.993,14
226,Mar 09 2019 01: +0,3.888,19
227,Mar 10 2019 01: +0,3.798,17
228,Mar 11 2019 01: +0,4.328,15
229,Mar 12 2019 01: +0,4.532,14
230,Mar 13 2019 01: +0,4.133,13
231,Mar 14 2019 01: +0,4.276,13
