,time,price,volume
0,Aug 16 2018 01: +0,3.064,6
1,Aug 17 2018 01: +0,2.562,54
2,Aug 18 2018 01: +0,2.72,61
3,Aug 19 2018 01: +0,2.762,50
4,Aug 20 2018 01: +0,2.733,47
5,Aug 21 2018 01: +0,2.571,53
6,Aug 22 2018 01: +0,2.638,70
7,Aug 23 2018 01: +0,2.561,50
8,Aug 24 2018 01: +0,2.478,59
9,Aug 25 2018 01: +0,2.802,92
10,Aug 26 2018 01: +0,2.946,32
11,Aug 27 2018 01: +0,3.045,27
12,Aug 28 2018 01: +0,2.462,47
13,Aug 29 2018 01: +0,2.7,57
14,Aug 30 2018 01: +0,2.599,34
15,Aug 31 2018 01: +0,2.765,34
16,Sep 01 2018 01: +0,2.901,29
17,Sep 02 2018 01: +0,2.525,27
18,Sep 03 2018 01: +0,2.46,42
19,Sep 04 2018 01: +0,2.643,29
20,Sep 05 2018 01: +0,2.556,29
21,Sep 06 2018 01: +0,2.656,29
22,Sep 07 2018 01: +0,2.584,63
23,Sep 08 2018 01: +0,2.803,33
24,Sep 09 2018 01: +0,2.915,38
25,Sep 10 2018 01: +0,2.966,22
26,Sep 11 2018 01: +0,2.745,22
27,Sep 12 2018 01: +0,2.582,28
28,Sep 13 2018 01: +0,2.82,47
29,Sep 14 2018 01: +0,2.807,31
30,Sep 15 2018 01: +0,3.035,43
31,Sep 16 2018 01: +0,2.888,55
32,Sep 17 2018 01: +0,3.044,27
33,Sep 18 2018 01: +0,2.758,22
34,Sep 19 2018 01: +0,2.907,38
35,Sep 20 2018 01: +0,3.087,34
36,Sep 21 2018 01: +0,2.921,17
37,Sep 22 2018 01: +0,2.695,26
38,Sep 23 2018 01: +0,2.95,34
39,Sep 24 2018 01: +0,2.85,25
40,Sep 25 2018 01: +0,2.916,28
41,Sep 26 2018 01: +0,3.04,32
42,Sep 27 2018 01: +0,3.012,41
43,Sep 28 2018 01: +0,2.771,16
44,Sep 29 2018 01: +0,2.854,32
45,Sep 30 2018 01: +0,2.951,26
46,Oct 01 2018 01: +0,3.017,36
47,Oct 02 2018 01: +0,3.041,18
48,Oct 03 2018 01: +0,2.943,25
49,Oct 04 2018 01: +0,3.025,31
50,Oct 05 2018 01: +0,2.604,26
51,Oct 06 2018 01: +0,2.899,37
52,Oct 07 2018 01: +0,2.891,25
53,Oct 08 2018 01: +0,2.902,27
54,Oct 09 2018 01: +0,2.759,24
55,Oct 10 2018 01: +0,2.928,17
56,Oct 11 2018 01: +0,2.975,29
57,Oct 12 2018 01: +0,3.064,33
58,Oct 13 2018 01: +0,3.248,35
59,Oct 14 2018 01: +0,3.049,30
60,Oct 15 2018 01: +0,3.216,22
61,Oct 16 2018 01: +0,3.31,34
62,Oct 17 2018 01: +0,3.439,20
63,Oct 18 2018 01: +0,3.084,11
64,Oct 19 2018 01: +0,2.832,33
65,Oct 20 2018 01: +0,2.774,37
66,Oct 21 2018 01: +0,2.981,43
67,Oct 22 2018 01: +0,2.915,16
68,Oct 23 2018 01: +0,3.012,23
69,Oct 24 2018 01: +0,2.808,24
70,Oct 25 2018 01: +0,2.851,17
71,Oct 26 2018 01: +0,2.889,33
72,Oct 27 2018 01: +0,3.012,25
73,Oct 28 2018 01: +0,3.1,21
74,Oct 29 2018 01: +0,3.088,19
75,Oct 30 2018 01: +0,3.059,25
76,Oct 31 2018 01: +0,2.891,27
77,Nov 01 2018 01: +0,3.147,37
78,Nov 02 2018 01: +0,3.187,24
79,Nov 03 2018 01: +0,3.236,25
80,Nov 04 2018 01: +0,3.164,20
81,Nov 05 2018 01: +0,3.185,14
82,Nov 06 2018 01: +0,2.914,21
83,Nov 07 2018 01: +0,3.104,26
84,Nov 08 2018 01: +0,2.969,12
85,Nov 09 2018 01: +0,3.287,29
86,Nov 10 2018 01: +0,3.397,33
87,Nov 11 2018 01: +0,3.959,42
88,Nov 12 2018 01: +0,4.243,21
89,Nov 13 2018 01: +0,4.199,29
90,Nov 14 2018 01: +0,4.944,19
91,Nov 15 2018 01: +0,4.248,15
92,Nov 16 2018 01: +0,4.175,14
93,Nov 17 2018 01: +0,4.007,25
94,Nov 18 2018 01: +0,3.631,27
95,Nov 19 2018 01: +0,4.083,19
96,Nov 20 2018 01: +0,4.142,17
97,Nov 21 2018 01: +0,3.916,14
98,Nov 22 2018 01: +0,4.089,33
99,Nov 23 2018 01: +0,4.367,24
100,Nov 24 2018 01: +0,3.958,19
101,Nov 25 2018 01: +0,3.728,19
102,Nov 26 2018 01: +0,3.859,40
103,Nov 27 2018 01: +0,4.168,34
104,Nov 28 2018 01: +0,4.422,14
105,Nov 29 2018 01: +0,4.562,22
106,Nov 30 2018 01: +0,4.415,17
107,Dec 01 2018 01: +0,5.243,25
108,Dec 02 2018 01: +0,4.503,19
109,Dec 03 2018 01: +0,4.269,13
110,Dec 04 2018 01: +0,4.359,20
111,Dec 05 2018 01: +0,4.286,20
112,Dec 06 2018 01: +0,4.079,25
113,Dec 07 2018 01: +0,4.278,8
114,Dec 08 2018 01: +0,4.178,15
115,Dec 09 2018 01: +0,4.405,20
116,Dec 10 2018 01: +0,4.684,15
117,Dec 11 2018 01: +0,4.562,15
118,Dec 12 2018 01: +0,5.147,16
119,Dec 13 2018 01: +0,4.334,13
120,Dec 14 2018 01: +0,4.138,11
121,Dec 15 2018 01: +0,4.291,28
122,Dec 16 2018 01: +0,4.392,12
123,Dec 17 2018 01: +0,4.438,18
124,Dec 18 2018 01: +0,4.586,22
125,Dec 19 2018 01: +0,4.646,7
126,Dec 20 2018 01: +0,4.042,19
127,Dec 21 2018 01: +0,4.009,29
128,Dec 22 2018 01: +0,3.53,12
129,Dec 23 2018 01: +0,3.897,19
130,Dec 24 2018 01: +0,4.078,36
131,Dec 25 2018 01: +0,4.306,41
132,Dec 26 2018 01: +0,4.517,38
133,Dec 27 2018 01: +0,4.706,51
134,Dec 28 2018 01: +0,5.173,22
135,Dec 29 2018 01: +0,5.278,24
136,Dec 30 2018 01: +0,5.035,20
137,Dec 31 2018 01: +0,4.985,24
138,Jan 01 2019 01: +0,4.718,35
139,Jan 02 2019 01: +0,4.93,19
140,Jan 03 2019 01: +0,4.934,24
141,Jan 04 2019 01: +0,4.895,29
142,Jan 05 2019 01: +0,4.989,33
143,Jan 06 2019 01: +0,5.015,26
144,Jan 07 2019 01: +0,5.337,19
145,Jan 08 2019 01: +0,5.25,28
146,Jan 09 2019 01: +0,5.256,14
147,Jan 10 2019 01: +0,5.329,24
148,Jan 11 2019 01: +0,5.418,21
149,Jan 12 2019 01: +0,5.447,23
150,Jan 13 2019 01: +0,5.428,21
151,Jan 14 2019 01: +0,5.791,20
152,Jan 15 2019 01: +0,5.95,15
153,Jan 16 2019 01: +0,5.825,25
154,Jan 17 2019 01: +0,6.018,28
155,Jan 18 2019 01: +0,6.125,26
156,Jan 19 2019 01: +0,6.294,33
157,Jan 20 2019 01: +0,7.037,13
158,Jan 21 2019 01: +0,6.75,11
159,Jan 22 2019 01: +0,6.492,10
160,Jan 23 2019 01: +0,6.411,15
161,Jan 24 2019 01: +0,6.183,19
162,Jan 25 2019 01: +0,6.445,21
163,Jan 26 2019 01: +0,6.424,17
164,Jan 27 2019 01: +0,5.266,15
165,Jan 28 2019 01: +0,6.409,29
166,Jan 29 2019 01: +0,6.347,10
167,Jan 30 2019 01: +0,6.306,18
168,Jan 31 2019 01: +0,6.19,19
169,Feb 01 2019 01: +0,6.088,20
170,Feb 02 2019 01: +0,6.174,26
171,Feb 03 2019 01: +0,6.604,18
172,Feb 04 2019 01: +0,7.29,20
173,Feb 05 2019 01: +0,6.487,15
174,Feb 06 2019 01: +0,5.811,12
175,Feb 07 2019 01: +0,5.956,18
176,Feb 08 2019 01: +0,5.312,17
177,Feb 09 2019 01: +0,5.429,22
178,Feb 10 2019 01: +0,5.882,10
179,Feb 11 2019 01: +0,5.86,10
180,Feb 12 2019 01: +0,5.739,9
181,Feb 13 2019 01: +0,5.76,7
182,Feb 14 2019 01: +0,6.009,17
183,Feb 15 2019 01: +0,5.803,16
184,Feb 16 2019 01: +0,6.087,14
185,Feb 17 2019 01: +0,5.904,11
186,Feb 18 2019 01: +0,5.387,10
187,Feb 19 2019 01: +0,5.872,12
188,Feb 20 2019 01: +0,5.59,10
189,Feb 21 2019 01: +0,5.067,14
190,Feb 22 2019 01: +0,5.538,13
191,Feb 23 2019 01: +0,5.104,19
192,Feb 24 2019 01: +0,5.626,15
193,Feb 25 2019 01: +0,5.849,14
194,Feb 26 2019 01: +0,5.815,14
195,Feb 27 2019 01: +0,5.738,11
196,Feb 28 2019 01: +0,5.527,11
197,Mar 01 2019 01: +0,5.489,15
198,Mar 02 2019 01: +0,5.719,16
199,Mar 03 2019 01: +0,5.464,19
200,Mar 04 2019 01: +0,5.658,13
201,Mar 05 2019 01: +0,5.525,7
