,time,price,volume
0,Oct 26 2018 01: +0,2.234,13
1,Oct 27 2018 01: +0,1.893,56
2,Oct 28 2018 01: +0,1.661,35
3,Oct 29 2018 01: +0,1.731,28
4,Oct 30 2018 01: +0,1.704,41
5,Oct 31 2018 01: +0,1.545,35
6,Nov 01 2018 01: +0,1.586,44
7,Nov 02 2018 01: +0,1.475,45
8,Nov 03 2018 01: +0,1.54,56
9,Nov 04 2018 01: +0,1.466,41
10,Nov 05 2018 01: +0,1.45,42
11,Nov 06 2018 01: +0,1.368,32
12,Nov 07 2018 01: +0,1.361,48
13,Nov 08 2018 01: +0,1.311,30
14,Nov 09 2018 01: +0,1.333,37
15,Nov 10 2018 01: +0,1.439,53
16,Nov 11 2018 01: +0,1.298,31
17,Nov 12 2018 01: +0,1.473,30
18,Nov 13 2018 01: +0,1.362,22
19,Nov 14 2018 01: +0,1.403,19
20,Nov 15 2018 01: +0,1.432,36
21,Nov 16 2018 01: +0,1.389,49
22,Nov 17 2018 01: +0,1.397,48
23,Nov 18 2018 01: +0,1.456,90
24,Nov 19 2018 01: +0,1.405,49
25,Nov 20 2018 01: +0,1.376,30
26,Nov 21 2018 01: +0,1.532,28
27,Nov 22 2018 01: +0,1.574,35
28,Nov 23 2018 01: +0,1.482,39
29,Nov 24 2018 01: +0,1.552,34
30,Nov 25 2018 01: +0,1.671,23
31,Nov 26 2018 01: +0,1.525,24
32,Nov 27 2018 01: +0,1.355,27
33,Nov 28 2018 01: +0,1.409,17
34,Nov 29 2018 01: +0,1.565,57
35,Nov 30 2018 01: +0,1.491,28
36,Dec 01 2018 01: +0,1.501,56
37,Dec 02 2018 01: +0,1.407,28
38,Dec 03 2018 01: +0,1.45,24
39,Dec 04 2018 01: +0,1.323,19
40,Dec 05 2018 01: +0,1.425,33
41,Dec 06 2018 01: +0,1.43,51
42,Dec 07 2018 01: +0,1.326,34
43,Dec 08 2018 01: +0,1.331,37
44,Dec 09 2018 01: +0,1.414,46
45,Dec 10 2018 01: +0,1.388,40
46,Dec 11 2018 01: +0,1.327,24
47,Dec 12 2018 01: +0,1.383,43
48,Dec 13 2018 01: +0,1.353,37
49,Dec 14 2018 01: +0,1.331,33
50,Dec 15 2018 01: +0,1.435,55
51,Dec 16 2018 01: +0,1.496,45
52,Dec 17 2018 01: +0,1.474,24
53,Dec 18 2018 01: +0,1.478,23
