,time,price,volume
0,Jul 05 2019 01: +0,4.063,117
1,Jul 06 2019 01: +0,4.251,267
2,Jul 07 2019 01: +0,3.999,212
3,Jul 08 2019 01: +0,3.769,260
4,Jul 09 2019 01: +0,3.817,298
5,Jul 10 2019 01: +0,3.915,213
6,Jul 11 2019 01: +0,3.836,248
7,Jul 12 2019 01: +0,3.826,273
8,Jul 13 2019 01: +0,3.702,252
9,Jul 14 2019 01: +0,3.822,241
10,Jul 15 2019 01: +0,4.057,193
11,Jul 16 2019 01: +0,4.312,156
12,Jul 17 2019 01: +0,4.057,138
13,Jul 18 2019 01: +0,4.104,154
14,Jul 19 2019 01: +0,4.043,178
15,Jul 20 2019 01: +0,3.798,185
16,Jul 21 2019 01: +0,3.929,144
17,Jul 22 2019 01: +0,3.899,132
18,Jul 23 2019 01: +0,3.841,150
19,Jul 24 2019 01: +0,3.985,162
20,Jul 25 2019 01: +0,3.799,199
21,Jul 26 2019 01: +0,3.581,193
22,Jul 27 2019 01: +0,3.63,154
23,Jul 28 2019 01: +0,3.567,172
24,Jul 29 2019 01: +0,3.623,147
25,Jul 30 2019 01: +0,3.723,127
26,Jul 31 2019 01: +0,3.717,131
27,Aug 01 2019 01: +0,3.639,152
28,Aug 02 2019 01: +0,3.711,144
29,Aug 03 2019 01: +0,3.638,105
30,Aug 04 2019 01: +0,3.702,145
31,Aug 05 2019 01: +0,3.212,159
32,Aug 06 2019 01: +0,3.549,177
33,Aug 07 2019 01: +0,3.43,119
34,Aug 08 2019 01: +0,3.451,145
35,Aug 09 2019 01: +0,3.354,206
36,Aug 10 2019 01: +0,3.313,159
37,Aug 11 2019 01: +0,3.265,120
38,Aug 12 2019 01: +0,3.271,122
39,Aug 13 2019 01: +0,3.224,102
40,Aug 14 2019 01: +0,3.3,137
41,Aug 15 2019 01: +0,3.166,101
42,Aug 16 2019 01: +0,2.973,152
43,Aug 17 2019 01: +0,3.074,123
44,Aug 18 2019 01: +0,3.098,111
45,Aug 19 2019 01: +0,2.983,149
46,Aug 20 2019 01: +0,2.572,112
47,Aug 21 2019 01: +0,2.806,115
