,time,price,volume
0,May 01 2020 01: +0,5.317,67
1,May 02 2020 01: +0,4.671,79
2,May 03 2020 01: +0,3.892,75
3,May 04 2020 01: +0,3.759,74
4,May 05 2020 01: +0,4.057,53
5,May 06 2020 01: +0,4.238,64
6,May 07 2020 01: +0,4.256,58
7,May 08 2020 01: +0,4.07,70
8,May 09 2020 01: +0,3.718,73
9,May 10 2020 01: +0,3.805,52
10,May 11 2020 01: +0,3.46,30
11,May 12 2020 01: +0,3.599,73
12,May 13 2020 01: +0,3.909,90
13,May 14 2020 01: +0,3.769,43
14,May 15 2020 01: +0,3.653,67
15,May 16 2020 01: +0,3.543,50
16,May 17 2020 01: +0,3.392,51
17,May 18 2020 01: +0,3.751,47
18,May 19 2020 01: +0,3.817,68
19,May 20 2020 01: +0,3.451,36
20,May 21 2020 01: +0,3.612,44
21,May 22 2020 01: +0,3.493,55
22,May 23 2020 01: +0,3.532,43
23,May 24 2020 01: +0,3.52,103
24,May 25 2020 01: +0,3.758,93
25,May 26 2020 01: +0,3.734,85
26,May 27 2020 01: +0,3.858,34
27,May 28 2020 01: +0,3.583,51
28,May 29 2020 01: +0,3.238,75
29,May 30 2020 01: +0,3.42,34
30,May 31 2020 01: +0,3.326,45
31,Jun 01 2020 01: +0,3.556,49
32,Jun 02 2020 01: +0,3.295,71
33,Jun 03 2020 01: +0,3.395,40
34,Jun 04 2020 01: +0,3.474,55
35,Jun 05 2020 01: +0,3.422,33
36,Jun 06 2020 01: +0,3.456,38
37,Jun 07 2020 01: +0,3.453,39
38,Jun 08 2020 01: +0,3.524,34
39,Jun 09 2020 01: +0,3.461,39
40,Jun 10 2020 01: +0,3.478,23
41,Jun 11 2020 01: +0,3.375,49
42,Jun 12 2020 01: +0,3.258,42
43,Jun 13 2020 01: +0,3.33,30
44,Jun 14 2020 01: +0,3.518,51
45,Jun 15 2020 01: +0,3.688,38
46,Jun 16 2020 01: +0,3.442,32
47,Jun 17 2020 01: +0,3.573,36
48,Jun 18 2020 01: +0,3.545,27
49,Jun 19 2020 01: +0,3.232,47
50,Jun 20 2020 01: +0,3.177,51
51,Jun 21 2020 01: +0,3.25,31
52,Jun 22 2020 01: +0,3.191,41
53,Jun 23 2020 01: +0,3.198,31
54,Jun 24 2020 01: +0,3.371,37
55,Jun 25 2020 01: +0,3.207,38
56,Jun 26 2020 01: +0,2.969,33
57,Jun 27 2020 01: +0,3.016,44
58,Jun 28 2020 01: +0,3.184,28
59,Jun 29 2020 01: +0,3.117,30
60,Jun 30 2020 01: +0,3.314,44
61,Jul 01 2020 01: +0,3.183,36
62,Jul 02 2020 01: +0,3.452,50
63,Jul 03 2020 01: +0,3.376,34
64,Jul 04 2020 01: +0,3.379,28
65,Jul 05 2020 01: +0,3.181,32
66,Jul 06 2020 01: +0,3.553,38
67,Jul 07 2020 01: +0,3.29,27
68,Jul 08 2020 01: +0,3.565,65
69,Jul 09 2020 01: +0,3.388,34
70,Jul 10 2020 01: +0,3.446,45
71,Jul 11 2020 03: +0,3.58,1
72,Jul 11 2020 05: +0,3.224,2
73,Jul 11 2020 06: +0,2.944,1
74,Jul 11 2020 07: +0,3.58,3
75,Jul 11 2020 08: +0,3.58,3
76,Jul 11 2020 10: +0,3.586,4
77,Jul 11 2020 11: +0,3.26,2
78,Jul 11 2020 12: +0,3.329,2
79,Jul 11 2020 14: +0,3.648,2
80,Jul 11 2020 17: +0,3.615,2
81,Jul 11 2020 18: +0,3.953,1
82,Jul 11 2020 19: +0,4.021,5
83,Jul 11 2020 20: +0,4.117,5
84,Jul 11 2020 21: +0,4.215,6
85,Jul 11 2020 22: +0,2.433,1
86,Jul 11 2020 23: +0,3.955,2
87,Jul 12 2020 00: +0,4.46,1
88,Jul 12 2020 01: +0,4.6,1
89,Jul 12 2020 02: +0,4.596,1
90,Jul 12 2020 03: +0,4.6,1
91,Jul 12 2020 04: +0,3.105,1
92,Jul 12 2020 05: +0,4.79,1
93,Jul 12 2020 08: +0,4.736,1
94,Jul 12 2020 09: +0,3.315,2
95,Jul 12 2020 10: +0,4.74,2
96,Jul 12 2020 11: +0,4.165,2
97,Jul 12 2020 12: +0,3.586,3
98,Jul 12 2020 13: +0,4.715,1
99,Jul 12 2020 15: +0,3.214,1
100,Jul 12 2020 16: +0,3.585,1
101,Jul 12 2020 17: +0,3.502,3
102,Jul 12 2020 18: +0,3.549,1
103,Jul 12 2020 20: +0,3.52,1
104,Jul 12 2020 21: +0,3.547,1
105,Jul 12 2020 22: +0,3.57,3
106,Jul 12 2020 23: +0,4.518,1
107,Jul 13 2020 00: +0,3.558,1
108,Jul 13 2020 02: +0,3.882,2
109,Jul 13 2020 04: +0,4.534,1
110,Jul 13 2020 09: +0,4.69,1
111,Jul 13 2020 10: +0,4.702,1
112,Jul 13 2020 11: +0,4.643,1
113,Jul 13 2020 12: +0,4.503,2
114,Jul 13 2020 13: +0,4.475,2
115,Jul 13 2020 15: +0,3.867,2
116,Jul 13 2020 16: +0,3.829,2
117,Jul 13 2020 17: +0,4.408,1
118,Jul 13 2020 18: +0,3.356,2
119,Jul 13 2020 19: +0,4.414,4
120,Jul 13 2020 20: +0,3.526,3
121,Jul 13 2020 21: +0,3.504,1
122,Jul 13 2020 22: +0,3.42,2
123,Jul 13 2020 23: +0,3.314,2
124,Jul 14 2020 00: +0,4.31,2
125,Jul 14 2020 03: +0,3.392,2
126,Jul 14 2020 04: +0,3.804,2
127,Jul 14 2020 05: +0,4.301,1
128,Jul 14 2020 07: +0,3.234,2
129,Jul 14 2020 08: +0,3.853,2
130,Jul 14 2020 09: +0,4.169,1
131,Jul 14 2020 10: +0,4.143,1
132,Jul 14 2020 11: +0,3.242,1
133,Jul 14 2020 12: +0,3.6,1
134,Jul 14 2020 15: +0,3.555,2
135,Jul 14 2020 16: +0,3.536,2
136,Jul 14 2020 17: +0,3.612,2
137,Jul 14 2020 18: +0,3.285,1
138,Jul 14 2020 19: +0,3.977,1
139,Jul 14 2020 20: +0,3.044,1
140,Jul 14 2020 21: +0,3.58,1
141,Jul 14 2020 22: +0,3.56,1
142,Jul 15 2020 01: +0,3.59,1
143,Jul 15 2020 02: +0,3.939,1
144,Jul 15 2020 04: +0,3.947,2
145,Jul 15 2020 05: +0,3.94,3
146,Jul 15 2020 06: +0,4.09,3
147,Jul 15 2020 08: +0,3.224,1
148,Jul 15 2020 09: +0,3.493,1
149,Jul 15 2020 10: +0,4.1,3
150,Jul 15 2020 11: +0,4.098,4
151,Jul 15 2020 12: +0,3.977,1
152,Jul 15 2020 13: +0,4.094,1
153,Jul 15 2020 14: +0,4.094,1
154,Jul 15 2020 16: +0,3.772,2
155,Jul 15 2020 18: +0,4.064,2
156,Jul 15 2020 19: +0,4.08,3
157,Jul 15 2020 20: +0,4.08,3
158,Jul 15 2020 23: +0,4.09,3
159,Jul 16 2020 00: +0,4.092,1
160,Jul 16 2020 03: +0,4.105,1
161,Jul 16 2020 04: +0,3.546,2
162,Jul 16 2020 05: +0,4.101,1
163,Jul 16 2020 06: +0,2.858,1
164,Jul 16 2020 08: +0,3.098,1
165,Jul 16 2020 09: +0,4.041,1
166,Jul 16 2020 10: +0,4.046,1
167,Jul 16 2020 11: +0,4.04,1
168,Jul 16 2020 12: +0,3.612,2
169,Jul 16 2020 13: +0,3.663,1
170,Jul 16 2020 14: +0,3.433,2
171,Jul 16 2020 16: +0,2.816,1
172,Jul 16 2020 17: +0,3.24,5
173,Jul 16 2020 18: +0,3.65,3
174,Jul 16 2020 19: +0,3.663,4
175,Jul 16 2020 20: +0,3.846,4
176,Jul 16 2020 21: +0,3.829,3
177,Jul 16 2020 22: +0,3.826,4
178,Jul 16 2020 23: +0,4.027,2
179,Jul 17 2020 00: +0,4.03,2
180,Jul 17 2020 01: +0,4.03,1
181,Jul 17 2020 04: +0,4.024,1
182,Jul 17 2020 05: +0,4.02,1
183,Jul 17 2020 06: +0,3.79,1
184,Jul 17 2020 07: +0,3.689,2
185,Jul 17 2020 08: +0,3.929,1
186,Jul 17 2020 09: +0,3.605,2
187,Jul 17 2020 10: +0,2.903,1
188,Jul 17 2020 11: +0,3.614,2
189,Jul 17 2020 14: +0,3.98,1
190,Jul 17 2020 16: +0,3.697,2
191,Jul 17 2020 19: +0,3.496,2
192,Jul 17 2020 20: +0,3.968,2
193,Jul 17 2020 21: +0,3.88,3
194,Jul 17 2020 22: +0,3.412,1
195,Jul 17 2020 23: +0,3.182,3
196,Jul 18 2020 00: +0,3.41,2
197,Jul 18 2020 01: +0,3.81,5
198,Jul 18 2020 02: +0,3.95,5
199,Jul 18 2020 03: +0,3.95,1
200,Jul 18 2020 05: +0,3.685,4
201,Jul 18 2020 06: +0,3.935,2
202,Jul 18 2020 08: +0,3.857,1
203,Jul 18 2020 09: +0,3.84,1
204,Jul 18 2020 10: +0,3.347,2
205,Jul 18 2020 11: +0,3.823,1
206,Jul 18 2020 12: +0,3.822,1
207,Jul 18 2020 13: +0,3.729,1
208,Jul 18 2020 14: +0,3.755,1
209,Jul 18 2020 15: +0,3.23,1
210,Jul 18 2020 16: +0,3.82,2
211,Jul 18 2020 17: +0,3.846,3
212,Jul 18 2020 18: +0,3.846,1
213,Jul 18 2020 20: +0,3.845,2
214,Jul 18 2020 21: +0,3.831,1
215,Jul 18 2020 23: +0,3.843,1
216,Jul 19 2020 02: +0,3.45,3
217,Jul 19 2020 03: +0,3.543,1
218,Jul 19 2020 04: +0,3.664,2
219,Jul 19 2020 05: +0,3.503,1
220,Jul 19 2020 07: +0,3.402,2
221,Jul 19 2020 08: +0,3.61,4
222,Jul 19 2020 09: +0,3.831,1
223,Jul 19 2020 11: +0,3.828,1
224,Jul 19 2020 13: +0,3.825,1
225,Jul 19 2020 14: +0,3.84,1
226,Jul 19 2020 15: +0,3.843,1
227,Jul 19 2020 17: +0,3.02,1
228,Jul 19 2020 18: +0,3.47,3
229,Jul 19 2020 19: +0,3.839,2
230,Jul 19 2020 20: +0,3.84,1
231,Jul 19 2020 21: +0,3.03,1
232,Jul 19 2020 22: +0,3.341,3
233,Jul 20 2020 01: +0,3.504,1
234,Jul 20 2020 03: +0,3.744,2
235,Jul 20 2020 04: +0,3.001,1
236,Jul 20 2020 06: +0,3.34,1
237,Jul 20 2020 07: +0,3.75,1
238,Jul 20 2020 08: +0,3.821,2
239,Jul 20 2020 10: +0,3.654,2
240,Jul 20 2020 12: +0,3.562,1
241,Jul 20 2020 14: +0,3.819,1
242,Jul 20 2020 15: +0,3.13,1
243,Jul 20 2020 16: +0,3.036,2
244,Jul 20 2020 17: +0,3.477,2
245,Jul 20 2020 18: +0,3.824,2
246,Jul 20 2020 19: +0,3.82,1
247,Jul 20 2020 20: +0,3.823,3
248,Jul 20 2020 21: +0,3.869,2
249,Jul 20 2020 23: +0,3.795,4
250,Jul 21 2020 00: +0,3.517,4
251,Jul 21 2020 01: +0,3.86,3
252,Jul 21 2020 02: +0,3.867,4
253,Jul 21 2020 03: +0,3.216,2
