,time,price,volume
0,Jun 04 2020 01: +0,2.494,42
1,Jun 05 2020 01: +0,2.075,126
2,Jun 06 2020 01: +0,2.058,91
3,Jun 07 2020 01: +0,2.002,119
4,Jun 08 2020 01: +0,1.977,91
5,Jun 09 2020 01: +0,1.935,95
6,Jun 10 2020 01: +0,1.945,89
7,Jun 11 2020 01: +0,1.851,113
8,Jun 12 2020 01: +0,1.769,136
9,Jun 13 2020 01: +0,1.876,106
10,Jun 14 2020 01: +0,1.761,71
11,Jun 15 2020 01: +0,1.866,111
12,Jun 16 2020 01: +0,1.911,135
13,Jun 17 2020 01: +0,1.884,104
14,Jun 18 2020 01: +0,1.989,77
15,Jun 19 2020 01: +0,1.9,178
16,Jun 20 2020 01: +0,2.248,165
17,Jun 21 2020 01: +0,2.339,136
18,Jun 22 2020 01: +0,2.253,99
19,Jun 23 2020 01: +0,2.104,66
20,Jun 24 2020 01: +0,1.952,88
21,Jun 25 2020 01: +0,1.967,101
22,Jun 26 2020 01: +0,1.98,91
23,Jun 27 2020 01: +0,1.968,116
24,Jun 28 2020 01: +0,1.995,88
25,Jun 29 2020 01: +0,1.869,57
26,Jun 30 2020 01: +0,1.878,68
27,Jul 01 2020 01: +0,1.896,83
28,Jul 02 2020 01: +0,1.846,113
29,Jul 03 2020 01: +0,2.063,103
30,Jul 04 2020 01: +0,1.944,59
31,Jul 05 2020 01: +0,2.007,48
32,Jul 06 2020 01: +0,2.061,51
33,Jul 07 2020 01: +0,2.086,61
34,Jul 08 2020 01: +0,2.093,85
35,Jul 09 2020 01: +0,2.065,85
36,Jul 10 2020 01: +0,2.084,95
37,Jul 11 2020 01: +0,2.078,6
38,Jul 11 2020 02: +0,2.15,7
39,Jul 11 2020 03: +0,2.15,5
40,Jul 11 2020 04: +0,2.04,4
41,Jul 11 2020 05: +0,2.08,3
42,Jul 11 2020 06: +0,2.019,1
43,Jul 11 2020 07: +0,2.066,2
44,Jul 11 2020 08: +0,2.061,2
45,Jul 11 2020 09: +0,2.105,5
46,Jul 11 2020 10: +0,2.139,2
47,Jul 11 2020 11: +0,1.901,2
48,Jul 11 2020 12: +0,2.159,2
49,Jul 11 2020 13: +0,1.988,1
50,Jul 11 2020 14: +0,2.149,3
51,Jul 11 2020 15: +0,2.18,5
52,Jul 11 2020 16: +0,2.161,4
53,Jul 11 2020 17: +0,2.164,4
54,Jul 11 2020 18: +0,2.168,2
55,Jul 11 2020 19: +0,2.043,2
56,Jul 11 2020 20: +0,1.68,1
57,Jul 11 2020 21: +0,2.017,2
58,Jul 11 2020 22: +0,1.718,1
59,Jul 11 2020 23: +0,2.142,4
60,Jul 12 2020 01: +0,2.0,3
61,Jul 12 2020 02: +0,2.1,3
62,Jul 12 2020 04: +0,2.145,4
63,Jul 12 2020 05: +0,2.144,2
64,Jul 12 2020 06: +0,2.14,1
65,Jul 12 2020 08: +0,2.117,4
66,Jul 12 2020 09: +0,2.157,3
67,Jul 12 2020 10: +0,2.157,3
68,Jul 12 2020 11: +0,2.112,1
69,Jul 12 2020 12: +0,2.09,3
70,Jul 12 2020 13: +0,2.035,1
71,Jul 12 2020 14: +0,2.14,1
72,Jul 12 2020 15: +0,2.139,1
73,Jul 12 2020 17: +0,2.08,1
74,Jul 12 2020 18: +0,2.133,6
75,Jul 12 2020 19: +0,2.176,4
76,Jul 12 2020 20: +0,2.18,10
77,Jul 12 2020 21: +0,2.2,9
78,Jul 12 2020 22: +0,2.207,7
79,Jul 12 2020 23: +0,2.22,3
80,Jul 13 2020 00: +0,2.243,3
81,Jul 13 2020 01: +0,2.15,4
82,Jul 13 2020 02: +0,2.3,4
83,Jul 13 2020 03: +0,2.231,2
84,Jul 13 2020 04: +0,2.325,1
85,Jul 13 2020 05: +0,2.326,3
86,Jul 13 2020 06: +0,2.093,2
87,Jul 13 2020 07: +0,2.1,1
88,Jul 13 2020 08: +0,2.337,1
89,Jul 13 2020 09: +0,2.142,2
90,Jul 13 2020 10: +0,2.33,5
91,Jul 13 2020 11: +0,2.128,3
92,Jul 13 2020 13: +0,1.875,2
93,Jul 13 2020 14: +0,1.92,2
94,Jul 13 2020 15: +0,2.11,1
95,Jul 13 2020 16: +0,2.112,1
96,Jul 13 2020 17: +0,2.078,3
97,Jul 13 2020 18: +0,2.142,4
98,Jul 13 2020 19: +0,2.178,8
99,Jul 13 2020 20: +0,2.217,8
100,Jul 13 2020 21: +0,2.368,6
101,Jul 13 2020 22: +0,2.391,3
102,Jul 13 2020 23: +0,2.1,1
103,Jul 14 2020 00: +0,2.1,1
104,Jul 14 2020 01: +0,2.117,3
105,Jul 14 2020 02: +0,2.168,2
106,Jul 14 2020 03: +0,1.995,2
107,Jul 14 2020 04: +0,2.14,1
108,Jul 14 2020 05: +0,2.09,3
109,Jul 14 2020 06: +0,2.18,2
110,Jul 14 2020 07: +0,1.994,2
111,Jul 14 2020 08: +0,1.855,2
112,Jul 14 2020 09: +0,2.118,1
113,Jul 14 2020 10: +0,2.143,2
114,Jul 14 2020 11: +0,2.114,2
115,Jul 14 2020 12: +0,2.062,2
116,Jul 14 2020 13: +0,2.085,2
117,Jul 14 2020 14: +0,2.141,5
118,Jul 14 2020 15: +0,2.128,2
119,Jul 14 2020 16: +0,2.119,2
120,Jul 14 2020 18: +0,2.041,4
121,Jul 14 2020 19: +0,2.206,5
122,Jul 14 2020 20: +0,2.039,3
123,Jul 14 2020 21: +0,2.258,4
124,Jul 14 2020 22: +0,1.885,3
125,Jul 14 2020 23: +0,1.817,1
126,Jul 15 2020 00: +0,2.043,1
127,Jul 15 2020 01: +0,1.902,2
128,Jul 15 2020 02: +0,2.07,3
129,Jul 15 2020 03: +0,2.124,2
130,Jul 15 2020 04: +0,2.0,3
131,Jul 15 2020 05: +0,1.974,2
132,Jul 15 2020 06: +0,2.273,2
133,Jul 15 2020 07: +0,2.291,2
134,Jul 15 2020 08: +0,2.075,2
135,Jul 15 2020 09: +0,2.292,1
136,Jul 15 2020 10: +0,2.134,3
137,Jul 15 2020 11: +0,2.12,2
138,Jul 15 2020 12: +0,2.38,6
139,Jul 15 2020 13: +0,2.395,7
140,Jul 15 2020 14: +0,2.187,8
141,Jul 15 2020 15: +0,2.418,4
142,Jul 15 2020 16: +0,2.43,5
143,Jul 15 2020 17: +0,2.2,2
144,Jul 15 2020 18: +0,2.44,2
145,Jul 15 2020 19: +0,2.003,4
146,Jul 15 2020 20: +0,2.43,2
147,Jul 15 2020 21: +0,2.41,3
148,Jul 15 2020 22: +0,2.115,5
149,Jul 15 2020 23: +0,2.184,3
150,Jul 16 2020 00: +0,2.408,2
151,Jul 16 2020 01: +0,2.3,1
152,Jul 16 2020 02: +0,2.18,1
153,Jul 16 2020 03: +0,1.84,1
154,Jul 16 2020 05: +0,2.22,1
155,Jul 16 2020 06: +0,2.026,2
156,Jul 16 2020 07: +0,2.227,1
157,Jul 16 2020 08: +0,2.04,1
158,Jul 16 2020 09: +0,1.899,1
159,Jul 16 2020 10: +0,2.162,2
160,Jul 16 2020 11: +0,2.22,3
161,Jul 16 2020 12: +0,2.227,1
162,Jul 16 2020 13: +0,2.183,2
163,Jul 16 2020 14: +0,2.229,5
164,Jul 16 2020 15: +0,2.286,5
165,Jul 16 2020 16: +0,2.266,2
166,Jul 16 2020 17: +0,2.202,2
167,Jul 16 2020 18: +0,1.97,1
168,Jul 16 2020 19: +0,2.02,3
169,Jul 16 2020 20: +0,2.195,5
170,Jul 16 2020 21: +0,1.966,4
171,Jul 16 2020 22: +0,2.189,2
172,Jul 16 2020 23: +0,2.03,3
173,Jul 17 2020 00: +0,2.19,3
174,Jul 17 2020 01: +0,2.075,2
175,Jul 17 2020 02: +0,1.84,1
176,Jul 17 2020 03: +0,2.0,1
177,Jul 17 2020 04: +0,2.178,1
178,Jul 17 2020 05: +0,2.14,1
179,Jul 17 2020 06: +0,2.137,2
180,Jul 17 2020 07: +0,2.177,1
181,Jul 17 2020 08: +0,2.21,2
182,Jul 17 2020 09: +0,2.203,2
183,Jul 17 2020 10: +0,2.023,2
184,Jul 17 2020 12: +0,2.223,2
185,Jul 17 2020 13: +0,2.257,4
186,Jul 17 2020 14: +0,2.256,6
187,Jul 17 2020 15: +0,2.222,4
188,Jul 17 2020 16: +0,2.27,5
189,Jul 17 2020 17: +0,2.299,3
190,Jul 17 2020 18: +0,2.27,1
191,Jul 17 2020 19: +0,2.184,4
192,Jul 17 2020 20: +0,2.197,7
193,Jul 17 2020 21: +0,2.27,9
194,Jul 17 2020 22: +0,2.188,1
195,Jul 17 2020 23: +0,2.045,2
196,Jul 18 2020 01: +0,2.054,3
197,Jul 18 2020 02: +0,2.169,4
198,Jul 18 2020 03: +0,2.156,4
199,Jul 18 2020 04: +0,2.197,6
200,Jul 18 2020 05: +0,2.23,4
201,Jul 18 2020 06: +0,2.27,6
202,Jul 18 2020 07: +0,2.294,7
203,Jul 18 2020 08: +0,2.3,5
204,Jul 18 2020 09: +0,2.295,6
205,Jul 18 2020 10: +0,2.192,4
206,Jul 18 2020 11: +0,2.283,5
207,Jul 18 2020 12: +0,2.328,3
208,Jul 18 2020 13: +0,1.862,4
209,Jul 18 2020 14: +0,2.39,3
210,Jul 18 2020 15: +0,2.419,3
211,Jul 18 2020 16: +0,2.44,4
212,Jul 18 2020 17: +0,2.4,5
213,Jul 18 2020 18: +0,2.43,5
214,Jul 18 2020 19: +0,2.367,2
215,Jul 18 2020 20: +0,2.408,3
216,Jul 18 2020 21: +0,1.851,1
217,Jul 18 2020 22: +0,2.011,3
218,Jul 18 2020 23: +0,2.423,2
219,Jul 19 2020 00: +0,2.431,1
220,Jul 19 2020 02: +0,2.241,3
221,Jul 19 2020 03: +0,2.227,2
222,Jul 19 2020 04: +0,2.39,3
223,Jul 19 2020 06: +0,2.162,1
224,Jul 19 2020 07: +0,1.724,2
225,Jul 19 2020 09: +0,2.03,3
226,Jul 19 2020 10: +0,1.822,2
227,Jul 19 2020 11: +0,1.803,1
228,Jul 19 2020 13: +0,1.89,4
229,Jul 19 2020 14: +0,1.948,4
230,Jul 19 2020 15: +0,2.155,6
231,Jul 19 2020 16: +0,1.949,4
232,Jul 19 2020 17: +0,2.24,3
233,Jul 19 2020 18: +0,2.245,2
