,time,price,volume
0,Aug 17 2017 01: +0,2.213,8
1,Aug 18 2017 01: +0,1.662,39
2,Aug 19 2017 01: +0,1.605,46
3,Aug 20 2017 01: +0,1.969,34
4,Aug 21 2017 01: +0,1.827,30
5,Aug 22 2017 01: +0,1.499,22
6,Aug 23 2017 01: +0,1.605,23
7,Aug 24 2017 01: +0,1.374,31
8,Aug 25 2017 01: +0,1.183,34
9,Aug 26 2017 01: +0,1.328,26
10,Aug 27 2017 01: +0,1.361,32
11,Aug 28 2017 01: +0,1.448,20
12,Aug 29 2017 01: +0,1.319,20
13,Aug 30 2017 01: +0,1.38,27
14,Aug 31 2017 01: +0,1.307,27
15,Sep 01 2017 01: +0,1.348,20
16,Sep 02 2017 01: +0,1.205,36
17,Sep 03 2017 01: +0,1.317,33
18,Sep 04 2017 01: +0,1.245,24
19,Sep 05 2017 01: +0,1.347,14
20,Sep 06 2017 01: +0,1.381,13
21,Sep 07 2017 01: +0,1.274,21
22,Sep 08 2017 01: +0,1.21,13
23,Sep 09 2017 01: +0,1.204,17
24,Sep 10 2017 01: +0,1.208,38
25,Sep 11 2017 01: +0,1.185,25
26,Sep 12 2017 01: +0,1.261,22
27,Sep 13 2017 01: +0,1.346,22
28,Sep 14 2017 01: +0,1.454,24
29,Sep 15 2017 01: +0,1.544,23
30,Sep 16 2017 01: +0,1.248,34
31,Sep 17 2017 01: +0,1.285,21
32,Sep 18 2017 01: +0,1.473,25
33,Sep 19 2017 01: +0,1.436,14
34,Sep 20 2017 01: +0,1.457,5
35,Sep 21 2017 01: +0,1.352,15
36,Sep 22 2017 01: +0,1.162,30
37,Sep 23 2017 01: +0,1.493,22
38,Sep 24 2017 01: +0,1.275,37
39,Sep 25 2017 01: +0,1.423,14
40,Sep 26 2017 01: +0,1.354,15
41,Sep 27 2017 01: +0,1.299,18
42,Sep 28 2017 01: +0,1.308,19
43,Sep 29 2017 01: +0,1.105,13
44,Sep 30 2017 01: +0,1.143,18
45,Oct 01 2017 01: +0,1.1,35
46,Oct 02 2017 01: +0,1.118,16
47,Oct 03 2017 01: +0,1.149,16
48,Oct 04 2017 01: +0,1.274,18
49,Oct 05 2017 01: +0,1.213,19
50,Oct 06 2017 01: +0,1.337,10
51,Oct 07 2017 01: +0,1.165,8
52,Oct 08 2017 01: +0,1.129,17
53,Oct 09 2017 01: +0,1.082,10
54,Oct 10 2017 01: +0,1.051,9
55,Oct 11 2017 01: +0,1.133,17
56,Oct 12 2017 01: +0,1.086,14
57,Oct 13 2017 01: +0,0.948,10
58,Oct 14 2017 01: +0,1.05,16
59,Oct 15 2017 01: +0,1.033,16
60,Oct 16 2017 01: +0,1.028,10
61,Oct 17 2017 01: +0,1.011,21
62,Oct 18 2017 01: +0,1.033,7
63,Oct 19 2017 01: +0,0.984,16
64,Oct 20 2017 01: +0,1.052,14
65,Oct 21 2017 01: +0,1.017,13
66,Oct 22 2017 01: +0,0.915,16
67,Oct 23 2017 01: +0,1.12,9
68,Oct 24 2017 01: +0,1.029,12
69,Oct 25 2017 01: +0,1.045,13
70,Oct 26 2017 01: +0,0.939,15
71,Oct 27 2017 01: +0,0.951,13
72,Oct 28 2017 01: +0,0.87,11
73,Oct 29 2017 01: +0,0.936,20
74,Oct 30 2017 01: +0,0.911,14
75,Oct 31 2017 01: +0,0.98,13
76,Nov 01 2017 01: +0,0.914,13
77,Nov 02 2017 01: +0,0.898,22
78,Nov 03 2017 01: +0,0.894,14
79,Nov 04 2017 01: +0,0.895,18
80,Nov 05 2017 01: +0,0.916,22
