,time,price,volume
0,Mar 01 2019 01: +0,2.783,58
1,Mar 02 2019 01: +0,2.49,75
2,Mar 03 2019 01: +0,2.584,56
3,Mar 04 2019 01: +0,2.288,48
4,Mar 05 2019 01: +0,2.212,41
5,Mar 06 2019 01: +0,2.13,54
6,Mar 07 2019 01: +0,1.88,61
7,Mar 08 2019 01: +0,1.919,48
8,Mar 09 2019 01: +0,2.021,64
9,Mar 10 2019 01: +0,2.053,53
10,Mar 11 2019 01: +0,2.118,76
11,Mar 12 2019 01: +0,2.125,52
12,Mar 13 2019 01: +0,2.139,50
13,Mar 14 2019 01: +0,2.051,50
14,Mar 15 2019 01: +0,1.866,63
15,Mar 16 2019 01: +0,1.999,43
16,Mar 17 2019 01: +0,2.118,54
17,Mar 18 2019 01: +0,2.112,42
18,Mar 19 2019 01: +0,1.912,28
19,Mar 20 2019 01: +0,1.992,31
20,Mar 21 2019 01: +0,1.923,44
21,Mar 22 2019 01: +0,1.828,39
22,Mar 23 2019 01: +0,1.65,65
23,Mar 24 2019 01: +0,1.787,45
24,Mar 25 2019 01: +0,1.742,33
25,Mar 26 2019 01: +0,1.679,35
26,Mar 27 2019 01: +0,1.756,55
27,Mar 28 2019 01: +0,1.708,32
28,Mar 29 2019 01: +0,1.689,40
29,Mar 30 2019 01: +0,1.606,44
30,Mar 31 2019 01: +0,1.628,54
31,Apr 01 2019 01: +0,1.663,51
32,Apr 02 2019 01: +0,1.651,43
33,Apr 03 2019 01: +0,1.642,26
34,Apr 04 2019 01: +0,1.62,32
35,Apr 05 2019 01: +0,1.634,41
36,Apr 06 2019 01: +0,1.698,57
37,Apr 07 2019 01: +0,1.657,47
38,Apr 08 2019 01: +0,1.637,35
39,Apr 09 2019 01: +0,1.605,41
40,Apr 10 2019 01: +0,1.665,56
41,Apr 11 2019 01: +0,1.676,30
42,Apr 12 2019 01: +0,1.625,70
43,Apr 13 2019 01: +0,1.744,56
44,Apr 14 2019 01: +0,1.894,42
45,Apr 15 2019 01: +0,1.851,31
46,Apr 16 2019 01: +0,1.882,37
47,Apr 17 2019 01: +0,1.98,40
48,Apr 18 2019 01: +0,1.946,37
49,Apr 19 2019 01: +0,1.965,55
50,Apr 20 2019 01: +0,2.002,36
51,Apr 21 2019 01: +0,1.941,33
52,Apr 22 2019 01: +0,2.021,32
53,Apr 23 2019 01: +0,1.986,48
54,Apr 24 2019 01: +0,1.988,16
55,Apr 25 2019 01: +0,2.054,45
56,Apr 26 2019 01: +0,1.892,25
57,Apr 27 2019 01: +0,1.898,42
58,Apr 28 2019 01: +0,1.964,55
59,Apr 29 2019 01: +0,2.084,30
60,Apr 30 2019 01: +0,2.025,21
61,May 01 2019 01: +0,1.919,19
62,May 02 2019 01: +0,1.829,30
63,May 03 2019 01: +0,1.89,23
64,May 04 2019 01: +0,1.785,34
65,May 05 2019 01: +0,1.846,34
66,May 06 2019 01: +0,1.961,13
67,May 07 2019 01: +0,1.914,26
68,May 08 2019 01: +0,1.948,26
69,May 09 2019 01: +0,1.933,16
70,May 10 2019 01: +0,1.897,33
71,May 11 2019 01: +0,1.881,26
72,May 12 2019 01: +0,1.824,23
73,May 13 2019 01: +0,1.821,21
74,May 14 2019 01: +0,1.984,25
75,May 15 2019 01: +0,1.925,19
76,May 16 2019 01: +0,1.959,24
77,May 17 2019 01: +0,1.964,18
78,May 18 2019 01: +0,1.911,31
79,May 19 2019 01: +0,1.948,33
80,May 20 2019 01: +0,1.928,35
81,May 21 2019 01: +0,1.981,16
82,May 22 2019 01: +0,1.949,22
83,May 23 2019 01: +0,1.987,19
84,May 24 2019 01: +0,1.725,37
85,May 25 2019 01: +0,1.864,31
86,May 26 2019 01: +0,1.876,35
87,May 27 2019 01: +0,1.889,19
88,May 28 2019 01: +0,1.996,13
89,May 29 2019 01: +0,1.826,18
90,May 30 2019 01: +0,2.003,12
91,May 31 2019 01: +0,1.949,33
92,Jun 01 2019 01: +0,1.984,20
93,Jun 02 2019 01: +0,1.856,21
94,Jun 03 2019 01: +0,1.817,19
95,Jun 04 2019 01: +0,1.874,20
96,Jun 05 2019 01: +0,1.835,15
97,Jun 06 2019 01: +0,1.972,25
98,Jun 07 2019 01: +0,2.029,33
99,Jun 08 2019 01: +0,1.976,20
100,Jun 09 2019 01: +0,2.007,26
101,Jun 10 2019 01: +0,2.019,15
102,Jun 11 2019 01: +0,1.974,19
103,Jun 12 2019 01: +0,1.986,26
104,Jun 13 2019 01: +0,2.072,43
105,Jun 14 2019 01: +0,2.202,28
106,Jun 15 2019 01: +0,2.233,59
107,Jun 16 2019 01: +0,2.215,33
108,Jun 17 2019 01: +0,2.213,20
109,Jun 18 2019 01: +0,2.205,33
110,Jun 19 2019 01: +0,2.172,34
111,Jun 20 2019 01: +0,2.167,37
112,Jun 21 2019 01: +0,2.177,30
113,Jun 22 2019 01: +0,2.193,35
114,Jun 23 2019 01: +0,2.156,32
115,Jun 24 2019 01: +0,2.265,19
116,Jun 25 2019 01: +0,2.268,25
117,Jun 26 2019 01: +0,2.269,31
118,Jun 27 2019 01: +0,2.151,26
119,Jun 28 2019 01: +0,2.273,30
120,Jun 29 2019 01: +0,2.083,30
121,Jun 30 2019 01: +0,2.178,36
