,time,price,volume
0,Mar 23 2018 01: +0,1.718,6
1,Mar 24 2018 01: +0,1.62,1
2,Mar 25 2018 01: +0,1.442,6
3,Mar 26 2018 01: +0,1.527,8
4,Mar 27 2018 01: +0,1.604,4
5,Mar 28 2018 01: +0,1.9,3
6,Mar 29 2018 01: +0,1.739,4
7,Mar 30 2018 01: +0,1.269,5
8,Mar 31 2018 01: +0,1.78,1
9,Apr 01 2018 01: +0,1.437,6
10,Apr 02 2018 01: +0,1.78,1
11,Apr 03 2018 01: +0,1.48,2
12,Apr 04 2018 01: +0,1.313,7
13,Apr 05 2018 01: +0,1.568,5
14,Apr 06 2018 01: +0,1.31,2
15,Apr 07 2018 01: +0,1.333,3
16,Apr 09 2018 01: +0,1.439,2
17,Apr 10 2018 01: +0,1.552,2
18,Apr 11 2018 01: +0,1.492,8
19,Apr 12 2018 01: +0,1.249,1
20,Apr 13 2018 01: +0,1.347,8
21,Apr 14 2018 01: +0,1.371,1
22,Apr 15 2018 01: +0,1.459,4
23,Apr 16 2018 01: +0,1.334,4
24,Apr 17 2018 01: +0,1.299,2
25,Apr 18 2018 01: +0,1.416,1
26,Apr 19 2018 01: +0,1.502,2
27,Apr 20 2018 01: +0,1.288,3
28,Apr 21 2018 01: +0,1.25,5
29,Apr 22 2018 01: +0,1.414,6
30,Apr 23 2018 01: +0,1.337,3
31,Apr 24 2018 01: +0,1.477,2
32,Apr 25 2018 01: +0,1.438,4
33,Apr 26 2018 01: +0,1.083,1
34,Apr 27 2018 01: +0,1.329,5
35,Apr 29 2018 01: +0,1.546,1
36,Apr 30 2018 01: +0,1.499,3
37,May 01 2018 01: +0,1.255,1
38,May 02 2018 01: +0,1.331,3
39,May 04 2018 01: +0,1.121,3
40,May 05 2018 01: +0,1.062,3
41,May 06 2018 01: +0,1.218,4
42,May 07 2018 01: +0,1.111,3
43,May 08 2018 01: +0,1.279,3
44,May 09 2018 01: +0,1.421,1
45,May 10 2018 01: +0,1.417,2
46,May 11 2018 01: +0,1.18,4
47,May 12 2018 01: +0,1.15,1
48,May 13 2018 01: +0,1.008,4
49,May 14 2018 01: +0,1.19,1
50,May 16 2018 01: +0,1.179,3
51,May 18 2018 01: +0,1.111,6
52,May 19 2018 01: +0,1.202,2
53,May 20 2018 01: +0,1.25,3
54,May 21 2018 01: +0,1.24,1
55,May 22 2018 01: +0,1.128,3
56,May 23 2018 01: +0,1.24,1
57,May 24 2018 01: +0,1.253,1
58,May 25 2018 01: +0,1.244,3
59,May 26 2018 01: +0,1.282,2
60,May 27 2018 01: +0,1.272,2
61,May 28 2018 01: +0,1.28,3
62,May 29 2018 01: +0,1.29,2
63,May 30 2018 01: +0,1.284,2
64,Jun 01 2018 01: +0,1.236,2
65,Jun 02 2018 01: +0,1.27,1
66,Jun 03 2018 01: +0,1.04,4
67,Jun 04 2018 01: +0,1.228,2
68,Jun 05 2018 01: +0,1.248,2
69,Jun 07 2018 01: +0,1.259,1
70,Jun 08 2018 01: +0,1.3,1
71,Jun 09 2018 01: +0,1.207,1
72,Jun 10 2018 01: +0,1.011,1
73,Jun 11 2018 01: +0,0.918,1
74,Jun 12 2018 01: +0,1.096,2
75,Jun 13 2018 01: +0,1.001,1
76,Jun 14 2018 01: +0,1.157,4
77,Jun 16 2018 01: +0,1.168,3
78,Jun 17 2018 01: +0,1.07,2
79,Jun 18 2018 01: +0,1.291,5
80,Jun 19 2018 01: +0,1.368,5
81,Jun 20 2018 01: +0,1.167,1
82,Jun 21 2018 01: +0,1.3,3
83,Jun 22 2018 01: +0,1.302,3
84,Jun 23 2018 01: +0,0.819,2
85,Jun 24 2018 01: +0,1.233,1
86,Jun 25 2018 01: +0,1.192,4
87,Jun 26 2018 01: +0,1.477,4
88,Jun 27 2018 01: +0,1.0,1
89,Jun 28 2018 01: +0,1.167,3
90,Jun 29 2018 01: +0,1.527,6
91,Jul 01 2018 01: +0,1.571,2
92,Jul 02 2018 01: +0,1.493,1
93,Jul 03 2018 01: +0,0.919,1
94,Jul 04 2018 01: +0,1.52,3
95,Jul 05 2018 01: +0,1.563,2
96,Jul 06 2018 01: +0,1.56,1
97,Jul 07 2018 01: +0,1.508,2
98,Jul 08 2018 01: +0,1.528,1
99,Jul 09 2018 01: +0,1.487,3
100,Jul 10 2018 01: +0,0.345,2
101,Jul 11 2018 01: +0,1.579,4
102,Jul 12 2018 01: +0,1.664,2
103,Jul 13 2018 01: +0,1.522,2
104,Jul 14 2018 01: +0,1.65,2
105,Jul 15 2018 01: +0,2.05,4
106,Jul 16 2018 01: +0,2.373,4
107,Jul 20 2018 01: +0,2.04,1
108,Jul 22 2018 01: +0,1.463,2
109,Jul 23 2018 01: +0,1.78,2
110,Jul 25 2018 01: +0,1.598,5
111,Jul 26 2018 01: +0,1.514,5
112,Jul 27 2018 01: +0,1.55,1
113,Jul 28 2018 01: +0,1.459,2
114,Jul 29 2018 01: +0,1.525,3
115,Jul 30 2018 01: +0,1.341,2
116,Jul 31 2018 01: +0,1.79,1
117,Aug 01 2018 01: +0,1.957,2
118,Aug 02 2018 01: +0,1.179,1
119,Aug 04 2018 01: +0,1.768,2
120,Aug 05 2018 01: +0,2.177,1
121,Aug 06 2018 01: +0,1.32,1
122,Aug 07 2018 01: +0,1.46,1
123,Aug 08 2018 01: +0,1.756,3
124,Aug 09 2018 01: +0,2.289,1
125,Aug 11 2018 01: +0,1.625,3
126,Aug 12 2018 01: +0,1.825,2
127,Aug 13 2018 01: +0,1.554,4
128,Aug 14 2018 01: +0,1.99,2
129,Aug 16 2018 01: +0,1.944,1
130,Aug 17 2018 01: +0,2.216,1
131,Aug 18 2018 01: +0,2.22,1
132,Aug 19 2018 01: +0,1.284,1
133,Aug 21 2018 01: +0,2.191,1
134,Aug 22 2018 01: +0,1.333,2
135,Aug 24 2018 01: +0,1.999,2
136,Aug 25 2018 01: +0,2.19,1
137,Aug 26 2018 01: +0,1.32,1
138,Aug 27 2018 01: +0,1.802,2
139,Aug 29 2018 01: +0,1.924,1
140,Sep 01 2018 01: +0,1.731,4
141,Sep 02 2018 01: +0,1.996,2
142,Sep 03 2018 01: +0,1.995,1
143,Sep 05 2018 01: +0,1.668,1
144,Sep 06 2018 01: +0,1.85,1
145,Sep 07 2018 01: +0,1.439,3
146,Sep 08 2018 01: +0,1.78,1
147,Sep 09 2018 01: +0,1.79,1
148,Sep 10 2018 01: +0,1.51,2
149,Sep 11 2018 01: +0,1.667,1
150,Sep 15 2018 01: +0,1.42,3
151,Sep 16 2018 01: +0,1.47,1
152,Sep 17 2018 01: +0,1.44,3
153,Sep 18 2018 01: +0,1.383,2
154,Sep 20 2018 01: +0,1.496,3
155,Sep 22 2018 01: +0,1.495,3
156,Sep 24 2018 01: +0,1.79,1
157,Sep 25 2018 01: +0,1.65,2
158,Sep 27 2018 01: +0,1.489,4
159,Sep 28 2018 01: +0,1.624,1
160,Sep 29 2018 01: +0,1.61,2
161,Sep 30 2018 01: +0,1.747,3
162,Oct 02 2018 01: +0,1.78,2
163,Oct 03 2018 01: +0,1.98,1
164,Oct 04 2018 01: +0,1.602,1
165,Oct 06 2018 01: +0,1.586,2
166,Oct 07 2018 01: +0,1.534,5
167,Oct 08 2018 01: +0,1.514,4
168,Oct 09 2018 01: +0,1.36,2
169,Oct 10 2018 01: +0,1.461,1
170,Oct 11 2018 01: +0,1.461,1
171,Oct 12 2018 01: +0,0.92,1
172,Oct 13 2018 01: +0,1.592,2
173,Oct 14 2018 01: +0,1.58,1
174,Oct 15 2018 01: +0,1.389,1
175,Oct 16 2018 01: +0,1.42,2
176,Oct 17 2018 01: +0,1.231,2
177,Oct 19 2018 01: +0,1.375,2
178,Oct 20 2018 01: +0,1.462,4
179,Oct 21 2018 01: +0,1.245,2
180,Oct 23 2018 01: +0,1.45,1
181,Oct 24 2018 01: +0,1.39,1
182,Oct 25 2018 01: +0,1.366,1
183,Oct 26 2018 01: +0,1.49,1
184,Oct 27 2018 01: +0,1.492,2
185,Oct 28 2018 01: +0,1.49,1
186,Oct 30 2018 01: +0,1.376,2
187,Oct 31 2018 01: +0,1.475,3
188,Nov 01 2018 01: +0,1.492,3
189,Nov 02 2018 01: +0,1.554,1
190,Nov 04 2018 01: +0,1.425,2
191,Nov 06 2018 01: +0,1.555,1
192,Nov 07 2018 01: +0,1.167,2
193,Nov 08 2018 01: +0,1.566,3
194,Nov 09 2018 01: +0,1.545,4
195,Nov 10 2018 01: +0,1.54,2
196,Nov 11 2018 01: +0,1.727,6
197,Nov 12 2018 01: +0,1.727,2
198,Nov 13 2018 01: +0,1.035,1
199,Nov 14 2018 01: +0,1.34,3
200,Nov 16 2018 01: +0,1.49,4
