,time,price,volume
0,Dec 23 2016 01: +0,17.25,1
1,Dec 25 2016 01: +0,14.415,2
2,Dec 26 2016 01: +0,8.586,2
3,Dec 27 2016 01: +0,10.509,2
4,Dec 28 2016 01: +0,15.0,1
5,Dec 29 2016 01: +0,2.897,21
6,Dec 30 2016 01: +0,2.615,38
7,Dec 31 2016 01: +0,2.672,22
8,Jan 01 2017 01: +0,2.516,25
9,Jan 02 2017 01: +0,2.458,25
10,Jan 03 2017 01: +0,2.675,19
11,Jan 04 2017 01: +0,2.599,19
12,Jan 05 2017 01: +0,2.482,36
13,Jan 06 2017 01: +0,2.528,29
14,Jan 07 2017 01: +0,2.619,19
15,Jan 08 2017 01: +0,2.668,28
16,Jan 09 2017 01: +0,2.635,17
17,Jan 10 2017 01: +0,2.542,19
18,Jan 11 2017 01: +0,2.935,22
19,Jan 12 2017 01: +0,3.068,40
20,Jan 13 2017 01: +0,3.409,30
21,Jan 14 2017 01: +0,3.519,26
22,Jan 15 2017 01: +0,3.469,30
23,Jan 16 2017 01: +0,3.523,25
24,Jan 17 2017 01: +0,3.77,22
25,Jan 18 2017 01: +0,3.564,20
26,Jan 19 2017 01: +0,3.544,31
27,Jan 20 2017 01: +0,3.268,16
28,Jan 21 2017 01: +0,3.478,23
29,Jan 22 2017 01: +0,3.195,17
30,Jan 23 2017 01: +0,3.103,9
31,Jan 24 2017 01: +0,2.821,15
32,Jan 25 2017 01: +0,2.368,16
33,Jan 26 2017 01: +0,3.022,27
34,Jan 27 2017 01: +0,3.28,17
35,Jan 28 2017 01: +0,3.547,17
36,Jan 29 2017 01: +0,3.515,29
37,Jan 30 2017 01: +0,3.731,14
38,Jan 31 2017 01: +0,3.466,20
39,Feb 01 2017 01: +0,3.472,18
40,Feb 02 2017 01: +0,3.613,23
41,Feb 03 2017 01: +0,4.061,24
42,Feb 04 2017 01: +0,4.098,16
43,Feb 05 2017 01: +0,4.23,14
44,Feb 06 2017 01: +0,4.09,22
45,Feb 07 2017 01: +0,4.074,24
46,Feb 08 2017 01: +0,3.973,17
47,Feb 09 2017 01: +0,3.962,14
48,Feb 10 2017 01: +0,4.079,26
49,Feb 11 2017 01: +0,4.516,24
50,Feb 12 2017 01: +0,4.709,18
51,Feb 13 2017 01: +0,4.484,10
52,Feb 14 2017 01: +0,4.352,21
53,Feb 15 2017 01: +0,4.53,15
54,Feb 16 2017 01: +0,4.972,20
55,Feb 17 2017 01: +0,5.25,20
56,Feb 18 2017 01: +0,5.319,27
57,Feb 19 2017 01: +0,4.458,16
58,Feb 20 2017 01: +0,4.585,16
59,Feb 21 2017 01: +0,4.368,19
60,Feb 22 2017 01: +0,4.663,21
61,Feb 23 2017 01: +0,4.285,14
62,Feb 24 2017 01: +0,4.427,15
63,Feb 25 2017 01: +0,4.703,14
64,Feb 26 2017 01: +0,4.748,20
65,Feb 27 2017 01: +0,4.606,16
66,Feb 28 2017 01: +0,4.745,16
67,Mar 01 2017 01: +0,4.843,11
68,Mar 02 2017 01: +0,4.377,22
69,Mar 03 2017 01: +0,4.144,9
70,Mar 04 2017 01: +0,4.48,21
71,Mar 05 2017 01: +0,4.583,15
72,Mar 06 2017 01: +0,4.249,15
73,Mar 07 2017 01: +0,4.444,14
74,Mar 08 2017 01: +0,4.257,15
75,Mar 09 2017 01: +0,4.65,19
76,Mar 10 2017 01: +0,4.723,22
77,Mar 11 2017 01: +0,4.974,17
78,Mar 12 2017 01: +0,4.76,18
79,Mar 13 2017 01: +0,4.453,16
80,Mar 14 2017 01: +0,4.69,15
81,Mar 15 2017 01: +0,4.683,6
82,Mar 16 2017 01: +0,4.475,13
83,Mar 17 2017 01: +0,4.758,15
84,Mar 18 2017 01: +0,4.424,18
85,Mar 19 2017 01: +0,4.271,16
86,Mar 20 2017 01: +0,4.494,15
87,Mar 21 2017 01: +0,4.794,12
88,Mar 22 2017 01: +0,4.7,8
89,Mar 23 2017 01: +0,4.216,13
90,Mar 24 2017 01: +0,4.339,15
91,Mar 25 2017 01: +0,3.81,17
92,Mar 26 2017 01: +0,4.18,12
93,Mar 27 2017 01: +0,3.816,9
94,Mar 28 2017 01: +0,4.209,11
95,Mar 29 2017 01: +0,3.695,12
96,Mar 30 2017 01: +0,4.007,12
97,Mar 31 2017 01: +0,4.224,11
98,Apr 01 2017 01: +0,3.787,13
99,Apr 02 2017 01: +0,3.53,10
100,Apr 03 2017 01: +0,3.493,9
101,Apr 04 2017 01: +0,3.749,10
102,Apr 05 2017 01: +0,3.866,6
103,Apr 06 2017 01: +0,3.412,14
104,Apr 07 2017 01: +0,3.984,14
105,Apr 08 2017 01: +0,4.131,18
106,Apr 09 2017 01: +0,4.118,12
107,Apr 10 2017 01: +0,4.442,9
108,Apr 11 2017 01: +0,3.829,12
