,time,price,volume
0,Mar 27 2020 01: +0,2.514,127
1,Mar 28 2020 01: +0,2.384,129
2,Mar 29 2020 01: +0,2.307,114
3,Mar 30 2020 01: +0,2.291,102
4,Mar 31 2020 01: +0,2.249,91
5,Apr 01 2020 01: +0,2.209,86
6,Apr 02 2020 01: +0,2.19,117
7,Apr 03 2020 01: +0,2.289,91
8,Apr 04 2020 01: +0,2.306,80
9,Apr 05 2020 01: +0,2.351,101
10,Apr 06 2020 01: +0,2.294,99
11,Apr 07 2020 01: +0,2.308,102
12,Apr 08 2020 01: +0,2.349,100
13,Apr 09 2020 01: +0,2.321,97
14,Apr 10 2020 01: +0,2.489,106
15,Apr 11 2020 01: +0,2.483,90
16,Apr 12 2020 01: +0,2.614,101
17,Apr 13 2020 01: +0,3.048,86
18,Apr 14 2020 01: +0,3.088,68
19,Apr 15 2020 01: +0,2.87,55
20,Apr 16 2020 01: +0,2.965,64
21,Apr 17 2020 01: +0,2.825,72
22,Apr 18 2020 01: +0,2.776,70
23,Apr 19 2020 01: +0,2.719,78
24,Apr 20 2020 01: +0,2.791,56
25,Apr 21 2020 01: +0,2.925,59
26,Apr 22 2020 01: +0,2.747,40
27,Apr 23 2020 01: +0,2.754,57
28,Apr 24 2020 01: +0,2.866,71
29,Apr 25 2020 01: +0,2.857,64
30,Apr 26 2020 01: +0,2.835,60
31,Apr 27 2020 01: +0,2.773,52
32,Apr 28 2020 01: +0,2.91,49
33,Apr 29 2020 01: +0,3.088,68
34,Apr 30 2020 01: +0,3.061,62
35,May 01 2020 01: +0,2.88,49
36,May 02 2020 01: +0,3.095,68
37,May 03 2020 01: +0,3.076,52
38,May 04 2020 01: +0,3.136,55
39,May 05 2020 01: +0,3.086,32
40,May 06 2020 01: +0,3.066,37
41,May 07 2020 01: +0,3.06,64
42,May 08 2020 01: +0,2.991,49
43,May 09 2020 01: +0,3.173,67
44,May 10 2020 01: +0,3.333,48
45,May 11 2020 01: +0,3.402,48
46,May 12 2020 01: +0,3.447,55
47,May 13 2020 01: +0,3.489,37
48,May 14 2020 01: +0,3.424,49
49,May 15 2020 01: +0,3.543,57
50,May 16 2020 01: +0,3.601,51
51,May 17 2020 01: +0,3.339,29
52,May 18 2020 01: +0,3.412,43
53,May 19 2020 01: +0,3.464,36
54,May 20 2020 01: +0,3.517,32
55,May 21 2020 01: +0,3.392,26
56,May 22 2020 01: +0,3.325,51
57,May 23 2020 01: +0,3.59,54
58,May 24 2020 01: +0,3.498,47
59,May 25 2020 01: +0,3.473,42
60,May 26 2020 01: +0,3.148,55
61,May 27 2020 01: +0,3.291,40
62,May 28 2020 01: +0,3.351,46
63,May 29 2020 01: +0,3.224,69
64,May 30 2020 01: +0,3.336,43
65,May 31 2020 01: +0,3.351,41
66,Jun 01 2020 01: +0,3.332,48
67,Jun 02 2020 01: +0,3.285,34
68,Jun 03 2020 01: +0,3.196,34
69,Jun 04 2020 01: +0,3.179,38
70,Jun 05 2020 01: +0,3.243,35
71,Jun 06 2020 01: +0,3.377,35
72,Jun 07 2020 01: +0,3.445,38
73,Jun 08 2020 01: +0,3.304,41
74,Jun 09 2020 01: +0,3.441,43
75,Jun 10 2020 01: +0,3.377,28
76,Jun 11 2020 01: +0,3.401,64
77,Jun 12 2020 01: +0,3.578,59
78,Jun 13 2020 01: +0,3.407,32
79,Jun 14 2020 01: +0,3.539,27
80,Jun 15 2020 01: +0,3.545,40
81,Jun 16 2020 01: +0,3.359,38
82,Jun 17 2020 01: +0,3.516,31
83,Jun 18 2020 01: +0,3.353,30
84,Jun 19 2020 01: +0,3.265,43
85,Jun 20 2020 01: +0,3.078,43
