,time,price,volume
0,Oct 19 2017 01: +0,2.756,8
1,Oct 20 2017 01: +0,2.504,21
2,Oct 21 2017 01: +0,2.246,18
3,Oct 22 2017 01: +0,2.198,9
4,Oct 23 2017 01: +0,2.201,20
5,Oct 24 2017 01: +0,1.998,11
6,Oct 25 2017 01: +0,2.086,16
7,Oct 26 2017 01: +0,2.083,12
8,Oct 27 2017 01: +0,1.589,14
9,Oct 28 2017 01: +0,1.584,14
10,Oct 29 2017 01: +0,1.643,8
11,Oct 30 2017 01: +0,1.682,12
12,Oct 31 2017 01: +0,1.9,6
13,Nov 01 2017 01: +0,1.827,10
14,Nov 02 2017 01: +0,2.058,14
15,Nov 03 2017 01: +0,2.192,7
16,Nov 04 2017 01: +0,2.241,9
17,Nov 05 2017 01: +0,2.082,11
18,Nov 06 2017 01: +0,2.064,8
19,Nov 07 2017 01: +0,1.74,9
20,Nov 08 2017 01: +0,1.628,17
21,Nov 09 2017 01: +0,1.739,12
22,Nov 10 2017 01: +0,1.681,12
23,Nov 11 2017 01: +0,1.478,15
24,Nov 12 2017 01: +0,1.579,10
25,Nov 13 2017 01: +0,1.784,8
26,Nov 14 2017 01: +0,1.97,14
27,Nov 15 2017 01: +0,2.041,15
28,Nov 16 2017 01: +0,1.855,12
29,Nov 17 2017 01: +0,2.077,13
30,Nov 18 2017 01: +0,2.512,15
31,Nov 19 2017 01: +0,2.424,8
32,Nov 20 2017 01: +0,2.352,9
33,Nov 21 2017 01: +0,1.892,14
34,Nov 22 2017 01: +0,2.09,15
35,Nov 23 2017 01: +0,2.184,12
36,Nov 24 2017 01: +0,2.228,10
37,Nov 25 2017 01: +0,1.848,11
38,Nov 26 2017 01: +0,2.079,10
39,Nov 27 2017 01: +0,1.976,10
40,Nov 28 2017 01: +0,2.273,5
41,Nov 29 2017 01: +0,2.27,10
42,Nov 30 2017 01: +0,2.23,8
43,Dec 01 2017 01: +0,2.222,11
44,Dec 02 2017 01: +0,2.272,13
45,Dec 03 2017 01: +0,2.439,12
46,Dec 04 2017 01: +0,2.96,15
47,Dec 05 2017 01: +0,2.716,2
48,Dec 06 2017 01: +0,2.594,11
49,Dec 07 2017 01: +0,2.471,12
50,Dec 08 2017 01: +0,2.542,7
51,Dec 09 2017 01: +0,2.5,9
52,Dec 10 2017 01: +0,2.422,3
53,Dec 11 2017 01: +0,2.571,4
54,Dec 12 2017 01: +0,2.537,9
55,Dec 13 2017 01: +0,2.689,12
56,Dec 14 2017 01: +0,2.683,12
57,Dec 15 2017 01: +0,2.547,10
58,Dec 16 2017 01: +0,2.326,7
59,Dec 17 2017 01: +0,2.539,14
60,Dec 18 2017 01: +0,2.951,10
61,Dec 19 2017 01: +0,3.205,6
62,Dec 20 2017 01: +0,3.061,6
63,Dec 21 2017 01: +0,2.475,7
64,Dec 22 2017 01: +0,2.751,7
