,time,price,volume
0,Apr 06 2017 01: +0,1.12,1
1,Apr 07 2017 01: +0,2.122,1
2,Apr 08 2017 01: +0,1.526,4
3,Apr 09 2017 01: +0,1.23,3
4,Apr 10 2017 01: +0,1.424,4
5,Apr 11 2017 01: +0,1.595,1
6,Apr 12 2017 01: +0,1.653,1
7,Apr 13 2017 01: +0,1.675,2
8,Apr 14 2017 01: +0,1.413,2
9,Apr 15 2017 01: +0,1.449,8
10,Apr 16 2017 01: +0,1.867,7
11,Apr 17 2017 01: +0,1.16,1
12,Apr 18 2017 01: +0,1.712,4
13,Apr 19 2017 01: +0,1.575,2
14,Apr 20 2017 01: +0,1.742,4
15,Apr 21 2017 01: +0,1.659,3
16,Apr 22 2017 01: +0,1.67,6
17,Apr 23 2017 01: +0,1.817,3
18,Apr 24 2017 01: +0,1.728,2
19,Apr 25 2017 01: +0,1.851,2
20,Apr 26 2017 01: +0,1.752,5
21,Apr 27 2017 01: +0,1.799,4
22,Apr 28 2017 01: +0,1.652,3
23,Apr 29 2017 01: +0,1.852,3
24,Apr 30 2017 01: +0,1.635,1
25,May 01 2017 01: +0,1.799,1
26,May 02 2017 01: +0,1.765,2
27,May 03 2017 01: +0,1.575,2
28,May 04 2017 01: +0,1.704,3
29,May 05 2017 01: +0,1.17,1
30,May 06 2017 01: +0,1.541,4
31,May 07 2017 01: +0,1.505,2
32,May 08 2017 01: +0,1.412,6
33,May 09 2017 01: +0,1.431,3
34,May 10 2017 01: +0,1.41,4
35,May 11 2017 01: +0,1.188,4
36,May 12 2017 01: +0,1.53,7
37,May 13 2017 01: +0,1.345,2
38,May 14 2017 01: +0,1.573,4
39,May 15 2017 01: +0,1.615,4
40,May 16 2017 01: +0,1.652,4
41,May 17 2017 01: +0,1.679,2
42,May 18 2017 01: +0,1.715,2
43,May 19 2017 01: +0,1.765,2
44,May 20 2017 01: +0,1.577,4
45,May 21 2017 01: +0,1.653,4
46,May 22 2017 01: +0,1.675,4
47,May 23 2017 01: +0,1.905,2
48,May 24 2017 01: +0,1.89,1
49,May 25 2017 01: +0,1.587,4
50,May 26 2017 01: +0,1.499,1
51,May 27 2017 01: +0,1.51,2
52,May 28 2017 01: +0,1.727,4
53,May 29 2017 01: +0,1.72,1
54,May 30 2017 01: +0,1.741,3
55,May 31 2017 01: +0,1.761,2
56,Jun 01 2017 01: +0,1.745,3
57,Jun 02 2017 01: +0,1.772,3
58,Jun 03 2017 01: +0,1.693,1
59,Jun 04 2017 01: +0,1.838,7
60,Jun 05 2017 01: +0,1.277,1
61,Jun 06 2017 01: +0,1.73,2
62,Jun 07 2017 01: +0,1.816,1
63,Jun 08 2017 01: +0,1.91,2
64,Jun 09 2017 01: +0,1.861,3
65,Jun 10 2017 01: +0,1.925,2
66,Jun 11 2017 01: +0,2.07,3
67,Jun 12 2017 01: +0,2.125,2
68,Jun 14 2017 01: +0,1.534,1
69,Jun 15 2017 01: +0,2.026,2
70,Jun 17 2017 01: +0,2.012,1
71,Jun 18 2017 01: +0,1.982,2
72,Jun 19 2017 01: +0,2.03,5
73,Jun 20 2017 01: +0,1.288,1
74,Jun 21 2017 01: +0,1.613,2
75,Jun 22 2017 01: +0,1.93,1
76,Jun 23 2017 01: +0,1.469,5
77,Jun 24 2017 01: +0,1.436,6
78,Jun 25 2017 01: +0,1.489,4
79,Jun 26 2017 01: +0,1.85,1
80,Jun 27 2017 01: +0,1.619,4
81,Jun 28 2017 01: +0,1.79,1
82,Jun 29 2017 01: +0,2.001,3
83,Jun 30 2017 01: +0,2.205,3
84,Jul 01 2017 01: +0,2.25,3
85,Jul 02 2017 01: +0,2.129,7
86,Jul 03 2017 01: +0,2.39,1
87,Jul 04 2017 01: +0,2.488,2
88,Jul 05 2017 01: +0,2.915,2
89,Jul 06 2017 01: +0,6.792,1
90,Jul 07 2017 01: +0,4.309,1
91,Jul 08 2017 01: +0,2.415,1
92,Jul 09 2017 01: +0,2.769,3
93,Jul 10 2017 01: +0,3.084,2
94,Jul 12 2017 01: +0,3.243,2
95,Jul 13 2017 01: +0,3.23,1
96,Jul 14 2017 01: +0,2.597,1
97,Jul 15 2017 01: +0,2.29,3
98,Jul 16 2017 01: +0,2.518,1
99,Jul 17 2017 01: +0,2.61,1
100,Jul 18 2017 01: +0,2.611,5
101,Jul 21 2017 01: +0,2.646,4
102,Jul 22 2017 01: +0,3.035,2
103,Jul 23 2017 01: +0,2.4,5
104,Jul 24 2017 01: +0,2.624,1
105,Jul 26 2017 01: +0,3.239,1
106,Jul 27 2017 01: +0,3.207,1
107,Jul 28 2017 01: +0,3.13,1
108,Jul 30 2017 01: +0,3.193,2
109,Jul 31 2017 01: +0,3.215,1
110,Aug 02 2017 01: +0,2.986,1
111,Aug 03 2017 01: +0,2.243,3
112,Aug 04 2017 01: +0,1.994,2
113,Aug 06 2017 01: +0,3.039,2
114,Aug 08 2017 01: +0,2.696,3
115,Aug 09 2017 01: +0,3.138,1
116,Aug 10 2017 01: +0,2.849,2
117,Aug 11 2017 01: +0,2.803,2
118,Aug 12 2017 01: +0,2.897,2
119,Aug 13 2017 01: +0,3.024,3
120,Aug 17 2017 01: +0,2.353,2
121,Aug 19 2017 01: +0,2.888,1
122,Aug 20 2017 01: +0,2.899,1
123,Aug 21 2017 01: +0,2.313,3
124,Aug 24 2017 01: +0,1.532,1
125,Aug 25 2017 01: +0,1.86,1
126,Aug 26 2017 01: +0,2.3,1
127,Aug 27 2017 01: +0,2.6,1
128,Aug 28 2017 01: +0,2.62,1
129,Aug 29 2017 01: +0,2.405,2
130,Sep 01 2017 01: +0,2.193,1
131,Sep 04 2017 01: +0,2.072,3
132,Sep 08 2017 01: +0,2.18,1
133,Sep 09 2017 01: +0,2.188,3
134,Sep 10 2017 01: +0,2.21,1
135,Sep 13 2017 01: +0,2.199,1
136,Sep 16 2017 01: +0,1.284,1
137,Sep 18 2017 01: +0,1.952,2
138,Sep 20 2017 01: +0,1.919,1
139,Sep 22 2017 01: +0,1.97,1
140,Sep 24 2017 01: +0,2.062,1
141,Sep 26 2017 01: +0,2.053,2
142,Sep 27 2017 01: +0,2.232,2
143,Sep 29 2017 01: +0,2.254,1
144,Sep 30 2017 01: +0,1.935,2
145,Oct 01 2017 01: +0,2.335,1
146,Oct 04 2017 01: +0,2.35,1
147,Oct 05 2017 01: +0,2.36,1
148,Oct 06 2017 01: +0,2.414,1
149,Oct 07 2017 01: +0,2.42,1
150,Oct 11 2017 01: +0,2.38,2
