,time,price,volume
0,May 05 2017 01: +0,2.063,8
1,May 06 2017 01: +0,2.616,9
2,May 07 2017 01: +0,3.468,3
3,May 08 2017 01: +0,3.26,2
4,May 09 2017 01: +0,3.234,2
5,May 10 2017 01: +0,3.187,2
6,May 11 2017 01: +0,2.497,6
7,May 12 2017 01: +0,2.351,5
8,May 13 2017 01: +0,2.455,4
9,May 14 2017 01: +0,2.214,3
10,May 15 2017 01: +0,2.187,5
11,May 17 2017 01: +0,2.125,3
12,May 18 2017 01: +0,2.365,6
13,May 20 2017 01: +0,2.402,5
14,May 21 2017 01: +0,2.516,2
15,May 22 2017 01: +0,2.55,5
16,May 23 2017 01: +0,2.166,7
17,May 25 2017 01: +0,2.233,2
18,May 26 2017 01: +0,2.236,3
19,May 27 2017 01: +0,2.489,2
20,May 29 2017 01: +0,2.221,6
21,May 30 2017 01: +0,2.468,2
22,May 31 2017 01: +0,2.44,2
23,Jun 01 2017 01: +0,2.453,6
24,Jun 02 2017 01: +0,2.438,4
25,Jun 03 2017 01: +0,2.213,4
26,Jun 05 2017 01: +0,2.458,3
27,Jun 06 2017 01: +0,2.511,3
28,Jun 07 2017 01: +0,2.437,5
29,Jun 08 2017 01: +0,2.837,1
30,Jun 09 2017 01: +0,2.796,5
31,Jun 10 2017 01: +0,2.777,3
32,Jun 11 2017 01: +0,2.824,2
33,Jun 13 2017 01: +0,2.76,1
34,Jun 14 2017 01: +0,2.362,3
35,Jun 15 2017 01: +0,2.771,4
36,Jun 16 2017 01: +0,2.642,2
37,Jun 17 2017 01: +0,2.623,1
38,Jun 19 2017 01: +0,2.595,3
39,Jun 20 2017 01: +0,2.18,2
40,Jun 21 2017 01: +0,2.575,2
41,Jun 23 2017 01: +0,2.491,1
42,Jun 24 2017 01: +0,2.028,1
43,Jun 25 2017 01: +0,2.036,3
44,Jun 26 2017 01: +0,2.213,2
45,Jun 27 2017 01: +0,2.182,2
46,Jun 28 2017 01: +0,2.149,3
47,Jun 29 2017 01: +0,2.208,4
48,Jun 30 2017 01: +0,2.499,2
49,Jul 01 2017 01: +0,2.551,3
50,Jul 02 2017 01: +0,2.575,3
51,Jul 03 2017 01: +0,2.6,1
52,Jul 05 2017 01: +0,1.89,3
53,Jul 06 2017 01: +0,2.19,2
54,Jul 07 2017 01: +0,2.17,2
55,Jul 08 2017 01: +0,2.494,2
56,Jul 09 2017 01: +0,2.327,2
57,Jul 10 2017 01: +0,2.542,4
