,time,price,volume
0,Nov 21 2019 01: +0,2.57,7
1,Nov 22 2019 01: +0,2.024,25
2,Nov 23 2019 01: +0,2.081,20
3,Nov 24 2019 01: +0,2.258,12
4,Nov 25 2019 01: +0,2.156,15
5,Nov 26 2019 01: +0,1.941,9
6,Nov 27 2019 01: +0,1.544,21
7,Nov 28 2019 01: +0,1.588,12
8,Nov 29 2019 01: +0,1.485,28
9,Nov 30 2019 01: +0,1.401,12
10,Dec 01 2019 01: +0,1.56,19
11,Dec 02 2019 01: +0,1.758,19
12,Dec 03 2019 01: +0,1.563,11
13,Dec 04 2019 01: +0,1.465,7
14,Dec 05 2019 01: +0,1.489,21
15,Dec 06 2019 01: +0,1.469,23
16,Dec 07 2019 01: +0,1.324,21
17,Dec 08 2019 01: +0,1.393,16
18,Dec 09 2019 01: +0,1.355,18
19,Dec 10 2019 01: +0,1.428,12
20,Dec 11 2019 01: +0,1.502,10
21,Dec 12 2019 01: +0,1.463,12
22,Dec 13 2019 01: +0,1.558,22
23,Dec 14 2019 01: +0,1.592,23
24,Dec 15 2019 01: +0,1.66,28
25,Dec 16 2019 01: +0,1.553,16
26,Dec 17 2019 01: +0,1.62,21
27,Dec 18 2019 01: +0,1.51,10
28,Dec 19 2019 01: +0,1.513,18
29,Dec 20 2019 01: +0,1.395,23
30,Dec 21 2019 01: +0,1.456,16
31,Dec 22 2019 01: +0,1.349,22
32,Dec 23 2019 01: +0,1.431,22
33,Dec 24 2019 01: +0,1.515,20
34,Dec 25 2019 01: +0,1.826,20
35,Dec 26 2019 01: +0,2.126,18
36,Dec 27 2019 01: +0,1.953,12
37,Dec 28 2019 01: +0,1.853,16
38,Dec 29 2019 01: +0,2.097,20
39,Dec 30 2019 01: +0,1.892,10
40,Dec 31 2019 01: +0,1.984,17
41,Jan 01 2020 01: +0,2.1,23
42,Jan 02 2020 01: +0,2.01,19
43,Jan 03 2020 01: +0,2.072,25
44,Jan 04 2020 01: +0,2.099,15
45,Jan 05 2020 01: +0,2.006,7
46,Jan 06 2020 01: +0,2.034,19
47,Jan 07 2020 01: +0,2.17,12
48,Jan 08 2020 01: +0,2.182,12
49,Jan 09 2020 01: +0,2.201,18
50,Jan 10 2020 01: +0,2.162,19
51,Jan 11 2020 01: +0,2.16,18
52,Jan 12 2020 01: +0,2.182,9
53,Jan 13 2020 01: +0,2.214,13
54,Jan 14 2020 01: +0,1.921,13
55,Jan 15 2020 01: +0,2.404,4
56,Jan 16 2020 01: +0,2.187,10
57,Jan 17 2020 01: +0,2.299,8
58,Jan 18 2020 01: +0,2.216,23
59,Jan 19 2020 01: +0,2.382,5
60,Jan 20 2020 01: +0,1.981,13
61,Jan 21 2020 01: +0,1.928,6
62,Jan 22 2020 01: +0,1.997,10
63,Jan 23 2020 01: +0,1.915,12
64,Jan 24 2020 01: +0,1.917,14
65,Jan 25 2020 01: +0,1.749,10
66,Jan 26 2020 01: +0,2.017,9
67,Jan 27 2020 01: +0,2.055,13
68,Jan 28 2020 01: +0,1.925,15
69,Jan 29 2020 01: +0,1.868,9
70,Jan 30 2020 01: +0,2.097,8
71,Jan 31 2020 01: +0,1.723,6
72,Feb 01 2020 01: +0,1.85,19
73,Feb 02 2020 01: +0,1.876,10
74,Feb 03 2020 01: +0,1.999,21
75,Feb 04 2020 01: +0,2.02,6
76,Feb 05 2020 01: +0,2.195,14
77,Feb 06 2020 01: +0,2.196,10
78,Feb 07 2020 01: +0,2.144,14
79,Feb 08 2020 01: +0,2.453,21
80,Feb 09 2020 01: +0,2.452,6
81,Feb 10 2020 01: +0,2.38,10
82,Feb 11 2020 01: +0,2.031,7
83,Feb 12 2020 01: +0,2.122,11
84,Feb 13 2020 01: +0,2.142,13
85,Feb 14 2020 01: +0,2.143,14
86,Feb 15 2020 01: +0,2.107,7
87,Feb 16 2020 01: +0,2.058,14
88,Feb 17 2020 01: +0,1.977,14
89,Feb 18 2020 01: +0,2.034,13
90,Feb 19 2020 01: +0,2.084,7
91,Feb 20 2020 01: +0,1.971,10
92,Feb 21 2020 01: +0,1.853,17
93,Feb 22 2020 01: +0,2.071,23
94,Feb 23 2020 01: +0,2.048,16
95,Feb 24 2020 01: +0,2.049,6
96,Feb 25 2020 01: +0,1.962,9
97,Feb 26 2020 01: +0,1.741,13
98,Feb 27 2020 01: +0,1.829,6
99,Feb 28 2020 01: +0,1.812,14
100,Feb 29 2020 01: +0,2.022,12
101,Mar 01 2020 01: +0,1.927,15
102,Mar 02 2020 01: +0,2.024,13
103,Mar 03 2020 01: +0,1.983,8
104,Mar 04 2020 01: +0,1.795,9
105,Mar 05 2020 01: +0,1.787,18
106,Mar 06 2020 01: +0,1.922,12
107,Mar 07 2020 01: +0,2.336,16
108,Mar 08 2020 01: +0,2.2,18
109,Mar 09 2020 01: +0,2.228,11
110,Mar 10 2020 01: +0,1.855,11
111,Mar 11 2020 01: +0,1.891,12
112,Mar 12 2020 01: +0,1.706,9
113,Mar 13 2020 01: +0,1.694,25
114,Mar 14 2020 01: +0,1.937,15
115,Mar 15 2020 01: +0,2.001,17
116,Mar 16 2020 01: +0,1.945,6
117,Mar 17 2020 01: +0,1.828,14
118,Mar 18 2020 01: +0,1.883,10
119,Mar 19 2020 01: +0,1.711,7
120,Mar 20 2020 01: +0,1.654,18
121,Mar 21 2020 01: +0,1.687,16
122,Mar 22 2020 01: +0,1.646,22
123,Mar 23 2020 01: +0,1.633,15
124,Mar 24 2020 01: +0,1.567,15
125,Mar 25 2020 01: +0,1.533,12
126,Mar 26 2020 01: +0,1.44,17
127,Mar 27 2020 01: +0,1.493,22
128,Mar 28 2020 01: +0,1.496,19
129,Mar 29 2020 01: +0,1.462,10
130,Mar 30 2020 01: +0,1.458,14
131,Mar 31 2020 01: +0,1.473,15
132,Apr 01 2020 01: +0,1.502,18
133,Apr 02 2020 01: +0,1.52,13
134,Apr 03 2020 01: +0,1.491,14
135,Apr 04 2020 01: +0,1.652,25
136,Apr 05 2020 01: +0,1.665,26
137,Apr 06 2020 01: +0,1.596,24
138,Apr 07 2020 01: +0,1.784,30
139,Apr 08 2020 01: +0,1.804,19
140,Apr 09 2020 01: +0,1.977,21
141,Apr 10 2020 01: +0,2.045,18
142,Apr 11 2020 01: +0,2.152,18
143,Apr 12 2020 01: +0,2.155,17
144,Apr 13 2020 01: +0,2.258,9
145,Apr 14 2020 01: +0,2.18,15
146,Apr 15 2020 01: +0,2.199,12
147,Apr 16 2020 01: +0,1.964,14
148,Apr 17 2020 01: +0,2.152,15
149,Apr 18 2020 01: +0,2.138,18
150,Apr 19 2020 01: +0,1.867,13
151,Apr 20 2020 01: +0,1.895,14
152,Apr 21 2020 01: +0,2.072,9
153,Apr 22 2020 01: +0,2.173,12
154,Apr 23 2020 01: +0,1.986,13
155,Apr 24 2020 01: +0,1.99,13
156,Apr 25 2020 01: +0,2.195,11
157,Apr 26 2020 01: +0,2.228,14
158,Apr 27 2020 01: +0,1.818,7
159,Apr 28 2020 01: +0,1.946,6
160,Apr 29 2020 01: +0,2.056,10
161,Apr 30 2020 01: +0,1.968,16
