,time,price,volume
0,Apr 19 2019 01: +0,5.755,2
1,Apr 20 2019 01: +0,1.944,15
2,Apr 21 2019 01: +0,2.05,22
3,Apr 22 2019 01: +0,2.143,18
4,Apr 23 2019 01: +0,2.098,17
5,Apr 24 2019 01: +0,1.823,12
6,Apr 25 2019 01: +0,1.972,15
7,Apr 26 2019 01: +0,1.769,11
8,Apr 27 2019 01: +0,1.659,18
9,Apr 28 2019 01: +0,1.516,15
10,Apr 29 2019 01: +0,1.846,10
11,Apr 30 2019 01: +0,1.775,12
12,May 01 2019 01: +0,1.686,8
13,May 02 2019 01: +0,1.627,13
14,May 03 2019 01: +0,1.557,15
15,May 04 2019 01: +0,1.498,12
16,May 05 2019 01: +0,1.657,10
17,May 06 2019 01: +0,1.607,8
18,May 07 2019 01: +0,1.512,10
19,May 08 2019 01: +0,1.62,12
20,May 09 2019 01: +0,1.399,7
21,May 10 2019 01: +0,1.349,12
22,May 11 2019 01: +0,1.536,8
23,May 12 2019 01: +0,1.364,15
24,May 13 2019 01: +0,1.424,9
25,May 14 2019 01: +0,1.416,7
26,May 15 2019 01: +0,1.393,8
27,May 16 2019 01: +0,1.302,7
28,May 17 2019 01: +0,1.206,7
29,May 18 2019 01: +0,1.247,3
30,May 19 2019 01: +0,1.258,13
31,May 20 2019 01: +0,1.232,12
32,May 21 2019 01: +0,1.207,7
33,May 22 2019 01: +0,1.255,11
34,May 23 2019 01: +0,1.223,8
35,May 24 2019 01: +0,1.251,5
36,May 25 2019 01: +0,1.25,5
37,May 26 2019 01: +0,1.245,11
38,May 27 2019 01: +0,1.093,3
39,May 28 2019 01: +0,1.231,3
40,May 29 2019 01: +0,1.253,10
41,May 30 2019 01: +0,1.29,6
42,May 31 2019 01: +0,1.139,5
43,Jun 01 2019 01: +0,1.357,4
44,Jun 02 2019 01: +0,1.341,5
45,Jun 03 2019 01: +0,1.191,7
46,Jun 04 2019 01: +0,1.247,6
47,Jun 05 2019 01: +0,1.169,8
48,Jun 06 2019 01: +0,1.193,12
49,Jun 07 2019 01: +0,1.173,14
50,Jun 08 2019 01: +0,1.303,7
51,Jun 09 2019 01: +0,1.273,7
52,Jun 10 2019 01: +0,1.323,6
53,Jun 11 2019 01: +0,1.236,14
54,Jun 12 2019 01: +0,1.337,6
55,Jun 13 2019 01: +0,1.287,7
56,Jun 14 2019 01: +0,1.193,6
57,Jun 15 2019 01: +0,1.238,15
58,Jun 16 2019 01: +0,1.326,12
59,Jun 17 2019 01: +0,1.345,11
60,Jun 18 2019 01: +0,1.232,9
61,Jun 19 2019 01: +0,1.209,10
62,Jun 20 2019 01: +0,1.343,6
63,Jun 21 2019 01: +0,1.31,8
64,Jun 22 2019 01: +0,1.277,7
65,Jun 23 2019 01: +0,1.327,8
66,Jun 24 2019 01: +0,1.267,6
67,Jun 25 2019 01: +0,1.21,11
68,Jun 26 2019 01: +0,1.247,7
69,Jun 27 2019 01: +0,1.326,13
70,Jun 28 2019 01: +0,1.28,5
71,Jun 29 2019 01: +0,1.192,12
72,Jun 30 2019 01: +0,1.264,9
73,Jul 01 2019 01: +0,1.311,16
74,Jul 02 2019 01: +0,1.288,6
75,Jul 03 2019 01: +0,1.127,3
76,Jul 04 2019 01: +0,1.216,7
77,Jul 05 2019 01: +0,1.254,9
78,Jul 06 2019 01: +0,1.293,17
79,Jul 07 2019 01: +0,1.32,7
80,Jul 08 2019 01: +0,1.343,10
81,Jul 09 2019 01: +0,1.482,13
82,Jul 10 2019 01: +0,1.535,3
83,Jul 11 2019 01: +0,1.48,7
84,Jul 12 2019 01: +0,1.491,10
85,Jul 13 2019 01: +0,1.387,11
86,Jul 14 2019 01: +0,1.546,10
87,Jul 15 2019 01: +0,1.589,4
88,Jul 16 2019 01: +0,1.592,5
89,Jul 17 2019 01: +0,1.635,4
90,Jul 18 2019 01: +0,1.501,5
91,Jul 19 2019 01: +0,1.525,6
92,Jul 20 2019 01: +0,1.694,8
93,Jul 21 2019 01: +0,1.653,7
94,Jul 22 2019 01: +0,2.02,3
95,Jul 24 2019 01: +0,1.382,5
96,Jul 25 2019 01: +0,1.515,5
97,Jul 26 2019 01: +0,1.653,4
98,Jul 27 2019 01: +0,1.589,6
99,Jul 28 2019 01: +0,1.489,5
100,Jul 29 2019 01: +0,1.631,5
101,Jul 30 2019 01: +0,0.931,2
102,Jul 31 2019 01: +0,1.176,1
103,Aug 01 2019 01: +0,1.505,5
104,Aug 02 2019 01: +0,1.533,6
105,Aug 03 2019 01: +0,1.467,9
106,Aug 04 2019 01: +0,1.568,7
107,Aug 05 2019 01: +0,1.644,7
108,Aug 06 2019 01: +0,1.533,8
109,Aug 07 2019 01: +0,1.415,5
110,Aug 08 2019 01: +0,1.549,9
111,Aug 09 2019 01: +0,1.628,1
112,Aug 10 2019 01: +0,1.53,9
113,Aug 11 2019 01: +0,1.674,5
114,Aug 12 2019 01: +0,1.655,4
115,Aug 13 2019 01: +0,1.556,5
116,Aug 14 2019 01: +0,1.701,6
117,Aug 15 2019 01: +0,1.382,7
118,Aug 16 2019 01: +0,1.648,7
