,time,price,volume
0,Sep 24 2020 01: +0,2.507,5
1,Sep 25 2020 01: +0,1.768,15
2,Sep 26 2020 01: +0,1.819,22
3,Sep 27 2020 01: +0,1.792,25
4,Sep 28 2020 01: +0,1.894,11
5,Sep 29 2020 01: +0,1.559,14
6,Sep 30 2020 01: +0,1.641,14
7,Oct 01 2020 01: +0,1.823,33
8,Oct 02 2020 01: +0,1.988,22
9,Oct 03 2020 01: +0,2.02,18
10,Oct 04 2020 01: +0,1.834,20
11,Oct 05 2020 01: +0,1.991,19
12,Oct 06 2020 01: +0,1.867,15
13,Oct 07 2020 01: +0,2.068,15
14,Oct 08 2020 01: +0,1.862,10
15,Oct 09 2020 01: +0,1.595,23
16,Oct 10 2020 01: +0,1.944,22
17,Oct 11 2020 01: +0,1.858,21
18,Oct 12 2020 01: +0,1.945,11
19,Oct 13 2020 01: +0,1.918,13
20,Oct 14 2020 01: +0,1.739,12
21,Oct 15 2020 01: +0,1.75,20
22,Oct 16 2020 01: +0,1.902,9
23,Oct 17 2020 01: +0,1.913,13
24,Oct 18 2020 01: +0,1.73,15
25,Oct 19 2020 01: +0,1.958,15
26,Oct 20 2020 01: +0,1.936,13
27,Oct 21 2020 01: +0,1.848,11
28,Oct 22 2020 01: +0,1.812,24
29,Oct 23 2020 01: +0,1.753,20
30,Oct 24 2020 01: +0,1.862,16
31,Oct 25 2020 01: +0,1.899,22
32,Oct 26 2020 01: +0,1.9,14
33,Oct 27 2020 01: +0,1.849,22
34,Oct 28 2020 01: +0,1.955,20
35,Oct 29 2020 01: +0,1.868,26
36,Oct 30 2020 01: +0,1.905,33
37,Oct 31 2020 01: +0,1.811,26
38,Nov 01 2020 01: +0,1.804,17
39,Nov 02 2020 01: +0,1.832,13
40,Nov 03 2020 01: +0,1.884,21
41,Nov 04 2020 01: +0,1.874,25
42,Nov 05 2020 01: +0,1.956,31
43,Nov 06 2020 01: +0,1.986,45
44,Nov 07 2020 01: +0,1.94,22
45,Nov 08 2020 01: +0,2.019,20
46,Nov 09 2020 01: +0,1.988,20
47,Nov 10 2020 01: +0,1.977,24
48,Nov 11 2020 01: +0,1.986,13
49,Nov 12 2020 01: +0,2.035,28
50,Nov 13 2020 01: +0,2.591,17
51,Nov 14 2020 01: +0,2.153,17
52,Nov 15 2020 01: +0,2.136,21
53,Nov 16 2020 01: +0,2.111,19
54,Nov 17 2020 01: +0,2.152,17
55,Nov 18 2020 01: +0,2.045,18
56,Nov 19 2020 01: +0,2.099,23
57,Nov 20 2020 01: +0,2.116,26
58,Nov 21 2020 01: +0,2.236,23
59,Nov 22 2020 01: +0,2.114,18
60,Nov 23 2020 01: +0,2.134,15
61,Nov 24 2020 01: +0,2.029,11
62,Nov 25 2020 01: +0,2.138,23
63,Nov 26 2020 01: +0,2.258,18
64,Nov 27 2020 01: +0,1.812,17
65,Nov 28 2020 01: +0,1.845,22
66,Nov 29 2020 01: +0,2.006,21
67,Nov 30 2020 01: +0,1.964,14
68,Dec 01 2020 01: +0,2.113,18
69,Dec 02 2020 01: +0,2.047,15
70,Dec 03 2020 01: +0,2.06,21
71,Dec 04 2020 01: +0,1.991,31
72,Dec 05 2020 01: +0,2.263,17
73,Dec 06 2020 01: +0,2.25,21
74,Dec 07 2020 01: +0,2.058,20
75,Dec 08 2020 01: +0,2.433,9
76,Dec 09 2020 01: +0,2.166,12
77,Dec 10 2020 01: +0,2.098,18
78,Dec 11 2020 01: +0,2.147,18
79,Dec 12 2020 01: +0,2.13,24
80,Dec 13 2020 01: +0,2.176,22
81,Dec 14 2020 01: +0,2.347,22
82,Dec 15 2020 01: +0,2.319,22
83,Dec 16 2020 01: +0,2.575,18
84,Dec 17 2020 01: +0,2.53,16
85,Dec 18 2020 01: +0,2.402,24
86,Dec 19 2020 01: +0,2.462,14
87,Dec 20 2020 01: +0,1.963,50
88,Dec 21 2020 01: +0,1.719,41
89,Dec 22 2020 01: +0,2.339,32
90,Dec 23 2020 01: +0,2.227,19
91,Dec 24 2020 01: +0,2.296,22
92,Dec 25 2020 01: +0,2.588,50
93,Dec 26 2020 01: +0,3.101,31
94,Dec 27 2020 01: +0,2.991,23
95,Dec 28 2020 01: +0,2.788,24
96,Dec 29 2020 01: +0,2.741,18
97,Dec 30 2020 01: +0,2.877,27
98,Dec 31 2020 01: +0,2.924,16
99,Jan 01 2021 01: +0,2.903,35
100,Jan 02 2021 01: +0,3.009,23
101,Jan 03 2021 01: +0,2.919,23
102,Jan 04 2021 01: +0,3.055,30
103,Jan 05 2021 01: +0,3.064,54
104,Jan 06 2021 01: +0,3.012,37
105,Jan 07 2021 01: +0,4.416,40
106,Jan 08 2021 01: +0,4.466,60
107,Jan 09 2021 01: +0,5.034,30
108,Jan 10 2021 01: +0,4.764,43
109,Jan 11 2021 01: +0,4.737,46
110,Jan 12 2021 01: +0,5.103,31
111,Jan 13 2021 01: +0,5.669,35
112,Jan 14 2021 01: +0,5.326,26
113,Jan 15 2021 01: +0,5.016,36
114,Jan 16 2021 01: +0,5.057,32
115,Jan 17 2021 01: +0,5.113,24
116,Jan 18 2021 01: +0,5.19,24
117,Jan 19 2021 01: +0,5.079,24
118,Jan 20 2021 01: +0,4.211,26
119,Jan 21 2021 01: +0,4.384,24
120,Jan 22 2021 01: +0,4.842,27
121,Jan 23 2021 01: +0,5.021,30
122,Jan 24 2021 01: +0,5.239,27
123,Jan 25 2021 01: +0,5.355,22
124,Jan 26 2021 01: +0,5.229,32
125,Jan 27 2021 01: +0,5.071,18
126,Jan 28 2021 01: +0,5.2,20
127,Jan 29 2021 01: +0,4.65,17
128,Jan 30 2021 01: +0,4.51,21
129,Jan 31 2021 01: +0,4.463,21
130,Feb 01 2021 01: +0,4.616,18
131,Feb 02 2021 01: +0,4.486,15
132,Feb 03 2021 01: +0,4.915,17
133,Feb 04 2021 01: +0,5.001,26
134,Feb 05 2021 01: +0,4.707,30
135,Feb 06 2021 01: +0,4.857,24
136,Feb 07 2021 01: +0,4.938,22
137,Feb 08 2021 01: +0,4.913,8
138,Feb 09 2021 01: +0,4.906,19
