,time,price,volume
0,Jan 11 2018 01: +0,2.481,19
1,Jan 12 2018 01: +0,2.59,71
2,Jan 13 2018 01: +0,2.808,87
3,Jan 14 2018 01: +0,2.936,59
4,Jan 15 2018 01: +0,2.775,41
5,Jan 16 2018 01: +0,2.577,45
6,Jan 17 2018 01: +0,2.453,54
7,Jan 18 2018 01: +0,2.25,62
8,Jan 19 2018 01: +0,1.912,75
9,Jan 20 2018 01: +0,1.98,60
10,Jan 21 2018 01: +0,1.987,53
11,Jan 22 2018 01: +0,2.052,30
12,Jan 23 2018 01: +0,1.935,44
13,Jan 24 2018 01: +0,2.052,24
14,Jan 25 2018 01: +0,2.14,53
15,Jan 26 2018 01: +0,1.777,25
16,Jan 27 2018 01: +0,1.851,44
17,Jan 28 2018 01: +0,1.801,41
18,Jan 29 2018 01: +0,1.766,23
19,Jan 30 2018 01: +0,1.801,25
20,Jan 31 2018 01: +0,1.721,26
21,Feb 01 2018 01: +0,1.79,28
22,Feb 02 2018 01: +0,1.911,38
23,Feb 03 2018 01: +0,1.953,24
24,Feb 04 2018 01: +0,2.031,29
25,Feb 05 2018 01: +0,2.004,14
26,Feb 06 2018 01: +0,1.763,28
27,Feb 07 2018 01: +0,1.832,29
28,Feb 08 2018 01: +0,1.942,31
29,Feb 09 2018 01: +0,2.026,39
30,Feb 10 2018 01: +0,2.136,52
31,Feb 11 2018 01: +0,2.239,35
32,Feb 12 2018 01: +0,2.294,25
33,Feb 13 2018 01: +0,2.41,26
34,Feb 14 2018 01: +0,2.269,21
35,Feb 15 2018 01: +0,2.386,25
36,Feb 16 2018 01: +0,2.081,23
37,Feb 17 2018 01: +0,2.077,36
38,Feb 18 2018 01: +0,2.045,22
39,Feb 19 2018 01: +0,2.046,24
40,Feb 20 2018 01: +0,2.207,22
41,Feb 21 2018 01: +0,2.157,16
42,Feb 22 2018 01: +0,2.048,17
43,Feb 23 2018 01: +0,2.093,21
44,Feb 24 2018 01: +0,2.188,27
45,Feb 25 2018 01: +0,2.239,24
46,Feb 26 2018 01: +0,2.162,21
47,Feb 27 2018 01: +0,2.23,15
48,Feb 28 2018 01: +0,2.163,12
49,Mar 01 2018 01: +0,2.212,32
50,Mar 02 2018 01: +0,2.22,25
51,Mar 03 2018 01: +0,2.171,17
52,Mar 04 2018 01: +0,2.213,40
53,Mar 05 2018 01: +0,2.304,29
54,Mar 06 2018 01: +0,2.261,16
55,Mar 07 2018 01: +0,2.055,14
56,Mar 08 2018 01: +0,2.087,19
57,Mar 09 2018 01: +0,2.193,15
58,Mar 10 2018 01: +0,2.259,26
59,Mar 11 2018 01: +0,2.229,22
60,Mar 12 2018 01: +0,2.015,14
61,Mar 13 2018 01: +0,2.223,16
62,Mar 14 2018 01: +0,2.025,17
63,Mar 15 2018 01: +0,2.232,22
64,Mar 16 2018 01: +0,2.2,16
65,Mar 17 2018 01: +0,2.013,25
66,Mar 18 2018 01: +0,1.932,17
67,Mar 19 2018 01: +0,2.064,10
68,Mar 20 2018 01: +0,2.172,19
69,Mar 21 2018 01: +0,1.974,10
70,Mar 22 2018 01: +0,1.991,11
71,Mar 23 2018 01: +0,2.141,14
72,Mar 24 2018 01: +0,2.055,20
73,Mar 25 2018 01: +0,2.201,16
74,Mar 26 2018 01: +0,2.066,12
75,Mar 27 2018 01: +0,1.855,13
76,Mar 28 2018 01: +0,1.993,14
77,Mar 29 2018 01: +0,2.058,21
78,Mar 30 2018 01: +0,2.068,16
79,Mar 31 2018 01: +0,2.12,21
80,Apr 01 2018 01: +0,2.184,26
81,Apr 02 2018 01: +0,2.189,22
82,Apr 03 2018 01: +0,2.237,23
83,Apr 04 2018 01: +0,2.168,15
84,Apr 05 2018 01: +0,2.213,15
85,Apr 06 2018 01: +0,2.114,12
86,Apr 07 2018 01: +0,2.157,25
87,Apr 08 2018 01: +0,2.146,17
88,Apr 09 2018 01: +0,2.079,22
89,Apr 10 2018 01: +0,2.201,21
90,Apr 11 2018 01: +0,2.218,20
91,Apr 12 2018 01: +0,1.976,17
92,Apr 13 2018 01: +0,2.063,6
93,Apr 14 2018 01: +0,2.035,19
94,Apr 15 2018 01: +0,2.066,21
95,Apr 16 2018 01: +0,2.235,14
96,Apr 17 2018 01: +0,2.055,20
97,Apr 18 2018 01: +0,2.074,8
98,Apr 19 2018 01: +0,2.095,18
99,Apr 20 2018 01: +0,2.095,25
100,Apr 21 2018 01: +0,2.068,25
101,Apr 22 2018 01: +0,2.193,35
102,Apr 23 2018 01: +0,2.092,10
103,Apr 24 2018 01: +0,2.198,12
104,Apr 25 2018 01: +0,2.235,9
105,Apr 26 2018 01: +0,2.116,15
106,Apr 27 2018 01: +0,2.101,9
107,Apr 28 2018 01: +0,1.998,18
108,Apr 29 2018 01: +0,2.08,9
109,Apr 30 2018 01: +0,2.132,12
110,May 01 2018 01: +0,2.174,14
111,May 02 2018 01: +0,2.091,11
112,May 03 2018 01: +0,2.107,16
113,May 04 2018 01: +0,2.153,15
114,May 05 2018 01: +0,2.239,14
115,May 06 2018 01: +0,2.15,17
116,May 07 2018 01: +0,2.15,13
117,May 08 2018 01: +0,2.115,12
118,May 09 2018 01: +0,1.936,13
119,May 10 2018 01: +0,2.147,13
120,May 11 2018 01: +0,2.327,14
121,May 12 2018 01: +0,2.444,15
122,May 13 2018 01: +0,2.488,12
123,May 14 2018 01: +0,2.425,7
124,May 15 2018 01: +0,2.4,10
125,May 16 2018 01: +0,2.03,5
126,May 17 2018 01: +0,2.283,8
127,May 18 2018 01: +0,2.316,12
128,May 19 2018 01: +0,2.142,13
129,May 20 2018 01: +0,1.823,14
130,May 21 2018 01: +0,2.022,10
131,May 22 2018 01: +0,2.144,18
132,May 23 2018 01: +0,1.862,3
133,May 24 2018 01: +0,2.014,7
134,May 25 2018 01: +0,1.986,12
135,May 26 2018 01: +0,2.155,9
136,May 27 2018 01: +0,1.762,12
137,May 28 2018 01: +0,1.798,14
138,May 29 2018 01: +0,1.901,17
139,May 30 2018 01: +0,1.776,8
140,May 31 2018 01: +0,1.814,14
141,Jun 01 2018 01: +0,2.021,10
142,Jun 02 2018 01: +0,2.029,3
143,Jun 03 2018 01: +0,1.913,7
144,Jun 04 2018 01: +0,1.733,12
145,Jun 05 2018 01: +0,1.759,9
146,Jun 06 2018 01: +0,1.957,11
147,Jun 07 2018 01: +0,1.94,10
148,Jun 08 2018 01: +0,1.94,13
149,Jun 09 2018 01: +0,1.87,16
150,Jun 10 2018 01: +0,2.099,15
151,Jun 11 2018 01: +0,2.14,10
152,Jun 12 2018 01: +0,2.18,9
153,Jun 13 2018 01: +0,2.024,9
154,Jun 14 2018 01: +0,2.027,18
155,Jun 15 2018 01: +0,2.13,6
156,Jun 16 2018 01: +0,1.786,10
157,Jun 17 2018 01: +0,2.129,15
158,Jun 18 2018 01: +0,2.168,12
159,Jun 19 2018 01: +0,2.166,9
160,Jun 20 2018 01: +0,1.962,15
161,Jun 21 2018 01: +0,1.73,12
162,Jun 22 2018 01: +0,1.912,19
163,Jun 23 2018 01: +0,1.816,14
164,Jun 24 2018 01: +0,1.822,17
165,Jun 25 2018 01: +0,1.948,20
166,Jun 26 2018 01: +0,2.111,14
167,Jun 27 2018 01: +0,1.972,10
168,Jun 28 2018 01: +0,1.884,17
169,Jun 29 2018 01: +0,1.967,14
170,Jun 30 2018 01: +0,1.834,18
171,Jul 01 2018 01: +0,2.002,17
172,Jul 02 2018 01: +0,2.114,17
173,Jul 03 2018 01: +0,2.152,15
174,Jul 04 2018 01: +0,2.069,22
175,Jul 05 2018 01: +0,2.241,18
176,Jul 06 2018 01: +0,2.317,14
177,Jul 07 2018 01: +0,2.285,20
178,Jul 08 2018 01: +0,2.178,11
179,Jul 09 2018 01: +0,2.227,17
180,Jul 10 2018 01: +0,2.163,17
181,Jul 11 2018 01: +0,2.248,16
182,Jul 12 2018 01: +0,2.189,17
183,Jul 13 2018 01: +0,2.367,11
184,Jul 14 2018 01: +0,2.2,15
185,Jul 15 2018 01: +0,2.347,16
186,Jul 16 2018 01: +0,2.328,18
187,Jul 17 2018 01: +0,2.218,11
188,Jul 18 2018 01: +0,2.279,13
189,Jul 19 2018 01: +0,2.283,12
190,Jul 20 2018 01: +0,2.338,25
191,Jul 21 2018 01: +0,2.264,16
192,Jul 22 2018 01: +0,2.109,8
193,Jul 23 2018 01: +0,2.326,11
194,Jul 24 2018 01: +0,2.337,11
195,Jul 25 2018 01: +0,2.555,9
196,Jul 26 2018 01: +0,2.618,9
197,Jul 27 2018 01: +0,2.595,7
198,Jul 28 2018 01: +0,2.463,10
199,Jul 29 2018 01: +0,2.499,14
200,Jul 30 2018 01: +0,2.266,9
201,Jul 31 2018 01: +0,2.51,6
202,Aug 01 2018 01: +0,2.275,7
203,Aug 02 2018 01: +0,2.448,22
204,Aug 03 2018 01: +0,2.509,5
205,Aug 04 2018 01: +0,2.446,13
206,Aug 05 2018 01: +0,2.432,18
207,Aug 06 2018 01: +0,2.292,11
208,Aug 07 2018 01: +0,2.44,17
209,Aug 08 2018 01: +0,2.32,10
210,Aug 09 2018 01: +0,2.479,12
211,Aug 10 2018 01: +0,2.304,14
212,Aug 11 2018 01: +0,2.202,14
213,Aug 12 2018 01: +0,2.058,22
214,Aug 13 2018 01: +0,2.072,10
215,Aug 14 2018 01: +0,2.273,11
216,Aug 15 2018 01: +0,2.293,10
217,Aug 16 2018 01: +0,2.215,12
218,Aug 17 2018 01: +0,2.19,12
219,Aug 18 2018 01: +0,2.172,5
220,Aug 19 2018 01: +0,2.032,12
221,Aug 20 2018 01: +0,2.134,10
222,Aug 21 2018 01: +0,2.277,8
223,Aug 22 2018 01: +0,2.101,11
224,Aug 23 2018 01: +0,2.246,8
225,Aug 24 2018 01: +0,2.214,12
226,Aug 25 2018 01: +0,2.071,12
227,Aug 26 2018 01: +0,2.187,12
