,time,price,volume
0,May 02 2019 01: +0,2.454,26
1,May 03 2019 01: +0,2.69,120
2,May 04 2019 01: +0,2.739,85
3,May 05 2019 01: +0,2.669,79
4,May 06 2019 01: +0,2.537,50
5,May 07 2019 01: +0,2.534,46
6,May 08 2019 01: +0,2.38,44
7,May 09 2019 01: +0,2.588,71
8,May 10 2019 01: +0,2.449,64
9,May 11 2019 01: +0,2.586,76
10,May 12 2019 01: +0,2.674,46
11,May 13 2019 01: +0,2.539,35
12,May 14 2019 01: +0,2.656,46
13,May 15 2019 01: +0,2.475,42
14,May 16 2019 01: +0,2.664,50
15,May 17 2019 01: +0,2.303,70
16,May 18 2019 01: +0,2.29,40
17,May 19 2019 01: +0,2.532,42
18,May 20 2019 01: +0,2.272,37
19,May 21 2019 01: +0,2.214,37
20,May 22 2019 01: +0,2.356,28
21,May 23 2019 01: +0,2.514,25
22,May 24 2019 01: +0,2.17,35
23,May 25 2019 01: +0,2.203,30
24,May 26 2019 01: +0,2.165,32
25,May 27 2019 01: +0,2.325,42
26,May 28 2019 01: +0,2.226,25
27,May 29 2019 01: +0,2.303,24
28,May 30 2019 01: +0,2.203,27
29,May 31 2019 01: +0,2.116,24
30,Jun 01 2019 01: +0,2.284,29
31,Jun 02 2019 01: +0,2.359,39
32,Jun 03 2019 01: +0,2.322,23
33,Jun 04 2019 01: +0,2.274,26
34,Jun 05 2019 01: +0,2.386,28
35,Jun 06 2019 01: +0,2.468,49
36,Jun 07 2019 01: +0,2.715,45
37,Jun 08 2019 01: +0,2.876,32
38,Jun 09 2019 01: +0,2.866,29
39,Jun 10 2019 01: +0,2.744,40
40,Jun 11 2019 01: +0,2.675,28
41,Jun 12 2019 01: +0,2.746,44
42,Jun 13 2019 01: +0,2.482,27
43,Jun 14 2019 01: +0,2.711,50
44,Jun 15 2019 01: +0,2.714,30
45,Jun 16 2019 01: +0,2.926,48
46,Jun 17 2019 01: +0,2.911,32
47,Jun 18 2019 01: +0,2.967,25
48,Jun 19 2019 01: +0,2.788,17
49,Jun 20 2019 01: +0,2.751,30
50,Jun 21 2019 01: +0,2.566,46
51,Jun 22 2019 01: +0,2.262,46
52,Jun 23 2019 01: +0,2.258,26
53,Jun 24 2019 01: +0,2.399,22
54,Jun 25 2019 01: +0,2.339,37
55,Jun 26 2019 01: +0,2.225,37
56,Jun 27 2019 01: +0,2.267,25
57,Jun 28 2019 01: +0,2.375,21
58,Jun 29 2019 01: +0,2.279,29
59,Jun 30 2019 01: +0,2.208,25
60,Jul 01 2019 01: +0,2.335,24
61,Jul 02 2019 01: +0,2.304,23
62,Jul 03 2019 01: +0,2.259,24
63,Jul 04 2019 01: +0,2.337,49
64,Jul 05 2019 01: +0,2.539,26
65,Jul 06 2019 01: +0,2.499,24
66,Jul 07 2019 01: +0,2.563,28
67,Jul 08 2019 01: +0,2.567,20
68,Jul 09 2019 01: +0,2.426,27
69,Jul 10 2019 01: +0,2.564,31
70,Jul 11 2019 01: +0,2.645,27
71,Jul 12 2019 01: +0,2.72,18
72,Jul 13 2019 01: +0,2.641,29
73,Jul 14 2019 01: +0,2.755,22
74,Jul 15 2019 01: +0,2.834,20
75,Jul 16 2019 01: +0,2.809,14
76,Jul 17 2019 01: +0,2.546,18
77,Jul 18 2019 01: +0,2.775,28
78,Jul 19 2019 01: +0,2.942,38
79,Jul 20 2019 01: +0,2.969,30
80,Jul 21 2019 01: +0,2.902,26
81,Jul 22 2019 01: +0,2.677,24
82,Jul 23 2019 01: +0,2.893,26
83,Jul 24 2019 01: +0,2.851,18
84,Jul 25 2019 01: +0,2.728,34
85,Jul 26 2019 01: +0,2.336,31
86,Jul 27 2019 01: +0,2.282,26
87,Jul 28 2019 01: +0,2.428,26
88,Jul 29 2019 01: +0,2.394,24
89,Jul 30 2019 01: +0,2.677,17
90,Jul 31 2019 01: +0,2.534,22
91,Aug 01 2019 01: +0,2.602,34
92,Aug 02 2019 01: +0,2.733,30
93,Aug 03 2019 01: +0,2.519,13
94,Aug 04 2019 01: +0,2.592,20
95,Aug 05 2019 01: +0,2.671,14
96,Aug 06 2019 01: +0,2.447,16
97,Aug 07 2019 01: +0,2.548,18
98,Aug 08 2019 01: +0,2.656,21
99,Aug 09 2019 01: +0,2.62,26
100,Aug 10 2019 01: +0,2.585,19
101,Aug 11 2019 01: +0,2.553,15
102,Aug 12 2019 01: +0,2.491,21
103,Aug 13 2019 01: +0,2.505,12
