,time,price,volume
0,Jul 12 2018 01: +0,4.54,1
1,Jul 13 2018 01: +0,2.272,4
2,Jul 14 2018 01: +0,2.369,11
3,Jul 15 2018 01: +0,2.523,10
4,Jul 16 2018 01: +0,2.774,9
5,Jul 17 2018 01: +0,2.535,9
6,Jul 18 2018 01: +0,2.488,12
7,Jul 19 2018 01: +0,2.689,17
8,Jul 20 2018 01: +0,2.701,8
9,Jul 21 2018 01: +0,2.465,11
10,Jul 22 2018 01: +0,2.411,17
11,Jul 23 2018 01: +0,2.529,13
12,Jul 24 2018 01: +0,2.35,6
13,Jul 25 2018 01: +0,2.506,5
14,Jul 26 2018 01: +0,2.353,8
15,Jul 27 2018 01: +0,2.188,6
16,Jul 28 2018 01: +0,2.648,9
17,Jul 29 2018 01: +0,2.441,10
18,Jul 30 2018 01: +0,2.404,12
19,Jul 31 2018 01: +0,2.495,9
20,Aug 01 2018 01: +0,2.624,7
21,Aug 02 2018 01: +0,3.185,14
22,Aug 03 2018 01: +0,3.013,7
23,Aug 04 2018 01: +0,2.478,5
24,Aug 05 2018 01: +0,3.529,9
25,Aug 06 2018 01: +0,4.675,3
26,Aug 07 2018 01: +0,2.403,4
27,Aug 08 2018 01: +0,3.571,10
28,Aug 09 2018 01: +0,2.517,11
29,Aug 10 2018 01: +0,2.169,6
30,Aug 11 2018 01: +0,2.364,11
31,Aug 12 2018 01: +0,2.341,15
32,Aug 13 2018 01: +0,2.336,7
33,Aug 14 2018 01: +0,2.635,5
34,Aug 15 2018 01: +0,2.42,2
35,Aug 16 2018 01: +0,2.947,4
36,Aug 17 2018 01: +0,2.654,7
37,Aug 18 2018 01: +0,2.526,6
38,Aug 19 2018 01: +0,2.5,6
39,Aug 20 2018 01: +0,3.104,5
40,Aug 21 2018 01: +0,2.392,5
41,Aug 22 2018 01: +0,3.119,2
42,Aug 23 2018 01: +0,2.548,3
43,Aug 24 2018 01: +0,2.579,6
44,Aug 25 2018 01: +0,2.721,5
45,Aug 26 2018 01: +0,2.876,8
46,Aug 27 2018 01: +0,2.153,3
47,Aug 28 2018 01: +0,2.395,2
48,Aug 29 2018 01: +0,2.236,6
49,Aug 30 2018 01: +0,2.166,9
50,Aug 31 2018 01: +0,2.477,4
51,Sep 01 2018 01: +0,2.554,6
52,Sep 02 2018 01: +0,2.459,5
53,Sep 03 2018 01: +0,2.776,5
54,Sep 04 2018 01: +0,2.463,5
55,Sep 05 2018 01: +0,2.753,2
56,Sep 06 2018 01: +0,2.709,3
57,Sep 07 2018 01: +0,2.307,7
58,Sep 08 2018 01: +0,2.597,4
59,Sep 09 2018 01: +0,2.585,6
60,Sep 10 2018 01: +0,2.198,7
61,Sep 11 2018 01: +0,2.301,4
62,Sep 12 2018 01: +0,2.571,7
63,Sep 13 2018 01: +0,2.483,5
64,Sep 14 2018 01: +0,2.483,5
65,Sep 15 2018 01: +0,2.324,5
66,Sep 16 2018 01: +0,2.403,5
67,Sep 17 2018 01: +0,2.529,3
68,Sep 18 2018 01: +0,2.248,8
69,Sep 19 2018 01: +0,2.562,7
70,Sep 20 2018 01: +0,2.2,2
71,Sep 21 2018 01: +0,2.217,4
72,Sep 22 2018 01: +0,2.074,10
73,Sep 23 2018 01: +0,2.347,9
74,Sep 24 2018 01: +0,2.493,4
75,Sep 25 2018 01: +0,2.056,7
76,Sep 26 2018 01: +0,2.186,5
77,Sep 27 2018 01: +0,2.233,6
78,Sep 28 2018 01: +0,2.342,5
79,Sep 29 2018 01: +0,2.136,4
80,Sep 30 2018 01: +0,2.282,7
81,Oct 01 2018 01: +0,2.431,4
82,Oct 02 2018 01: +0,2.46,6
83,Oct 03 2018 01: +0,2.455,2
84,Oct 04 2018 01: +0,2.395,6
85,Oct 05 2018 01: +0,2.45,13
86,Oct 06 2018 01: +0,2.563,7
87,Oct 07 2018 01: +0,2.659,8
88,Oct 08 2018 01: +0,2.62,4
89,Oct 09 2018 01: +0,2.717,9
90,Oct 10 2018 01: +0,2.777,7
91,Oct 11 2018 01: +0,3.31,1
92,Oct 12 2018 01: +0,2.909,6
93,Oct 13 2018 01: +0,3.407,3
94,Oct 14 2018 01: +0,3.133,6
95,Oct 15 2018 01: +0,3.385,3
96,Oct 16 2018 01: +0,2.862,3
97,Oct 17 2018 01: +0,2.32,1
98,Oct 18 2018 01: +0,3.003,3
99,Oct 19 2018 01: +0,2.194,1
100,Oct 20 2018 01: +0,2.515,9
101,Oct 21 2018 01: +0,2.908,6
102,Oct 22 2018 01: +0,2.497,6
103,Oct 23 2018 01: +0,3.152,4
104,Oct 24 2018 01: +0,2.963,5
105,Oct 25 2018 01: +0,3.193,3
106,Oct 26 2018 01: +0,3.084,3
107,Oct 27 2018 01: +0,2.936,6
108,Oct 28 2018 01: +0,2.725,3
109,Oct 29 2018 01: +0,3.03,4
110,Oct 30 2018 01: +0,3.15,2
111,Oct 31 2018 01: +0,2.755,2
112,Nov 01 2018 01: +0,2.995,11
113,Nov 02 2018 01: +0,3.206,7
114,Nov 03 2018 01: +0,3.381,6
115,Nov 04 2018 01: +0,3.192,6
116,Nov 05 2018 01: +0,3.398,4
117,Nov 06 2018 01: +0,3.526,3
118,Nov 07 2018 01: +0,4.571,3
119,Nov 08 2018 01: +0,4.499,3
120,Nov 09 2018 01: +0,5.48,1
121,Nov 10 2018 01: +0,3.999,3
122,Nov 11 2018 01: +0,4.14,4
123,Nov 12 2018 01: +0,4.491,2
124,Nov 13 2018 01: +0,3.287,2
125,Nov 14 2018 01: +0,4.286,2
126,Nov 15 2018 01: +0,4.3,1
127,Nov 16 2018 01: +0,4.407,2
128,Nov 17 2018 01: +0,3.262,5
129,Nov 18 2018 01: +0,3.286,3
130,Nov 19 2018 01: +0,4.06,4
131,Nov 20 2018 01: +0,4.09,1
