,time,price,volume
0,Aug 10 2017 01: +0,2.404,14
1,Aug 11 2017 01: +0,2.053,30
2,Aug 12 2017 01: +0,2.214,21
3,Aug 13 2017 01: +0,2.255,29
4,Aug 14 2017 01: +0,2.163,29
5,Aug 15 2017 01: +0,1.758,21
6,Aug 16 2017 01: +0,1.793,29
7,Aug 17 2017 01: +0,2.121,27
8,Aug 18 2017 01: +0,2.059,30
9,Aug 19 2017 01: +0,2.269,27
10,Aug 20 2017 01: +0,2.313,24
11,Aug 21 2017 01: +0,2.216,30
12,Aug 22 2017 01: +0,2.259,14
13,Aug 23 2017 01: +0,2.061,19
14,Aug 24 2017 01: +0,1.983,19
15,Aug 25 2017 01: +0,2.067,30
16,Aug 26 2017 01: +0,2.186,27
17,Aug 27 2017 01: +0,2.266,19
18,Aug 28 2017 01: +0,2.003,17
19,Aug 29 2017 01: +0,2.079,15
20,Aug 30 2017 01: +0,2.126,19
21,Aug 31 2017 01: +0,2.048,16
22,Sep 01 2017 01: +0,1.984,18
23,Sep 02 2017 01: +0,2.051,26
24,Sep 03 2017 01: +0,2.102,12
25,Sep 04 2017 01: +0,2.125,14
26,Sep 05 2017 01: +0,2.024,13
27,Sep 06 2017 01: +0,1.849,16
28,Sep 07 2017 01: +0,1.774,17
29,Sep 08 2017 01: +0,1.955,21
30,Sep 09 2017 01: +0,1.998,25
31,Sep 10 2017 01: +0,2.113,15
32,Sep 11 2017 01: +0,2.289,20
33,Sep 12 2017 01: +0,2.028,11
34,Sep 13 2017 01: +0,2.273,9
35,Sep 14 2017 01: +0,2.21,19
36,Sep 15 2017 01: +0,2.06,17
37,Sep 16 2017 01: +0,2.192,19
38,Sep 17 2017 01: +0,2.283,19
39,Sep 18 2017 01: +0,2.303,11
40,Sep 19 2017 01: +0,2.314,11
41,Sep 20 2017 01: +0,2.099,13
42,Sep 21 2017 01: +0,2.322,7
43,Sep 22 2017 01: +0,2.226,18
44,Sep 23 2017 01: +0,2.21,33
45,Sep 24 2017 01: +0,2.435,19
46,Sep 25 2017 01: +0,2.371,9
47,Sep 26 2017 01: +0,2.218,14
48,Sep 27 2017 01: +0,2.139,20
49,Sep 28 2017 01: +0,1.944,18
50,Sep 29 2017 01: +0,2.101,9
51,Sep 30 2017 01: +0,2.235,21
52,Oct 01 2017 01: +0,2.388,28
53,Oct 02 2017 01: +0,2.333,19
54,Oct 03 2017 01: +0,2.22,19
55,Oct 04 2017 01: +0,2.259,13
56,Oct 05 2017 01: +0,2.53,27
57,Oct 06 2017 01: +0,2.58,41
58,Oct 07 2017 01: +0,3.191,41
59,Oct 08 2017 01: +0,4.173,34
60,Oct 09 2017 01: +0,4.198,21
61,Oct 10 2017 01: +0,4.033,16
62,Oct 11 2017 01: +0,3.874,19
63,Oct 12 2017 01: +0,3.647,25
64,Oct 13 2017 01: +0,4.038,25
65,Oct 14 2017 01: +0,3.828,24
66,Oct 15 2017 01: +0,3.916,28
67,Oct 16 2017 01: +0,3.818,20
