,time,price,volume
0,Dec 25 2016 01: +0,29.96,1
1,Dec 26 2016 01: +0,27.22,1
2,Dec 27 2016 01: +0,24.99,1
3,Dec 28 2016 01: +0,13.789,2
4,Dec 29 2016 01: +0,17.309,6
5,Dec 30 2016 01: +0,21.444,7
6,Dec 31 2016 01: +0,28.0,1
7,Jan 01 2017 01: +0,16.864,6
8,Jan 02 2017 01: +0,21.625,3
9,Jan 03 2017 01: +0,16.322,3
10,Jan 04 2017 01: +0,17.876,3
11,Jan 05 2017 01: +0,19.985,2
12,Jan 06 2017 01: +0,22.345,6
13,Jan 07 2017 01: +0,25.01,2
14,Jan 08 2017 01: +0,21.938,4
15,Jan 09 2017 01: +0,24.81,4
16,Jan 11 2017 01: +0,24.911,3
17,Jan 13 2017 01: +0,25.28,2
18,Jan 14 2017 01: +0,28.864,3
19,Jan 16 2017 01: +0,26.544,2
20,Jan 17 2017 01: +0,25.998,1
21,Jan 18 2017 01: +0,29.006,4
22,Jan 19 2017 01: +0,30.705,4
23,Jan 21 2017 01: +0,43.1,1
24,Jan 23 2017 01: +0,37.941,2
25,Jan 24 2017 01: +0,30.4,1
26,Jan 25 2017 01: +0,38.65,1
27,Jan 26 2017 01: +0,33.35,1
28,Jan 27 2017 01: +0,29.0,1
29,Jan 28 2017 01: +0,33.877,4
30,Jan 29 2017 01: +0,40.943,3
31,Jan 31 2017 01: +0,28.0,1
32,Feb 01 2017 01: +0,41.824,4
33,Feb 02 2017 01: +0,30.349,1
34,Feb 04 2017 01: +0,43.27,1
35,Feb 05 2017 01: +0,50.465,3
36,Feb 06 2017 01: +0,34.5,1
37,Feb 07 2017 01: +0,43.085,1
38,Feb 08 2017 01: +0,38.47,2
39,Feb 09 2017 01: +0,50.012,1
40,Feb 10 2017 01: +0,51.44,1
41,Feb 11 2017 01: +0,53.986,3
42,Feb 12 2017 01: +0,57.487,1
43,Feb 15 2017 01: +0,38.152,2
44,Feb 17 2017 01: +0,48.005,2
45,Feb 18 2017 01: +0,55.379,1
46,Feb 19 2017 01: +0,56.46,1
47,Feb 20 2017 01: +0,56.831,2
48,Feb 21 2017 01: +0,52.716,2
49,Feb 22 2017 01: +0,42.28,6
50,Feb 23 2017 01: +0,63.776,3
51,Feb 25 2017 01: +0,69.011,1
52,Feb 26 2017 01: +0,59.469,1
53,Mar 01 2017 01: +0,84.702,2
54,Mar 02 2017 01: +0,48.0,1
55,Mar 05 2017 01: +0,58.211,6
56,Mar 06 2017 01: +0,49.04,1
57,Mar 09 2017 01: +0,69.9,2
58,Mar 10 2017 01: +0,48.3,1
59,Mar 11 2017 01: +0,67.204,1
60,Mar 14 2017 01: +0,67.93,1
61,Mar 15 2017 01: +0,52.893,1
62,Mar 16 2017 01: +0,69.05,1
63,Mar 17 2017 01: +0,64.32,1
64,Mar 18 2017 01: +0,62.734,1
65,Mar 19 2017 01: +0,52.33,2
66,Mar 20 2017 01: +0,47.29,1
67,Mar 21 2017 01: +0,46.997,1
68,Mar 22 2017 01: +0,53.504,2
69,Mar 23 2017 01: +0,56.01,1
70,Mar 24 2017 01: +0,64.67,1
71,Mar 25 2017 01: +0,68.582,1
72,Mar 27 2017 01: +0,68.9,1
73,Mar 28 2017 01: +0,54.05,1
74,Mar 29 2017 01: +0,57.67,1
75,Apr 01 2017 01: +0,50.486,3
76,Apr 04 2017 01: +0,44.849,1
77,Apr 06 2017 01: +0,39.104,1
78,Apr 07 2017 01: +0,50.507,1
79,Apr 08 2017 01: +0,42.353,2
80,Apr 09 2017 01: +0,46.0,1
81,Apr 11 2017 01: +0,46.258,2
82,Apr 13 2017 01: +0,34.5,1
83,Apr 14 2017 01: +0,35.08,1
84,Apr 16 2017 01: +0,40.19,2
85,Apr 17 2017 01: +0,41.663,5
86,Apr 18 2017 01: +0,41.4,1
87,Apr 19 2017 01: +0,64.992,1
88,Apr 21 2017 01: +0,55.66,1
89,Apr 22 2017 01: +0,53.758,2
90,Apr 23 2017 01: +0,50.547,2
91,Apr 24 2017 01: +0,53.615,1
92,Apr 25 2017 01: +0,57.478,2
93,Apr 26 2017 01: +0,63.257,4
94,Apr 27 2017 01: +0,68.511,1
95,Apr 28 2017 01: +0,66.279,1
96,Apr 29 2017 01: +0,63.955,4
97,Apr 30 2017 01: +0,57.5,1
98,May 01 2017 01: +0,52.499,1
99,May 02 2017 01: +0,84.572,1
100,May 04 2017 01: +0,51.005,3
101,May 06 2017 01: +0,67.128,2
102,May 07 2017 01: +0,65.331,2
103,May 08 2017 01: +0,71.184,1
104,May 09 2017 01: +0,78.173,1
105,May 10 2017 01: +0,78.126,1
106,May 12 2017 01: +0,67.0,1
107,May 13 2017 01: +0,76.96,1
108,May 16 2017 01: +0,76.605,4
109,May 17 2017 01: +0,81.292,5
110,May 18 2017 01: +0,88.67,1
111,May 19 2017 01: +0,75.0,1
112,May 20 2017 01: +0,90.389,1
113,May 22 2017 01: +0,71.749,1
114,May 24 2017 01: +0,68.563,1
115,May 25 2017 01: +0,100.686,1
116,May 26 2017 01: +0,83.962,1
117,May 27 2017 01: +0,98.576,2
118,May 28 2017 01: +0,100.52,1
119,May 29 2017 01: +0,115.0,1
120,Jun 04 2017 01: +0,109.397,1
121,Jun 07 2017 01: +0,111.256,2
122,Jun 08 2017 01: +0,109.658,1
123,Jun 13 2017 01: +0,100.013,1
124,Jun 16 2017 01: +0,85.0,1
125,Jun 18 2017 01: +0,108.62,1
126,Jun 19 2017 01: +0,99.071,2
127,Jun 20 2017 01: +0,106.95,1
128,Jun 21 2017 01: +0,79.99,1
129,Jun 23 2017 01: +0,105.8,1
130,Jun 24 2017 01: +0,77.56,1
131,Jun 26 2017 01: +0,103.82,1
132,Jun 27 2017 01: +0,106.018,1
133,Jun 30 2017 01: +0,102.203,2
134,Jul 02 2017 01: +0,95.085,2
135,Jul 04 2017 01: +0,100.013,3
136,Jul 07 2017 01: +0,104.9,1
