,time,price,volume
0,Nov 23 2017 01: +0,1.859,3
1,Nov 24 2017 01: +0,2.131,16
2,Nov 25 2017 01: +0,1.943,12
3,Nov 26 2017 01: +0,1.866,27
4,Nov 27 2017 01: +0,2.073,8
5,Nov 28 2017 01: +0,2.103,8
6,Nov 29 2017 01: +0,2.169,8
7,Nov 30 2017 01: +0,2.087,10
8,Dec 01 2017 01: +0,1.899,14
9,Dec 02 2017 01: +0,1.997,11
10,Dec 03 2017 01: +0,2.135,18
11,Dec 04 2017 01: +0,2.27,11
12,Dec 05 2017 01: +0,2.53,1
13,Dec 06 2017 01: +0,2.199,7
14,Dec 07 2017 01: +0,2.431,11
15,Dec 08 2017 01: +0,2.476,13
16,Dec 09 2017 01: +0,2.952,10
17,Dec 10 2017 01: +0,2.892,11
18,Dec 11 2017 01: +0,2.6,5
19,Dec 12 2017 01: +0,2.581,13
20,Dec 13 2017 01: +0,2.883,3
21,Dec 14 2017 01: +0,2.344,5
22,Dec 15 2017 01: +0,2.165,14
23,Dec 16 2017 01: +0,2.471,10
24,Dec 17 2017 01: +0,2.639,17
25,Dec 18 2017 01: +0,2.66,6
26,Dec 19 2017 01: +0,2.684,6
27,Dec 20 2017 01: +0,2.55,5
28,Dec 21 2017 01: +0,2.786,18
29,Dec 22 2017 01: +0,2.811,12
30,Dec 23 2017 01: +0,2.525,13
31,Dec 24 2017 01: +0,2.531,14
32,Dec 25 2017 01: +0,2.765,19
33,Dec 26 2017 01: +0,3.027,15
34,Dec 27 2017 01: +0,2.76,16
35,Dec 28 2017 01: +0,3.103,3
36,Dec 29 2017 01: +0,2.915,13
37,Dec 30 2017 01: +0,3.128,12
38,Dec 31 2017 01: +0,3.188,7
39,Jan 01 2018 01: +0,3.148,9
40,Jan 02 2018 01: +0,3.38,9
41,Jan 03 2018 01: +0,2.82,12
42,Jan 04 2018 01: +0,3.354,7
43,Jan 05 2018 01: +0,3.5,11
44,Jan 06 2018 01: +0,3.133,10
45,Jan 07 2018 01: +0,3.462,17
46,Jan 08 2018 01: +0,3.825,3
47,Jan 09 2018 01: +0,3.399,9
48,Jan 10 2018 01: +0,3.796,10
49,Jan 11 2018 01: +0,3.784,13
50,Jan 12 2018 01: +0,3.711,11
51,Jan 13 2018 01: +0,3.512,7
52,Jan 14 2018 01: +0,3.333,3
53,Jan 15 2018 01: +0,3.342,7
54,Jan 16 2018 01: +0,3.355,5
55,Jan 17 2018 01: +0,3.196,4
56,Jan 18 2018 01: +0,3.222,7
57,Jan 19 2018 01: +0,3.499,8
58,Jan 20 2018 01: +0,3.819,10
59,Jan 21 2018 01: +0,3.377,7
60,Jan 22 2018 01: +0,3.485,10
61,Jan 23 2018 01: +0,3.117,6
62,Jan 24 2018 01: +0,3.499,3
63,Jan 25 2018 01: +0,3.505,2
64,Jan 26 2018 01: +0,3.31,5
65,Jan 27 2018 01: +0,3.324,8
66,Jan 28 2018 01: +0,3.088,9
67,Jan 29 2018 01: +0,2.667,4
68,Jan 30 2018 01: +0,3.305,4
69,Jan 31 2018 01: +0,2.3,1
70,Feb 01 2018 01: +0,2.746,6
71,Feb 02 2018 01: +0,3.1,7
72,Feb 03 2018 01: +0,2.889,8
73,Feb 04 2018 01: +0,2.983,15
74,Feb 05 2018 01: +0,3.124,3
75,Feb 06 2018 01: +0,2.871,5
76,Feb 07 2018 01: +0,3.033,5
77,Feb 08 2018 01: +0,2.753,6
78,Feb 09 2018 01: +0,2.985,14
79,Feb 10 2018 01: +0,3.214,7
80,Feb 11 2018 01: +0,3.156,14
81,Feb 12 2018 01: +0,3.641,11
82,Feb 13 2018 01: +0,3.408,8
83,Feb 14 2018 01: +0,4.225,8
84,Feb 15 2018 01: +0,3.844,3
85,Feb 16 2018 01: +0,3.89,4
86,Feb 17 2018 01: +0,3.571,9
87,Feb 18 2018 01: +0,3.219,7
88,Feb 19 2018 01: +0,3.243,9
89,Feb 20 2018 01: +0,3.493,3
90,Feb 21 2018 01: +0,3.215,9
91,Feb 22 2018 01: +0,3.115,5
92,Feb 23 2018 01: +0,3.362,7
93,Feb 24 2018 01: +0,2.943,10
94,Feb 25 2018 01: +0,3.243,7
95,Feb 26 2018 01: +0,3.512,5
96,Feb 27 2018 01: +0,3.825,4
97,Feb 28 2018 01: +0,3.43,3
98,Mar 01 2018 01: +0,3.48,5
99,Mar 02 2018 01: +0,4.073,9
