,time,price,volume
0,Jun 09 2017 01: +0,2.381,14
1,Jun 10 2017 01: +0,2.163,13
2,Jun 11 2017 01: +0,2.001,14
3,Jun 12 2017 01: +0,2.079,11
4,Jun 13 2017 01: +0,2.2,9
5,Jun 14 2017 01: +0,2.051,14
6,Jun 15 2017 01: +0,1.981,10
7,Jun 16 2017 01: +0,1.8,18
8,Jun 17 2017 01: +0,1.713,4
9,Jun 18 2017 01: +0,1.841,13
10,Jun 19 2017 01: +0,2.033,8
11,Jun 20 2017 01: +0,2.058,9
12,Jun 21 2017 01: +0,1.789,7
13,Jun 22 2017 01: +0,1.78,10
14,Jun 23 2017 01: +0,1.612,17
15,Jun 24 2017 01: +0,1.86,9
16,Jun 25 2017 01: +0,1.843,10
17,Jun 26 2017 01: +0,1.839,8
18,Jun 27 2017 01: +0,1.722,13
19,Jun 28 2017 01: +0,1.519,9
20,Jun 29 2017 01: +0,1.69,16
21,Jun 30 2017 01: +0,1.748,9
22,Jul 01 2017 01: +0,1.919,17
23,Jul 02 2017 01: +0,2.142,11
24,Jul 03 2017 01: +0,2.142,4
25,Jul 04 2017 01: +0,2.071,6
26,Jul 05 2017 01: +0,1.853,9
27,Jul 06 2017 01: +0,2.025,13
28,Jul 07 2017 01: +0,2.036,13
29,Jul 08 2017 01: +0,2.039,8
30,Jul 09 2017 01: +0,2.096,14
31,Jul 10 2017 01: +0,1.985,7
32,Jul 11 2017 01: +0,1.875,4
33,Jul 12 2017 01: +0,2.087,11
34,Jul 13 2017 01: +0,2.155,7
35,Jul 14 2017 01: +0,2.19,11
36,Jul 15 2017 01: +0,2.05,10
37,Jul 16 2017 01: +0,2.463,8
38,Jul 17 2017 01: +0,2.759,8
39,Jul 18 2017 01: +0,2.715,1
40,Jul 19 2017 01: +0,2.543,5
41,Jul 20 2017 01: +0,2.373,7
42,Jul 21 2017 01: +0,2.539,8
43,Jul 22 2017 01: +0,2.571,5
44,Jul 23 2017 01: +0,2.524,8
45,Jul 24 2017 01: +0,2.253,11
46,Jul 25 2017 01: +0,2.35,8
47,Jul 26 2017 01: +0,2.442,2
48,Jul 27 2017 01: +0,2.205,8
49,Jul 28 2017 01: +0,2.114,8
50,Jul 29 2017 01: +0,2.401,4
51,Jul 30 2017 01: +0,2.451,7
52,Jul 31 2017 01: +0,2.274,5
53,Aug 01 2017 01: +0,2.392,1
54,Aug 02 2017 01: +0,2.442,6
55,Aug 03 2017 01: +0,2.274,6
56,Aug 04 2017 01: +0,2.107,7
57,Aug 05 2017 01: +0,2.289,7
58,Aug 06 2017 01: +0,2.123,8
59,Aug 07 2017 01: +0,2.223,6
60,Aug 08 2017 01: +0,2.168,4
61,Aug 09 2017 01: +0,2.352,3
62,Aug 10 2017 01: +0,2.517,7
63,Aug 11 2017 01: +0,1.984,3
64,Aug 12 2017 01: +0,2.151,7
65,Aug 13 2017 01: +0,2.223,11
66,Aug 14 2017 01: +0,2.101,4
67,Aug 15 2017 01: +0,1.994,8
68,Aug 16 2017 01: +0,1.848,3
69,Aug 17 2017 01: +0,1.816,6
70,Aug 18 2017 01: +0,1.822,6
71,Aug 19 2017 01: +0,2.137,6
72,Aug 20 2017 01: +0,1.897,7
73,Aug 21 2017 01: +0,2.016,4
74,Aug 22 2017 01: +0,1.908,6
75,Aug 23 2017 01: +0,1.95,1
76,Aug 24 2017 01: +0,1.704,5
77,Aug 25 2017 01: +0,1.835,8
78,Aug 26 2017 01: +0,1.919,3
79,Aug 27 2017 01: +0,2.296,28
80,Aug 28 2017 01: +0,6.565,4
81,Aug 29 2017 01: +0,2.406,4
82,Aug 30 2017 01: +0,2.435,2
83,Aug 31 2017 01: +0,2.345,2
84,Sep 01 2017 01: +0,1.52,8
85,Sep 02 2017 01: +0,1.48,9
86,Sep 03 2017 01: +0,1.492,5
87,Sep 04 2017 01: +0,1.352,4
88,Sep 05 2017 01: +0,1.494,4
89,Sep 06 2017 01: +0,1.627,5
90,Sep 07 2017 01: +0,1.362,6
91,Sep 08 2017 01: +0,1.863,2
92,Sep 09 2017 01: +0,1.492,1
93,Sep 10 2017 01: +0,1.651,5
94,Sep 11 2017 01: +0,1.44,2
95,Sep 12 2017 01: +0,1.497,7
96,Sep 13 2017 01: +0,1.702,1
97,Sep 14 2017 01: +0,1.637,2
98,Sep 15 2017 01: +0,1.583,3
99,Sep 16 2017 01: +0,1.361,8
100,Sep 17 2017 01: +0,1.368,6
101,Sep 18 2017 01: +0,1.453,5
102,Sep 19 2017 01: +0,1.707,5
103,Sep 20 2017 01: +0,1.854,5
104,Sep 21 2017 01: +0,3.116,22
105,Sep 22 2017 01: +0,2.836,2
106,Sep 23 2017 01: +0,2.134,4
107,Sep 24 2017 01: +0,2.619,2
108,Sep 25 2017 01: +0,1.542,3
109,Sep 26 2017 01: +0,1.478,3
110,Sep 27 2017 01: +0,2.155,5
111,Sep 28 2017 01: +0,2.0,2
112,Sep 29 2017 01: +0,2.15,1
113,Sep 30 2017 01: +0,2.037,4
114,Oct 01 2017 01: +0,1.481,5
115,Oct 02 2017 01: +0,1.114,4
116,Oct 03 2017 01: +0,1.657,6
117,Oct 04 2017 01: +0,1.7,2
118,Oct 05 2017 01: +0,1.665,2
119,Oct 06 2017 01: +0,1.684,1
120,Oct 07 2017 01: +0,1.896,7
121,Oct 08 2017 01: +0,2.279,7
122,Oct 10 2017 01: +0,2.594,7
123,Oct 11 2017 01: +0,2.03,2
124,Oct 12 2017 01: +0,2.062,8
125,Oct 13 2017 01: +0,2.492,5
126,Oct 14 2017 01: +0,2.416,5
127,Oct 15 2017 01: +0,2.39,4
128,Oct 16 2017 01: +0,1.938,3
129,Oct 17 2017 01: +0,2.388,2
130,Oct 18 2017 01: +0,1.775,5
131,Oct 19 2017 01: +0,2.11,6
132,Oct 20 2017 01: +0,2.252,6
133,Oct 21 2017 01: +0,2.102,4
134,Oct 22 2017 01: +0,1.884,5
135,Oct 23 2017 01: +0,1.88,6
136,Oct 24 2017 01: +0,1.958,2
137,Oct 25 2017 01: +0,1.711,6
138,Oct 26 2017 01: +0,1.522,4
139,Oct 27 2017 01: +0,1.682,5
140,Oct 28 2017 01: +0,1.96,7
141,Oct 29 2017 01: +0,1.664,4
142,Oct 30 2017 01: +0,1.97,2
143,Oct 31 2017 01: +0,1.68,3
144,Nov 01 2017 01: +0,1.765,2
145,Nov 02 2017 01: +0,1.754,4
146,Nov 03 2017 01: +0,1.703,7
147,Nov 04 2017 01: +0,1.583,5
148,Nov 05 2017 01: +0,1.559,6
149,Nov 06 2017 01: +0,1.67,1
150,Nov 07 2017 01: +0,1.635,5
151,Nov 08 2017 01: +0,1.646,7
152,Nov 09 2017 01: +0,1.692,2
153,Nov 10 2017 01: +0,1.569,6
154,Nov 11 2017 01: +0,1.785,3
155,Nov 12 2017 01: +0,1.912,6
156,Nov 13 2017 01: +0,2.044,2
157,Nov 14 2017 01: +0,2.012,2
158,Nov 15 2017 01: +0,1.392,1
159,Nov 16 2017 01: +0,1.34,2
160,Nov 17 2017 01: +0,1.674,1
161,Nov 18 2017 01: +0,1.593,5
162,Nov 19 2017 01: +0,1.348,3
163,Nov 20 2017 01: +0,1.637,5
164,Nov 21 2017 01: +0,1.689,2
165,Nov 22 2017 01: +0,1.545,7
166,Nov 23 2017 01: +0,1.43,1
167,Nov 25 2017 01: +0,1.58,5
168,Nov 26 2017 01: +0,1.847,3
169,Nov 27 2017 01: +0,1.523,2
170,Nov 28 2017 01: +0,1.305,2
171,Nov 29 2017 01: +0,1.15,1
172,Nov 30 2017 01: +0,1.54,1
173,Dec 01 2017 01: +0,1.645,2
174,Dec 02 2017 01: +0,1.716,4
175,Dec 03 2017 01: +0,1.72,2
176,Dec 04 2017 01: +0,1.5,1
177,Dec 05 2017 01: +0,1.729,1
178,Dec 06 2017 01: +0,1.685,1
179,Dec 07 2017 01: +0,1.451,3
180,Dec 08 2017 01: +0,1.655,4
181,Dec 09 2017 01: +0,1.688,5
182,Dec 10 2017 01: +0,1.669,6
183,Dec 11 2017 01: +0,1.99,1
184,Dec 12 2017 01: +0,1.817,3
185,Dec 13 2017 01: +0,1.843,3
186,Dec 14 2017 01: +0,2.055,2
187,Dec 15 2017 01: +0,1.919,4
188,Dec 16 2017 01: +0,1.877,5
189,Dec 17 2017 01: +0,2.005,3
190,Dec 18 2017 01: +0,2.087,2
191,Dec 19 2017 01: +0,1.69,2
192,Dec 20 2017 01: +0,1.891,2
193,Dec 21 2017 01: +0,1.713,9
194,Dec 22 2017 01: +0,1.72,4
195,Dec 23 2017 01: +0,1.993,3
196,Dec 24 2017 01: +0,1.889,5
197,Dec 25 2017 01: +0,1.873,7
198,Dec 26 2017 01: +0,1.697,5
199,Dec 27 2017 01: +0,1.85,2
200,Dec 28 2017 01: +0,1.918,3
201,Dec 29 2017 01: +0,1.857,6
202,Dec 30 2017 01: +0,1.948,4
203,Dec 31 2017 01: +0,1.877,5
204,Jan 01 2018 01: +0,2.092,5
205,Jan 02 2018 01: +0,1.954,4
206,Jan 03 2018 01: +0,1.885,6
207,Jan 04 2018 01: +0,1.785,2
208,Jan 05 2018 01: +0,2.065,5
209,Jan 06 2018 01: +0,2.172,3
210,Jan 07 2018 01: +0,2.149,9
211,Jan 08 2018 01: +0,1.687,3
212,Jan 09 2018 01: +0,2.106,6
213,Jan 10 2018 01: +0,2.267,6
214,Jan 11 2018 01: +0,2.165,2
215,Jan 12 2018 01: +0,2.187,7
216,Jan 13 2018 01: +0,1.976,7
217,Jan 14 2018 01: +0,2.061,9
218,Jan 15 2018 01: +0,2.168,6
219,Jan 16 2018 01: +0,2.386,5
220,Jan 17 2018 01: +0,2.168,3
221,Jan 18 2018 01: +0,2.106,2
222,Jan 19 2018 01: +0,2.007,3
223,Jan 20 2018 01: +0,2.086,11
224,Jan 21 2018 01: +0,1.878,5
225,Jan 22 2018 01: +0,1.948,4
226,Jan 23 2018 01: +0,1.795,7
227,Jan 24 2018 01: +0,1.779,4
228,Jan 25 2018 01: +0,1.993,10
229,Jan 26 2018 01: +0,1.952,6
230,Jan 27 2018 01: +0,2.087,7
231,Jan 28 2018 01: +0,1.839,5
232,Jan 29 2018 01: +0,1.786,2
233,Jan 30 2018 01: +0,2.006,6
234,Jan 31 2018 01: +0,2.073,2
235,Feb 01 2018 01: +0,1.957,8
236,Feb 02 2018 01: +0,1.874,2
237,Feb 03 2018 01: +0,2.127,3
238,Feb 04 2018 01: +0,1.861,6
239,Feb 05 2018 01: +0,1.967,3
240,Feb 06 2018 01: +0,1.794,4
241,Feb 07 2018 01: +0,1.925,7
242,Feb 08 2018 01: +0,2.1,4
243,Feb 09 2018 01: +0,1.743,3
244,Feb 10 2018 01: +0,2.053,4
245,Feb 11 2018 01: +0,1.875,3
246,Feb 12 2018 01: +0,1.991,8
247,Feb 13 2018 01: +0,2.124,4
248,Feb 14 2018 01: +0,2.122,4
249,Feb 15 2018 01: +0,2.213,6
250,Feb 16 2018 01: +0,2.061,5
251,Feb 17 2018 01: +0,1.901,7
252,Feb 18 2018 01: +0,1.772,5
253,Feb 19 2018 01: +0,2.025,5
254,Feb 20 2018 01: +0,1.887,5
255,Feb 21 2018 01: +0,1.958,8
256,Feb 22 2018 01: +0,1.814,3
257,Feb 23 2018 01: +0,2.112,2
258,Feb 24 2018 01: +0,1.94,5
259,Feb 25 2018 01: +0,1.821,6
260,Feb 26 2018 01: +0,1.796,5
261,Feb 27 2018 01: +0,1.901,5
262,Feb 28 2018 01: +0,1.768,1
263,Mar 01 2018 01: +0,1.831,6
264,Mar 02 2018 01: +0,1.888,7
265,Mar 03 2018 01: +0,1.808,6
266,Mar 04 2018 01: +0,1.936,2
267,Mar 05 2018 01: +0,1.92,6
268,Mar 06 2018 01: +0,1.808,7
269,Mar 07 2018 01: +0,1.966,2
270,Mar 08 2018 01: +0,1.873,7
271,Mar 09 2018 01: +0,1.683,8
272,Mar 10 2018 01: +0,1.835,3
273,Mar 11 2018 01: +0,1.715,4
274,Mar 12 2018 01: +0,1.973,9
