,time,price,volume
0,Feb 20 2021 01: +0,1.852,1
1,Feb 21 2021 01: +0,2.191,12
2,Feb 22 2021 01: +0,1.849,19
3,Feb 23 2021 01: +0,1.785,13
4,Feb 24 2021 01: +0,1.905,12
5,Feb 25 2021 01: +0,1.771,8
6,Feb 26 2021 01: +0,2.187,54
7,Feb 27 2021 01: +0,2.386,34
8,Feb 28 2021 01: +0,2.171,30
9,Mar 01 2021 01: +0,1.973,26
10,Mar 02 2021 01: +0,1.933,44
11,Mar 03 2021 01: +0,2.291,23
12,Mar 04 2021 01: +0,1.969,38
13,Mar 05 2021 01: +0,2.247,28
14,Mar 06 2021 01: +0,2.258,32
15,Mar 07 2021 01: +0,2.395,20
16,Mar 08 2021 01: +0,2.308,27
17,Mar 09 2021 01: +0,2.16,24
18,Mar 10 2021 01: +0,1.971,15
19,Mar 11 2021 01: +0,2.087,25
20,Mar 12 2021 01: +0,2.009,29
21,Mar 13 2021 01: +0,1.857,27
22,Mar 14 2021 01: +0,1.871,25
23,Mar 15 2021 01: +0,1.962,27
24,Mar 16 2021 01: +0,2.056,16
25,Mar 17 2021 01: +0,1.841,18
26,Mar 18 2021 01: +0,1.886,33
27,Mar 19 2021 01: +0,1.724,28
28,Mar 20 2021 01: +0,1.692,35
29,Mar 21 2021 01: +0,1.771,18
30,Mar 22 2021 01: +0,1.731,26
31,Mar 23 2021 01: +0,1.709,23
32,Mar 24 2021 01: +0,1.656,21
33,Mar 25 2021 01: +0,1.735,24
34,Mar 26 2021 01: +0,1.859,24
35,Mar 27 2021 01: +0,1.543,29
36,Mar 28 2021 01: +0,1.646,18
37,Mar 29 2021 01: +0,1.72,16
38,Mar 30 2021 01: +0,1.755,21
39,Mar 31 2021 01: +0,1.65,20
40,Apr 01 2021 01: +0,1.667,27
41,Apr 02 2021 01: +0,1.815,38
42,Apr 03 2021 01: +0,1.703,25
43,Apr 04 2021 01: +0,1.833,33
44,Apr 05 2021 01: +0,2.008,20
45,Apr 06 2021 01: +0,1.849,15
46,Apr 07 2021 01: +0,1.817,17
47,Apr 08 2021 01: +0,1.732,20
48,Apr 09 2021 01: +0,1.818,31
49,Apr 10 2021 01: +0,1.776,31
50,Apr 11 2021 01: +0,1.695,20
51,Apr 12 2021 01: +0,1.736,19
52,Apr 13 2021 01: +0,1.801,25
53,Apr 14 2021 01: +0,1.712,2
54,Apr 14 2021 03: +0,1.55,1
55,Apr 14 2021 07: +0,1.88,1
56,Apr 14 2021 10: +0,1.885,11
57,Apr 14 2021 11: +0,2.084,2
58,Apr 14 2021 13: +0,2.059,1
59,Apr 14 2021 14: +0,2.004,1
60,Apr 14 2021 15: +0,1.939,1
61,Apr 14 2021 20: +0,1.97,3
62,Apr 14 2021 23: +0,1.55,1
63,Apr 15 2021 00: +0,1.61,2
64,Apr 15 2021 01: +0,1.9,1
65,Apr 15 2021 03: +0,1.762,2
66,Apr 15 2021 04: +0,1.906,1
67,Apr 15 2021 05: +0,1.98,1
68,Apr 15 2021 08: +0,1.874,2
69,Apr 15 2021 09: +0,1.75,1
70,Apr 15 2021 11: +0,1.978,1
71,Apr 15 2021 16: +0,1.92,1
72,Apr 15 2021 19: +0,1.55,1
73,Apr 15 2021 20: +0,1.92,1
74,Apr 15 2021 23: +0,1.61,1
75,Apr 16 2021 01: +0,1.669,4
76,Apr 16 2021 02: +0,1.684,4
77,Apr 16 2021 03: +0,1.647,2
78,Apr 16 2021 04: +0,1.98,4
79,Apr 16 2021 05: +0,1.99,1
80,Apr 16 2021 09: +0,1.651,1
81,Apr 16 2021 10: +0,1.704,2
82,Apr 16 2021 11: +0,1.55,1
83,Apr 16 2021 14: +0,1.469,1
84,Apr 16 2021 15: +0,1.723,3
85,Apr 16 2021 16: +0,1.663,1
86,Apr 16 2021 18: +0,1.709,1
87,Apr 16 2021 19: +0,1.74,1
88,Apr 16 2021 21: +0,1.645,2
89,Apr 16 2021 22: +0,1.74,1
90,Apr 17 2021 00: +0,1.75,1
91,Apr 17 2021 01: +0,1.744,1
92,Apr 17 2021 06: +0,1.69,2
93,Apr 17 2021 07: +0,1.79,2
94,Apr 17 2021 08: +0,2.012,1
95,Apr 17 2021 10: +0,1.796,2
96,Apr 17 2021 12: +0,1.717,1
97,Apr 17 2021 14: +0,2.0,1
98,Apr 17 2021 15: +0,1.586,1
99,Apr 17 2021 16: +0,1.98,1
100,Apr 17 2021 17: +0,2.0,3
101,Apr 17 2021 18: +0,1.76,1
102,Apr 17 2021 19: +0,1.571,1
103,Apr 17 2021 21: +0,1.901,1
104,Apr 17 2021 22: +0,1.91,2
105,Apr 18 2021 00: +0,1.92,3
106,Apr 18 2021 03: +0,2.08,1
107,Apr 18 2021 04: +0,1.506,1
108,Apr 18 2021 06: +0,2.08,1
109,Apr 18 2021 07: +0,2.001,2
110,Apr 18 2021 10: +0,1.21,1
111,Apr 18 2021 11: +0,1.856,1
112,Apr 18 2021 12: +0,1.15,1
113,Apr 18 2021 14: +0,1.569,1
114,Apr 18 2021 18: +0,2.053,1
115,Apr 18 2021 20: +0,1.57,3
116,Apr 18 2021 21: +0,2.045,3
117,Apr 18 2021 23: +0,1.917,1
118,Apr 19 2021 01: +0,1.905,2
119,Apr 19 2021 02: +0,1.564,2
120,Apr 19 2021 04: +0,1.68,1
121,Apr 19 2021 07: +0,1.824,2
122,Apr 19 2021 09: +0,1.685,2
123,Apr 19 2021 10: +0,1.976,1
124,Apr 19 2021 11: +0,2.084,1
125,Apr 19 2021 15: +0,1.633,2
126,Apr 19 2021 16: +0,1.805,1
127,Apr 19 2021 17: +0,2.04,1
128,Apr 19 2021 18: +0,1.806,1
129,Apr 19 2021 20: +0,1.99,1
130,Apr 19 2021 22: +0,1.123,1
131,Apr 20 2021 02: +0,1.15,1
132,Apr 20 2021 04: +0,1.437,1
133,Apr 20 2021 07: +0,1.381,1
134,Apr 20 2021 09: +0,1.48,2
135,Apr 20 2021 10: +0,1.383,1
136,Apr 20 2021 11: +0,1.927,1
137,Apr 20 2021 13: +0,1.556,2
138,Apr 20 2021 18: +0,1.46,1
139,Apr 20 2021 20: +0,1.8,1
140,Apr 20 2021 22: +0,1.895,2
141,Apr 20 2021 23: +0,1.902,1
142,Apr 21 2021 00: +0,1.929,2
143,Apr 21 2021 01: +0,1.95,1
144,Apr 21 2021 03: +0,1.93,1
145,Apr 21 2021 04: +0,1.95,1
146,Apr 21 2021 05: +0,1.452,2
147,Apr 21 2021 13: +0,1.89,3
148,Apr 21 2021 14: +0,1.942,1
149,Apr 21 2021 15: +0,1.943,1
150,Apr 21 2021 16: +0,1.95,1
151,Apr 21 2021 17: +0,1.68,2
152,Apr 21 2021 19: +0,1.88,2
153,Apr 21 2021 20: +0,1.953,1
154,Apr 21 2021 21: +0,1.99,1
155,Apr 21 2021 22: +0,1.737,2
156,Apr 21 2021 23: +0,1.415,1
157,Apr 22 2021 00: +0,2.0,3
158,Apr 22 2021 01: +0,1.95,1
159,Apr 22 2021 02: +0,1.985,2
