,time,price,volume
0,Jan 18 2020 01: +0,2.16,78
1,Jan 19 2020 01: +0,2.242,84
2,Jan 20 2020 01: +0,2.297,46
3,Jan 21 2020 01: +0,2.212,54
4,Jan 22 2020 01: +0,2.255,40
5,Jan 23 2020 01: +0,2.092,62
6,Jan 24 2020 01: +0,2.089,55
7,Jan 25 2020 01: +0,2.15,75
8,Jan 26 2020 01: +0,2.189,42
9,Jan 27 2020 01: +0,2.091,43
10,Jan 28 2020 01: +0,2.267,42
11,Jan 29 2020 01: +0,2.364,27
12,Jan 30 2020 01: +0,2.323,46
13,Jan 31 2020 01: +0,2.432,48
14,Feb 01 2020 01: +0,2.395,51
15,Feb 02 2020 01: +0,2.219,48
16,Feb 03 2020 01: +0,2.322,35
17,Feb 04 2020 01: +0,2.451,40
18,Feb 05 2020 01: +0,2.558,31
19,Feb 06 2020 01: +0,2.543,30
20,Feb 07 2020 01: +0,2.352,45
21,Feb 08 2020 01: +0,2.526,44
22,Feb 09 2020 01: +0,2.354,37
23,Feb 10 2020 01: +0,2.394,31
24,Feb 11 2020 01: +0,2.314,35
25,Feb 12 2020 01: +0,2.442,46
26,Feb 13 2020 01: +0,2.415,37
27,Feb 14 2020 01: +0,2.411,55
28,Feb 15 2020 01: +0,2.532,58
29,Feb 16 2020 01: +0,2.588,41
30,Feb 17 2020 01: +0,2.506,52
31,Feb 18 2020 01: +0,2.669,28
32,Feb 19 2020 01: +0,2.518,30
33,Feb 20 2020 01: +0,2.571,36
34,Feb 21 2020 01: +0,2.562,27
35,Feb 22 2020 01: +0,2.49,49
36,Feb 23 2020 01: +0,2.589,36
37,Feb 24 2020 01: +0,2.512,27
38,Feb 25 2020 01: +0,2.206,27
39,Feb 26 2020 01: +0,2.536,35
40,Feb 27 2020 01: +0,2.574,33
41,Feb 28 2020 01: +0,1.898,58
42,Feb 29 2020 01: +0,1.881,31
43,Mar 01 2020 01: +0,1.804,35
44,Mar 02 2020 01: +0,1.68,42
45,Mar 03 2020 01: +0,1.942,24
46,Mar 04 2020 01: +0,1.997,21
47,Mar 05 2020 01: +0,1.953,28
48,Mar 06 2020 01: +0,1.946,27
49,Mar 07 2020 01: +0,1.946,40
50,Mar 08 2020 01: +0,2.048,20
51,Mar 09 2020 01: +0,2.016,28
52,Mar 10 2020 01: +0,1.888,17
53,Mar 11 2020 01: +0,1.81,16
54,Mar 12 2020 01: +0,1.87,27
55,Mar 13 2020 01: +0,2.013,25
56,Mar 14 2020 01: +0,1.921,39
57,Mar 15 2020 01: +0,1.983,27
58,Mar 16 2020 01: +0,2.01,28
59,Mar 17 2020 01: +0,1.938,29
60,Mar 18 2020 01: +0,1.918,14
61,Mar 19 2020 01: +0,1.711,29
62,Mar 20 2020 01: +0,1.816,31
63,Mar 21 2020 01: +0,1.831,34
64,Mar 22 2020 01: +0,1.713,32
65,Mar 23 2020 01: +0,1.813,28
66,Mar 24 2020 01: +0,1.779,35
67,Mar 25 2020 01: +0,1.836,28
68,Mar 26 2020 01: +0,1.709,33
69,Mar 27 2020 01: +0,1.778,27
70,Mar 28 2020 01: +0,1.78,34
71,Mar 29 2020 01: +0,1.727,27
72,Mar 30 2020 01: +0,1.672,32
73,Mar 31 2020 01: +0,1.812,30
74,Apr 01 2020 01: +0,1.78,47
75,Apr 02 2020 01: +0,1.834,45
76,Apr 03 2020 01: +0,1.782,44
77,Apr 04 2020 01: +0,1.924,44
78,Apr 05 2020 01: +0,1.948,40
79,Apr 06 2020 01: +0,1.956,32
80,Apr 07 2020 01: +0,1.914,42
81,Apr 08 2020 01: +0,2.019,36
82,Apr 09 2020 01: +0,2.019,40
83,Apr 10 2020 01: +0,2.084,30
84,Apr 11 2020 01: +0,2.001,30
85,Apr 12 2020 01: +0,2.199,31
86,Apr 13 2020 01: +0,2.305,34
87,Apr 14 2020 01: +0,2.131,27
88,Apr 15 2020 01: +0,2.443,24
89,Apr 16 2020 01: +0,2.397,23
90,Apr 17 2020 01: +0,2.189,36
91,Apr 18 2020 01: +0,2.106,34
92,Apr 19 2020 01: +0,1.931,29
93,Apr 20 2020 01: +0,1.849,31
94,Apr 21 2020 01: +0,1.97,24
95,Apr 22 2020 01: +0,2.046,22
96,Apr 23 2020 01: +0,2.141,14
97,Apr 24 2020 01: +0,2.053,38
98,Apr 25 2020 01: +0,2.116,41
99,Apr 26 2020 01: +0,2.122,27
100,Apr 27 2020 01: +0,2.143,23
