,time,price,volume
0,Nov 19 2020 01: +0,2.544,16
1,Nov 20 2020 01: +0,2.31,47
2,Nov 21 2020 01: +0,2.6,37
3,Nov 22 2020 01: +0,2.354,28
4,Nov 23 2020 01: +0,2.511,23
5,Nov 24 2020 01: +0,2.658,22
6,Nov 25 2020 01: +0,2.299,34
7,Nov 26 2020 01: +0,2.145,25
8,Nov 27 2020 01: +0,2.272,32
9,Nov 28 2020 01: +0,2.211,35
10,Nov 29 2020 01: +0,2.241,41
11,Nov 30 2020 01: +0,2.234,34
12,Dec 01 2020 01: +0,2.223,36
13,Dec 02 2020 01: +0,2.202,20
14,Dec 03 2020 01: +0,2.25,35
15,Dec 04 2020 01: +0,2.079,56
16,Dec 05 2020 01: +0,2.343,47
17,Dec 06 2020 01: +0,2.377,38
18,Dec 07 2020 01: +0,2.443,27
19,Dec 08 2020 01: +0,2.68,16
20,Dec 09 2020 01: +0,2.726,11
21,Dec 10 2020 01: +0,2.627,18
22,Dec 11 2020 01: +0,2.513,23
23,Dec 12 2020 01: +0,2.555,23
24,Dec 13 2020 01: +0,2.538,21
25,Dec 14 2020 01: +0,2.733,27
26,Dec 15 2020 01: +0,2.644,12
27,Dec 16 2020 01: +0,2.514,27
28,Dec 17 2020 01: +0,2.626,29
29,Dec 18 2020 01: +0,2.608,26
30,Dec 19 2020 01: +0,2.735,26
31,Dec 20 2020 01: +0,2.741,35
32,Dec 21 2020 01: +0,2.773,35
33,Dec 22 2020 01: +0,2.885,30
34,Dec 23 2020 01: +0,2.773,24
35,Dec 24 2020 01: +0,3.104,38
36,Dec 25 2020 01: +0,3.748,51
37,Dec 26 2020 01: +0,3.756,38
38,Dec 27 2020 01: +0,3.574,27
39,Dec 28 2020 01: +0,3.796,38
40,Dec 29 2020 01: +0,4.021,27
41,Dec 30 2020 01: +0,4.213,27
42,Dec 31 2020 01: +0,4.117,23
43,Jan 01 2021 01: +0,3.994,35
44,Jan 02 2021 01: +0,4.38,31
45,Jan 03 2021 01: +0,4.31,25
46,Jan 04 2021 01: +0,4.539,40
47,Jan 05 2021 01: +0,4.603,19
48,Jan 06 2021 01: +0,4.685,35
49,Jan 07 2021 01: +0,4.674,32
50,Jan 08 2021 01: +0,5.281,35
51,Jan 09 2021 01: +0,5.372,42
52,Jan 10 2021 01: +0,7.021,35
53,Jan 11 2021 01: +0,6.364,30
54,Jan 12 2021 01: +0,5.491,31
55,Jan 13 2021 01: +0,5.723,52
56,Jan 14 2021 01: +0,6.866,26
57,Jan 15 2021 01: +0,6.79,28
58,Jan 16 2021 01: +0,6.71,43
59,Jan 17 2021 01: +0,6.624,31
60,Jan 18 2021 01: +0,6.649,40
61,Jan 19 2021 01: +0,6.874,28
62,Jan 20 2021 01: +0,6.86,30
63,Jan 21 2021 01: +0,6.792,39
64,Jan 22 2021 01: +0,7.036,31
65,Jan 23 2021 01: +0,6.925,35
66,Jan 24 2021 01: +0,6.981,31
67,Jan 25 2021 01: +0,7.038,24
68,Jan 26 2021 01: +0,6.328,30
69,Jan 27 2021 01: +0,6.924,15
70,Jan 28 2021 01: +0,6.697,22
71,Jan 29 2021 01: +0,5.77,34
72,Jan 30 2021 01: +0,5.401,27
73,Jan 31 2021 01: +0,5.593,24
74,Feb 01 2021 01: +0,5.638,22
75,Feb 02 2021 01: +0,5.4,19
76,Feb 03 2021 01: +0,5.382,19
77,Feb 04 2021 01: +0,5.619,16
78,Feb 05 2021 01: +0,5.623,19
79,Feb 06 2021 01: +0,5.858,29
80,Feb 07 2021 01: +0,6.488,24
81,Feb 08 2021 01: +0,5.731,15
82,Feb 09 2021 01: +0,5.997,24
83,Feb 10 2021 01: +0,6.163,23
84,Feb 11 2021 01: +0,5.98,17
85,Feb 12 2021 01: +0,5.686,20
86,Feb 13 2021 01: +0,5.215,17
87,Feb 14 2021 01: +0,4.897,14
88,Feb 15 2021 01: +0,5.315,17
89,Feb 16 2021 01: +0,5.435,15
90,Feb 17 2021 01: +0,5.292,12
91,Feb 18 2021 01: +0,5.162,20
92,Feb 19 2021 01: +0,5.279,15
93,Feb 20 2021 01: +0,5.219,22
94,Feb 21 2021 01: +0,5.284,12
95,Feb 22 2021 01: +0,5.22,16
96,Feb 23 2021 01: +0,5.091,11
97,Feb 24 2021 01: +0,5.219,12
98,Feb 25 2021 01: +0,5.064,17
99,Feb 26 2021 01: +0,5.173,32
100,Feb 27 2021 01: +0,5.098,15
101,Feb 28 2021 01: +0,5.138,23
102,Mar 01 2021 01: +0,5.118,18
103,Mar 02 2021 01: +0,4.913,14
104,Mar 03 2021 01: +0,4.926,15
105,Mar 04 2021 01: +0,4.921,20
106,Mar 05 2021 01: +0,4.9,23
107,Mar 06 2021 01: +0,5.068,23
108,Mar 07 2021 01: +0,4.707,10
109,Mar 08 2021 01: +0,4.873,11
110,Mar 09 2021 01: +0,4.669,9
111,Mar 10 2021 01: +0,4.863,12
112,Mar 11 2021 01: +0,4.814,12
113,Mar 12 2021 01: +0,4.864,17
114,Mar 13 2021 01: +0,4.192,16
115,Mar 14 2021 01: +0,4.696,13
116,Mar 15 2021 01: +0,4.635,10
117,Mar 16 2021 01: +0,4.533,11
118,Mar 17 2021 01: +0,4.356,14
119,Mar 18 2021 01: +0,4.149,18
120,Mar 19 2021 01: +0,4.234,20
121,Mar 20 2021 01: +0,4.107,14
122,Mar 21 2021 01: +0,4.127,10
123,Mar 22 2021 01: +0,4.074,13
124,Mar 23 2021 01: +0,3.645,10
125,Mar 24 2021 01: +0,3.922,10
126,Mar 25 2021 01: +0,4.082,15
127,Mar 26 2021 01: +0,3.489,9
