,time,price,volume
0,Sep 28 2018 01: +0,3.362,4
1,Sep 29 2018 01: +0,2.009,10
2,Sep 30 2018 01: +0,2.135,14
3,Oct 01 2018 01: +0,2.205,9
4,Oct 02 2018 01: +0,2.211,10
5,Oct 03 2018 01: +0,2.406,10
6,Oct 04 2018 01: +0,2.21,15
7,Oct 05 2018 01: +0,1.938,8
8,Oct 06 2018 01: +0,2.027,13
9,Oct 07 2018 01: +0,1.864,14
10,Oct 08 2018 01: +0,1.971,19
11,Oct 09 2018 01: +0,1.875,10
12,Oct 10 2018 01: +0,2.012,13
13,Oct 11 2018 01: +0,2.186,9
14,Oct 12 2018 01: +0,2.285,10
15,Oct 13 2018 01: +0,2.267,12
16,Oct 14 2018 01: +0,2.466,2
17,Oct 15 2018 01: +0,1.974,3
18,Oct 16 2018 01: +0,2.136,10
19,Oct 17 2018 01: +0,2.085,7
20,Oct 18 2018 01: +0,1.885,7
21,Oct 19 2018 01: +0,2.063,11
22,Oct 20 2018 01: +0,1.977,22
23,Oct 21 2018 01: +0,2.285,9
24,Oct 22 2018 01: +0,2.11,13
25,Oct 23 2018 01: +0,2.305,4
26,Oct 24 2018 01: +0,2.303,11
27,Oct 25 2018 01: +0,2.255,5
28,Oct 26 2018 01: +0,2.141,7
29,Oct 27 2018 01: +0,2.056,18
30,Oct 28 2018 01: +0,2.052,9
31,Oct 29 2018 01: +0,2.131,15
32,Oct 30 2018 01: +0,2.301,9
33,Oct 31 2018 01: +0,2.324,4
34,Nov 01 2018 01: +0,2.236,7
35,Nov 02 2018 01: +0,2.097,11
36,Nov 03 2018 01: +0,2.778,12
37,Nov 04 2018 01: +0,2.762,6
38,Nov 05 2018 01: +0,2.922,5
39,Nov 06 2018 01: +0,3.215,2
40,Nov 07 2018 01: +0,2.904,5
41,Nov 08 2018 01: +0,2.881,7
42,Nov 09 2018 01: +0,2.847,4
43,Nov 10 2018 01: +0,2.767,10
44,Nov 11 2018 01: +0,2.98,8
45,Nov 12 2018 01: +0,3.151,7
46,Nov 13 2018 01: +0,2.906,4
47,Nov 14 2018 01: +0,2.197,4
48,Nov 15 2018 01: +0,2.801,5
49,Nov 16 2018 01: +0,2.762,6
50,Nov 17 2018 01: +0,2.781,7
51,Nov 18 2018 01: +0,2.782,8
52,Nov 19 2018 01: +0,2.885,10
53,Nov 20 2018 01: +0,3.004,12
54,Nov 21 2018 01: +0,2.802,4
55,Nov 22 2018 01: +0,2.944,5
56,Nov 23 2018 01: +0,2.696,6
57,Nov 24 2018 01: +0,2.753,7
58,Nov 25 2018 01: +0,2.465,6
59,Nov 26 2018 01: +0,2.601,5
60,Nov 27 2018 01: +0,2.861,9
61,Nov 28 2018 01: +0,2.746,3
62,Nov 30 2018 01: +0,2.6,3
63,Dec 01 2018 01: +0,3.16,10
64,Dec 02 2018 01: +0,2.774,7
65,Dec 03 2018 01: +0,2.961,6
66,Dec 04 2018 01: +0,3.023,6
67,Dec 05 2018 01: +0,2.979,2
68,Dec 06 2018 01: +0,2.815,10
69,Dec 07 2018 01: +0,2.993,5
70,Dec 08 2018 01: +0,3.229,13
71,Dec 09 2018 01: +0,7.406,3
72,Dec 10 2018 01: +0,3.05,4
73,Dec 11 2018 01: +0,2.804,6
74,Dec 12 2018 01: +0,3.214,7
75,Dec 14 2018 01: +0,3.026,9
76,Dec 15 2018 01: +0,3.711,11
77,Dec 16 2018 01: +0,3.534,3
78,Dec 17 2018 01: +0,3.169,7
79,Dec 18 2018 01: +0,3.063,7
80,Dec 19 2018 01: +0,2.863,6
81,Dec 20 2018 01: +0,2.894,9
82,Dec 21 2018 01: +0,2.846,8
83,Dec 22 2018 01: +0,3.506,11
84,Dec 23 2018 01: +0,4.394,2
85,Dec 24 2018 01: +0,3.8,7
86,Dec 25 2018 01: +0,4.078,11
87,Dec 26 2018 01: +0,3.59,9
88,Dec 27 2018 01: +0,3.947,8
89,Dec 28 2018 01: +0,3.807,6
90,Dec 29 2018 01: +0,3.932,11
91,Dec 30 2018 01: +0,3.65,14
92,Dec 31 2018 01: +0,3.871,8
93,Jan 01 2019 01: +0,3.903,8
94,Jan 02 2019 01: +0,3.906,7
95,Jan 03 2019 01: +0,3.512,9
96,Jan 04 2019 01: +0,4.145,10
97,Jan 05 2019 01: +0,4.545,5
98,Jan 06 2019 01: +0,4.448,4
99,Jan 07 2019 01: +0,4.252,7
100,Jan 08 2019 01: +0,4.172,7
101,Jan 09 2019 01: +0,4.421,7
102,Jan 10 2019 01: +0,3.578,5
103,Jan 11 2019 01: +0,4.526,6
104,Jan 12 2019 01: +0,4.408,9
105,Jan 13 2019 01: +0,4.455,6
106,Jan 14 2019 01: +0,3.394,2
107,Jan 15 2019 01: +0,4.519,6
108,Jan 16 2019 01: +0,4.54,3
109,Jan 17 2019 01: +0,4.608,1
110,Jan 18 2019 01: +0,4.601,3
111,Jan 19 2019 01: +0,4.267,3
112,Jan 20 2019 01: +0,4.24,2
113,Jan 21 2019 01: +0,3.756,4
114,Jan 22 2019 01: +0,4.107,6
115,Jan 23 2019 01: +0,3.577,2
116,Jan 24 2019 01: +0,4.149,3
117,Jan 25 2019 01: +0,3.876,4
118,Jan 26 2019 01: +0,4.015,6
119,Jan 27 2019 01: +0,3.914,3
120,Jan 28 2019 01: +0,3.854,4
121,Jan 29 2019 01: +0,3.991,5
122,Jan 30 2019 01: +0,4.246,4
123,Jan 31 2019 01: +0,3.371,2
124,Feb 01 2019 01: +0,4.288,4
125,Feb 02 2019 01: +0,3.892,3
126,Feb 03 2019 01: +0,3.789,6
127,Feb 04 2019 01: +0,3.63,2
128,Feb 05 2019 01: +0,3.326,5
129,Feb 06 2019 01: +0,3.398,2
130,Feb 07 2019 01: +0,3.517,3
131,Feb 08 2019 01: +0,3.624,5
132,Feb 09 2019 01: +0,3.629,7
133,Feb 10 2019 01: +0,3.416,7
134,Feb 11 2019 01: +0,3.506,2
135,Feb 12 2019 01: +0,3.557,4
136,Feb 13 2019 01: +0,3.49,3
137,Feb 14 2019 01: +0,3.353,5
138,Feb 15 2019 01: +0,3.416,6
139,Feb 16 2019 01: +0,3.293,6
140,Feb 17 2019 01: +0,3.5,7
141,Feb 18 2019 01: +0,3.572,7
142,Feb 19 2019 01: +0,3.713,3
143,Feb 20 2019 01: +0,3.29,5
144,Feb 21 2019 01: +0,3.38,1
145,Feb 22 2019 01: +0,3.516,5
146,Feb 23 2019 01: +0,3.502,6
147,Feb 24 2019 01: +0,3.81,4
148,Feb 25 2019 01: +0,4.135,6
149,Feb 26 2019 01: +0,3.89,4
150,Feb 27 2019 01: +0,3.971,4
151,Feb 28 2019 01: +0,4.276,4
152,Mar 01 2019 01: +0,4.067,2
153,Mar 02 2019 01: +0,4.233,7
154,Mar 03 2019 01: +0,3.704,6
155,Mar 04 2019 01: +0,4.28,2
156,Mar 05 2019 01: +0,3.672,6
157,Mar 06 2019 01: +0,4.301,1
158,Mar 07 2019 01: +0,3.189,9
159,Mar 08 2019 01: +0,3.004,1
160,Mar 09 2019 01: +0,3.655,5
161,Mar 10 2019 01: +0,3.9,14
162,Mar 11 2019 01: +0,4.391,2
163,Mar 12 2019 01: +0,4.29,3
164,Mar 13 2019 01: +0,4.013,2
165,Mar 14 2019 01: +0,3.911,4
166,Mar 15 2019 01: +0,3.883,6
167,Mar 16 2019 01: +0,3.835,7
168,Mar 17 2019 01: +0,3.901,7
169,Mar 18 2019 01: +0,3.927,6
170,Mar 19 2019 01: +0,3.74,2
171,Mar 20 2019 01: +0,3.92,6
172,Mar 21 2019 01: +0,3.353,4
173,Mar 22 2019 01: +0,3.928,7
174,Mar 23 2019 01: +0,3.83,5
175,Mar 24 2019 01: +0,3.825,4
176,Mar 25 2019 01: +0,3.792,2
177,Mar 27 2019 01: +0,3.468,3
178,Mar 28 2019 01: +0,3.451,3
179,Mar 29 2019 01: +0,3.564,6
180,Mar 30 2019 01: +0,3.612,4
181,Mar 31 2019 01: +0,3.625,2
182,Apr 01 2019 01: +0,3.201,3
183,Apr 02 2019 01: +0,3.607,6
184,Apr 03 2019 01: +0,3.91,2
185,Apr 04 2019 01: +0,3.455,8
186,Apr 05 2019 01: +0,3.842,4
187,Apr 06 2019 01: +0,3.667,8
188,Apr 07 2019 01: +0,3.845,2
189,Apr 08 2019 01: +0,3.81,5
190,Apr 09 2019 01: +0,3.45,1
191,Apr 10 2019 01: +0,3.818,2
192,Apr 11 2019 01: +0,3.718,7
193,Apr 12 2019 01: +0,3.363,5
194,Apr 13 2019 01: +0,3.432,6
195,Apr 14 2019 01: +0,3.839,7
196,Apr 15 2019 01: +0,3.935,2
197,Apr 16 2019 01: +0,3.777,5
198,Apr 17 2019 01: +0,3.914,6
199,Apr 18 2019 01: +0,4.213,2
200,Apr 19 2019 01: +0,3.84,6
201,Apr 20 2019 01: +0,4.18,1
202,Apr 21 2019 01: +0,4.149,4
203,Apr 22 2019 01: +0,4.078,1
204,Apr 23 2019 01: +0,4.17,1
205,Apr 24 2019 01: +0,4.155,1
206,Apr 25 2019 01: +0,4.086,1
207,Apr 26 2019 01: +0,3.804,3
208,Apr 27 2019 01: +0,3.651,3
209,Apr 28 2019 01: +0,4.093,4
210,Apr 29 2019 01: +0,3.963,3
211,Apr 30 2019 01: +0,3.973,5
212,May 01 2019 01: +0,3.877,2
213,May 02 2019 01: +0,3.598,2
214,May 03 2019 01: +0,4.015,6
215,May 04 2019 01: +0,3.645,3
216,May 05 2019 01: +0,3.91,8
217,May 06 2019 01: +0,3.897,3
218,May 07 2019 01: +0,4.277,5
219,May 08 2019 01: +0,3.976,4
220,May 09 2019 01: +0,2.553,1
221,May 10 2019 01: +0,4.147,2
222,May 11 2019 01: +0,3.986,3
223,May 12 2019 01: +0,4.164,2
224,May 13 2019 01: +0,4.268,2
225,May 14 2019 01: +0,4.28,2
226,May 15 2019 01: +0,3.984,5
227,May 16 2019 01: +0,4.3,2
228,May 17 2019 01: +0,4.325,5
229,May 18 2019 01: +0,4.257,3
230,May 19 2019 01: +0,3.945,3
231,May 20 2019 01: +0,4.02,1
232,May 21 2019 01: +0,4.18,3
233,May 22 2019 01: +0,4.51,2
234,May 23 2019 01: +0,4.549,5
235,May 24 2019 01: +0,3.66,3
236,May 25 2019 01: +0,4.631,2
237,May 26 2019 01: +0,4.194,1
238,May 27 2019 01: +0,3.57,6
239,May 28 2019 01: +0,4.164,2
240,May 29 2019 01: +0,3.72,2
241,May 30 2019 01: +0,4.195,1
242,May 31 2019 01: +0,3.635,2
243,Jun 01 2019 01: +0,3.984,4
244,Jun 02 2019 01: +0,4.44,2
245,Jun 03 2019 01: +0,4.738,4
246,Jun 05 2019 01: +0,4.714,1
247,Jun 06 2019 01: +0,3.96,5
248,Jun 07 2019 01: +0,4.254,3
249,Jun 08 2019 01: +0,4.732,2
250,Jun 09 2019 01: +0,4.018,2
251,Jun 10 2019 01: +0,4.211,5
252,Jun 12 2019 01: +0,4.291,3
253,Jun 13 2019 01: +0,3.425,2
254,Jun 14 2019 01: +0,3.45,1
255,Jun 15 2019 01: +0,4.431,4
256,Jun 16 2019 01: +0,4.466,3
257,Jun 17 2019 01: +0,4.716,3
258,Jun 18 2019 01: +0,4.143,1
259,Jun 19 2019 01: +0,3.816,2
260,Jun 20 2019 01: +0,4.194,3
261,Jun 21 2019 01: +0,5.098,7
262,Jun 22 2019 01: +0,5.628,3
263,Jun 23 2019 01: +0,4.466,2
264,Jun 25 2019 01: +0,4.278,3
265,Jun 26 2019 01: +0,4.5,1
266,Jun 27 2019 01: +0,3.837,2
267,Jun 28 2019 01: +0,3.781,3
268,Jun 29 2019 01: +0,3.732,3
269,Jun 30 2019 01: +0,3.927,6
270,Jul 02 2019 01: +0,3.873,4
271,Jul 03 2019 01: +0,4.6,1
272,Jul 04 2019 01: +0,4.56,1
