,time,price,volume
0,Aug 16 2019 01: +0,2.571,15
1,Aug 17 2019 01: +0,1.832,15
2,Aug 18 2019 01: +0,1.708,18
3,Aug 19 2019 01: +0,1.52,20
4,Aug 20 2019 01: +0,1.479,30
5,Aug 21 2019 01: +0,1.77,18
6,Aug 22 2019 01: +0,1.932,15
7,Aug 23 2019 01: +0,1.719,17
8,Aug 24 2019 01: +0,1.621,20
9,Aug 25 2019 01: +0,1.686,24
10,Aug 26 2019 01: +0,1.603,14
11,Aug 27 2019 01: +0,1.623,14
12,Aug 28 2019 01: +0,1.644,13
13,Aug 29 2019 01: +0,1.455,13
14,Aug 30 2019 01: +0,1.573,14
15,Aug 31 2019 01: +0,1.617,13
16,Sep 01 2019 01: +0,1.516,18
17,Sep 02 2019 01: +0,1.532,13
18,Sep 03 2019 01: +0,1.583,20
19,Sep 04 2019 01: +0,1.492,13
20,Sep 05 2019 01: +0,1.488,16
21,Sep 06 2019 01: +0,1.613,15
22,Sep 07 2019 01: +0,1.682,17
23,Sep 08 2019 01: +0,1.707,15
24,Sep 09 2019 01: +0,1.618,12
25,Sep 10 2019 01: +0,1.499,18
26,Sep 11 2019 01: +0,1.728,7
27,Sep 12 2019 01: +0,1.577,21
28,Sep 13 2019 01: +0,1.527,7
29,Sep 14 2019 01: +0,1.528,17
30,Sep 15 2019 01: +0,1.896,15
31,Sep 16 2019 01: +0,1.53,9
32,Sep 17 2019 01: +0,1.648,6
33,Sep 18 2019 01: +0,1.639,11
34,Sep 19 2019 01: +0,1.656,6
35,Sep 20 2019 01: +0,1.551,13
36,Sep 21 2019 01: +0,1.539,12
37,Sep 22 2019 01: +0,1.505,17
38,Sep 23 2019 01: +0,1.537,17
39,Sep 24 2019 01: +0,1.587,11
40,Sep 25 2019 01: +0,1.57,10
41,Sep 26 2019 01: +0,1.603,20
42,Sep 27 2019 01: +0,1.466,14
43,Sep 28 2019 01: +0,1.462,13
44,Sep 29 2019 01: +0,1.509,23
45,Sep 30 2019 01: +0,1.583,14
46,Oct 01 2019 01: +0,1.554,15
47,Oct 02 2019 01: +0,1.451,10
48,Oct 03 2019 01: +0,1.396,21
49,Oct 04 2019 01: +0,1.465,21
50,Oct 05 2019 01: +0,1.477,18
51,Oct 06 2019 01: +0,1.489,17
52,Oct 07 2019 01: +0,1.507,16
53,Oct 08 2019 01: +0,1.503,22
54,Oct 09 2019 01: +0,1.461,13
55,Oct 10 2019 01: +0,1.464,8
56,Oct 11 2019 01: +0,1.397,8
57,Oct 12 2019 01: +0,1.452,23
58,Oct 13 2019 01: +0,1.381,15
59,Oct 14 2019 01: +0,1.298,16
60,Oct 15 2019 01: +0,1.38,19
61,Oct 16 2019 01: +0,1.456,11
62,Oct 17 2019 01: +0,1.436,13
63,Oct 18 2019 01: +0,1.411,17
64,Oct 19 2019 01: +0,1.306,27
65,Oct 20 2019 01: +0,1.375,27
66,Oct 21 2019 01: +0,1.271,12
67,Oct 22 2019 01: +0,1.264,14
68,Oct 23 2019 01: +0,1.256,18
69,Oct 24 2019 01: +0,1.214,14
70,Oct 25 2019 01: +0,1.242,14
71,Oct 26 2019 01: +0,1.249,16
72,Oct 27 2019 01: +0,1.297,13
73,Oct 28 2019 01: +0,1.261,14
74,Oct 29 2019 01: +0,1.219,30
75,Oct 30 2019 01: +0,1.287,9
76,Oct 31 2019 01: +0,1.328,14
77,Nov 01 2019 01: +0,1.32,15
78,Nov 02 2019 01: +0,1.263,18
79,Nov 03 2019 01: +0,1.376,21
80,Nov 04 2019 01: +0,1.312,11
81,Nov 05 2019 01: +0,1.459,12
82,Nov 06 2019 01: +0,1.484,12
83,Nov 07 2019 01: +0,1.466,17
84,Nov 08 2019 01: +0,1.497,22
85,Nov 09 2019 01: +0,1.423,18
86,Nov 10 2019 01: +0,1.479,20
87,Nov 11 2019 01: +0,1.626,26
88,Nov 12 2019 01: +0,1.465,11
89,Nov 13 2019 01: +0,1.463,14
90,Nov 14 2019 01: +0,1.612,14
91,Nov 15 2019 01: +0,1.628,18
92,Nov 16 2019 01: +0,1.548,14
93,Nov 17 2019 01: +0,1.643,20
94,Nov 18 2019 01: +0,1.748,7
95,Nov 19 2019 01: +0,1.154,16
96,Nov 20 2019 01: +0,1.312,20
97,Nov 21 2019 01: +0,1.344,9
98,Nov 22 2019 01: +0,1.386,24
99,Nov 23 2019 01: +0,1.379,16
100,Nov 24 2019 01: +0,1.407,21
101,Nov 25 2019 01: +0,1.465,9
102,Nov 26 2019 01: +0,1.36,15
103,Nov 27 2019 01: +0,1.407,16
104,Nov 28 2019 01: +0,1.351,16
105,Nov 29 2019 01: +0,1.336,18
106,Nov 30 2019 01: +0,1.356,14
107,Dec 01 2019 01: +0,1.441,14
108,Dec 02 2019 01: +0,1.382,14
109,Dec 03 2019 01: +0,1.381,16
110,Dec 04 2019 01: +0,1.399,12
111,Dec 05 2019 01: +0,1.507,14
112,Dec 06 2019 01: +0,1.569,15
113,Dec 07 2019 01: +0,1.509,19
114,Dec 08 2019 01: +0,1.631,23
115,Dec 09 2019 01: +0,1.571,13
116,Dec 10 2019 01: +0,1.717,19
117,Dec 11 2019 01: +0,1.988,10
118,Dec 12 2019 01: +0,1.918,6
119,Dec 13 2019 01: +0,1.723,14
120,Dec 14 2019 01: +0,1.562,24
121,Dec 15 2019 01: +0,1.748,11
122,Dec 16 2019 01: +0,1.724,14
123,Dec 17 2019 01: +0,1.816,11
124,Dec 18 2019 01: +0,1.733,11
125,Dec 19 2019 01: +0,1.774,26
126,Dec 20 2019 01: +0,1.745,20
127,Dec 21 2019 01: +0,1.654,15
128,Dec 22 2019 01: +0,1.67,18
129,Dec 23 2019 01: +0,1.814,20
130,Dec 24 2019 01: +0,1.889,19
131,Dec 25 2019 01: +0,2.091,20
132,Dec 26 2019 01: +0,2.085,22
133,Dec 27 2019 01: +0,2.355,19
134,Dec 28 2019 01: +0,2.263,14
135,Dec 29 2019 01: +0,2.061,7
136,Dec 30 2019 01: +0,2.156,18
137,Dec 31 2019 01: +0,2.236,14
138,Jan 01 2020 01: +0,2.349,13
139,Jan 02 2020 01: +0,2.372,19
140,Jan 03 2020 01: +0,2.373,12
141,Jan 04 2020 01: +0,2.513,11
142,Jan 05 2020 01: +0,2.26,16
143,Jan 06 2020 01: +0,2.284,10
144,Jan 07 2020 01: +0,2.376,5
145,Jan 08 2020 01: +0,2.439,8
146,Jan 09 2020 01: +0,2.508,15
147,Jan 10 2020 01: +0,2.786,10
148,Jan 11 2020 01: +0,2.269,15
149,Jan 12 2020 01: +0,2.47,13
150,Jan 13 2020 01: +0,2.694,17
151,Jan 14 2020 01: +0,2.456,10
152,Jan 15 2020 01: +0,2.469,9
153,Jan 16 2020 01: +0,2.471,6
154,Jan 17 2020 01: +0,2.221,4
155,Jan 18 2020 01: +0,2.39,17
156,Jan 19 2020 01: +0,2.641,10
157,Jan 20 2020 01: +0,2.432,7
158,Jan 21 2020 01: +0,2.491,11
159,Jan 22 2020 01: +0,2.167,6
160,Jan 23 2020 01: +0,2.587,5
161,Jan 24 2020 01: +0,2.417,12
162,Jan 25 2020 01: +0,2.515,11
163,Jan 26 2020 01: +0,2.355,10
164,Jan 27 2020 01: +0,2.063,10
165,Jan 28 2020 01: +0,2.302,5
166,Jan 29 2020 01: +0,2.229,10
167,Jan 30 2020 01: +0,1.97,9
168,Jan 31 2020 01: +0,2.174,11
169,Feb 01 2020 01: +0,2.255,18
170,Feb 02 2020 01: +0,2.062,9
171,Feb 03 2020 01: +0,2.01,22
172,Feb 04 2020 01: +0,2.038,10
173,Feb 05 2020 01: +0,1.941,18
174,Feb 06 2020 01: +0,1.896,26
175,Feb 07 2020 01: +0,1.859,18
176,Feb 08 2020 01: +0,1.913,29
177,Feb 09 2020 01: +0,2.215,16
178,Feb 10 2020 01: +0,2.207,19
179,Feb 11 2020 01: +0,2.161,17
180,Feb 12 2020 01: +0,2.247,8
181,Feb 13 2020 01: +0,2.096,17
182,Feb 14 2020 01: +0,2.146,18
183,Feb 15 2020 01: +0,2.23,21
184,Feb 16 2020 01: +0,2.206,19
185,Feb 17 2020 01: +0,2.235,15
186,Feb 18 2020 01: +0,2.131,16
187,Feb 19 2020 01: +0,2.183,10
188,Feb 20 2020 01: +0,2.021,14
189,Feb 21 2020 01: +0,2.037,12
190,Feb 22 2020 01: +0,2.147,9
191,Feb 23 2020 01: +0,1.95,9
192,Feb 24 2020 01: +0,1.835,17
193,Feb 25 2020 01: +0,2.005,7
194,Feb 26 2020 01: +0,2.15,18
195,Feb 27 2020 01: +0,1.829,11
196,Feb 28 2020 01: +0,2.035,13
197,Feb 29 2020 01: +0,2.052,14
198,Mar 01 2020 01: +0,2.051,13
199,Mar 02 2020 01: +0,2.087,3
200,Mar 03 2020 01: +0,1.978,9
201,Mar 04 2020 01: +0,1.935,14
202,Mar 05 2020 01: +0,1.917,10
203,Mar 06 2020 01: +0,2.057,15
204,Mar 07 2020 01: +0,2.134,17
205,Mar 08 2020 01: +0,2.154,19
206,Mar 09 2020 01: +0,2.193,12
207,Mar 10 2020 01: +0,2.086,11
208,Mar 11 2020 01: +0,1.815,12
209,Mar 12 2020 01: +0,2.027,17
210,Mar 13 2020 01: +0,1.908,17
211,Mar 14 2020 01: +0,1.962,11
212,Mar 15 2020 01: +0,1.98,6
213,Mar 16 2020 01: +0,2.053,15
214,Mar 17 2020 01: +0,1.849,10
215,Mar 18 2020 01: +0,1.768,19
216,Mar 19 2020 01: +0,1.887,12
217,Mar 20 2020 01: +0,1.765,22
218,Mar 21 2020 01: +0,1.863,13
219,Mar 22 2020 01: +0,1.698,24
220,Mar 23 2020 01: +0,1.749,19
221,Mar 24 2020 01: +0,1.77,16
222,Mar 25 2020 01: +0,1.8,15
223,Mar 26 2020 01: +0,1.816,14
224,Mar 27 2020 01: +0,1.822,32
225,Mar 28 2020 01: +0,2.179,21
226,Mar 29 2020 01: +0,2.091,13
227,Mar 30 2020 01: +0,1.793,13
228,Mar 31 2020 01: +0,1.922,18
229,Apr 01 2020 01: +0,1.918,18
230,Apr 02 2020 01: +0,1.917,25
231,Apr 03 2020 01: +0,2.023,16
232,Apr 04 2020 01: +0,1.979,23
233,Apr 05 2020 01: +0,2.163,21
234,Apr 06 2020 01: +0,2.208,11
235,Apr 07 2020 01: +0,2.079,14
236,Apr 08 2020 01: +0,2.126,10
237,Apr 09 2020 01: +0,1.961,10
238,Apr 10 2020 01: +0,2.115,14
239,Apr 11 2020 01: +0,2.089,18
240,Apr 12 2020 01: +0,2.139,10
241,Apr 13 2020 01: +0,2.242,17
242,Apr 14 2020 01: +0,2.117,9
243,Apr 15 2020 01: +0,2.075,13
244,Apr 16 2020 01: +0,2.129,12
245,Apr 17 2020 01: +0,2.056,9
246,Apr 18 2020 01: +0,2.161,9
247,Apr 19 2020 01: +0,2.2,15
248,Apr 20 2020 01: +0,2.04,10
249,Apr 21 2020 01: +0,1.976,13
250,Apr 22 2020 01: +0,1.947,16
251,Apr 23 2020 01: +0,1.962,14
252,Apr 24 2020 01: +0,2.115,14
253,Apr 25 2020 01: +0,2.12,9
254,Apr 26 2020 01: +0,2.219,13
255,Apr 27 2020 01: +0,1.897,14
256,Apr 28 2020 01: +0,2.163,12
257,Apr 29 2020 01: +0,2.031,9
258,Apr 30 2020 01: +0,2.007,11
259,May 01 2020 01: +0,2.184,10
260,May 02 2020 01: +0,2.133,10
261,May 03 2020 01: +0,2.087,15
262,May 04 2020 01: +0,2.055,14
263,May 05 2020 01: +0,2.204,9
264,May 06 2020 01: +0,2.15,13
265,May 07 2020 01: +0,2.2,12
266,May 08 2020 01: +0,2.153,13
267,May 09 2020 01: +0,2.375,19
268,May 10 2020 01: +0,2.098,12
269,May 11 2020 01: +0,2.16,9
270,May 12 2020 01: +0,2.299,6
271,May 13 2020 01: +0,2.177,5
272,May 14 2020 01: +0,2.234,14
273,May 15 2020 01: +0,2.359,6
274,May 16 2020 01: +0,2.259,10
275,May 17 2020 01: +0,2.262,8
276,May 18 2020 01: +0,2.339,10
277,May 19 2020 01: +0,2.116,6
278,May 20 2020 01: +0,2.185,12
279,May 21 2020 01: +0,2.212,10
280,May 22 2020 01: +0,2.286,9
281,May 23 2020 01: +0,2.324,12
282,May 24 2020 01: +0,2.32,10
283,May 25 2020 01: +0,2.216,10
284,May 26 2020 01: +0,2.064,12
285,May 27 2020 01: +0,2.187,11
286,May 28 2020 01: +0,2.182,8
287,May 29 2020 01: +0,2.16,5
288,May 30 2020 01: +0,2.134,6
289,May 31 2020 01: +0,2.101,5
290,Jun 01 2020 01: +0,2.132,10
291,Jun 02 2020 01: +0,2.089,8
292,Jun 03 2020 01: +0,2.102,8
293,Jun 04 2020 01: +0,2.218,10
294,Jun 05 2020 01: +0,2.228,11
295,Jun 06 2020 01: +0,2.274,9
296,Jun 07 2020 01: +0,2.221,5
297,Jun 08 2020 01: +0,2.011,6
298,Jun 09 2020 01: +0,1.999,8
299,Jun 10 2020 01: +0,2.088,10
300,Jun 11 2020 01: +0,2.253,9
301,Jun 12 2020 01: +0,2.308,11
302,Jun 13 2020 01: +0,2.243,6
303,Jun 14 2020 01: +0,2.043,11
304,Jun 15 2020 01: +0,1.979,6
305,Jun 16 2020 01: +0,1.981,7
306,Jun 17 2020 01: +0,2.036,13
307,Jun 18 2020 01: +0,2.418,8
308,Jun 19 2020 01: +0,2.349,13
309,Jun 20 2020 01: +0,2.184,8
310,Jun 21 2020 01: +0,1.791,10
311,Jun 22 2020 01: +0,1.965,9
312,Jun 23 2020 01: +0,2.037,7
313,Jun 24 2020 01: +0,1.766,6
314,Jun 25 2020 01: +0,1.69,17
315,Jun 26 2020 01: +0,1.748,16
316,Jun 27 2020 01: +0,2.172,8
317,Jun 28 2020 01: +0,1.905,4
318,Jun 29 2020 01: +0,1.915,11
319,Jun 30 2020 01: +0,2.009,11
320,Jul 01 2020 01: +0,2.283,12
321,Jul 02 2020 01: +0,2.106,7
322,Jul 03 2020 01: +0,1.955,14
323,Jul 04 2020 01: +0,2.377,8
324,Jul 05 2020 01: +0,2.45,12
325,Jul 06 2020 01: +0,2.412,12
326,Jul 07 2020 01: +0,2.411,10
327,Jul 08 2020 01: +0,2.326,17
328,Jul 09 2020 01: +0,2.208,7
329,Jul 10 2020 01: +0,2.015,16
330,Jul 11 2020 01: +0,1.907,13
331,Jul 12 2020 01: +0,1.942,2
332,Jul 13 2020 01: +0,1.849,12
333,Jul 14 2020 01: +0,2.073,7
334,Jul 15 2020 01: +0,2.046,17
335,Jul 16 2020 01: +0,2.475,17
336,Jul 17 2020 01: +0,2.542,12
337,Jul 18 2020 01: +0,2.489,11
338,Jul 19 2020 01: +0,2.635,15
339,Jul 20 2020 01: +0,2.488,9
340,Jul 21 2020 01: +0,2.599,6
341,Jul 22 2020 01: +0,2.729,5
342,Jul 23 2020 01: +0,2.734,8
343,Jul 24 2020 01: +0,2.373,9
344,Jul 25 2020 01: +0,2.645,7
345,Jul 26 2020 01: +0,2.507,6
346,Jul 27 2020 01: +0,2.435,5
347,Jul 28 2020 01: +0,2.269,6
348,Jul 29 2020 01: +0,2.236,8
349,Jul 30 2020 01: +0,2.391,5
350,Jul 31 2020 01: +0,2.502,3
351,Aug 01 2020 01: +0,2.507,12
352,Aug 02 2020 01: +0,2.395,13
353,Aug 03 2020 01: +0,2.522,11
354,Aug 04 2020 01: +0,2.549,9
355,Aug 05 2020 01: +0,2.308,4
356,Aug 06 2020 01: +0,2.451,14
357,Aug 07 2020 01: +0,2.538,11
358,Aug 08 2020 01: +0,2.376,4
359,Aug 09 2020 01: +0,2.296,7
360,Aug 10 2020 01: +0,2.6,14
361,Aug 11 2020 01: +0,2.628,7
362,Aug 12 2020 01: +0,2.681,7
363,Aug 13 2020 01: +0,2.642,6
364,Aug 14 2020 01: +0,2.539,8
365,Aug 15 2020 01: +0,2.483,15
366,Aug 16 2020 01: +0,2.568,10
367,Aug 17 2020 01: +0,2.394,5
368,Aug 18 2020 01: +0,2.523,6
369,Aug 19 2020 01: +0,2.757,3
370,Aug 20 2020 01: +0,2.737,6
371,Aug 21 2020 01: +0,2.681,9
372,Aug 22 2020 01: +0,2.524,3
373,Aug 23 2020 01: +0,2.249,13
374,Aug 24 2020 01: +0,2.432,4
375,Aug 25 2020 01: +0,2.401,5
376,Aug 26 2020 01: +0,2.158,7
377,Aug 27 2020 01: +0,2.337,7
378,Aug 28 2020 01: +0,2.457,6
379,Aug 29 2020 01: +0,2.595,9
380,Aug 30 2020 01: +0,2.322,4
381,Aug 31 2020 01: +0,2.249,5
382,Sep 01 2020 01: +0,2.44,8
383,Sep 02 2020 01: +0,2.574,3
384,Sep 03 2020 01: +0,2.47,4
385,Sep 04 2020 01: +0,2.603,3
386,Sep 05 2020 01: +0,2.486,13
387,Sep 06 2020 01: +0,2.359,8
388,Sep 07 2020 01: +0,2.497,5
389,Sep 08 2020 01: +0,2.315,4
390,Sep 09 2020 01: +0,2.448,5
391,Sep 10 2020 01: +0,2.308,6
392,Sep 11 2020 01: +0,2.462,8
393,Sep 12 2020 01: +0,2.406,9
394,Sep 13 2020 01: +0,2.309,4
395,Sep 14 2020 01: +0,2.3,2
396,Sep 15 2020 01: +0,2.421,3
397,Sep 16 2020 01: +0,2.368,4
398,Sep 17 2020 01: +0,2.273,5
399,Sep 18 2020 01: +0,2.234,7
400,Sep 19 2020 01: +0,2.241,6
401,Sep 20 2020 01: +0,2.299,8
402,Sep 21 2020 01: +0,2.182,6
403,Sep 22 2020 01: +0,2.208,5
404,Sep 23 2020 01: +0,2.126,9
405,Sep 24 2020 01: +0,2.085,5
