,time,price,volume
0,Jun 30 2018 01: +0,1.783,5
1,Jul 01 2018 01: +0,3.27,7
2,Jul 03 2018 01: +0,2.094,4
3,Jul 04 2018 01: +0,1.78,4
4,Jul 05 2018 01: +0,1.947,3
5,Jul 06 2018 01: +0,2.212,13
6,Jul 07 2018 01: +0,2.46,6
7,Jul 08 2018 01: +0,2.401,3
8,Jul 09 2018 01: +0,2.524,2
9,Jul 10 2018 01: +0,2.514,1
10,Jul 11 2018 01: +0,2.771,5
11,Jul 12 2018 01: +0,2.939,3
12,Jul 13 2018 01: +0,2.578,5
13,Jul 14 2018 01: +0,2.787,3
14,Jul 15 2018 01: +0,2.441,3
15,Jul 16 2018 01: +0,2.922,3
16,Jul 17 2018 01: +0,2.557,3
17,Jul 18 2018 01: +0,2.506,5
18,Jul 19 2018 01: +0,2.804,3
19,Jul 20 2018 01: +0,2.852,1
20,Jul 21 2018 01: +0,2.506,6
21,Jul 22 2018 01: +0,2.189,4
22,Jul 23 2018 01: +0,2.542,5
23,Jul 24 2018 01: +0,2.744,4
24,Jul 26 2018 01: +0,2.08,3
25,Jul 27 2018 01: +0,3.073,6
26,Jul 28 2018 01: +0,3.792,1
27,Jul 29 2018 01: +0,2.791,3
28,Jul 31 2018 01: +0,2.909,4
29,Aug 01 2018 01: +0,3.45,1
30,Aug 02 2018 01: +0,2.047,1
31,Aug 03 2018 01: +0,2.746,9
32,Aug 04 2018 01: +0,2.701,5
33,Aug 05 2018 01: +0,3.133,4
34,Aug 06 2018 01: +0,3.273,3
35,Aug 07 2018 01: +0,3.83,1
36,Aug 08 2018 01: +0,3.228,5
37,Aug 09 2018 01: +0,2.772,3
38,Aug 10 2018 01: +0,3.484,2
39,Aug 11 2018 01: +0,3.156,2
40,Aug 12 2018 01: +0,2.764,2
41,Aug 13 2018 01: +0,2.513,3
42,Aug 14 2018 01: +0,2.509,4
43,Aug 15 2018 01: +0,2.804,3
44,Aug 16 2018 01: +0,2.645,1
45,Aug 17 2018 01: +0,2.22,2
46,Aug 18 2018 01: +0,2.377,3
47,Aug 19 2018 01: +0,2.378,6
48,Aug 20 2018 01: +0,3.003,3
49,Aug 21 2018 01: +0,2.494,2
50,Aug 22 2018 01: +0,2.704,1
51,Aug 23 2018 01: +0,3.003,3
52,Aug 24 2018 01: +0,2.762,3
53,Aug 25 2018 01: +0,2.45,1
54,Aug 26 2018 01: +0,2.083,3
55,Aug 27 2018 01: +0,2.234,3
56,Aug 28 2018 01: +0,2.572,4
57,Aug 29 2018 01: +0,2.59,3
