,time,price,volume
0,Nov 22 2019 01: +0,2.141,4
1,Nov 23 2019 01: +0,1.867,12
2,Nov 24 2019 01: +0,1.582,8
3,Nov 25 2019 01: +0,1.433,10
4,Nov 26 2019 01: +0,1.731,6
5,Nov 27 2019 01: +0,1.713,6
6,Nov 28 2019 01: +0,1.553,12
7,Nov 29 2019 01: +0,1.468,13
8,Nov 30 2019 01: +0,1.828,14
9,Dec 01 2019 01: +0,1.801,11
10,Dec 02 2019 01: +0,2.036,11
11,Dec 03 2019 01: +0,2.036,5
12,Dec 04 2019 01: +0,1.507,7
13,Dec 05 2019 01: +0,2.213,9
14,Dec 06 2019 01: +0,2.184,5
15,Dec 07 2019 01: +0,2.081,8
16,Dec 08 2019 01: +0,2.282,8
17,Dec 09 2019 01: +0,2.252,6
18,Dec 10 2019 01: +0,2.459,6
19,Dec 11 2019 01: +0,2.478,5
20,Dec 12 2019 01: +0,2.369,6
21,Dec 13 2019 01: +0,2.317,8
22,Dec 14 2019 01: +0,2.217,12
23,Dec 15 2019 01: +0,1.748,4
24,Dec 16 2019 01: +0,1.986,9
25,Dec 17 2019 01: +0,1.907,8
26,Dec 18 2019 01: +0,2.28,8
27,Dec 19 2019 01: +0,2.377,6
28,Dec 20 2019 01: +0,2.284,12
29,Dec 21 2019 01: +0,2.338,11
30,Dec 22 2019 01: +0,2.372,12
31,Dec 23 2019 01: +0,2.094,6
32,Dec 24 2019 01: +0,2.548,7
33,Dec 25 2019 01: +0,2.592,13
34,Dec 26 2019 01: +0,2.611,11
35,Dec 27 2019 01: +0,2.656,13
36,Dec 28 2019 01: +0,2.939,13
37,Dec 29 2019 01: +0,2.845,5
38,Dec 30 2019 01: +0,2.892,3
39,Dec 31 2019 01: +0,2.95,3
40,Jan 01 2020 01: +0,2.925,10
41,Jan 02 2020 01: +0,2.765,10
42,Jan 03 2020 01: +0,3.27,8
43,Jan 04 2020 01: +0,3.192,12
44,Jan 05 2020 01: +0,3.277,9
45,Jan 06 2020 01: +0,2.511,6
46,Jan 07 2020 01: +0,2.437,6
47,Jan 08 2020 01: +0,2.855,6
48,Jan 09 2020 01: +0,2.985,4
49,Jan 10 2020 01: +0,2.967,8
50,Jan 11 2020 01: +0,3.066,4
51,Jan 12 2020 01: +0,3.305,8
52,Jan 13 2020 01: +0,3.286,5
53,Jan 14 2020 01: +0,3.225,4
54,Jan 15 2020 01: +0,2.881,3
55,Jan 16 2020 01: +0,3.303,5
56,Jan 17 2020 01: +0,3.17,5
57,Jan 18 2020 01: +0,2.814,5
58,Jan 19 2020 01: +0,3.01,2
59,Jan 20 2020 01: +0,3.092,9
60,Jan 21 2020 01: +0,3.184,5
61,Jan 22 2020 01: +0,2.667,2
62,Jan 23 2020 01: +0,3.139,6
63,Jan 24 2020 01: +0,2.732,7
64,Jan 25 2020 01: +0,2.878,9
65,Jan 26 2020 01: +0,3.148,8
66,Jan 27 2020 01: +0,2.746,8
67,Jan 28 2020 01: +0,3.275,2
68,Jan 29 2020 01: +0,2.748,6
69,Jan 30 2020 01: +0,3.059,2
70,Jan 31 2020 01: +0,2.621,6
71,Feb 01 2020 01: +0,2.748,6
72,Feb 02 2020 01: +0,2.983,7
73,Feb 03 2020 01: +0,3.01,3
74,Feb 04 2020 01: +0,3.16,3
75,Feb 05 2020 01: +0,3.257,6
76,Feb 06 2020 01: +0,3.131,7
77,Feb 07 2020 01: +0,3.235,8
78,Feb 08 2020 01: +0,2.558,4
79,Feb 09 2020 01: +0,2.757,6
80,Feb 10 2020 01: +0,3.203,6
81,Feb 11 2020 01: +0,3.076,4
82,Feb 12 2020 01: +0,3.127,6
83,Feb 13 2020 01: +0,3.099,4
84,Feb 14 2020 01: +0,3.106,7
85,Feb 15 2020 01: +0,3.072,13
86,Feb 16 2020 01: +0,2.839,5
87,Feb 17 2020 01: +0,2.993,5
88,Feb 18 2020 01: +0,3.189,2
89,Feb 19 2020 01: +0,3.092,2
90,Feb 20 2020 01: +0,2.968,9
91,Feb 21 2020 01: +0,2.973,5
92,Feb 22 2020 01: +0,2.977,9
93,Feb 23 2020 01: +0,3.233,8
