,time,price,volume
0,Aug 17 2018 01: +0,2.064,1
1,Aug 18 2018 01: +0,3.704,1
2,Aug 21 2018 01: +0,2.72,1
3,Aug 22 2018 01: +0,3.79,2
4,Aug 23 2018 01: +0,2.713,1
5,Aug 24 2018 01: +0,2.372,2
6,Aug 28 2018 01: +0,2.605,1
7,Aug 30 2018 01: +0,2.41,1
8,Aug 31 2018 01: +0,1.922,2
9,Sep 01 2018 01: +0,2.294,2
10,Sep 02 2018 01: +0,1.917,1
11,Sep 03 2018 01: +0,2.137,4
12,Sep 06 2018 01: +0,2.301,1
13,Sep 07 2018 01: +0,1.817,1
14,Sep 08 2018 01: +0,1.872,4
15,Sep 10 2018 01: +0,2.018,2
16,Sep 12 2018 01: +0,1.878,4
17,Sep 14 2018 01: +0,2.116,1
18,Sep 15 2018 01: +0,1.778,2
19,Sep 16 2018 01: +0,1.58,4
20,Sep 17 2018 01: +0,1.84,1
21,Sep 18 2018 01: +0,2.03,2
22,Sep 20 2018 01: +0,1.977,1
23,Sep 21 2018 01: +0,1.999,1
24,Sep 22 2018 01: +0,2.067,5
25,Sep 24 2018 01: +0,1.548,1
26,Sep 25 2018 01: +0,1.959,1
27,Sep 26 2018 01: +0,2.02,2
28,Sep 27 2018 01: +0,1.52,1
29,Sep 29 2018 01: +0,1.998,2
30,Sep 30 2018 01: +0,2.013,1
31,Oct 01 2018 01: +0,2.076,3
32,Oct 03 2018 01: +0,2.19,1
33,Oct 04 2018 01: +0,1.825,2
34,Oct 05 2018 01: +0,2.154,1
35,Oct 06 2018 01: +0,2.107,4
36,Oct 08 2018 01: +0,2.212,3
37,Oct 09 2018 01: +0,2.245,1
38,Oct 11 2018 01: +0,2.341,2
39,Oct 12 2018 01: +0,2.352,2
40,Oct 14 2018 01: +0,2.01,3
41,Oct 15 2018 01: +0,2.15,3
42,Oct 16 2018 01: +0,5.69,2
43,Oct 17 2018 01: +0,6.421,1
44,Oct 22 2018 01: +0,2.247,2
45,Oct 23 2018 01: +0,2.538,1
46,Oct 24 2018 01: +0,1.868,1
47,Oct 25 2018 01: +0,1.849,1
48,Oct 27 2018 01: +0,2.081,2
49,Oct 28 2018 01: +0,1.832,3
50,Oct 30 2018 01: +0,2.305,2
51,Oct 31 2018 01: +0,2.27,1
52,Nov 01 2018 01: +0,2.001,1
53,Nov 02 2018 01: +0,2.24,1
54,Nov 05 2018 01: +0,2.032,2
55,Nov 06 2018 01: +0,2.226,2
56,Nov 07 2018 01: +0,2.318,2
57,Nov 09 2018 01: +0,2.476,2
58,Nov 14 2018 01: +0,2.896,2
59,Nov 16 2018 01: +0,2.915,2
60,Nov 17 2018 01: +0,2.952,1
61,Nov 18 2018 01: +0,2.815,1
62,Nov 20 2018 01: +0,1.944,4
63,Nov 21 2018 01: +0,2.612,2
64,Nov 22 2018 01: +0,1.677,1
65,Nov 23 2018 01: +0,2.42,1
66,Nov 24 2018 01: +0,2.45,1
67,Nov 25 2018 01: +0,2.397,3
68,Nov 26 2018 01: +0,2.48,1
69,Nov 28 2018 01: +0,2.45,1
70,Nov 29 2018 01: +0,2.333,5
71,Nov 30 2018 01: +0,2.497,3
72,Dec 01 2018 01: +0,2.502,4
73,Dec 02 2018 01: +0,2.517,2
74,Dec 04 2018 01: +0,2.252,3
75,Dec 05 2018 01: +0,2.533,2
76,Dec 06 2018 01: +0,2.872,3
77,Dec 08 2018 01: +0,2.911,1
78,Dec 10 2018 01: +0,2.799,3
79,Dec 11 2018 01: +0,2.813,1
80,Dec 12 2018 01: +0,2.472,2
81,Dec 13 2018 01: +0,2.402,3
82,Dec 14 2018 01: +0,2.413,2
83,Dec 15 2018 01: +0,2.584,2
84,Dec 16 2018 01: +0,2.8,1
85,Dec 17 2018 01: +0,2.378,3
86,Dec 18 2018 01: +0,2.819,3
87,Dec 19 2018 01: +0,2.9,1
88,Dec 20 2018 01: +0,2.909,1
89,Dec 21 2018 01: +0,2.237,3
90,Dec 22 2018 01: +0,2.41,1
91,Dec 23 2018 01: +0,2.39,4
92,Dec 24 2018 01: +0,2.721,1
93,Dec 25 2018 01: +0,2.698,5
94,Dec 26 2018 01: +0,2.356,5
95,Dec 27 2018 01: +0,2.921,3
96,Dec 29 2018 01: +0,3.574,1
97,Dec 30 2018 01: +0,2.638,1
98,Dec 31 2018 01: +0,3.6,4
99,Jan 02 2019 01: +0,3.71,1
100,Jan 03 2019 01: +0,3.714,2
101,Jan 04 2019 01: +0,2.991,1
102,Jan 05 2019 01: +0,3.47,1
103,Jan 06 2019 01: +0,3.47,1
104,Jan 07 2019 01: +0,2.647,1
105,Jan 09 2019 01: +0,3.07,1
106,Jan 10 2019 01: +0,3.06,2
