,time,price,volume
0,Sep 21 2018 01: +0,2.615,1
1,Sep 22 2018 01: +0,2.562,10
2,Sep 23 2018 01: +0,2.05,6
3,Sep 24 2018 01: +0,2.129,4
4,Sep 25 2018 01: +0,1.953,9
5,Sep 26 2018 01: +0,2.132,4
6,Sep 27 2018 01: +0,2.36,1
7,Sep 28 2018 01: +0,2.102,8
8,Sep 29 2018 01: +0,2.127,13
9,Sep 30 2018 01: +0,1.988,19
10,Oct 01 2018 01: +0,2.17,5
11,Oct 02 2018 01: +0,2.062,8
12,Oct 03 2018 01: +0,2.079,3
13,Oct 04 2018 01: +0,1.97,8
14,Oct 05 2018 01: +0,2.103,9
15,Oct 06 2018 01: +0,2.237,10
16,Oct 07 2018 01: +0,2.12,11
17,Oct 08 2018 01: +0,2.008,12
18,Oct 09 2018 01: +0,2.108,2
19,Oct 10 2018 01: +0,2.02,5
20,Oct 11 2018 01: +0,2.054,9
21,Oct 12 2018 01: +0,2.129,6
22,Oct 13 2018 01: +0,2.144,4
23,Oct 14 2018 01: +0,2.365,8
24,Oct 15 2018 01: +0,2.283,10
25,Oct 16 2018 01: +0,2.361,3
26,Oct 17 2018 01: +0,2.483,4
27,Oct 18 2018 01: +0,2.277,6
28,Oct 19 2018 01: +0,2.308,8
29,Oct 20 2018 01: +0,2.415,12
30,Oct 21 2018 01: +0,2.268,9
31,Oct 22 2018 01: +0,2.43,6
32,Oct 23 2018 01: +0,2.301,4
33,Oct 24 2018 01: +0,2.572,5
34,Oct 25 2018 01: +0,2.502,3
35,Oct 26 2018 01: +0,2.052,4
36,Oct 27 2018 01: +0,2.203,10
37,Oct 28 2018 01: +0,2.291,8
38,Oct 29 2018 01: +0,2.425,6
39,Oct 30 2018 01: +0,2.518,4
40,Oct 31 2018 01: +0,2.668,5
41,Nov 01 2018 01: +0,3.039,7
42,Nov 02 2018 01: +0,3.437,7
43,Nov 03 2018 01: +0,2.537,2
44,Nov 04 2018 01: +0,3.113,7
45,Nov 05 2018 01: +0,3.493,8
46,Nov 06 2018 01: +0,3.006,3
47,Nov 07 2018 01: +0,3.384,6
48,Nov 08 2018 01: +0,3.247,7
49,Nov 09 2018 01: +0,2.838,2
50,Nov 10 2018 01: +0,3.278,6
51,Nov 11 2018 01: +0,3.124,7
52,Nov 12 2018 01: +0,3.113,5
53,Nov 13 2018 01: +0,3.295,6
54,Nov 14 2018 01: +0,2.959,5
55,Nov 15 2018 01: +0,3.485,3
56,Nov 16 2018 01: +0,3.303,5
57,Nov 17 2018 01: +0,3.432,3
58,Nov 18 2018 01: +0,3.318,7
59,Nov 19 2018 01: +0,3.427,3
60,Nov 20 2018 01: +0,3.354,5
61,Nov 21 2018 01: +0,2.802,7
62,Nov 22 2018 01: +0,3.332,7
63,Nov 23 2018 01: +0,3.464,5
64,Nov 24 2018 01: +0,3.686,1
65,Nov 25 2018 01: +0,3.356,7
66,Nov 26 2018 01: +0,2.941,9
67,Nov 27 2018 01: +0,3.123,8
