,time,price,volume
0,Feb 01 2018 01: +0,3.5,1
1,Feb 02 2018 01: +0,2.882,10
2,Feb 03 2018 01: +0,1.877,3
3,Feb 04 2018 01: +0,2.094,6
4,Feb 05 2018 01: +0,2.497,5
5,Feb 06 2018 01: +0,1.848,6
6,Feb 07 2018 01: +0,2.167,6
7,Feb 08 2018 01: +0,2.23,2
8,Feb 09 2018 01: +0,2.278,9
9,Feb 10 2018 01: +0,2.718,12
10,Feb 11 2018 01: +0,4.583,8
11,Feb 12 2018 01: +0,5.537,2
12,Feb 13 2018 01: +0,4.24,3
13,Feb 14 2018 01: +0,4.281,1
14,Feb 15 2018 01: +0,2.134,3
15,Feb 16 2018 01: +0,2.902,8
16,Feb 17 2018 01: +0,2.808,6
17,Feb 18 2018 01: +0,3.138,4
18,Feb 19 2018 01: +0,3.154,3
19,Feb 20 2018 01: +0,2.784,2
20,Feb 21 2018 01: +0,2.41,1
21,Feb 22 2018 01: +0,2.5,4
22,Feb 23 2018 01: +0,2.482,6
23,Feb 24 2018 01: +0,2.276,6
24,Feb 25 2018 01: +0,2.398,6
25,Feb 26 2018 01: +0,2.379,3
26,Feb 27 2018 01: +0,2.404,3
27,Feb 28 2018 01: +0,2.051,1
28,Mar 01 2018 01: +0,1.998,3
29,Mar 02 2018 01: +0,2.358,7
30,Mar 03 2018 01: +0,2.321,7
31,Mar 04 2018 01: +0,2.015,5
32,Mar 05 2018 01: +0,2.577,7
33,Mar 06 2018 01: +0,3.06,5
34,Mar 07 2018 01: +0,3.472,5
35,Mar 08 2018 01: +0,3.474,4
36,Mar 09 2018 01: +0,3.535,2
37,Mar 10 2018 01: +0,2.473,4
38,Mar 11 2018 01: +0,0.74,2
39,Mar 12 2018 01: +0,3.34,1
40,Mar 13 2018 01: +0,2.878,3
41,Mar 14 2018 01: +0,2.814,1
42,Mar 16 2018 01: +0,2.567,3
43,Mar 17 2018 01: +0,2.56,6
44,Mar 18 2018 01: +0,2.324,5
45,Mar 19 2018 01: +0,2.123,3
46,Mar 21 2018 01: +0,2.511,4
47,Mar 22 2018 01: +0,2.463,2
48,Mar 23 2018 01: +0,2.55,1
49,Mar 24 2018 01: +0,2.562,4
50,Mar 25 2018 01: +0,2.309,2
51,Mar 26 2018 01: +0,2.492,7
52,Mar 27 2018 01: +0,2.39,2
53,Mar 28 2018 01: +0,2.388,4
54,Mar 29 2018 01: +0,2.38,2
55,Mar 30 2018 01: +0,2.821,2
56,Mar 31 2018 01: +0,2.704,2
57,Apr 01 2018 01: +0,2.066,2
58,Apr 02 2018 01: +0,2.67,2
59,Apr 03 2018 01: +0,2.618,4
60,Apr 04 2018 01: +0,2.835,2
61,Apr 05 2018 01: +0,2.778,2
62,Apr 06 2018 01: +0,2.239,3
63,Apr 07 2018 01: +0,2.445,6
64,Apr 08 2018 01: +0,2.831,4
65,Apr 09 2018 01: +0,2.767,5
66,Apr 10 2018 01: +0,2.809,5
67,Apr 11 2018 01: +0,2.485,4
68,Apr 12 2018 01: +0,2.857,3
69,Apr 13 2018 01: +0,2.651,2
70,Apr 14 2018 01: +0,2.972,3
71,Apr 15 2018 01: +0,2.704,6
72,Apr 16 2018 01: +0,3.088,6
