,time,price,volume
0,Jan 11 2019 01: +0,2.208,25
1,Jan 12 2019 01: +0,2.274,27
2,Jan 13 2019 01: +0,2.432,17
3,Jan 14 2019 01: +0,2.293,9
4,Jan 15 2019 01: +0,2.199,17
5,Jan 16 2019 01: +0,2.028,23
6,Jan 17 2019 01: +0,1.998,21
7,Jan 18 2019 01: +0,1.968,18
8,Jan 19 2019 01: +0,1.984,21
9,Jan 20 2019 01: +0,1.872,19
10,Jan 21 2019 01: +0,2.071,9
11,Jan 22 2019 01: +0,2.03,20
12,Jan 23 2019 01: +0,1.782,19
13,Jan 24 2019 01: +0,1.64,25
14,Jan 25 2019 01: +0,1.697,33
15,Jan 26 2019 01: +0,1.709,25
16,Jan 27 2019 01: +0,1.683,23
17,Jan 28 2019 01: +0,1.777,21
18,Jan 29 2019 01: +0,1.81,18
19,Jan 30 2019 01: +0,1.776,17
20,Jan 31 2019 01: +0,1.874,19
21,Feb 01 2019 01: +0,1.717,18
22,Feb 02 2019 01: +0,1.672,11
23,Feb 03 2019 01: +0,1.805,12
24,Feb 04 2019 01: +0,1.737,12
25,Feb 05 2019 01: +0,1.541,18
26,Feb 06 2019 01: +0,1.487,16
27,Feb 07 2019 01: +0,1.555,36
28,Feb 08 2019 01: +0,1.665,33
29,Feb 09 2019 01: +0,1.708,20
30,Feb 10 2019 01: +0,1.575,12
31,Feb 11 2019 01: +0,1.671,11
32,Feb 12 2019 01: +0,1.628,20
33,Feb 13 2019 01: +0,1.742,17
34,Feb 14 2019 01: +0,1.72,14
35,Feb 15 2019 01: +0,1.668,11
36,Feb 16 2019 01: +0,1.716,17
37,Feb 17 2019 01: +0,1.74,14
38,Feb 18 2019 01: +0,1.696,12
39,Feb 19 2019 01: +0,1.635,14
40,Feb 20 2019 01: +0,1.754,10
41,Feb 21 2019 01: +0,1.658,11
42,Feb 22 2019 01: +0,1.705,15
43,Feb 23 2019 01: +0,1.633,18
44,Feb 24 2019 01: +0,1.68,10
45,Feb 25 2019 01: +0,1.552,10
46,Feb 26 2019 01: +0,1.603,18
47,Feb 27 2019 01: +0,1.612,10
48,Feb 28 2019 01: +0,1.589,16
49,Mar 01 2019 01: +0,1.591,18
50,Mar 02 2019 01: +0,1.59,11
51,Mar 03 2019 01: +0,1.659,17
52,Mar 04 2019 01: +0,1.685,15
53,Mar 05 2019 01: +0,1.687,10
