,time,price,volume
0,Jun 29 2018 01: +0,2.408,2
1,Jul 01 2018 01: +0,1.471,4
2,Jul 02 2018 01: +0,1.512,3
3,Jul 03 2018 01: +0,1.566,2
4,Jul 04 2018 01: +0,1.743,4
5,Jul 05 2018 01: +0,1.549,4
6,Jul 06 2018 01: +0,1.449,3
7,Jul 07 2018 01: +0,1.435,8
8,Jul 08 2018 01: +0,1.374,2
9,Jul 09 2018 01: +0,1.617,4
10,Jul 10 2018 01: +0,1.745,6
11,Jul 11 2018 01: +0,1.147,1
12,Jul 12 2018 01: +0,1.768,5
13,Jul 13 2018 01: +0,1.88,4
14,Jul 14 2018 01: +0,1.941,3
15,Jul 15 2018 01: +0,1.592,5
16,Jul 17 2018 01: +0,1.362,1
17,Jul 18 2018 01: +0,1.897,2
18,Jul 19 2018 01: +0,1.512,5
19,Jul 20 2018 01: +0,1.811,4
20,Jul 21 2018 01: +0,1.524,6
21,Jul 22 2018 01: +0,1.692,2
22,Jul 23 2018 01: +0,1.974,2
23,Jul 24 2018 01: +0,1.747,2
24,Jul 25 2018 01: +0,1.6,2
25,Jul 26 2018 01: +0,1.838,6
26,Jul 27 2018 01: +0,1.972,5
27,Jul 28 2018 01: +0,1.99,1
28,Jul 29 2018 01: +0,1.459,2
29,Jul 30 2018 01: +0,1.198,2
30,Aug 01 2018 01: +0,1.8,1
31,Aug 02 2018 01: +0,1.862,6
32,Aug 03 2018 01: +0,1.882,1
33,Aug 04 2018 01: +0,1.884,3
34,Aug 05 2018 01: +0,1.688,3
35,Aug 06 2018 01: +0,1.896,1
36,Aug 07 2018 01: +0,1.748,3
37,Aug 08 2018 01: +0,1.916,2
38,Aug 09 2018 01: +0,1.873,6
39,Aug 10 2018 01: +0,2.096,2
40,Aug 11 2018 01: +0,2.067,2
41,Aug 12 2018 01: +0,2.046,3
42,Aug 13 2018 01: +0,1.741,2
43,Aug 14 2018 01: +0,1.723,2
44,Aug 16 2018 01: +0,1.56,1
45,Aug 17 2018 01: +0,1.726,3
46,Aug 18 2018 01: +0,1.596,1
47,Aug 19 2018 01: +0,1.86,1
48,Aug 20 2018 01: +0,1.702,2
49,Aug 22 2018 01: +0,1.85,2
50,Aug 23 2018 01: +0,1.799,2
51,Aug 24 2018 01: +0,1.656,3
52,Aug 25 2018 01: +0,1.874,1
53,Aug 28 2018 01: +0,1.614,2
54,Aug 30 2018 01: +0,1.568,3
55,Sep 01 2018 01: +0,1.372,4
56,Sep 02 2018 01: +0,1.376,2
57,Sep 03 2018 01: +0,1.75,1
58,Sep 04 2018 01: +0,1.751,1
59,Sep 05 2018 01: +0,1.23,2
60,Sep 06 2018 01: +0,1.546,2
61,Sep 07 2018 01: +0,1.692,2
62,Sep 08 2018 01: +0,1.636,4
63,Sep 09 2018 01: +0,1.293,2
64,Sep 10 2018 01: +0,1.878,3
65,Sep 12 2018 01: +0,1.498,1
66,Sep 13 2018 01: +0,1.9,2
67,Sep 14 2018 01: +0,1.15,1
68,Sep 15 2018 01: +0,1.866,3
69,Sep 16 2018 01: +0,1.571,1
70,Sep 17 2018 01: +0,1.767,1
71,Sep 18 2018 01: +0,1.7,5
72,Sep 19 2018 01: +0,1.279,2
73,Sep 20 2018 01: +0,1.724,2
74,Sep 21 2018 01: +0,1.16,3
75,Sep 22 2018 01: +0,1.17,2
76,Sep 23 2018 01: +0,1.548,4
77,Sep 24 2018 01: +0,1.677,1
78,Sep 25 2018 01: +0,1.817,5
79,Sep 26 2018 01: +0,1.971,2
80,Sep 27 2018 01: +0,2.013,1
81,Sep 28 2018 01: +0,1.559,3
82,Sep 29 2018 01: +0,1.636,4
83,Sep 30 2018 01: +0,1.719,3
84,Oct 01 2018 01: +0,1.529,2
85,Oct 02 2018 01: +0,1.885,2
86,Oct 03 2018 01: +0,1.751,4
87,Oct 04 2018 01: +0,1.787,2
88,Oct 05 2018 01: +0,1.248,4
89,Oct 06 2018 01: +0,1.674,2
90,Oct 07 2018 01: +0,1.71,3
91,Oct 08 2018 01: +0,1.721,2
92,Oct 09 2018 01: +0,1.508,3
93,Oct 10 2018 01: +0,1.506,4
94,Oct 11 2018 01: +0,1.715,1
95,Oct 12 2018 01: +0,1.732,1
96,Oct 13 2018 01: +0,1.75,1
97,Oct 14 2018 01: +0,1.744,1
98,Oct 15 2018 01: +0,1.75,1
99,Oct 16 2018 01: +0,1.66,3
100,Oct 17 2018 01: +0,1.773,2
101,Oct 18 2018 01: +0,1.74,2
102,Oct 19 2018 01: +0,1.674,6
103,Oct 20 2018 01: +0,1.728,4
104,Oct 21 2018 01: +0,1.838,1
105,Oct 22 2018 01: +0,1.15,1
106,Oct 23 2018 01: +0,1.813,1
107,Oct 24 2018 01: +0,1.709,2
108,Oct 25 2018 01: +0,1.714,2
109,Oct 26 2018 01: +0,1.7,3
110,Oct 27 2018 01: +0,1.71,3
111,Oct 28 2018 01: +0,1.403,1
112,Oct 29 2018 01: +0,1.77,3
113,Nov 01 2018 01: +0,1.66,4
114,Nov 02 2018 01: +0,1.76,1
115,Nov 03 2018 01: +0,1.62,5
116,Nov 04 2018 01: +0,1.783,5
117,Nov 05 2018 01: +0,1.795,2
118,Nov 06 2018 01: +0,1.69,4
119,Nov 08 2018 01: +0,1.854,2
120,Nov 09 2018 01: +0,1.878,5
121,Nov 10 2018 01: +0,1.991,1
122,Nov 11 2018 01: +0,2.07,1
123,Nov 12 2018 01: +0,1.874,1
124,Nov 13 2018 01: +0,2.0,2
125,Nov 14 2018 01: +0,2.005,1
126,Nov 16 2018 01: +0,2.025,3
127,Nov 17 2018 01: +0,2.0,1
128,Nov 19 2018 01: +0,2.029,4
129,Nov 20 2018 01: +0,2.07,1
130,Nov 21 2018 01: +0,1.935,2
131,Nov 22 2018 01: +0,1.869,2
132,Nov 23 2018 01: +0,2.167,5
133,Nov 24 2018 01: +0,2.293,6
134,Nov 26 2018 01: +0,2.486,2
135,Nov 27 2018 01: +0,2.33,1
136,Nov 29 2018 01: +0,1.855,3
137,Nov 30 2018 01: +0,2.2,5
138,Dec 01 2018 01: +0,2.249,4
139,Dec 02 2018 01: +0,1.897,2
140,Dec 03 2018 01: +0,2.254,3
141,Dec 04 2018 01: +0,2.346,1
142,Dec 05 2018 01: +0,1.64,1
143,Dec 06 2018 01: +0,2.151,4
144,Dec 07 2018 01: +0,2.35,2
145,Dec 08 2018 01: +0,2.366,1
146,Dec 09 2018 01: +0,2.332,2
147,Dec 10 2018 01: +0,2.332,2
148,Dec 11 2018 01: +0,1.732,2
149,Dec 13 2018 01: +0,2.2,2
150,Dec 14 2018 01: +0,2.34,1
151,Dec 15 2018 01: +0,2.26,1
152,Dec 16 2018 01: +0,1.709,4
153,Dec 17 2018 01: +0,2.253,2
154,Dec 18 2018 01: +0,2.016,2
155,Dec 20 2018 01: +0,2.0,1
156,Dec 21 2018 01: +0,2.283,4
157,Dec 22 2018 01: +0,1.92,3
158,Dec 23 2018 01: +0,2.36,1
159,Dec 24 2018 01: +0,1.942,4
160,Dec 25 2018 01: +0,2.314,7
161,Dec 26 2018 01: +0,2.248,4
162,Dec 27 2018 01: +0,2.331,1
163,Dec 28 2018 01: +0,2.514,11
164,Dec 29 2018 01: +0,2.322,2
165,Dec 30 2018 01: +0,2.944,7
166,Dec 31 2018 01: +0,2.899,2
167,Jan 01 2019 01: +0,3.154,6
168,Jan 02 2019 01: +0,3.744,4
169,Jan 03 2019 01: +0,3.782,2
170,Jan 04 2019 01: +0,3.919,1
171,Jan 05 2019 01: +0,3.711,1
172,Jan 06 2019 01: +0,3.204,3
173,Jan 07 2019 01: +0,2.695,2
174,Jan 08 2019 01: +0,2.92,3
175,Jan 10 2019 01: +0,2.632,3
176,Jan 11 2019 01: +0,2.639,6
177,Jan 12 2019 01: +0,2.888,2
178,Jan 13 2019 01: +0,3.146,5
179,Jan 16 2019 01: +0,3.368,3
180,Jan 17 2019 01: +0,3.346,2
181,Jan 18 2019 01: +0,3.3,1
182,Jan 19 2019 01: +0,2.597,3
183,Jan 20 2019 01: +0,3.4,3
184,Jan 21 2019 01: +0,4.068,4
185,Jan 22 2019 01: +0,5.623,3
186,Jan 25 2019 01: +0,4.209,2
187,Jan 27 2019 01: +0,3.062,1
188,Jan 28 2019 01: +0,4.94,1
189,Jan 29 2019 01: +0,4.398,3
190,Jan 30 2019 01: +0,3.997,2
191,Feb 01 2019 01: +0,3.76,1
192,Feb 02 2019 01: +0,3.196,2
193,Feb 03 2019 01: +0,3.174,2
194,Feb 04 2019 01: +0,3.53,1
195,Feb 05 2019 01: +0,3.5,1
196,Feb 06 2019 01: +0,2.699,3
197,Feb 07 2019 01: +0,2.786,3
198,Feb 08 2019 01: +0,2.788,4
199,Feb 09 2019 01: +0,2.828,2
200,Feb 10 2019 01: +0,3.041,2
201,Feb 12 2019 01: +0,3.046,3
