,time,price,volume
0,Aug 20 2020 01: +0,2.788,36
1,Aug 21 2020 01: +0,2.488,68
2,Aug 22 2020 01: +0,2.582,84
3,Aug 23 2020 01: +0,2.64,55
4,Aug 24 2020 01: +0,3.147,50
5,Aug 25 2020 01: +0,2.69,41
6,Aug 26 2020 01: +0,2.651,39
7,Aug 27 2020 01: +0,2.663,59
8,Aug 28 2020 01: +0,2.525,56
9,Aug 29 2020 01: +0,2.257,57
10,Aug 30 2020 01: +0,2.337,54
11,Aug 31 2020 01: +0,2.461,57
12,Sep 01 2020 01: +0,2.258,37
13,Sep 02 2020 01: +0,2.296,37
14,Sep 03 2020 01: +0,2.218,64
15,Sep 04 2020 01: +0,2.265,51
16,Sep 05 2020 01: +0,2.286,30
17,Sep 06 2020 01: +0,2.298,35
18,Sep 07 2020 01: +0,2.223,41
19,Sep 08 2020 01: +0,2.229,37
20,Sep 09 2020 01: +0,2.08,39
21,Sep 10 2020 01: +0,2.116,46
22,Sep 11 2020 01: +0,1.921,75
23,Sep 12 2020 01: +0,2.06,35
24,Sep 13 2020 01: +0,1.917,23
25,Sep 14 2020 01: +0,2.018,33
26,Sep 15 2020 01: +0,1.938,35
27,Sep 16 2020 01: +0,1.698,72
28,Sep 17 2020 01: +0,1.675,48
29,Sep 18 2020 01: +0,1.723,40
30,Sep 19 2020 01: +0,1.678,56
31,Sep 20 2020 01: +0,1.84,41
32,Sep 21 2020 01: +0,1.72,43
33,Sep 22 2020 01: +0,1.682,33
34,Sep 23 2020 01: +0,1.74,46
35,Sep 24 2020 01: +0,1.798,55
36,Sep 25 2020 01: +0,1.701,48
37,Sep 26 2020 01: +0,1.651,43
38,Sep 27 2020 01: +0,1.678,45
39,Sep 28 2020 01: +0,1.607,36
40,Sep 29 2020 01: +0,1.657,39
41,Sep 30 2020 01: +0,1.695,22
42,Oct 01 2020 01: +0,1.676,73
43,Oct 02 2020 01: +0,1.676,54
44,Oct 03 2020 01: +0,1.663,35
45,Oct 04 2020 01: +0,1.631,44
46,Oct 05 2020 01: +0,1.71,51
47,Oct 06 2020 01: +0,1.669,27
48,Oct 07 2020 01: +0,1.728,32
49,Oct 08 2020 01: +0,1.715,38
50,Oct 09 2020 01: +0,1.729,44
51,Oct 10 2020 01: +0,1.68,50
52,Oct 11 2020 01: +0,1.714,38
53,Oct 12 2020 01: +0,1.708,62
54,Oct 13 2020 01: +0,1.743,33
55,Oct 14 2020 01: +0,1.648,35
56,Oct 15 2020 01: +0,1.775,59
57,Oct 16 2020 01: +0,1.771,49
58,Oct 17 2020 01: +0,1.797,41
59,Oct 18 2020 01: +0,1.718,37
60,Oct 19 2020 01: +0,1.818,39
61,Oct 20 2020 01: +0,1.875,43
62,Oct 21 2020 01: +0,1.887,26
63,Oct 22 2020 01: +0,1.99,44
64,Oct 23 2020 01: +0,1.917,47
65,Oct 24 2020 01: +0,1.918,37
66,Oct 25 2020 01: +0,2.022,32
67,Oct 26 2020 01: +0,1.971,35
68,Oct 27 2020 01: +0,2.009,46
69,Oct 28 2020 01: +0,1.957,40
70,Oct 29 2020 01: +0,1.919,33
71,Oct 30 2020 01: +0,1.817,38
72,Oct 31 2020 01: +0,2.055,32
73,Nov 01 2020 01: +0,2.106,29
74,Nov 02 2020 01: +0,2.202,41
75,Nov 03 2020 01: +0,2.211,39
76,Nov 04 2020 01: +0,2.236,40
77,Nov 05 2020 01: +0,2.305,73
78,Nov 06 2020 01: +0,2.448,48
79,Nov 07 2020 01: +0,2.545,48
80,Nov 08 2020 01: +0,2.581,41
81,Nov 09 2020 01: +0,2.524,25
82,Nov 10 2020 01: +0,2.329,37
83,Nov 11 2020 01: +0,2.37,26
84,Nov 12 2020 01: +0,2.507,55
85,Nov 13 2020 01: +0,2.712,38
86,Nov 14 2020 01: +0,2.866,37
87,Nov 15 2020 01: +0,2.919,30
88,Nov 16 2020 01: +0,2.63,16
89,Nov 17 2020 01: +0,2.752,22
90,Nov 18 2020 01: +0,2.703,31
91,Nov 19 2020 01: +0,2.826,41
92,Nov 20 2020 01: +0,2.852,33
93,Nov 21 2020 01: +0,3.015,25
94,Nov 22 2020 01: +0,2.866,29
95,Nov 23 2020 01: +0,2.928,23
96,Nov 24 2020 01: +0,2.673,19
97,Nov 25 2020 01: +0,2.731,13
98,Nov 26 2020 01: +0,2.604,31
99,Nov 27 2020 01: +0,2.621,26
100,Nov 28 2020 01: +0,2.664,32
101,Nov 29 2020 01: +0,2.735,28
102,Nov 30 2020 01: +0,2.698,22
103,Dec 01 2020 01: +0,2.719,44
104,Dec 02 2020 01: +0,2.801,41
105,Dec 03 2020 01: +0,3.042,45
106,Dec 04 2020 01: +0,2.831,43
107,Dec 05 2020 01: +0,2.812,31
108,Dec 06 2020 01: +0,2.624,35
109,Dec 07 2020 01: +0,2.673,22
110,Dec 08 2020 01: +0,2.595,24
111,Dec 09 2020 01: +0,2.633,24
112,Dec 10 2020 01: +0,2.403,31
113,Dec 11 2020 01: +0,2.532,40
114,Dec 12 2020 01: +0,2.654,31
115,Dec 13 2020 01: +0,2.692,28
116,Dec 14 2020 01: +0,2.714,34
117,Dec 15 2020 01: +0,2.364,16
118,Dec 16 2020 01: +0,2.477,20
119,Dec 17 2020 01: +0,2.288,28
120,Dec 18 2020 01: +0,2.482,27
121,Dec 19 2020 01: +0,2.474,30
122,Dec 20 2020 01: +0,2.512,43
123,Dec 21 2020 01: +0,2.477,41
124,Dec 22 2020 01: +0,2.482,47
125,Dec 23 2020 01: +0,2.512,40
126,Dec 24 2020 01: +0,2.623,44
127,Dec 25 2020 01: +0,2.98,69
128,Dec 26 2020 01: +0,3.007,55
129,Dec 27 2020 01: +0,2.995,45
130,Dec 28 2020 01: +0,3.113,45
131,Dec 29 2020 01: +0,3.128,44
132,Dec 30 2020 01: +0,3.323,44
133,Dec 31 2020 01: +0,3.373,38
134,Jan 01 2021 01: +0,3.54,71
135,Jan 02 2021 01: +0,3.599,57
136,Jan 03 2021 01: +0,4.231,40
137,Jan 04 2021 01: +0,4.233,43
138,Jan 05 2021 01: +0,4.237,40
139,Jan 06 2021 01: +0,4.36,48
140,Jan 07 2021 01: +0,5.462,62
141,Jan 08 2021 01: +0,5.626,56
142,Jan 09 2021 01: +0,5.638,63
143,Jan 10 2021 01: +0,5.11,47
144,Jan 11 2021 01: +0,5.187,55
145,Jan 12 2021 01: +0,5.141,44
146,Jan 13 2021 01: +0,4.944,50
147,Jan 14 2021 01: +0,5.474,46
148,Jan 15 2021 01: +0,5.792,60
149,Jan 16 2021 01: +0,6.072,38
150,Jan 17 2021 01: +0,6.674,56
151,Jan 18 2021 01: +0,7.588,52
152,Jan 19 2021 01: +0,7.282,36
153,Jan 20 2021 01: +0,6.889,29
154,Jan 21 2021 01: +0,6.752,45
155,Jan 22 2021 01: +0,6.889,39
156,Jan 23 2021 01: +0,6.556,52
157,Jan 24 2021 01: +0,6.387,35
158,Jan 25 2021 01: +0,6.877,43
159,Jan 26 2021 01: +0,6.171,25
160,Jan 27 2021 01: +0,6.207,41
161,Jan 28 2021 01: +0,7.129,45
162,Jan 29 2021 01: +0,7.046,58
163,Jan 30 2021 01: +0,7.122,52
164,Jan 31 2021 01: +0,7.283,49
165,Feb 01 2021 01: +0,7.213,44
166,Feb 02 2021 01: +0,7.245,43
167,Feb 03 2021 01: +0,7.401,27
168,Feb 04 2021 01: +0,7.024,62
169,Feb 05 2021 01: +0,7.115,47
170,Feb 06 2021 01: +0,7.013,38
171,Feb 07 2021 01: +0,6.807,24
172,Feb 08 2021 01: +0,6.735,19
173,Feb 09 2021 01: +0,6.688,34
174,Feb 10 2021 01: +0,7.097,23
175,Feb 11 2021 01: +0,6.906,35
176,Feb 12 2021 01: +0,6.679,34
177,Feb 13 2021 01: +0,6.238,44
178,Feb 14 2021 01: +0,6.379,30
179,Feb 15 2021 01: +0,6.572,26
180,Feb 16 2021 01: +0,6.748,28
181,Feb 17 2021 01: +0,6.698,21
182,Feb 18 2021 01: +0,6.43,22
183,Feb 19 2021 01: +0,6.958,51
184,Feb 20 2021 01: +0,6.747,33
185,Feb 21 2021 01: +0,6.489,21
186,Feb 22 2021 01: +0,6.606,17
187,Feb 23 2021 01: +0,6.551,17
188,Feb 24 2021 01: +0,6.021,21
189,Feb 25 2021 01: +0,6.367,34
190,Feb 26 2021 01: +0,6.549,33
191,Feb 27 2021 01: +0,6.709,27
192,Feb 28 2021 01: +0,6.417,29
193,Mar 01 2021 01: +0,6.059,29
194,Mar 02 2021 01: +0,5.939,22
195,Mar 03 2021 01: +0,5.793,19
196,Mar 04 2021 01: +0,6.174,50
197,Mar 05 2021 01: +0,5.98,23
198,Mar 06 2021 01: +0,5.609,25
199,Mar 07 2021 01: +0,5.76,25
200,Mar 08 2021 01: +0,5.683,16
201,Mar 09 2021 01: +0,5.847,26
202,Mar 10 2021 01: +0,5.902,17
203,Mar 11 2021 01: +0,6.015,27
204,Mar 12 2021 01: +0,5.388,32
205,Mar 13 2021 01: +0,5.703,25
