,time,price,volume
0,Dec 19 2019 01: +0,5.553,2
1,Dec 20 2019 01: +0,2.351,30
2,Dec 21 2019 01: +0,2.266,23
3,Dec 22 2019 01: +0,2.46,34
4,Dec 23 2019 01: +0,2.448,26
5,Dec 24 2019 01: +0,2.476,28
6,Dec 25 2019 01: +0,2.981,36
7,Dec 26 2019 01: +0,3.708,26
8,Dec 27 2019 01: +0,3.577,24
9,Dec 28 2019 01: +0,3.652,33
10,Dec 29 2019 01: +0,3.516,28
11,Dec 30 2019 01: +0,3.272,26
12,Dec 31 2019 01: +0,3.674,29
13,Jan 01 2020 01: +0,4.109,23
14,Jan 02 2020 01: +0,4.27,44
15,Jan 03 2020 01: +0,4.207,27
16,Jan 04 2020 01: +0,4.245,21
17,Jan 05 2020 01: +0,4.185,20
18,Jan 06 2020 01: +0,4.159,23
19,Jan 07 2020 01: +0,4.234,14
20,Jan 08 2020 01: +0,4.331,10
21,Jan 09 2020 01: +0,4.084,20
22,Jan 10 2020 01: +0,4.122,19
23,Jan 11 2020 01: +0,4.182,26
24,Jan 12 2020 01: +0,4.184,26
25,Jan 13 2020 01: +0,3.976,19
26,Jan 14 2020 01: +0,4.01,14
27,Jan 15 2020 01: +0,4.013,19
28,Jan 16 2020 01: +0,4.164,9
29,Jan 17 2020 01: +0,4.188,12
30,Jan 18 2020 01: +0,4.03,17
31,Jan 19 2020 01: +0,4.051,19
32,Jan 20 2020 01: +0,4.175,11
33,Jan 21 2020 01: +0,3.614,9
34,Jan 22 2020 01: +0,3.881,7
35,Jan 23 2020 01: +0,3.959,34
36,Jan 24 2020 01: +0,4.19,22
37,Jan 25 2020 01: +0,4.472,21
38,Jan 26 2020 01: +0,4.005,17
39,Jan 27 2020 01: +0,4.322,17
40,Jan 28 2020 01: +0,4.226,8
41,Jan 29 2020 01: +0,4.333,9
42,Jan 30 2020 01: +0,4.274,4
43,Jan 31 2020 01: +0,4.219,16
44,Feb 01 2020 01: +0,4.11,20
45,Feb 02 2020 01: +0,3.703,15
46,Feb 03 2020 01: +0,4.197,8
47,Feb 04 2020 01: +0,4.593,7
48,Feb 05 2020 01: +0,4.445,10
49,Feb 06 2020 01: +0,4.345,16
50,Feb 07 2020 01: +0,4.157,11
51,Feb 08 2020 01: +0,4.213,15
52,Feb 09 2020 01: +0,3.863,15
53,Feb 10 2020 01: +0,4.222,12
54,Feb 11 2020 01: +0,4.298,14
55,Feb 12 2020 01: +0,4.641,3
56,Feb 13 2020 01: +0,4.509,8
57,Feb 14 2020 01: +0,4.357,11
58,Feb 15 2020 01: +0,4.545,11
59,Feb 16 2020 01: +0,4.18,13
60,Feb 17 2020 01: +0,3.619,12
61,Feb 18 2020 01: +0,3.726,8
62,Feb 19 2020 01: +0,3.691,6
63,Feb 20 2020 01: +0,3.805,13
64,Feb 21 2020 01: +0,3.976,4
65,Feb 22 2020 01: +0,3.978,11
66,Feb 23 2020 01: +0,3.873,11
67,Feb 24 2020 01: +0,3.809,6
68,Feb 25 2020 01: +0,3.595,5
69,Feb 26 2020 01: +0,3.419,14
70,Feb 27 2020 01: +0,3.293,5
71,Feb 28 2020 01: +0,3.384,7
72,Feb 29 2020 01: +0,3.541,11
73,Mar 01 2020 01: +0,3.416,14
74,Mar 02 2020 01: +0,3.945,7
