,time,price,volume
0,Jun 27 2020 01: +0,1.841,8
1,Jun 28 2020 01: +0,1.802,19
2,Jun 29 2020 01: +0,1.725,16
3,Jun 30 2020 01: +0,1.862,13
4,Jul 01 2020 01: +0,1.94,12
5,Jul 02 2020 01: +0,2.056,22
6,Jul 03 2020 01: +0,2.026,13
7,Jul 04 2020 01: +0,2.036,8
8,Jul 05 2020 01: +0,1.851,15
9,Jul 06 2020 01: +0,2.097,17
10,Jul 07 2020 01: +0,2.014,9
11,Jul 08 2020 01: +0,1.913,12
12,Jul 09 2020 01: +0,1.615,16
13,Jul 10 2020 01: +0,1.81,9
14,Jul 11 2020 01: +0,2.094,9
15,Jul 12 2020 01: +0,2.086,13
16,Jul 13 2020 01: +0,2.108,15
17,Jul 14 2020 01: +0,1.852,9
18,Jul 15 2020 01: +0,1.955,18
19,Jul 16 2020 01: +0,2.16,24
20,Jul 17 2020 01: +0,2.08,21
21,Jul 18 2020 01: +0,1.847,17
22,Jul 19 2020 01: +0,1.828,15
23,Jul 20 2020 01: +0,1.958,11
24,Jul 21 2020 01: +0,1.867,16
25,Jul 22 2020 01: +0,1.865,14
26,Jul 23 2020 01: +0,1.894,27
27,Jul 24 2020 01: +0,1.876,18
28,Jul 25 2020 01: +0,1.845,15
29,Jul 26 2020 01: +0,1.905,23
30,Jul 27 2020 01: +0,1.906,15
31,Jul 28 2020 01: +0,1.888,12
32,Jul 29 2020 01: +0,1.807,18
33,Jul 30 2020 01: +0,1.809,13
34,Jul 31 2020 01: +0,1.827,10
35,Aug 01 2020 01: +0,1.917,13
36,Aug 02 2020 01: +0,1.741,10
37,Aug 03 2020 01: +0,1.891,12
38,Aug 04 2020 01: +0,1.869,15
39,Aug 05 2020 01: +0,1.87,9
40,Aug 06 2020 01: +0,1.826,18
41,Aug 07 2020 01: +0,1.735,16
42,Aug 08 2020 01: +0,1.824,9
43,Aug 09 2020 01: +0,1.81,8
44,Aug 10 2020 01: +0,1.685,14
45,Aug 11 2020 01: +0,1.723,15
46,Aug 12 2020 01: +0,1.723,12
47,Aug 13 2020 01: +0,1.61,16
