,time,price,volume
0,Apr 02 2020 01: +0,2.686,30
1,Apr 03 2020 01: +0,2.568,111
2,Apr 04 2020 01: +0,2.634,76
3,Apr 05 2020 01: +0,2.378,53
4,Apr 06 2020 01: +0,2.517,71
5,Apr 07 2020 01: +0,2.534,57
6,Apr 08 2020 01: +0,2.435,56
7,Apr 09 2020 01: +0,2.519,112
8,Apr 10 2020 01: +0,2.759,65
9,Apr 11 2020 01: +0,2.563,45
10,Apr 12 2020 01: +0,2.529,53
11,Apr 13 2020 01: +0,2.54,45
12,Apr 14 2020 01: +0,2.555,56
13,Apr 15 2020 01: +0,2.485,60
14,Apr 16 2020 01: +0,2.614,70
15,Apr 17 2020 01: +0,2.986,75
16,Apr 18 2020 01: +0,2.962,42
17,Apr 19 2020 01: +0,2.887,54
18,Apr 20 2020 01: +0,3.058,44
19,Apr 21 2020 01: +0,2.871,43
20,Apr 22 2020 01: +0,2.88,41
21,Apr 23 2020 01: +0,2.954,46
22,Apr 24 2020 01: +0,2.849,33
23,Apr 25 2020 01: +0,2.68,45
24,Apr 26 2020 01: +0,2.858,30
25,Apr 27 2020 01: +0,2.87,51
26,Apr 28 2020 01: +0,2.973,40
27,Apr 29 2020 01: +0,2.863,43
28,Apr 30 2020 01: +0,3.114,59
29,May 01 2020 01: +0,3.173,39
30,May 02 2020 01: +0,2.733,31
31,May 03 2020 01: +0,2.877,35
32,May 04 2020 01: +0,3.097,45
33,May 05 2020 01: +0,3.207,30
34,May 06 2020 01: +0,3.113,27
35,May 07 2020 01: +0,3.176,49
36,May 08 2020 01: +0,3.44,50
37,May 09 2020 01: +0,3.461,44
38,May 10 2020 01: +0,2.955,42
39,May 11 2020 01: +0,3.22,45
40,May 12 2020 01: +0,3.245,44
41,May 13 2020 01: +0,3.436,20
42,May 14 2020 01: +0,3.619,56
43,May 15 2020 01: +0,3.758,34
44,May 16 2020 01: +0,3.569,32
45,May 17 2020 01: +0,3.49,26
46,May 18 2020 01: +0,3.195,30
47,May 19 2020 01: +0,3.27,21
48,May 20 2020 01: +0,3.263,31
49,May 21 2020 01: +0,3.603,40
50,May 22 2020 01: +0,3.558,37
51,May 23 2020 01: +0,3.62,23
52,May 24 2020 01: +0,3.551,20
53,May 25 2020 01: +0,3.651,29
54,May 26 2020 01: +0,3.401,22
55,May 27 2020 01: +0,3.225,25
56,May 28 2020 01: +0,3.37,39
57,May 29 2020 01: +0,3.259,43
58,May 30 2020 01: +0,3.326,25
59,May 31 2020 01: +0,3.243,37
60,Jun 01 2020 01: +0,3.111,29
61,Jun 02 2020 01: +0,3.218,31
62,Jun 03 2020 01: +0,3.302,31
63,Jun 04 2020 01: +0,3.419,56
64,Jun 05 2020 01: +0,3.119,30
65,Jun 06 2020 01: +0,3.323,30
66,Jun 07 2020 01: +0,3.18,24
67,Jun 08 2020 01: +0,3.005,18
68,Jun 09 2020 01: +0,2.942,30
69,Jun 10 2020 01: +0,3.299,22
70,Jun 11 2020 01: +0,3.15,23
71,Jun 12 2020 01: +0,2.852,26
72,Jun 13 2020 01: +0,2.896,27
73,Jun 14 2020 01: +0,2.905,19
74,Jun 15 2020 01: +0,3.092,29
75,Jun 16 2020 01: +0,2.744,14
76,Jun 17 2020 01: +0,2.834,19
77,Jun 18 2020 01: +0,2.904,27
78,Jun 19 2020 01: +0,2.757,28
79,Jun 20 2020 01: +0,2.82,25
80,Jun 21 2020 01: +0,2.64,33
81,Jun 22 2020 01: +0,2.828,29
82,Jun 23 2020 01: +0,2.944,19
83,Jun 24 2020 01: +0,2.778,16
84,Jun 25 2020 01: +0,2.825,36
85,Jun 26 2020 01: +0,2.801,30
86,Jun 27 2020 01: +0,2.84,17
87,Jun 28 2020 01: +0,2.699,18
88,Jun 29 2020 01: +0,2.609,25
89,Jun 30 2020 01: +0,2.791,31
90,Jul 01 2020 01: +0,2.769,22
91,Jul 02 2020 01: +0,2.973,43
92,Jul 03 2020 01: +0,3.14,36
93,Jul 04 2020 01: +0,3.213,37
94,Jul 05 2020 01: +0,3.332,23
95,Jul 06 2020 01: +0,3.0,26
96,Jul 07 2020 01: +0,3.059,19
97,Jul 08 2020 01: +0,2.845,22
98,Jul 09 2020 01: +0,3.044,23
99,Jul 10 2020 01: +0,2.926,27
100,Jul 11 2020 01: +0,3.207,25
101,Jul 12 2020 01: +0,2.954,20
102,Jul 13 2020 01: +0,3.264,29
103,Jul 14 2020 01: +0,3.227,23
