,time,price,volume
0,Oct 25 2019 01: +0,2.823,21
1,Oct 26 2019 01: +0,2.262,26
2,Oct 27 2019 01: +0,2.091,26
3,Oct 28 2019 01: +0,2.055,22
4,Oct 29 2019 01: +0,1.891,24
5,Oct 30 2019 01: +0,1.983,29
6,Oct 31 2019 01: +0,1.982,17
7,Nov 01 2019 01: +0,1.925,19
8,Nov 02 2019 01: +0,2.116,23
9,Nov 03 2019 01: +0,2.238,19
10,Nov 04 2019 01: +0,2.155,18
11,Nov 05 2019 01: +0,2.228,17
12,Nov 06 2019 01: +0,2.099,19
13,Nov 07 2019 01: +0,2.28,25
14,Nov 08 2019 01: +0,2.099,24
15,Nov 09 2019 01: +0,2.137,22
16,Nov 10 2019 01: +0,2.647,21
17,Nov 11 2019 01: +0,2.362,23
18,Nov 12 2019 01: +0,2.283,11
19,Nov 13 2019 01: +0,2.071,20
20,Nov 14 2019 01: +0,2.325,20
21,Nov 15 2019 01: +0,2.11,16
22,Nov 16 2019 01: +0,2.149,25
23,Nov 17 2019 01: +0,2.267,15
24,Nov 18 2019 01: +0,2.176,16
25,Nov 19 2019 01: +0,1.879,28
26,Nov 20 2019 01: +0,1.917,18
27,Nov 21 2019 01: +0,1.928,20
28,Nov 22 2019 01: +0,2.179,25
29,Nov 23 2019 01: +0,2.18,30
30,Nov 24 2019 01: +0,2.018,24
31,Nov 25 2019 01: +0,2.078,24
32,Nov 26 2019 01: +0,1.918,19
33,Nov 27 2019 01: +0,2.081,27
34,Nov 28 2019 01: +0,1.981,32
35,Nov 29 2019 01: +0,2.064,18
36,Nov 30 2019 01: +0,2.087,28
37,Dec 01 2019 01: +0,2.024,22
38,Dec 02 2019 01: +0,2.058,27
39,Dec 03 2019 01: +0,2.051,21
40,Dec 04 2019 01: +0,1.858,20
41,Dec 05 2019 01: +0,2.088,42
42,Dec 06 2019 01: +0,2.081,42
43,Dec 07 2019 01: +0,2.078,30
44,Dec 08 2019 01: +0,2.204,28
45,Dec 09 2019 01: +0,2.304,16
46,Dec 10 2019 01: +0,2.12,26
47,Dec 11 2019 01: +0,2.231,23
48,Dec 12 2019 01: +0,2.314,20
49,Dec 13 2019 01: +0,2.261,29
50,Dec 14 2019 01: +0,2.251,24
51,Dec 15 2019 01: +0,2.191,26
52,Dec 16 2019 01: +0,2.293,21
53,Dec 17 2019 01: +0,2.299,17
54,Dec 18 2019 01: +0,2.336,23
55,Dec 19 2019 01: +0,2.309,28
