,time,price,volume
0,Feb 07 2020 01: +0,3.546,11
1,Feb 08 2020 01: +0,2.455,94
2,Feb 09 2020 01: +0,2.64,52
3,Feb 10 2020 01: +0,2.426,49
4,Feb 11 2020 01: +0,2.384,30
5,Feb 12 2020 01: +0,2.418,44
6,Feb 13 2020 01: +0,2.381,75
7,Feb 14 2020 01: +0,2.029,72
8,Feb 15 2020 01: +0,2.376,67
9,Feb 16 2020 01: +0,2.308,44
10,Feb 17 2020 01: +0,2.301,33
11,Feb 18 2020 01: +0,2.202,25
12,Feb 19 2020 01: +0,2.27,38
13,Feb 20 2020 01: +0,2.428,41
14,Feb 21 2020 01: +0,2.301,34
15,Feb 22 2020 01: +0,1.97,56
16,Feb 23 2020 01: +0,2.271,30
17,Feb 24 2020 01: +0,2.135,26
18,Feb 25 2020 01: +0,2.006,25
19,Feb 26 2020 01: +0,2.313,21
20,Feb 27 2020 01: +0,1.957,34
21,Feb 28 2020 01: +0,1.849,38
22,Feb 29 2020 01: +0,1.968,41
23,Mar 01 2020 01: +0,2.178,33
24,Mar 02 2020 01: +0,2.145,19
25,Mar 03 2020 01: +0,2.072,22
26,Mar 04 2020 01: +0,2.02,23
27,Mar 05 2020 01: +0,1.996,54
28,Mar 06 2020 01: +0,2.067,44
29,Mar 07 2020 01: +0,2.097,58
30,Mar 08 2020 01: +0,2.099,35
31,Mar 09 2020 01: +0,2.16,33
32,Mar 10 2020 01: +0,2.029,18
33,Mar 11 2020 01: +0,2.062,22
34,Mar 12 2020 01: +0,1.946,40
35,Mar 13 2020 01: +0,2.054,32
36,Mar 14 2020 01: +0,2.019,38
37,Mar 15 2020 01: +0,2.084,27
38,Mar 16 2020 01: +0,2.134,26
39,Mar 17 2020 01: +0,2.038,27
40,Mar 18 2020 01: +0,2.027,34
41,Mar 19 2020 01: +0,2.047,31
42,Mar 20 2020 01: +0,2.057,33
43,Mar 21 2020 01: +0,1.98,36
44,Mar 22 2020 01: +0,1.788,23
45,Mar 23 2020 01: +0,1.837,28
46,Mar 24 2020 01: +0,2.012,25
47,Mar 25 2020 01: +0,1.838,32
48,Mar 26 2020 01: +0,1.9,41
49,Mar 27 2020 01: +0,1.625,49
50,Mar 28 2020 01: +0,1.767,29
51,Mar 29 2020 01: +0,1.798,35
52,Mar 30 2020 01: +0,1.727,24
53,Mar 31 2020 01: +0,1.742,29
54,Apr 01 2020 01: +0,1.716,38
55,Apr 02 2020 01: +0,1.766,70
56,Apr 03 2020 01: +0,1.823,62
57,Apr 04 2020 01: +0,1.854,33
58,Apr 05 2020 01: +0,1.782,37
59,Apr 06 2020 01: +0,1.797,32
60,Apr 07 2020 01: +0,1.908,28
61,Apr 08 2020 01: +0,1.871,30
62,Apr 09 2020 01: +0,1.872,42
63,Apr 10 2020 01: +0,1.922,41
64,Apr 11 2020 01: +0,1.794,32
65,Apr 12 2020 01: +0,2.042,39
66,Apr 13 2020 01: +0,2.07,31
67,Apr 14 2020 01: +0,1.956,28
68,Apr 15 2020 01: +0,1.947,31
69,Apr 16 2020 01: +0,1.965,36
70,Apr 17 2020 01: +0,1.93,27
71,Apr 18 2020 01: +0,1.834,35
72,Apr 19 2020 01: +0,1.926,19
73,Apr 20 2020 01: +0,1.919,23
74,Apr 21 2020 01: +0,1.938,23
75,Apr 22 2020 01: +0,1.833,21
76,Apr 23 2020 01: +0,1.861,26
77,Apr 24 2020 01: +0,1.87,22
78,Apr 25 2020 01: +0,1.902,31
79,Apr 26 2020 01: +0,1.861,26
80,Apr 27 2020 01: +0,1.826,31
81,Apr 28 2020 01: +0,1.837,24
82,Apr 29 2020 01: +0,1.949,23
83,Apr 30 2020 01: +0,1.99,28
84,May 01 2020 01: +0,2.012,25
85,May 02 2020 01: +0,2.048,14
86,May 03 2020 01: +0,2.053,21
87,May 04 2020 01: +0,2.036,24
88,May 05 2020 01: +0,1.996,19
89,May 06 2020 01: +0,2.09,15
90,May 07 2020 01: +0,2.131,47
91,May 08 2020 01: +0,2.099,22
92,May 09 2020 01: +0,2.05,22
93,May 10 2020 01: +0,2.257,33
94,May 11 2020 01: +0,2.26,18
95,May 12 2020 01: +0,2.227,30
96,May 13 2020 01: +0,2.213,16
97,May 14 2020 01: +0,2.334,24
98,May 15 2020 01: +0,2.231,25
99,May 16 2020 01: +0,2.205,28
