,time,price,volume
0,Oct 18 2019 01: +0,2.528,7
1,Oct 19 2019 01: +0,1.807,34
2,Oct 20 2019 01: +0,1.685,17
3,Oct 21 2019 01: +0,1.687,14
4,Oct 22 2019 01: +0,1.708,15
5,Oct 23 2019 01: +0,1.768,17
6,Oct 24 2019 01: +0,1.85,21
7,Oct 25 2019 01: +0,1.497,18
8,Oct 26 2019 01: +0,1.641,19
9,Oct 27 2019 01: +0,1.83,15
10,Oct 28 2019 01: +0,1.587,16
11,Oct 29 2019 01: +0,1.551,11
12,Oct 30 2019 01: +0,1.392,13
13,Oct 31 2019 01: +0,1.445,20
14,Nov 01 2019 01: +0,1.4,14
15,Nov 02 2019 01: +0,1.503,19
16,Nov 03 2019 01: +0,1.648,16
17,Nov 04 2019 01: +0,1.553,9
18,Nov 05 2019 01: +0,1.671,13
19,Nov 06 2019 01: +0,1.681,14
20,Nov 07 2019 01: +0,1.387,18
21,Nov 08 2019 01: +0,1.565,23
22,Nov 09 2019 01: +0,1.621,21
23,Nov 10 2019 01: +0,1.533,15
24,Nov 11 2019 01: +0,1.597,18
25,Nov 12 2019 01: +0,1.759,12
26,Nov 13 2019 01: +0,1.694,16
27,Nov 14 2019 01: +0,1.504,20
28,Nov 15 2019 01: +0,1.631,21
29,Nov 16 2019 01: +0,1.619,23
30,Nov 17 2019 01: +0,1.629,33
31,Nov 18 2019 01: +0,1.727,18
32,Nov 19 2019 01: +0,1.584,25
33,Nov 20 2019 01: +0,1.538,20
34,Nov 21 2019 01: +0,1.524,15
35,Nov 22 2019 01: +0,1.379,22
36,Nov 23 2019 01: +0,1.425,26
37,Nov 24 2019 01: +0,1.556,31
38,Nov 25 2019 01: +0,1.492,18
39,Nov 26 2019 01: +0,1.515,26
40,Nov 27 2019 01: +0,1.744,30
41,Nov 28 2019 01: +0,1.951,28
42,Nov 29 2019 01: +0,1.6,33
43,Nov 30 2019 01: +0,1.995,10
44,Dec 01 2019 01: +0,1.805,18
45,Dec 02 2019 01: +0,1.932,20
46,Dec 03 2019 01: +0,1.858,17
47,Dec 04 2019 01: +0,2.167,7
48,Dec 05 2019 01: +0,1.742,15
49,Dec 06 2019 01: +0,1.532,18
50,Dec 07 2019 01: +0,1.767,23
51,Dec 08 2019 01: +0,1.693,16
52,Dec 09 2019 01: +0,1.543,18
53,Dec 10 2019 01: +0,1.605,16
54,Dec 11 2019 01: +0,1.714,16
55,Dec 12 2019 01: +0,1.816,25
56,Dec 13 2019 01: +0,1.647,18
57,Dec 14 2019 01: +0,1.579,18
58,Dec 15 2019 01: +0,1.798,23
59,Dec 16 2019 01: +0,1.718,19
60,Dec 17 2019 01: +0,1.788,22
61,Dec 18 2019 01: +0,1.814,31
62,Dec 19 2019 01: +0,1.717,22
63,Dec 20 2019 01: +0,1.817,22
64,Dec 21 2019 01: +0,2.103,18
65,Dec 22 2019 01: +0,2.141,18
66,Dec 23 2019 01: +0,2.053,31
67,Dec 24 2019 01: +0,2.113,19
68,Dec 25 2019 01: +0,2.356,30
