,time,price,volume
0,Feb 14 2019 01: +0,3.5,1
1,Feb 15 2019 01: +0,2.601,28
2,Feb 16 2019 01: +0,2.456,13
3,Feb 17 2019 01: +0,2.857,30
4,Feb 18 2019 01: +0,2.879,18
5,Feb 19 2019 01: +0,1.875,28
6,Feb 20 2019 01: +0,1.859,24
7,Feb 21 2019 01: +0,1.888,20
8,Feb 22 2019 01: +0,1.983,15
9,Feb 23 2019 01: +0,1.904,23
10,Feb 24 2019 01: +0,2.156,19
11,Feb 25 2019 01: +0,1.829,7
12,Feb 26 2019 01: +0,1.898,49
13,Feb 27 2019 01: +0,2.09,12
14,Feb 28 2019 01: +0,1.792,23
15,Mar 01 2019 01: +0,1.567,48
16,Mar 02 2019 01: +0,1.562,20
17,Mar 03 2019 01: +0,1.472,25
18,Mar 04 2019 01: +0,1.52,20
19,Mar 05 2019 01: +0,1.69,44
20,Mar 06 2019 01: +0,1.778,8
21,Mar 07 2019 01: +0,1.655,15
22,Mar 08 2019 01: +0,1.887,18
23,Mar 09 2019 01: +0,1.718,43
24,Mar 10 2019 01: +0,1.626,16
25,Mar 11 2019 01: +0,1.753,19
26,Mar 12 2019 01: +0,1.703,34
27,Mar 13 2019 01: +0,1.733,24
28,Mar 14 2019 01: +0,1.707,20
29,Mar 15 2019 01: +0,1.609,18
30,Mar 16 2019 01: +0,1.76,40
31,Mar 17 2019 01: +0,1.776,12
32,Mar 18 2019 01: +0,1.66,9
33,Mar 19 2019 01: +0,1.542,17
34,Mar 20 2019 01: +0,1.496,18
35,Mar 21 2019 01: +0,1.483,13
36,Mar 22 2019 01: +0,1.45,26
37,Mar 23 2019 01: +0,1.338,36
38,Mar 24 2019 01: +0,1.368,27
39,Mar 25 2019 01: +0,1.347,20
40,Mar 26 2019 01: +0,1.32,26
41,Mar 27 2019 01: +0,1.287,19
42,Mar 28 2019 01: +0,1.179,19
43,Mar 29 2019 01: +0,1.225,38
44,Mar 30 2019 01: +0,1.262,42
45,Mar 31 2019 01: +0,1.219,17
46,Apr 01 2019 01: +0,1.283,22
47,Apr 02 2019 01: +0,1.341,19
48,Apr 03 2019 01: +0,1.247,20
49,Apr 04 2019 01: +0,1.267,20
50,Apr 05 2019 01: +0,1.28,21
51,Apr 06 2019 01: +0,1.288,41
52,Apr 07 2019 01: +0,1.376,15
53,Apr 08 2019 01: +0,1.281,19
54,Apr 09 2019 01: +0,1.274,18
55,Apr 10 2019 01: +0,1.323,25
56,Apr 11 2019 01: +0,1.413,17
57,Apr 12 2019 01: +0,1.336,23
58,Apr 13 2019 01: +0,1.349,18
59,Apr 14 2019 01: +0,1.431,22
60,Apr 15 2019 01: +0,1.43,17
61,Apr 16 2019 01: +0,1.321,15
62,Apr 17 2019 01: +0,1.315,14
63,Apr 18 2019 01: +0,1.331,12
64,Apr 19 2019 01: +0,1.362,25
65,Apr 20 2019 01: +0,1.362,19
66,Apr 21 2019 01: +0,1.381,44
67,Apr 22 2019 01: +0,1.448,34
68,Apr 23 2019 01: +0,1.437,28
69,Apr 24 2019 01: +0,1.434,28
70,Apr 25 2019 01: +0,1.32,21
71,Apr 26 2019 01: +0,1.301,7
72,Apr 27 2019 01: +0,1.38,15
73,Apr 28 2019 01: +0,1.343,20
74,Apr 29 2019 01: +0,1.255,17
75,Apr 30 2019 01: +0,1.318,16
76,May 01 2019 01: +0,1.323,23
77,May 02 2019 01: +0,1.226,43
78,May 03 2019 01: +0,1.285,18
79,May 04 2019 01: +0,1.29,28
80,May 05 2019 01: +0,1.313,16
81,May 06 2019 01: +0,1.319,18
82,May 07 2019 01: +0,1.369,17
83,May 08 2019 01: +0,1.234,16
84,May 09 2019 01: +0,1.304,17
85,May 10 2019 01: +0,1.225,15
86,May 11 2019 01: +0,1.287,19
87,May 12 2019 01: +0,1.344,23
88,May 13 2019 01: +0,1.355,12
