,time,price,volume
0,Nov 10 2017 01: +0,5.732,7
1,Nov 11 2017 01: +0,2.6,7
2,Nov 12 2017 01: +0,2.024,6
3,Nov 13 2017 01: +0,2.12,7
4,Nov 14 2017 01: +0,2.621,3
5,Nov 15 2017 01: +0,2.582,7
6,Nov 16 2017 01: +0,2.107,11
7,Nov 17 2017 01: +0,1.896,5
8,Nov 18 2017 01: +0,2.017,9
9,Nov 19 2017 01: +0,1.99,5
10,Nov 20 2017 01: +0,2.066,6
11,Nov 22 2017 01: +0,1.948,5
12,Nov 23 2017 01: +0,1.885,2
13,Nov 24 2017 01: +0,1.773,1
14,Nov 25 2017 01: +0,1.849,4
15,Nov 26 2017 01: +0,1.909,3
16,Nov 27 2017 01: +0,1.926,4
17,Nov 28 2017 01: +0,1.809,5
18,Nov 29 2017 01: +0,1.618,3
19,Nov 30 2017 01: +0,1.88,1
20,Dec 01 2017 01: +0,2.155,6
21,Dec 02 2017 01: +0,1.987,3
22,Dec 03 2017 01: +0,2.003,4
23,Dec 04 2017 01: +0,1.848,2
24,Dec 05 2017 01: +0,2.272,4
25,Dec 06 2017 01: +0,1.507,1
26,Dec 07 2017 01: +0,1.733,1
27,Dec 08 2017 01: +0,2.232,6
28,Dec 09 2017 01: +0,2.297,3
29,Dec 10 2017 01: +0,2.17,5
30,Dec 11 2017 01: +0,2.078,4
31,Dec 12 2017 01: +0,1.983,3
32,Dec 13 2017 01: +0,1.943,3
33,Dec 14 2017 01: +0,2.509,5
34,Dec 15 2017 01: +0,2.401,4
35,Dec 16 2017 01: +0,2.63,2
36,Dec 17 2017 01: +0,2.475,4
37,Dec 18 2017 01: +0,2.375,3
38,Dec 19 2017 01: +0,2.729,5
39,Dec 20 2017 01: +0,2.875,4
40,Dec 22 2017 01: +0,1.725,2
41,Dec 23 2017 01: +0,1.784,1
42,Dec 24 2017 01: +0,2.079,4
43,Dec 25 2017 01: +0,2.258,6
44,Dec 26 2017 01: +0,1.961,6
45,Dec 27 2017 01: +0,2.241,4
46,Dec 28 2017 01: +0,2.561,4
47,Dec 29 2017 01: +0,2.492,6
48,Dec 31 2017 01: +0,2.509,8
49,Jan 01 2018 01: +0,2.52,5
50,Jan 02 2018 01: +0,2.444,3
51,Jan 03 2018 01: +0,2.007,3
52,Jan 04 2018 01: +0,2.257,3
53,Jan 05 2018 01: +0,2.341,2
54,Jan 06 2018 01: +0,1.725,2
55,Jan 07 2018 01: +0,2.524,8
56,Jan 08 2018 01: +0,2.217,5
57,Jan 09 2018 01: +0,2.873,3
58,Jan 10 2018 01: +0,2.699,3
59,Jan 11 2018 01: +0,2.762,3
60,Jan 12 2018 01: +0,3.103,1
61,Jan 13 2018 01: +0,3.195,7
62,Jan 14 2018 01: +0,3.805,4
63,Jan 15 2018 01: +0,3.631,2
64,Jan 16 2018 01: +0,3.235,2
65,Jan 17 2018 01: +0,3.525,2
66,Jan 19 2018 01: +0,2.91,4
67,Jan 20 2018 01: +0,2.65,2
68,Jan 21 2018 01: +0,2.504,5
69,Jan 22 2018 01: +0,2.226,3
70,Jan 23 2018 01: +0,2.252,4
71,Jan 24 2018 01: +0,2.275,2
72,Jan 25 2018 01: +0,2.04,1
73,Jan 26 2018 01: +0,2.134,3
