,time,price,volume
0,Apr 29 2021 01: +0,3.147,2
1,Apr 29 2021 02: +0,2.916,1
2,Apr 29 2021 04: +0,2.794,1
3,Apr 29 2021 05: +0,2.915,2
4,Apr 29 2021 07: +0,2.992,1
5,Apr 29 2021 08: +0,2.786,1
6,Apr 29 2021 09: +0,2.851,2
7,Apr 29 2021 10: +0,3.0,1
8,Apr 29 2021 12: +0,2.92,1
9,Apr 29 2021 13: +0,2.94,2
10,Apr 29 2021 14: +0,2.907,3
11,Apr 29 2021 15: +0,2.907,1
12,Apr 29 2021 16: +0,3.064,3
13,Apr 29 2021 17: +0,2.99,2
14,Apr 29 2021 18: +0,3.28,4
15,Apr 29 2021 19: +0,2.95,3
16,Apr 29 2021 20: +0,3.247,2
17,Apr 29 2021 21: +0,3.199,5
18,Apr 29 2021 22: +0,3.333,15
19,Apr 29 2021 23: +0,3.36,10
20,Apr 30 2021 00: +0,3.505,12
21,Apr 30 2021 01: +0,3.417,13
22,Apr 30 2021 02: +0,3.63,7
23,Apr 30 2021 03: +0,3.69,9
24,Apr 30 2021 04: +0,3.686,7
25,Apr 30 2021 05: +0,3.7,5
26,Apr 30 2021 06: +0,3.553,5
27,Apr 30 2021 07: +0,3.499,8
28,Apr 30 2021 08: +0,3.453,1
29,Apr 30 2021 09: +0,3.447,2
30,Apr 30 2021 10: +0,3.36,1
31,Apr 30 2021 11: +0,3.259,2
32,Apr 30 2021 12: +0,2.566,3
33,Apr 30 2021 13: +0,3.26,2
34,Apr 30 2021 14: +0,3.181,6
35,Apr 30 2021 15: +0,3.16,4
36,Apr 30 2021 16: +0,3.332,2
37,Apr 30 2021 17: +0,3.33,3
38,Apr 30 2021 18: +0,3.417,5
39,Apr 30 2021 19: +0,3.15,5
40,Apr 30 2021 20: +0,3.354,2
41,Apr 30 2021 21: +0,3.497,6
42,Apr 30 2021 22: +0,3.515,6
43,Apr 30 2021 23: +0,3.515,4
44,May 01 2021 00: +0,3.507,7
45,May 01 2021 01: +0,3.38,2
46,May 01 2021 02: +0,3.14,2
47,May 01 2021 03: +0,2.773,2
48,May 01 2021 04: +0,3.19,6
49,May 01 2021 05: +0,3.28,3
50,May 01 2021 06: +0,2.714,2
51,May 01 2021 07: +0,3.125,2
52,May 01 2021 09: +0,2.656,3
53,May 01 2021 10: +0,3.08,2
54,May 01 2021 11: +0,2.454,5
55,May 01 2021 12: +0,2.941,3
56,May 01 2021 13: +0,3.135,1
57,May 01 2021 14: +0,2.549,1
58,May 01 2021 15: +0,2.725,2
59,May 01 2021 16: +0,2.894,4
60,May 01 2021 17: +0,2.775,2
61,May 01 2021 18: +0,2.85,2
62,May 01 2021 19: +0,2.843,4
63,May 01 2021 20: +0,2.88,2
64,May 01 2021 21: +0,3.002,1
65,May 01 2021 22: +0,2.95,3
66,May 01 2021 23: +0,2.92,3
67,May 02 2021 01: +0,2.475,2
68,May 02 2021 02: +0,2.87,3
69,May 02 2021 04: +0,2.87,1
70,May 02 2021 05: +0,2.88,6
71,May 02 2021 06: +0,2.87,3
72,May 02 2021 07: +0,2.71,3
73,May 02 2021 08: +0,2.88,7
74,May 02 2021 10: +0,2.766,3
75,May 02 2021 11: +0,2.864,5
76,May 02 2021 12: +0,2.818,4
77,May 02 2021 14: +0,2.844,4
78,May 02 2021 15: +0,2.806,2
79,May 02 2021 16: +0,2.269,2
80,May 02 2021 17: +0,2.764,4
81,May 02 2021 18: +0,2.691,2
82,May 02 2021 19: +0,2.751,8
83,May 02 2021 20: +0,2.8,3
84,May 02 2021 21: +0,2.805,4
85,May 02 2021 22: +0,2.95,5
86,May 02 2021 23: +0,3.062,4
87,May 03 2021 00: +0,3.136,4
88,May 03 2021 01: +0,3.28,3
89,May 03 2021 02: +0,3.27,6
90,May 03 2021 03: +0,3.364,1
91,May 03 2021 05: +0,3.28,2
92,May 03 2021 06: +0,3.274,1
93,May 03 2021 09: +0,3.115,2
94,May 03 2021 11: +0,2.92,2
95,May 03 2021 12: +0,2.38,1
96,May 03 2021 13: +0,3.032,4
97,May 03 2021 14: +0,3.055,4
98,May 03 2021 16: +0,3.031,3
99,May 03 2021 17: +0,2.785,2
100,May 03 2021 18: +0,3.165,6
101,May 03 2021 19: +0,3.249,3
102,May 03 2021 20: +0,2.595,1
103,May 03 2021 21: +0,1.656,2
